Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,JAK2,pLoF,2937,0,0,0,0,1,-1.48144167178964e-05,2.66789987237395e-05,0.578742866780434,0.000429770663256797,0.000959397699566092,0.654215988995464
colorectal,JAK2,missense,2937,0,0,0,0,2,3.18445646285206e-05,0.000232992327856377,0.891295920978598,-0.0035968697361749,0.00837858668073078,0.66774143319792
NHL,JAK2,pLoF,2513,0,0,0,0,0,0,0,,0,0,
NHL,JAK2,missense,2513,0,0,0,0,2,0.000100030398551769,0.000217534101055934,0.645672488492294,0.00852078376618478,0.00864506377232679,0.324412572777023
leukemias,JAK2,pLoF,1893,0,0,0,0,1,-4.87911580869574e-05,3.58031382769288e-05,0.173119860882466,0.000708832162989652,0.00149609751580231,0.635706238767428
leukemias,JAK2,missense,1893,0,0,0,0,4,0.000476183677068376,0.000376035855251886,0.205552729613632,-0.00552523874613775,0.0157133239143304,0.725156742645018
oral,JAK2,pLoF,1049,0,0,0,0,1,-7.4355221589385e-06,7.79073358326823e-05,0.923983156970105,0.00110602069897122,0.00307635899996993,0.719276714120019
oral,JAK2,missense,1049,0,0,0,0,1,-2.21663891578129e-05,0.000399139131182116,0.955722458368386,0.0290133270128112,0.0157609709705562,0.0659290149746365
neck,JAK2,pLoF,717,0,0,0,0,0,0,0,,0,0,
neck,JAK2,missense,717,0,0,0,0,2,0.000675946066789008,0.000602325218269097,0.262142863326212,-0.00974945397456323,0.0184857853575132,0.598077772830053
anus,JAK2,pLoF,614,0,0,0,0,0,0,0,,0,0,
anus,JAK2,missense,614,0,0,0,0,1,1.76629146879345e-05,0.00046702332752398,0.969843393587197,-0.00529348011136444,0.0163959386051894,0.746916925362519
bladder,JAK2,pLoF,1782,0,0,0,0,1,1.30794251408122e-05,0.000104569070414842,0.900474910265323,-0.00199942867373045,0.00322180493180046,0.534947126401194
bladder,JAK2,missense,1782,0,0,0,0,2,3.3223631496789e-05,0.000350820895837869,0.924561761957908,-0.00332841051886375,0.0108088987298549,0.758169791584833
brain,JAK2,pLoF,950,0,0,0,0,0,0,0,,0,0,
brain,JAK2,missense,950,0,0,0,0,1,0.000520524120028014,0.00029466010045071,0.0776300963553822,0.0233740921645977,0.0154339668937951,0.130243433507805
breast,JAK2,pLoF,10236,0,0,0,0,1,2.62660545595181e-06,1.17774579153095e-05,0.823524604135503,0.000214938677582074,0.000423908999835732,0.612137913026843
breast,JAK2,missense,10236,0,0,0,0,2,-1.88553952615912e-05,0.000143014033050228,0.89511108789611,-0.000696015187065632,0.00514753999961146,0.892445996146067
bone,JAK2,pLoF,652,0,0,0,0,0,0,0,,0,0,
bone,JAK2,missense,652,0,0,0,0,2,0.000122799110304168,0.000426962452189281,0.773736314642323,-0.0153716066456284,0.0248983969928926,0.537205040938733
prostate,JAK2,pLoF,6991,0,0,0,0,1,1.84743981631555e-05,2.99746827083632e-05,0.537694574262618,-0.000654623605290093,0.000694073041181877,0.345630440724348
prostate,JAK2,missense,6991,0,0,0,0,4,4.0738932804038e-05,0.000268411614590963,0.879366548903336,0.00421101790443458,0.00621515388303708,0.498085571094804
cervix,JAK2,pLoF,2003,0,0,0,0,1,7.33990562297363e-06,3.59518304159791e-05,0.838249676550185,0.000533996064528561,0.00144195270548005,0.711177016026267
cervix,JAK2,missense,2003,0,0,0,0,2,0.000534564656456344,0.00025830744804442,0.0386282887080507,-0.00215081877857069,0.0103601713527151,0.835558882481839
endometrium,JAK2,pLoF,1186,0,0,0,0,0,0,0,,0,0,
endometrium,JAK2,missense,1186,0,0,0,0,1,0.000128046176416004,0.000400026658324031,0.748953516500497,-0.0150898372424037,0.0114252135424717,0.186840564937837
esophagus,JAK2,pLoF,389,0,0,0,0,0,0,0,,0,0,
esophagus,JAK2,missense,389,0,0,0,0,2,0.000367212774594521,0.000893443471864468,0.681294452916053,-0.0167370966376872,0.0251173477546319,0.505581608114553
eye,JAK2,pLoF,277,0,0,0,0,0,0,0,,0,0,
eye,JAK2,missense,277,0,0,0,0,1,0.000606674532866478,0.000656212235309306,0.356034513578955,-0.0204944137704951,0.030621521091299,0.503879549300985
HL,JAK2,pLoF,597,0,0,0,0,0,0,0,,0,0,
HL,JAK2,missense,597,0,0,0,0,1,-0.000831719813038104,0.000381206307888611,0.0295147413613466,-0.0112032730583406,0.0201740017816352,0.578876522429842
kidney,JAK2,pLoF,1957,0,0,0,0,1,4.10206685474863e-05,4.14928422979441e-05,0.322971323541462,0.000393275316880887,0.00143448648309951,0.783992518384046
kidney,JAK2,missense,1957,0,0,0,0,4,0.000417801377962313,0.000335720339513733,0.213467678859983,-0.00831699130225156,0.0116064907213621,0.473718276583067
liver,JAK2,pLoF,1098,0,0,0,0,0,0,0,,0,0,
liver,JAK2,missense,1098,0,0,0,0,2,-0.00023123067651777,0.000524279758181414,0.659267884242843,0.00146071766727419,0.0135158006847025,0.913956144513399
lung,JAK2,pLoF,2949,0,0,0,0,1,-9.20162158146011e-05,3.17991213013702e-05,0.0038356216548414,0.000563313472890561,0.000841160821255825,0.503110576904723
lung,JAK2,missense,2949,0,0,0,0,2,0.000338129017182496,0.000296415729510618,0.254076844582928,0.00569088230099408,0.0078408864227815,0.468021625294461
non_melanoma,JAK2,pLoF,15172,0,0,0,0,1,-5.34685170896106e-06,1.37653837963373e-05,0.697705250309487,-0.000577752856264205,0.000405691544097415,0.15443272556887
non_melanoma,JAK2,missense,15172,0,0,0,0,2,0.000128757097992944,0.000127702502100214,0.313346595251382,0.00171364198884271,0.00376363100576421,0.648888324204312
melanoma,JAK2,pLoF,3582,0,0,0,0,0,0,0,,0,0,
melanoma,JAK2,missense,3582,0,0,0,0,2,0.000246549013388247,0.000244863684716436,0.314059203324779,0.0166472703125072,0.00928042559583494,0.0729287433227204
myeloma,JAK2,pLoF,1265,0,0,0,0,0,0,0,,0,0,
myeloma,JAK2,missense,1265,0,0,0,0,2,0.000266521979723644,0.000451515628391269,0.555106643860274,-0.0162100096069113,0.014549917199681,0.265449989071988
ovary,JAK2,pLoF,1237,0,0,0,0,0,0,0,,0,0,
ovary,JAK2,missense,1237,0,0,0,0,2,-6.77103963147421e-05,0.000331336724699262,0.838109602447941,0.01678723562167,0.0135886121095033,0.216920533070719
pancreas,JAK2,pLoF,932,0,0,0,0,0,0,0,,0,0,
pancreas,JAK2,missense,932,0,0,0,0,2,-0.000367218082222201,0.000514245900506534,0.475350627815871,0.00426889168247855,0.0148923870777018,0.774444810449572
stomach,JAK2,pLoF,509,0,0,0,0,0,0,0,,0,0,
stomach,JAK2,missense,509,0,0,0,0,1,0.000253237069074842,0.000468375477933258,0.58897223813473,-0.00626094063946663,0.0154122259352235,0.684743826897982
testis,JAK2,pLoF,304,0,0,0,0,0,0,0,,0,0,
testis,JAK2,missense,304,0,0,0,0,1,0.000638810951281274,0.000433117908440019,0.141281294245635,0.0146093878096173,0.0261992437348036,0.577514043049544
thyroid,JAK2,pLoF,2586,0,0,0,0,1,2.07524293380248e-05,2.69721044149304e-05,0.441724210277102,-0.00321454221883998,0.0011786649180865,0.00642917466429517
thyroid,JAK2,missense,2586,0,0,0,0,2,0.000462469550105173,0.000231921192719976,0.0462482094990763,-0.0195398970163782,0.0101348181593312,0.0539650260263797
