Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.808437	0.00129563	0.00534408	9264	72	9192	44	181
HRNR	pLoF	0.5	0.808437	0.00129563	0.00534408	9264	72	9192	44	181
HRNR	missense	0.01	0.3427429	-0.0195965	0.0206548	345	2	343	7	49
HRNR	missense	0.5	0.3427429	-0.0195965	0.0206548	345	2	343	7	49
HRNR	synonymous	0.01	0.4031268	-0.0030936	0.00370025	13442	107	13335	144	524
HRNR	synonymous	0.5	0.5933365	-0.00128268	0.00240198	1474140	13495	1460640	161	524
HRNR	pLoF;missense	0.01	0.9971916	-1.82205e-05	0.00517658	9609	74	9535	51	230
HRNR	pLoF;missense	0.5	0.9971916	-1.82205e-05	0.00517658	9609	74	9535	51	230
HRNR	missense;synonymous	0.01	0.3238466	-0.00359909	0.00364803	13785	109	13676	151	573
HRNR	missense;synonymous	0.5	0.5240171	-0.00152156	0.00238801	1474480	13497	1460980	168	573
HRNR	pLoF;missense;synonymous;other	0.01	0.4651977	-0.00220773	0.00302298	23121	181	22940	197	758
HRNR	pLoF;missense;synonymous;other	0.5	0.8337953	-0.000448424	0.00213702	1512660	13775	1498890	215	758
HRNR	Cauchy		0.983378							
FLG	pLoF	0.01	0.3408463	0.00402057	0.0042211	11220	106	11114	89	529
FLG	pLoF	0.5	0.3449546	0.00298771	0.00316354	23670	250	23420	91	529
FLG	missense	0.01	0.1762942	-0.0401122	0.0296633	206	0	206	4	31
FLG	missense	0.5	0.9796077	0.000160236	0.00626882	12003	80	11923	6	31
FLG	synonymous	0.01	0.348473	0.00116613	0.0012438	99082	832	98250	350	1179
FLG	synonymous	0.5	0.9904059	1.27332e-05	0.00105892	1466290	13383	1452910	370	1179
FLG	pLoF;missense	0.01	0.4484282	0.00317021	0.00418213	11426	106	11320	93	560
FLG	pLoF;missense	0.5	0.385857	0.00247515	0.00285434	35673	330	35343	97	560
FLG	missense;synonymous	0.01	0.375964	0.00110039	0.00124288	99286	832	98454	354	1210
FLG	missense;synonymous	0.5	0.9841109	2.02585e-05	0.00101723	1478290	13463	1464830	376	1210
FLG	pLoF;missense;synonymous;other	0.01	0.2658226	0.00132498	0.00119074	110546	938	109608	445	1746
FLG	pLoF;missense;synonymous;other	0.5	0.7574556	0.000303147	0.000981618	1502000	13713	1488290	469	1746
FLG	Cauchy		0.941677							
FLG2	pLoF	0.01	0.8385743	-0.0020027	0.00983078	1680	16	1664	25	223
FLG2	pLoF	0.5	0.343088	0.00541713	0.00571378	119104	1169	117935	27	223
FLG2	missense	0.01	0.849192	-0.00236275	0.0124258	1653	11	1642	7	69
FLG2	missense	0.5	0.849192	-0.00236275	0.0124258	1653	11	1642	7	69
