Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.08713631	-0.0107084	0.00625968	9231	39	9192	44	181
HRNR	pLoF	0.5	0.08713631	-0.0107084	0.00625968	9231	39	9192	44	181
HRNR	missense	0.01	0.07567706	0.0416842	0.0234664	349	6	343	7	50
HRNR	missense	0.5	0.07567706	0.0416842	0.0234664	349	6	343	7	50
HRNR	synonymous	0.01	0.389032	0.00373981	0.00434168	13428	93	13335	143	526
HRNR	synonymous	0.5	0.1130087	0.00451792	0.00285076	1470560	9920	1460640	160	526
HRNR	pLoF;missense	0.01	0.2310318	-0.00724717	0.00605088	9580	45	9535	51	231
HRNR	pLoF;missense	0.5	0.2310318	-0.00724717	0.00605088	9580	45	9535	51	231
HRNR	missense;synonymous	0.01	0.2440777	0.00498035	0.00427551	13775	99	13676	150	576
HRNR	missense;synonymous	0.5	0.07435054	0.00505455	0.00283255	1470910	9926	1460980	167	576
HRNR	pLoF;missense;synonymous;other	0.01	0.9662771	0.000149747	0.00354196	23079	139	22940	196	761
HRNR	pLoF;missense;synonymous;other	0.5	0.1739297	0.00344125	0.00253092	1509010	10121	1498890	214	761
HRNR	Cauchy		0.185773							
FLG	pLoF	0.01	0.09587609	0.00816878	0.00490563	11199	85	11114	89	529
FLG	pLoF	0.5	0.05836699	0.00686273	0.00362545	23625	205	23420	91	529
FLG	missense	0.01	0.2430889	-0.0399098	0.0341898	206	0	206	4	31
FLG	missense	0.5	0.0319919	-0.0162775	0.0075903	11962	39	11923	6	31
FLG	synonymous	0.01	0.7877731	0.00040017	0.0014865	98828	578	98250	350	1181
FLG	synonymous	0.5	0.3165069	0.0012496	0.00124752	1462720	9816	1452910	370	1181
FLG	pLoF;missense	0.01	0.1367965	0.00723013	0.00485952	11405	85	11320	93	560
FLG	pLoF;missense	0.5	0.4260712	0.00262958	0.00330377	35587	244	35343	97	560
FLG	missense;synonymous	0.01	0.824254	0.00032985	0.0014853	99032	578	98454	354	1212
FLG	missense;synonymous	0.5	0.5295742	0.000755069	0.00120108	1474680	9855	1464830	376	1212
FLG	pLoF;missense;synonymous;other	0.01	0.4736561	0.00101539	0.00141707	110272	664	109608	445	1748
FLG	pLoF;missense;synonymous;other	0.5	0.2199022	0.00141685	0.00115493	1498350	10061	1488290	469	1748
FLG	Cauchy		0.165605							
FLG2	pLoF	0.01	0.4839582	-0.00795944	0.0113714	1674	10	1664	25	224
FLG2	pLoF	0.5	0.341404	-0.00627682	0.00659749	118749	814	117935	27	224
FLG2	missense	0.01	0.7581549	0.00457418	0.0148558	1651	9	1642	7	69
FLG2	missense	0.5	0.7581549	0.00457418	0.0148558	1651	9	1642	7	69
FLG2	synonymous	0.01	0.6704896	0.00129474	0.00304305	32141	173	31968	105	541
FLG2	synonymous	0.5	0.5159301	0.00191516	0.00294806	267198	1754	265444	109	541
FLG2	pLoF;missense	0.01	0.7101023	-0.0033712	0.00906923	3325	19	3306	32	293
FLG2	pLoF;missense	0.5	0.4548559	-0.00451737	0.00604457	120400	823	119577	34	293
FLG2	missense;synonymous	0.01	0.6295194	0.00144753	0.00300067	33792	182	33610	112	610
FLG2	missense;synonymous	0.5	0.4810707	0.0020573	0.00291988	268849	1763	267086	116	610
FLG2	pLoF;missense;synonymous;other	0.01	0.7691254	0.000849067	0.00289272	35457	192	35265	137	836
FLG2	pLoF;missense;synonymous;other	0.5	0.7905157	0.000710226	0.00267363	387589	2577	385012	143	836
FLG2	Cauchy		0.638561							
RPTN	pLoF	0.01	0.4431425	-0.0106976	0.0139492	1430	6	1424	21	100
RPTN	pLoF	0.5	0.4349237	-0.0108923	0.0139503	123930	875	123055	22	100
RPTN	missense	0.01	0.3834456	-0.0117541	0.0134862	1153	7	1146	5	40
RPTN	missense	0.5	0.3834456	-0.0117541	0.0134862	1153	7	1146	5	40
RPTN	synonymous	0.01	0.1470523	-0.017925	0.0123619	1986	6	1980	25	152
RPTN	synonymous	0.5	0.5711925	-0.00396691	0.00700501	7325	46	7279	26	152
RPTN	pLoF;missense	0.01	0.2450714	-0.0112845	0.00970791	2583	13	2570	26	140
RPTN	pLoF;missense	0.5	0.2411323	-0.0113805	0.00970896	125083	882	124201	27	140
RPTN	missense;synonymous	0.01	0.101538	-0.0150011	0.0091613	3133	13	3120	30	192
RPTN	missense;synonymous	0.5	0.3745109	-0.00554296	0.00624168	8472	53	8419	31	192
RPTN	pLoF;missense;synonymous;other	0.01	0.1041924	-0.0124624	0.00766983	4570	20	4550	51	297
RPTN	pLoF;missense;synonymous;other	0.5	0.3142685	-0.0057411	0.00570512	132409	929	131480	53	297
RPTN	Cauchy		0.249026							
CRNN	pLoF	0.01	0.02709337	0.047322	0.021411	314	7	307	6	51
CRNN	pLoF	0.5	0.02709337	0.047322	0.021411	314	7	307	6	51
CRNN	missense	0.01	0.3233689	-0.0176522	0.0178746	955	3	952	11	72
CRNN	missense	0.5	0.3233689	-0.0176522	0.0178746	955	3	952	11	72
CRNN	synonymous	0.01	0.8397301	-0.00186207	0.0092073	3407	19	3388	26	128
CRNN	synonymous	0.5	0.9706381	0.000281061	0.00763587	25042	118	24924	27	128
CRNN	pLoF;missense	0.01	0.4855987	0.00953407	0.0136723	1266	10	1256	17	123
CRNN	pLoF;missense	0.5	0.4855987	0.00953407	0.0136723	1266	10	1256	17	123
CRNN	missense;synonymous	0.01	0.5272531	-0.00518863	0.00820719	4362	22	4340	37	200
CRNN	missense;synonymous	0.5	0.7227528	-0.00250513	0.00706103	25997	121	25876	38	200
CRNN	pLoF;missense;synonymous;other	0.01	0.8748923	0.00117954	0.00749163	4847	30	4817	45	252
CRNN	pLoF;missense;synonymous;other	0.5	0.7527938	0.0020752	0.00658882	26482	129	26353	46	252
CRNN	Cauchy		0.31676							
POMC	pLoF	0.01	0.4475607	0.00864974	0.0113889	1700	13	1687	19	82
POMC	pLoF	0.5	0.2868841	0.0115211	0.0108181	52692	356	52336	20	82
POMC	missense	0.01	0.4642452	0.00544115	0.00743453	4530	37	4493	16	119
POMC	missense	0.5	0.4642452	0.00544115	0.00743453	4530	37	4493	16	119
POMC	synonymous	0.01	0.771037	0.00202486	0.00695783	4994	45	4949	14	123
POMC	synonymous	0.5	0.841384	-0.000847394	0.00423436	22383	113	22270	16	123
POMC	pLoF;missense	0.01	0.3065519	0.0063465	0.00620695	6229	50	6179	35	201
POMC	pLoF;missense	0.5	0.2277761	0.00740341	0.00613827	57221	393	56828	36	201
POMC	missense;synonymous	0.01	0.4728913	0.00366204	0.00510188	9513	82	9431	30	242
POMC	missense;synonymous	0.5	0.8488671	0.000703749	0.00369298	26902	150	26752	32	242
POMC	pLoF;missense;synonymous;other	0.01	0.3364042	0.00447616	0.00465639	11215	95	11120	49	326
POMC	pLoF;missense;synonymous;other	0.5	0.6003291	0.00184085	0.00351356	79596	506	79090	52	326
POMC	Cauchy		0.541461							
DNMT3A	pLoF	0.01	0.05664345	0.0214046	0.0112298	931	21	910	7	396
DNMT3A	pLoF	0.5	0.05664345	0.0214046	0.0112298	931	21	910	7	396
DNMT3A	missense	0.01	0.04078226	0.0138473	0.00676888	3474	50	3424	42	529
DNMT3A	missense	0.5	0.04078226	0.0138473	0.00676888	3474	50	3424	42	529
DNMT3A	synonymous	0.01	0.4675657	-0.00442437	0.00609043	8463	45	8418	46	216
DNMT3A	synonymous	0.5	0.5432769	-0.00312618	0.00514288	156385	1129	155256	49	216
DNMT3A	pLoF;missense	0.01	0.008590826	0.0137025	0.0052142	4391	70	4321	49	925
DNMT3A	pLoF;missense	0.5	0.008590826	0.0137025	0.0052142	4391	70	4321	49	925
DNMT3A	missense;synonymous	0.01	0.4092184	0.00376459	0.00456164	11935	95	11840	88	745
DNMT3A	missense;synonymous	0.5	0.4522192	0.00310492	0.00413042	159857	1179	158678	91	745
DNMT3A	pLoF;missense;synonymous;other	0.01	0.184534	0.00541297	0.00407934	14103	123	13980	103	1280
DNMT3A	pLoF;missense;synonymous;other	0.5	0.2192385	0.00462479	0.00376442	162025	1207	160818	106	1280
DNMT3A	Cauchy		0.0366071							
DTNB	pLoF	0.01	0.8061672	-0.0403436	0.164417	14	0	14	0	13
DTNB	pLoF	0.5	0.8061672	-0.0403436	0.164417	14	0	14	0	13
DTNB	missense	0.01	0.5167605	-0.0405328	0.0625171	67	0	67	0	57
DTNB	missense	0.5	0.5167605	-0.0405328	0.0625171	67	0	67	0	57
DTNB	synonymous	0.01	0.1450657	0.115146	0.0790197	34	1	33	0	26
DTNB	synonymous	0.5	0.1450657	0.115146	0.0790197	34	1	33	0	26
DTNB	pLoF;missense	0.01	0.4881415	-0.0405543	0.0584973	81	0	81	0	70
DTNB	pLoF;missense	0.5	0.4881415	-0.0405543	0.0584973	81	0	81	0	70
DTNB	missense;synonymous	0.01	0.6521482	0.0227623	0.0504954	95	1	94	0	83
DTNB	missense;synonymous	0.5	0.6521482	0.0227623	0.0504954	95	1	94	0	83
DTNB	pLoF;missense;synonymous;other	0.01	0.8000429	0.0116252	0.0458963	124	1	123	0	111
DTNB	pLoF;missense;synonymous;other	0.5	0.8000429	0.0116252	0.0458963	124	1	123	0	111
DTNB	Cauchy		0.568124							
KCNK12	pLoF	0.01	0.5299088	0.0345735	0.0550406	68	1	67	2	13
KCNK12	pLoF	0.5	0.5299088	0.0345735	0.0550406	68	1	67	2	13
KCNK12	missense	0.01	0.01496992	0.0366176	0.0150497	634	14	620	9	146
KCNK12	missense	0.5	0.01496992	0.0366176	0.0150497	634	14	620	9	146
KCNK12	synonymous	0.01	0.09966209	0.010721	0.00651141	8956	61	8895	22	211
KCNK12	synonymous	0.5	0.8898416	0.000669765	0.00483569	262726	1891	260835	24	211
KCNK12	pLoF;missense	0.01	0.01235533	0.0364883	0.0145846	702	15	687	11	159
KCNK12	pLoF;missense	0.5	0.01235533	0.0364883	0.0145846	702	15	687	11	159
KCNK12	missense;synonymous	0.01	0.01379529	0.0147532	0.00599101	9587	75	9512	31	357
KCNK12	missense;synonymous	0.5	0.388797	0.00397179	0.00460871	263357	1905	261452	33	357
KCNK12	pLoF;missense;synonymous;other	0.01	0.007335759	0.0139611	0.00520702	9750	78	9672	35	397
KCNK12	pLoF;missense;synonymous;other	0.5	0.2938694	0.00480075	0.00457358	263520	1908	261612	37	397
KCNK12	Cauchy		0.023581							
MSH6	pLoF	0.01	0.9069859	0.00200252	0.0171388	1026	6	1020	7	109
MSH6	pLoF	0.5	0.9069859	0.00200252	0.0171388	1026	6	1020	7	109
MSH6	missense	0.01	0.4006038	0.00494377	0.00588163	6423	56	6367	75	673
MSH6	missense	0.5	0.4006038	0.00494377	0.00588163	6423	56	6367	75	673
MSH6	synonymous	0.01	0.6150105	-0.00292174	0.00580939	7794	44	7750	64	508
MSH6	synonymous	0.5	0.6935824	-0.0013932	0.00353607	325155	2726	322429	72	508
MSH6	pLoF;missense	0.01	0.4025731	0.00468172	0.00559322	7446	62	7384	82	782
MSH6	pLoF;missense	0.5	0.4025731	0.00468172	0.00559322	7446	62	7384	82	782
MSH6	missense;synonymous	0.01	0.8116446	0.000998049	0.00418812	14196	100	14096	139	1181
MSH6	missense;synonymous	0.5	0.9217085	0.00030138	0.00306649	331557	2782	328775	147	1181
