Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.01263476	0.0251779	0.0100958	9222	30	9192	44	181
HRNR	pLoF	0.5	0.01263476	0.0251779	0.0100958	9222	30	9192	44	181
HRNR	missense	0.01	0.2871582	-0.0404215	0.0379767	343	0	343	7	49
HRNR	missense	0.5	0.2871582	-0.0404215	0.0379767	343	0	343	7	49
HRNR	synonymous	0.01	0.5524768	0.00396544	0.00667523	13374	39	13335	143	524
HRNR	synonymous	0.5	0.2036117	0.00543326	0.00427368	1464390	3751	1460640	160	524
HRNR	pLoF;missense	0.01	0.0315516	0.0208829	0.00971275	9565	30	9535	51	230
HRNR	pLoF;missense	0.5	0.0315516	0.0208829	0.00971275	9565	30	9535	51	230
HRNR	missense;synonymous	0.01	0.6839838	0.00268017	0.00658464	13715	39	13676	150	573
HRNR	missense;synonymous	0.5	0.250571	0.00488389	0.00425069	1464730	3751	1460980	167	573
HRNR	pLoF;missense;synonymous;other	0.01	0.06932595	0.0100437	0.0055298	23010	70	22940	196	758
HRNR	pLoF;missense;synonymous;other	0.5	0.032646	0.00819547	0.0038361	1502730	3845	1498890	214	758
HRNR	Cauchy		0.0432332							
FLG	pLoF	0.01	0.4604638	-0.00554242	0.00750921	11140	26	11114	89	524
FLG	pLoF	0.5	0.4064222	-0.00471596	0.00568047	23485	65	23420	91	524
FLG	missense	0.01	0.4683015	-0.0398949	0.0550089	206	0	206	4	31
FLG	missense	0.5	0.5464012	-0.00648954	0.0107592	11947	24	11923	6	31
FLG	synonymous	0.01	0.2316589	-0.00265349	0.00221846	98472	222	98250	350	1178
FLG	synonymous	0.5	0.8056992	0.000470987	0.00191475	1456680	3773	1452910	370	1178
FLG	pLoF;missense	0.01	0.4091333	-0.00614587	0.00744575	11346	26	11320	93	555
FLG	pLoF;missense	0.5	0.3055727	-0.00520707	0.00508227	35432	89	35343	97	555
FLG	missense;synonymous	0.01	0.2217561	-0.00270892	0.00221702	98676	222	98454	354	1209
FLG	missense;synonymous	0.5	0.8927116	0.000247114	0.00183219	1468630	3797	1464830	376	1209
FLG	pLoF;missense;synonymous;other	0.01	0.1710109	-0.0029114	0.00212672	109856	248	109608	445	1740
FLG	pLoF;missense;synonymous;other	0.5	0.9058018	-0.000209589	0.00177114	1492150	3862	1488290	469	1740
FLG	Cauchy		0.557519							
FLG2	pLoF	0.01	0.2510596	-0.0214845	0.0187183	1666	2	1664	25	222
FLG2	pLoF	0.5	0.5424213	-0.00673666	0.011059	118239	304	117935	27	222
FLG2	missense	0.01	0.3563346	-0.0199591	0.0216388	1644	2	1642	7	69
FLG2	missense	0.5	0.3563346	-0.0199591	0.0216388	1644	2	1642	7	69
FLG2	synonymous	0.01	0.3712168	-0.0040222	0.00449811	32036	68	31968	104	541
FLG2	synonymous	0.5	0.4357515	-0.00339492	0.00435588	266111	667	265444	108	541
FLG2	pLoF;missense	0.01	0.1387649	-0.021057	0.0142238	3310	4	3306	32	291
FLG2	pLoF;missense	0.5	0.3340271	-0.0095379	0.00987326	119883	306	119577	34	291
FLG2	missense;synonymous	0.01	0.2818012	-0.00477447	0.00443608	33680	70	33610	111	610
FLG2	missense;synonymous	0.5	0.3362907	-0.00415041	0.00431651	267755	669	267086	115	610
FLG2	pLoF;missense;synonymous;other	0.01	0.1942561	-0.00558128	0.00429961	35337	72	35265	136	834
FLG2	pLoF;missense;synonymous;other	0.5	0.2672985	-0.00446166	0.00402203	385985	973	385012	142	834
FLG2	Cauchy		0.297004							
RPTN	pLoF	0.01	0.7784531	-0.00588698	0.0209251	1427	3	1424	21	100
RPTN	pLoF	0.5	0.7803642	-0.00583543	0.0209272	123383	328	123055	22	100
RPTN	missense	0.01	0.1665905	-0.0304298	0.0219989	1147	1	1146	5	40
RPTN	missense	0.5	0.1665905	-0.0304298	0.0219989	1147	1	1146	5	40
RPTN	synonymous	0.01	0.3905735	0.0156488	0.0182264	1987	7	1980	24	154
RPTN	synonymous	0.5	0.9663673	-0.000451441	0.0107066	7299	20	7279	25	154
RPTN	pLoF;missense	0.01	0.2477922	-0.0175329	0.0151704	2574	4	2570	26	140
RPTN	pLoF;missense	0.5	0.2484828	-0.0175094	0.0151722	124530	329	124201	27	140
RPTN	missense;synonymous	0.01	0.8272535	-0.00307216	0.0140779	3128	8	3120	29	194
RPTN	missense;synonymous	0.5	0.5205829	-0.00620233	0.00965423	8440	21	8419	30	194
RPTN	pLoF;missense;synonymous;other	0.01	0.7247333	-0.00412365	0.0117103	4561	11	4550	50	298
RPTN	pLoF;missense;synonymous;other	0.5	0.4765473	-0.0062566	0.00878901	131829	349	131480	52	298
RPTN	Cauchy		0.696026							
CRNN	pLoF	0.01	0.419557	-0.0289947	0.0359205	307	0	307	6	51
CRNN	pLoF	0.5	0.419557	-0.0289947	0.0359205	307	0	307	6	51
