Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.9106495	-0.00122663	0.0109306	9209	17	9192	44	181
HRNR	pLoF	0.5	0.9106495	-0.00122663	0.0109306	9209	17	9192	44	181
HRNR	missense	0.01	0.1448605	0.0679754	0.0466247	345	2	343	7	49
HRNR	missense	0.5	0.1448605	0.0679754	0.0466247	345	2	343	7	49
HRNR	synonymous	0.01	0.7313208	0.00266859	0.00777178	13363	28	13335	143	525
HRNR	synonymous	0.5	0.3511932	0.00457073	0.00490276	1463600	2957	1460640	160	525
HRNR	pLoF;missense	0.01	0.8254431	0.00234797	0.010646	9554	19	9535	51	230
HRNR	pLoF;missense	0.5	0.8254431	0.00234797	0.010646	9554	19	9535	51	230
HRNR	missense;synonymous	0.01	0.5694625	0.00436581	0.00767489	13706	30	13676	150	574
HRNR	missense;synonymous	0.5	0.2829074	0.0052391	0.00487897	1463940	2959	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.5905328	0.0033872	0.00629516	22988	48	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.2694672	0.00481106	0.0043567	1501920	3033	1498890	214	759
HRNR	Cauchy		0.63295							
FLG	pLoF	0.01	0.667388	-0.00381071	0.00886757	11134	20	11114	89	524
FLG	pLoF	0.5	0.2937519	-0.00726421	0.00691878	23460	40	23420	91	524
FLG	missense	0.01	0.5247651	-0.0398049	0.0625846	206	0	206	4	31
FLG	missense	0.5	0.3604741	0.0109399	0.0119632	11949	26	11923	6	31
FLG	synonymous	0.01	0.5090027	-0.00165071	0.00249959	98425	175	98250	350	1179
FLG	synonymous	0.5	0.8909383	-0.000301447	0.00219846	1455940	3032	1452910	370	1179
FLG	pLoF;missense	0.01	0.6078879	-0.00450835	0.00878665	11340	20	11320	93	555
FLG	pLoF;missense	0.5	0.6483844	-0.00276958	0.00607353	35409	66	35343	97	555
FLG	missense;synonymous	0.01	0.4942735	-0.00170753	0.00249812	98629	175	98454	354	1210
FLG	missense;synonymous	0.5	0.9752148	6.51542e-05	0.0020971	1467890	3058	1464830	376	1210
FLG	pLoF;missense;synonymous;other	0.01	0.4298357	-0.0019038	0.00241148	109803	195	109608	445	1741
FLG	pLoF;missense;synonymous;other	0.5	0.7717138	-0.00059181	0.00203978	1491390	3098	1488290	469	1741
FLG	Cauchy		0.80294							
FLG2	pLoF	0.01	0.1998433	-0.0275823	0.0215151	1665	1	1664	25	222
FLG2	pLoF	0.5	0.5330248	0.00767253	0.0123077	118180	245	117935	27	222
FLG2	missense	0.01	0.5986355	0.0126925	0.0241136	1646	4	1642	7	69
FLG2	missense	0.5	0.5986355	0.0126925	0.0241136	1646	4	1642	7	69
FLG2	synonymous	0.01	0.2155494	-0.00626829	0.0050614	32016	48	31968	104	540
FLG2	synonymous	0.5	0.4574052	-0.00364701	0.00490766	265965	521	265444	108	540
FLG2	pLoF;missense	0.01	0.5400916	-0.00988027	0.0161265	3311	5	3306	32	291
FLG2	pLoF;missense	0.5	0.427557	0.00871269	0.0109817	119826	249	119577	34	291
FLG2	missense;synonymous	0.01	0.2639775	-0.00557429	0.00499024	33662	52	33610	111	609
FLG2	missense;synonymous	0.5	0.5254108	-0.00308818	0.00486308	267611	525	267086	115	609
FLG2	pLoF;missense;synonymous;other	0.01	0.1729362	-0.00660369	0.00484557	35318	53	35265	136	833
FLG2	pLoF;missense;synonymous;other	0.5	0.7249725	-0.00159196	0.00452492	385782	770	385012	142	833
FLG2	Cauchy		0.403481							
RPTN	pLoF	0.01	0.3229159	-0.0237219	0.0239982	1425	1	1424	21	100
RPTN	pLoF	0.5	0.3233345	-0.0237038	0.0240007	123312	257	123055	22	100
RPTN	missense	0.01	0.1318937	-0.0418255	0.0277601	1146	0	1146	5	40
RPTN	missense	0.5	0.1318937	-0.0418255	0.0277601	1146	0	1146	5	40
RPTN	synonymous	0.01	0.06536768	0.0398434	0.0216219	1987	7	1980	24	153
RPTN	synonymous	0.5	0.0959091	0.0213911	0.0128473	7299	20	7279	25	153
RPTN	pLoF;missense	0.01	0.08309359	-0.0314927	0.0181722	2571	1	2570	26	140
