Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.2002876	-0.0182086	0.0142174	3464	6	3458	21	132
HRNR	pLoF	0.5	0.2002876	-0.0182086	0.0142174	3464	6	3458	21	132
HRNR	missense	0.01	0.4814175	0.0402416	0.0571594	142	1	141	2	35
HRNR	missense	0.5	0.4814175	0.0402416	0.0571594	142	1	141	2	35
HRNR	synonymous	0.01	0.9541617	-0.000641128	0.0111537	5180	13	5167	76	383
HRNR	synonymous	0.5	0.04800258	-0.0151984	0.00768627	566821	1517	565304	93	383
HRNR	pLoF;missense	0.01	0.2779581	-0.0150025	0.0138282	3606	7	3599	23	167
HRNR	pLoF;missense	0.5	0.2779581	-0.0150025	0.0138282	3606	7	3599	23	167
HRNR	missense;synonymous	0.01	0.9509831	0.000676606	0.0110067	5320	14	5306	78	418
HRNR	missense;synonymous	0.5	0.05966528	-0.014387	0.00763943	566961	1518	565443	95	418
HRNR	pLoF;missense;synonymous;other	0.01	0.4437603	-0.00673592	0.00879525	8818	20	8798	100	554
HRNR	pLoF;missense;synonymous;other	0.5	0.02484439	-0.0149639	0.00666894	581854	1541	580313	118	554
HRNR	Cauchy		0.204644							
FLG	pLoF	0.01	0.922173	0.00126298	0.0129275	4448	11	4437	42	348
FLG	pLoF	0.5	0.3798166	0.00807935	0.00919954	9201	34	9167	44	348
FLG	missense	0.01	0.6078816	-0.0403983	0.0787339	84	0	84	2	25
FLG	missense	0.5	0.2128683	-0.0285622	0.0229284	4867	3	4864	4	25
FLG	synonymous	0.01	0.4379294	-0.00319652	0.00412084	39330	70	39260	209	850
FLG	synonymous	0.5	0.05536205	-0.00633975	0.0033088	564944	1465	563479	229	850
FLG	pLoF;missense	0.01	0.9906564	0.000149835	0.0127946	4532	11	4521	44	373
FLG	pLoF;missense	0.5	0.7246654	0.00302533	0.00858907	14068	37	14031	48	373
FLG	missense;synonymous	0.01	0.4255879	-0.00328113	0.00411807	39413	70	39343	211	875
FLG	missense;synonymous	0.5	0.04209248	-0.00652797	0.00321163	569810	1468	568342	233	875
FLG	pLoF;missense;synonymous;other	0.01	0.4437357	-0.00299118	0.00390545	43857	81	43776	255	1227
FLG	pLoF;missense;synonymous;other	0.5	0.09314998	-0.00515513	0.00307034	579007	1502	577505	279	1227
FLG	Cauchy		0.831192							
FLG2	pLoF	0.01	0.5359824	0.00987137	0.0159499	2520	10	2510	14	137
FLG2	pLoF	0.5	0.5365739	0.00983745	0.0159181	45656	134	45522	15	137
FLG2	missense	0.01	0.3175476	-0.0422924	0.0423131	681	0	681	4	40
FLG2	missense	0.5	0.3175476	-0.0422924	0.0423131	681	0	681	4	40
FLG2	synonymous	0.01	0.9484318	-0.000556121	0.00859854	13010	21	12989	55	374
FLG2	synonymous	0.5	0.5304715	-0.00523863	0.00835125	103964	266	103698	59	374
FLG2	pLoF;missense	0.01	0.8155002	0.00349575	0.0149816	3201	10	3191	18	177
FLG2	pLoF;missense	0.5	0.8155641	0.00348859	0.0149562	46337	134	46203	19	177
FLG2	missense;synonymous	0.01	0.7969086	-0.00218177	0.00847785	13690	21	13669	59	414
FLG2	missense;synonymous	0.5	0.4182993	-0.00668821	0.00826343	104644	266	104378	63	414
FLG2	pLoF;missense;synonymous;other	0.01	0.9334901	0.00062588	0.00749966	16208	31	16177	73	553
FLG2	pLoF;missense;synonymous;other	0.5	0.6777453	-0.00305932	0.00736223	150298	400	149898	78	553
FLG2	Cauchy		0.781391							
RPTN	pLoF	0.01	0.8323035	-0.00755831	0.0356948	588	1	587	7	74
RPTN	pLoF	0.5	0.8327216	-0.00753959	0.0356967	47397	150	47247	8	74
RPTN	missense	0.01	0.6469437	-0.0152684	0.0333363	433	1	432	2	27
RPTN	missense	0.5	0.6469437	-0.0152684	0.0333363	433	1	432	2	27
RPTN	synonymous	0.01	0.5847444	-0.0170137	0.031134	758	1	757	13	96
RPTN	synonymous	0.5	0.5709721	-0.0101673	0.0179437	2870	6	2864	14	96
RPTN	pLoF;missense	0.01	0.6310787	-0.0117322	0.0244314	1021	2	1019	9	101
RPTN	pLoF;missense	0.5	0.6313081	-0.0117256	0.0244341	47830	151	47679	10	101
RPTN	missense;synonymous	0.01	0.4819543	-0.0160777	0.0228648	1188	2	1186	15	123
RPTN	missense;synonymous	0.5	0.4783222	-0.011226	0.0158335	3300	7	3293	16	123
RPTN	pLoF;missense;synonymous;other	0.01	0.4771832	-0.0138109	0.019429	1776	3	1773	22	200
RPTN	pLoF;missense;synonymous;other	0.5	0.4613422	-0.0107247	0.014559	50697	157	50540	24	200
RPTN	Cauchy		0.636657							
CRNN	pLoF	0.01	0.5749384	-0.0292203	0.0521053	126	0	126	2	34
CRNN	pLoF	0.5	0.5749384	-0.0292203	0.0521053	126	0	126	2	34
CRNN	missense	0.01	0.4221404	-0.0405166	0.0504745	342	0	342	4	45
CRNN	missense	0.5	0.4221404	-0.0405166	0.0504745	342	0	342	4	45
CRNN	synonymous	0.01	0.8165842	-0.00517398	0.0223073	1354	3	1351	15	80
CRNN	synonymous	0.5	0.4743148	-0.01425	0.0199169	10068	10	10058	16	80
CRNN	pLoF;missense	0.01	0.3338985	-0.0352301	0.036459	467	0	467	6	79
CRNN	pLoF;missense	0.5	0.3338985	-0.0352301	0.036459	467	0	467	6	79
CRNN	missense;synonymous	0.01	0.5863705	-0.0111343	0.0204636	1696	3	1693	19	125
CRNN	missense;synonymous	0.5	0.3319241	-0.0180637	0.0186176	10410	10	10400	20	125
CRNN	pLoF;missense;synonymous;other	0.01	0.4197149	-0.0150687	0.0186745	1883	3	1880	22	160
CRNN	pLoF;missense;synonymous;other	0.5	0.2361282	-0.0204198	0.017236	10597	10	10587	23	160
CRNN	Cauchy		0.46394							
POMC	pLoF	0.01	0.2856623	-0.0319268	0.0299028	630	0	630	14	52
POMC	pLoF	0.5	0.2133062	-0.0356365	0.0286346	20855	39	20816	15	52
POMC	missense	0.01	0.4122901	0.0155495	0.0189658	1726	7	1719	13	69
POMC	missense	0.5	0.4122901	0.0155495	0.0189658	1726	7	1719	13	69
POMC	synonymous	0.01	0.2161071	-0.0210942	0.0170534	1881	4	1877	2	85
POMC	synonymous	0.5	0.8148821	0.00230428	0.00984177	8451	24	8427	4	85
POMC	pLoF;missense	0.01	0.9012436	0.00198702	0.0160126	2356	7	2349	27	121
POMC	pLoF;missense	0.5	0.9999044	-1.90098e-06	0.0158728	22581	46	22535	28	121
POMC	missense;synonymous	0.01	0.7165451	-0.00463936	0.0127778	3599	11	3588	15	154
POMC	missense;synonymous	0.5	0.5506979	0.00524338	0.00878707	10169	31	10138	17	154
POMC	pLoF;missense;synonymous;other	0.01	0.454467	-0.00880629	0.0117733	4230	11	4219	29	207
POMC	pLoF;missense;synonymous;other	0.5	0.8327333	0.00178179	0.00843661	31025	70	30955	32	207
POMC	Cauchy		0.998854							
DNMT3A	pLoF	0.01	0.8885648	-0.00546791	0.0390229	361	1	360	3	206
DNMT3A	pLoF	0.5	0.8885648	-0.00546791	0.0390229	361	1	360	3	206
DNMT3A	missense	0.01	0.2163033	0.0245971	0.0198938	1346	7	1339	16	325
DNMT3A	missense	0.5	0.2163033	0.0245971	0.0198938	1346	7	1339	16	325
DNMT3A	synonymous	0.01	0.4958244	-0.0104455	0.0153368	3298	6	3292	24	153
DNMT3A	synonymous	0.5	0.9424732	0.000969586	0.0134363	60454	180	60274	27	153
DNMT3A	pLoF;missense	0.01	0.2910828	0.0192496	0.0182331	1699	8	1691	19	531
DNMT3A	pLoF;missense	0.5	0.2910828	0.0192496	0.0182331	1699	8	1691	19	531
DNMT3A	missense;synonymous	0.01	0.819095	0.0028143	0.0123052	4641	13	4628	40	478
DNMT3A	missense;synonymous	0.5	0.4405405	0.00870144	0.0112818	61797	187	61610	43	478
DNMT3A	pLoF;missense;synonymous;other	0.01	0.9817597	-0.000262231	0.0114698	5479	14	5465	47	757
DNMT3A	pLoF;missense;synonymous;other	0.5	0.6114815	0.00539964	0.0106301	62635	188	62447	50	757
DNMT3A	Cauchy		0.862803							
DTNB	missense	0.01	0.7889305	-0.0402935	0.150518	23	0	23	0	23
DTNB	missense	0.5	0.7889305	-0.0402935	0.150518	23	0	23	0	23
DTNB	synonymous	0.01	0.8722991	-0.0401925	0.250048	12	0	12	0	10
DTNB	synonymous	0.5	0.8722991	-0.0401925	0.250048	12	0	12	0	10
DTNB	pLoF;missense	0.01	0.7783753	-0.0403077	0.143221	26	0	26	0	26
DTNB	pLoF;missense	0.5	0.7783753	-0.0403077	0.143221	26	0	26	0	26
DTNB	missense;synonymous	0.01	0.7566162	-0.0403429	0.130169	34	0	34	0	33
DTNB	missense;synonymous	0.5	0.7566162	-0.0403429	0.130169	34	0	34	0	33
DTNB	pLoF;missense;synonymous;other	0.01	0.7289408	-0.0404	0.116583	44	0	44	0	43
DTNB	pLoF;missense;synonymous;other	0.5	0.7289408	-0.0404	0.116583	44	0	44	0	43
DTNB	Cauchy		0.797112							
KCNK12	pLoF	0.01	0.7862297	-0.040289	0.148553	22	0	22	0	8
KCNK12	pLoF	0.5	0.7862297	-0.040289	0.148553	22	0	22	0	8
KCNK12	missense	0.01	0.3595644	0.0361764	0.0394854	281	2	279	5	76
KCNK12	missense	0.5	0.3595644	0.0361764	0.0394854	281	2	279	5	76
KCNK12	synonymous	0.01	0.8174851	-0.00421379	0.0182589	3479	6	3473	8	150
KCNK12	synonymous	0.5	0.7730517	-0.00367806	0.012754	102442	279	102163	10	150
KCNK12	pLoF;missense	0.01	0.4125963	0.0313295	0.0382378	303	2	301	5	84
KCNK12	pLoF;missense	0.5	0.4125963	0.0313295	0.0382378	303	2	301	5	84
KCNK12	missense;synonymous	0.01	0.8524825	0.00308914	0.0166126	3758	8	3750	13	226
KCNK12	missense;synonymous	0.5	0.9881717	0.000179938	0.0121374	102721	281	102440	15	226
KCNK12	pLoF;missense;synonymous;other	0.01	0.6148869	0.0082565	0.0164109	3815	9	3806	13	250
KCNK12	pLoF;missense;synonymous;other	0.5	0.8031456	0.00300409	0.0120512	102778	282	102496	15	250
KCNK12	Cauchy		0.893151							
MSH6	pLoF	0.01	0.2380059	0.0510174	0.0432356	387	2	385	2	75
MSH6	pLoF	0.5	0.2380059	0.0510174	0.0432356	387	2	385	2	75
MSH6	missense	0.01	0.1912047	0.0201319	0.0154029	2552	11	2541	37	427
MSH6	missense	0.5	0.1912047	0.0201319	0.0154029	2552	11	2541	37	427
MSH6	synonymous	0.01	0.9963292	7.29897e-05	0.0158651	3031	7	3024	31	345
MSH6	synonymous	0.5	0.1015068	0.0163453	0.00998131	125184	442	124742	39	345
MSH6	pLoF;missense	0.01	0.1062627	0.0236808	0.014661	2939	13	2926	39	502
MSH6	pLoF;missense	0.5	0.1062627	0.0236808	0.014661	2939	13	2926	39	502
MSH6	missense;synonymous	0.01	0.3482847	0.0106439	0.0113484	5573	18	5555	68	772
MSH6	missense;synonymous	0.5	0.03470496	0.0179881	0.00851797	127726	453	127273	76	772
MSH6	pLoF;missense;synonymous;other	0.01	0.2542881	0.0121842	0.010688	6242	21	6221	72	871
MSH6	pLoF;missense;synonymous;other	0.5	0.02526811	0.0184904	0.00826466	128395	456	127939	80	871
MSH6	Cauchy		0.924504							
FBXO11	pLoF	0.01	0.2791673	0.0144635	0.013365	3496	15	3481	22	82
FBXO11	pLoF	0.5	0.2791673	0.0144635	0.013365	3496	15	3481	22	82
FBXO11	missense	0.01	0.317604	-0.0382169	0.03824	345	0	345	4	168
FBXO11	missense	0.5	0.317604	-0.0382169	0.03824	345	0	345	4	168
FBXO11	synonymous	0.01	0.2102453	-0.0239659	0.0191285	1519	2	1517	18	145
FBXO11	synonymous	0.5	0.4980065	-0.0113041	0.0166818	3895	6	3889	19	145
FBXO11	pLoF;missense	0.01	0.4794349	0.00894836	0.012653	3840	15	3825	26	250
FBXO11	pLoF;missense	0.5	0.4794349	0.00894836	0.012653	3840	15	3825	26	250
FBXO11	missense;synonymous	0.01	0.1214157	-0.0264317	0.0170653	1862	2	1860	22	313
FBXO11	missense;synonymous	0.5	0.3148444	-0.0153339	0.015256	4238	6	4232	23	313
FBXO11	pLoF;missense;synonymous;other	0.01	0.8711133	-0.00161346	0.00994465	6082	19	6063	50	437
FBXO11	pLoF;missense;synonymous;other	0.5	0.9349318	0.000778373	0.00953403	8458	23	8435	51	437
FBXO11	Cauchy		0.490172							
FAP	pLoF	0.01	0.6491184	-0.040542	0.0891059	70	0	70	0	37
