Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.9607526	0.000253221	0.0051458	9268	76	9192	45	180
HRNR	pLoF	0.5	0.9607526	0.000253221	0.0051458	9268	76	9192	45	180
HRNR	missense	0.01	0.3154344	0.020244	0.0201657	349	6	343	7	51
HRNR	missense	0.5	0.3154344	0.020244	0.0201657	349	6	343	7	51
HRNR	synonymous	0.01	0.06332855	0.00673212	0.00362551	13477	142	13335	143	531
HRNR	synonymous	0.5	0.76206	0.000733734	0.00242335	1474290	13649	1460640	160	531
HRNR	pLoF;missense	0.01	0.7687966	0.00146675	0.00498982	9617	82	9535	52	231
HRNR	pLoF;missense	0.5	0.7687966	0.00146675	0.00498982	9617	82	9535	52	231
HRNR	missense;synonymous	0.01	0.05458751	0.00687029	0.00357428	13823	147	13676	150	582
HRNR	missense;synonymous	0.5	0.7169641	0.000872982	0.0024081	1474640	13654	1460980	167	582
HRNR	pLoF;missense;synonymous;other	0.01	0.1200494	0.00457695	0.0029442	23164	223	22941	197	766
HRNR	pLoF;missense;synonymous;other	0.5	0.8349864	0.000446197	0.00214198	1512780	13892	1498890	215	766
HRNR	Cauchy		0.677134							
FLG	pLoF	0.01	0.7454961	-0.00136456	0.00420404	11207	93	11114	90	524
FLG	pLoF	0.5	0.9058003	-0.000371071	0.0031357	23659	239	23420	92	524
FLG	missense	0.01	0.1535925	-0.0399685	0.0280096	206	0	206	4	31
FLG	missense	0.5	0.2322067	0.00807464	0.00675875	12000	77	11923	6	31
FLG	synonymous	0.01	0.7736427	-0.00036715	0.00127654	99000	750	98250	353	1181
FLG	synonymous	0.5	0.3807726	-0.000936266	0.00106822	1466150	13246	1452910	373	1181
FLG	pLoF;missense	0.01	0.59792	-0.00219414	0.00416035	11413	93	11320	94	555
FLG	pLoF;missense	0.5	0.6868914	0.00115712	0.00287072	35659	316	35343	98	555
FLG	missense;synonymous	0.01	0.7278271	-0.000443844	0.00127535	99204	750	98454	357	1212
FLG	missense;synonymous	0.5	0.5093724	-0.000679857	0.00103037	1478150	13323	1464830	379	1212
FLG	pLoF;missense;synonymous;other	0.01	0.6623248	-0.000531704	0.00121753	110451	843	109608	449	1743
FLG	pLoF;missense;synonymous;other	0.5	0.4961254	-0.000674555	0.00099112	1501850	13562	1488290	473	1743
FLG	Cauchy		0.612366							
FLG2	pLoF	0.01	0.4760253	0.00694331	0.00974212	1684	20	1664	25	222
FLG2	pLoF	0.5	0.3241186	0.00539696	0.00547343	119129	1194	117935	27	222
FLG2	missense	0.01	0.2320054	0.0158604	0.01327	1656	14	1642	7	70
FLG2	missense	0.5	0.2320054	0.0158604	0.01327	1656	14	1642	7	70
