Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,TET2,pLoF,2937,0,0,0,0,2,0.000407499156984998,0.000140424553508637,0.00373660442583869,-0.00120112948583614,0.00504977697978234,0.81200789681653
colorectal,TET2,missense,2937,0,0,0,1,3,0.000590644604717562,0.000851684325821736,0.488049598961114,0.0449130076233037,0.0306272357299076,0.142635586696761
NHL,TET2,pLoF,2513,0,0,0,0,2,0.000534435889558138,0.000150546050133931,0.00039233626207889,0.00778188524372768,0.00598287899580898,0.193483165681662
NHL,TET2,missense,2513,0,0,0,1,3,0.00114387315649918,0.000845827178215621,0.176378104676063,-0.0569286508267331,0.0336141775498504,0.0904672061965339
leukemias,TET2,pLoF,1893,0,0,0,0,2,0.000984781568174673,0.000256637060916886,0.000128505507342449,-0.0331752819338302,0.0107240339193387,0.00200675195591773
leukemias,TET2,missense,1893,0,0,0,1,3,0.00151285848248076,0.000939692074510123,0.10757548017877,-0.00139500615928111,0.0392666968861678,0.971663710963236
oral,TET2,pLoF,1049,0,0,0,0,2,0.00032611028415593,0.000232947553197852,0.161830779141922,0.00594394931859908,0.00919849580455757,0.518299936471526
oral,TET2,missense,1049,0,0,0,1,3,-0.00277657841180176,0.00153604612399545,0.0709537785771811,0.0179418472607377,0.0606544848109155,0.767438378769937
neck,TET2,pLoF,717,0,0,0,0,1,0.000155716728742616,0.0001924630265942,0.418742406213849,0.002937205136658,0.0059068258989751,0.619161559173829
neck,TET2,missense,717,0,0,0,1,2,-0.00102136000899905,0.00203142716755886,0.615274325067456,0.130314999458526,0.0623459311513285,0.0369536827215419
anus,TET2,pLoF,614,0,0,0,0,1,0.000232278548203479,0.000191976039250398,0.226771693161612,0.00337871499139902,0.0067397647348897,0.616333163060688
anus,TET2,missense,614,0,0,0,1,3,0.000996593235821973,0.00200675211512779,0.619635669025235,-0.131402998373734,0.0704516938156154,0.0626394573828707
bladder,TET2,pLoF,1782,0,0,0,0,2,0.00143623387248858,0.000318734015054113,7.03428722048646e-06,-0.00332591702083121,0.00982029215292849,0.73489227456428
bladder,TET2,missense,1782,0,0,0,1,3,0.00146491749496144,0.00131543647016314,0.265585787818545,0.113172434731375,0.0405289985865673,0.00528812879205735
brain,TET2,pLoF,950,0,0,0,0,1,0.000498353659239426,0.000162202454191969,0.00218403469905887,0.00698257095994794,0.00849598335255412,0.411359289395981
brain,TET2,missense,950,0,0,0,1,2,-0.0021274138629081,0.00121984201937155,0.0814822134807558,-0.0247717152007864,0.0638939622766806,0.698324878202303
breast,TET2,pLoF,10236,0,0,0,0,2,0.000399351821185191,7.45987848137857e-05,8.82191483071662e-08,0.000801001980782412,0.00268505279210261,0.765465841621353
breast,TET2,missense,10236,0,0,0,1,3,0.000140428105188116,0.000493405297511932,0.775948671812797,0.0285212590968198,0.0177592607577947,0.108306172004876
bone,TET2,pLoF,652,0,0,0,0,1,0.000249232766200071,0.000139642790963017,0.0747627016846009,0.00273661844071921,0.0081432960410564,0.736935872168835
bone,TET2,missense,652,0,0,0,1,3,-0.000543774329863931,0.00157199736971093,0.72952019829638,0.0131049893540691,0.0916713270268882,0.88636910311148
prostate,TET2,pLoF,6991,0,0,0,0,2,0.00103723969879683,0.000196221610085849,1.28760947137056e-07,0.00918359205389964,0.00454357201985966,0.0432942867894778
prostate,TET2,missense,6991,0,0,0,1,3,0.00207761929290771,0.000843221254757884,0.0137670573140212,0.0190394601016468,0.0195250487344012,0.329529550118784
cervix,TET2,pLoF,2003,0,0,0,0,1,0.000292543986227551,9.47564191126707e-05,0.00204737852351428,-0.00192991760881796,0.00380048173681829,0.611643518826068
cervix,TET2,missense,2003,0,0,0,1,2,-0.000121993106257103,0.000932971458657649,0.89598021780697,0.0379350796184688,0.0374195333973631,0.310811576794555
endometrium,TET2,pLoF,1186,0,0,0,0,2,0.000564389120846623,0.000340110477523528,0.097294465765601,-0.00820497787078559,0.00971393969096605,0.398471391292399
endometrium,TET2,missense,1186,0,0,0,1,2,-0.000176155211924686,0.00157021323536471,0.91069533014658,0.0729211250485355,0.0448470649341707,0.104216951201321
esophagus,TET2,pLoF,389,0,0,0,0,2,0.00213876543045806,0.000790774086280776,0.00714041746257361,-0.0176610461717599,0.0222310066008055,0.427431526945884
esophagus,TET2,missense,389,0,0,0,1,2,-0.00142796054739031,0.00286825789146952,0.618873679476258,-0.0127014447854067,0.080635242383791,0.874919546548122
eye,TET2,pLoF,277,0,0,0,0,0,0,0,,0,0,
eye,TET2,missense,277,0,0,0,1,2,-0.00109537120810522,0.00252502624402095,0.664770778446093,0.112828310237196,0.117827952950201,0.339124635543543
HL,TET2,pLoF,597,0,0,0,0,1,0.000128391481910232,0.000213875196922623,0.548528415029789,0.00697790807222783,0.0113185918345961,0.537800987466722
