Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,ASXL1,pLoF,0.108057456946444,0.226575605147036,0.633422171807357,249549,2937,246612,20,771,1.11411175700705,0.714606977728411,1.73696177869267
colorectal,ASXL1,missense,-0.0937320907727322,0.0914478627114398,0.305373344721699,249549,2937,246612,128,12349,0.910526668063045,0.761118202349213,1.08926420455466
colorectal,SAMHD1,pLoF,0.943431912218085,0.549817526615318,0.0861803406404742,249549,2937,246612,3,129,2.568782142856,0.874423350379419,7.54627800663449
colorectal,SAMHD1,missense,0.0207786904221099,0.432285476952132,0.961662800990647,249549,2937,246612,5,452,1.02099607042317,0.437584575935453,2.38224341795204
colorectal,RTEL1,pLoF,0.117187717910501,0.181723051045794,0.519011527145419,249549,2937,246612,31,2186,1.12433046684814,0.7874283336598,1.60537657161459
colorectal,RTEL1,missense,0.0954735269024777,0.0997231595470162,0.338372613534048,249549,2937,246612,107,7525,1.10017969648402,0.904855266822981,1.33766736950702
NHL,ASXL1,pLoF,-0.13354698888937,0.276894744244719,0.629591170332722,249125,2513,246612,13,771,0.874986353374677,0.508520009042893,1.50554767752971
NHL,ASXL1,missense,-0.05109987363885,0.0987988177049915,0.605008603254338,249125,2513,246612,109,12349,0.950183767482915,0.782906503587097,1.15320180360155
NHL,SAMHD1,pLoF,0.749008123669004,0.645320828848273,0.24577385865107,249125,2513,246612,2,129,2.11490125543132,0.597024302121326,7.49183459422393
NHL,SAMHD1,missense,0.935049231651627,0.302647027452799,0.00200446342873179,249125,2513,246612,11,452,2.54733886435154,1.40758005635059,4.60999376949083
NHL,RTEL1,pLoF,0.236159252708489,0.181770319377706,0.19386916005237,249125,2513,246612,31,2186,1.26637596791204,0.886828178082982,1.8083639331035
NHL,RTEL1,missense,-0.136452439662877,0.117980801051345,0.247450217155318,249125,2513,246612,75,7525,0.872447813185023,0.692331383160078,1.09942320288453
leukemias,ASXL1,pLoF,1.02956418146388,0.183338647340503,1.95833917424748e-08,248505,1893,246612,32,771,2.79984534426292,1.9546810526479,4.01044146878668
leukemias,ASXL1,missense,0.0646397245872609,0.108658949982974,0.551919451738256,248505,1893,246612,90,12349,1.06677462247566,0.862148366708971,1.31996781424309
leukemias,SAMHD1,pLoF,1.01351567264609,0.645224594988787,0.116230236055776,248505,1893,246612,2,129,2.75527063705568,0.777943565407514,9.75844087025067
leukemias,SAMHD1,missense,0.469448447168603,0.431929466043228,0.277097061575316,248505,1893,246612,5,452,1.59911195521267,0.6858353119388,3.7285322012295
leukemias,RTEL1,pLoF,-0.0117497729490058,0.23536090001523,0.960184254180689,248505,1893,246612,18,2186,0.988318986068743,0.623099750189398,1.56760521558073
leukemias,RTEL1,missense,-0.368929653595947,0.149246015173979,0.0134375875488646,248505,1893,246612,46,7525,0.691474051452444,0.516104265921862,0.926433659636611
oral,ASXL1,pLoF,0.283156283509464,0.329173819446484,0.389677190609451,247661,1049,246612,9,771,1.32731258267708,0.69627363146128,2.53026771735629
oral,ASXL1,missense,0.0452890308432525,0.145803240743135,0.756091459784973,247661,1049,246612,49,12349,1.04633023791931,0.786250315384573,1.39244073466449
