Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.6432409	-0.0285945	0.0617361	184	0	184	3	34
ATAD3A	pLoF	0.5	0.6432409	-0.0285945	0.0617361	184	0	184	3	34
ATAD3A	missense	0.01	0.05079037	0.0202291	0.0103567	9779	24	9755	59	227
ATAD3A	missense	0.5	0.08105826	0.0136541	0.00782658	33684	61	33623	61	227
ATAD3A	synonymous	0.01	0.8755822	-0.000989401	0.00631915	23020	33	22987	63	142
ATAD3A	synonymous	0.5	0.9986784	-9.77251e-06	0.0058998	113980	161	113819	65	142
ATAD3A	pLoF;missense	0.01	0.06425092	0.018888	0.0102073	9960	24	9936	62	261
ATAD3A	pLoF;missense	0.5	0.09456771	0.0129636	0.00775438	33865	61	33804	64	261
ATAD3A	missense;synonymous	0.01	0.3795884	0.00471578	0.00536704	32796	57	32739	122	369
ATAD3A	missense;synonymous	0.5	0.3096476	0.00463867	0.00456579	147661	222	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.416769	0.00433319	0.00533618	33097	57	33040	128	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.3375388	0.00435947	0.00454566	147962	222	147740	132	420
ATAD3A	Cauchy		0.982974							
FLG	pLoF	0.01	0.7292711	-0.00353619	0.0102174	10313	15	10298	98	334
FLG	pLoF	0.5	0.5422225	-0.00445722	0.00731344	38860	59	38801	100	334
FLG	missense	0.01	0.9935044	0.000246769	0.0303116	1798	2	1796	8	27
FLG	missense	0.5	0.9935044	0.000246769	0.0303116	1798	2	1796	8	27
FLG	synonymous	0.01	0.3124528	-0.00348874	0.0034539	76961	95	76866	400	1136
FLG	synonymous	0.5	0.9835023	4.95437e-05	0.00239593	1604320	2376	1601950	421	1136
FLG	pLoF;missense	0.01	0.7450002	-0.00315883	0.00971234	12111	17	12094	106	361
FLG	pLoF;missense	0.5	0.554691	-0.00420723	0.00712191	40658	61	40597	108	361
FLG	missense;synonymous	0.01	0.3255037	-0.00331193	0.00336849	78757	97	78660	408	1163
FLG	missense;synonymous	0.5	0.9826507	5.14324e-05	0.00236516	1606120	2378	1603740	429	1163
FLG	pLoF;missense;synonymous;other	0.01	0.292325	-0.00338794	0.00321731	89103	112	88991	507	1500
FLG	pLoF;missense;synonymous;other	0.5	0.8636628	-0.000389589	0.00226883	1645010	2437	1642570	530	1500
FLG	Cauchy		0.972371							
FLG2	pLoF	0.01	0.5969244	-0.0122471	0.023159	1792	2	1790	26	112
FLG2	pLoF	0.5	0.4722883	-0.0164149	0.0228377	101347	141	101206	27	112
FLG2	missense	0.01	0.4315202	-0.0403957	0.0513553	447	0	447	9	50
