Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.9147419	-0.00206098	0.0192508	95	3	92	3	21
ATAD3A	pLoF	0.5	0.9147419	-0.00206098	0.0192508	95	3	92	3	21
ATAD3A	missense	0.01	0.5447711	-0.00186465	0.00307893	5336	181	5155	40	201
ATAD3A	missense	0.5	0.5268979	-0.00148417	0.00234559	18648	582	18066	42	201
ATAD3A	synonymous	0.01	0.01177428	-0.00467907	0.00185763	12848	352	12496	47	125
ATAD3A	synonymous	0.5	0.05912344	-0.00329274	0.00174471	63666	1887	61779	49	125
ATAD3A	pLoF;missense	0.01	0.4982604	-0.00205943	0.00304097	5426	183	5243	43	222
ATAD3A	pLoF;missense	0.5	0.4913013	-0.00160152	0.00232697	18738	584	18154	45	222
ATAD3A	missense;synonymous	0.01	0.01419203	-0.00388077	0.00158246	18174	533	17641	87	326
ATAD3A	missense;synonymous	0.5	0.06526872	-0.00252177	0.00136799	82304	2469	79835	91	326
ATAD3A	pLoF;missense;synonymous;other	0.01	0.0159355	-0.00379572	0.00157474	18337	539	17798	92	360
ATAD3A	pLoF;missense;synonymous;other	0.5	0.07025647	-0.00246716	0.00136288	82467	2475	79992	96	360
ATAD3A	Cauchy		0.0495273							
FLG	pLoF	0.01	0.6517383	0.00136486	0.00302395	5719	204	5515	61	275
FLG	pLoF	0.5	0.6496768	-0.000975211	0.00214704	21551	760	20791	63	275
FLG	missense	0.01	0.4359762	0.00682061	0.00875553	1081	28	1053	6	24
FLG	missense	0.5	0.4359762	0.00682061	0.00875553	1081	28	1053	6	24
FLG	synonymous	0.01	0.5429317	-0.00061398	0.00100919	43699	1263	42436	300	948
FLG	synonymous	0.5	0.7842437	0.000192336	0.000702486	893973	30198	863775	321	948
FLG	pLoF;missense	0.01	0.4924776	0.00196905	0.00286878	6800	232	6568	67	299
FLG	pLoF;missense	0.5	0.7994385	-0.000531071	0.00209022	22632	788	21844	69	299
FLG	missense;synonymous	0.01	0.6158517	-0.000493885	0.000984349	44780	1291	43489	306	972
FLG	missense;synonymous	0.5	0.7377604	0.000232161	0.000693389	895054	30226	864828	327	972
FLG	pLoF;missense;synonymous;other	0.01	0.7507052	-0.000299733	0.00094342	50506	1496	49010	368	1250
FLG	pLoF;missense;synonymous;other	0.5	0.8441155	0.000131057	0.00066651	916612	30987	885625	391	1250
FLG	Cauchy		0.678374							
FLG2	pLoF	0.01	0.7149593	-0.00253703	0.00694689	977	32	945	18	85
FLG2	pLoF	0.5	0.6830544	-0.00279783	0.00685242	56513	1906	54607	19	85
FLG2	missense	0.01	0.2249023	-0.0185825	0.015312	252	4	248	3	40
FLG2	missense	0.5	0.2249023	-0.0185825	0.015312	252	4	248	3	40
FLG2	synonymous	0.01	0.1472031	-0.00142295	0.000981698	23256	666	22590	107	346
FLG2	synonymous	0.5	0.6525664	-0.000310898	0.000690579	233568	7860	225708	115	346
FLG2	pLoF;missense	0.01	0.412369	-0.00520286	0.00634703	1227	36	1191	21	125
FLG2	pLoF;missense	0.5	0.3927379	-0.0053644	0.00627663	56763	1910	54853	22	125
FLG2	missense;synonymous	0.01	0.1282575	-0.00149083	0.000980156	23505	670	22835	110	386
FLG2	missense;synonymous	0.5	0.6157866	-0.000346299	0.000690072	233817	7864	225953	118	386
FLG2	pLoF;missense;synonymous;other	0.01	0.1228484	-0.00148068	0.000959655	24484	702	23782	128	473
FLG2	pLoF;missense;synonymous;other	0.5	0.5921533	-0.000363183	0.000677936	290332	9770	280562	137	473
FLG2	Cauchy		0.329118							
PIP5K1A	pLoF	0.01	0.8699123	-0.00616363	0.0376359	37	1	36	1	15
PIP5K1A	pLoF	0.5	0.8699123	-0.00616363	0.0376359	37	1	36	1	15
PIP5K1A	missense	0.01	0.9125659	0.000980168	0.00892663	743	22	721	9	120
PIP5K1A	missense	0.5	0.9125659	0.000980168	0.00892663	743	22	721	9	120
PIP5K1A	synonymous	0.01	0.8936122	0.000541773	0.00405109	3300	116	3184	13	94
PIP5K1A	synonymous	0.5	0.9170693	0.000303671	0.00291638	116671	4183	112488	15	94
PIP5K1A	pLoF;missense	0.01	0.9453834	0.000595891	0.00869848	780	23	757	10	135
PIP5K1A	pLoF;missense	0.5	0.9453834	0.000595891	0.00869848	780	23	757	10	135
PIP5K1A	missense;synonymous	0.01	0.8626971	0.000610813	0.0035319	4040	138	3902	22	214
PIP5K1A	missense;synonymous	0.5	0.888869	0.00037799	0.00270504	117411	4205	113206	24	214
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.843878	0.000689299	0.00350013	4119	141	3978	24	241
