Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.00977754	0.0594331	0.023004	186	3	183	3	34
ATAD3A	pLoF	0.5	0.00977754	0.0594331	0.023004	186	3	183	3	34
ATAD3A	missense	0.01	0.07101852	-0.0186604	0.0103361	9764	9	9755	59	227
ATAD3A	missense	0.5	0.3100966	-0.00813894	0.00801851	33668	45	33623	61	227
ATAD3A	synonymous	0.01	0.9640114	0.000282846	0.00626871	23023	36	22987	63	142
ATAD3A	synonymous	0.5	0.9513597	0.000361955	0.00593375	113986	167	113819	65	142
ATAD3A	pLoF;missense	0.01	0.2689414	-0.0112214	0.0101505	9947	12	9935	62	261
ATAD3A	pLoF;missense	0.5	0.6298321	-0.00381862	0.00792306	33851	48	33803	64	261
ATAD3A	missense;synonymous	0.01	0.3725803	-0.00475236	0.00532984	32784	45	32739	122	369
ATAD3A	missense;synonymous	0.5	0.5861738	-0.00255194	0.00468771	147651	212	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.6688517	-0.00226473	0.00529484	33088	49	33039	129	419
ATAD3A	pLoF;missense;synonymous;other	0.5	0.8901628	-0.000643892	0.00466256	147955	216	147739	133	419
ATAD3A	Cauchy		0.0720467							
FLG	pLoF	0.01	0.3565002	0.00949264	0.0102951	10318	20	10298	98	334
FLG	pLoF	0.5	0.4268789	-0.00579892	0.00729843	38856	55	38801	100	334
FLG	missense	0.01	0.8522736	-0.00533875	0.0286693	1798	2	1796	8	27
FLG	missense	0.5	0.8522736	-0.00533875	0.0286693	1798	2	1796	8	27
FLG	synonymous	0.01	0.3541219	-0.00323931	0.00349582	76965	99	76866	400	1134
FLG	synonymous	0.5	0.5547058	-0.00142415	0.00241086	1604390	2442	1601950	421	1134
FLG	pLoF;missense	0.01	0.4192072	0.00784658	0.00971355	12116	22	12094	106	361
FLG	pLoF;missense	0.5	0.4141539	-0.00578528	0.00708455	40654	57	40597	108	361
FLG	missense;synonymous	0.01	0.3568177	-0.00313005	0.00339688	78761	101	78660	408	1161
FLG	missense;synonymous	0.5	0.5507208	-0.00141719	0.00237512	1606180	2444	1603740	429	1161
FLG	pLoF;missense;synonymous;other	0.01	0.5535986	-0.00192222	0.00324493	89112	121	88991	507	1498
FLG	pLoF;missense;synonymous;other	0.5	0.4108937	-0.00187347	0.00227827	1645070	2499	1642570	530	1498
FLG	Cauchy		0.552114							
FLG2	pLoF	0.01	0.6322097	-0.0112952	0.0235995	1792	2	1790	26	112
FLG2	pLoF	0.5	0.5682267	-0.0132717	0.0232565	101356	150	101206	27	112
FLG2	missense	0.01	0.437367	-0.0406148	0.0522951	447	0	447	9	50
FLG2	missense	0.5	0.437367	-0.0406148	0.0522951	447	0	447	9	50
FLG2	synonymous	0.01	0.6045908	-0.00170155	0.00328605	41770	55	41715	145	449
FLG2	synonymous	0.5	0.5667918	-0.00133544	0.00233149	419020	626	418394	153	449
FLG2	pLoF;missense	0.01	0.4512048	-0.01623	0.0215421	2236	2	2234	35	162
FLG2	pLoF;missense	0.5	0.4036453	-0.0177779	0.0212877	101800	150	101650	36	162
FLG2	missense;synonymous	0.01	0.5711335	-0.0018585	0.00328135	42214	55	42159	154	499
FLG2	missense;synonymous	0.5	0.5435849	-0.00141517	0.00232988	419464	626	418838	162	499
FLG2	pLoF;missense;synonymous;other	0.01	0.5340923	-0.00199764	0.00321282	44015	57	43958	180	616
FLG2	pLoF;missense;synonymous;other	0.5	0.5131029	-0.0014962	0.00228773	520829	776	520053	189	616
FLG2	Cauchy		0.522796							
PIP5K1A	pLoF	0.01	0.7031736	-0.0402042	0.105512	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.7031736	-0.0402042	0.105512	82	0	82	1	26
PIP5K1A	missense	0.01	0.4046298	0.0249526	0.0299414	1310	3	1307	16	162
PIP5K1A	missense	0.5	0.4046298	0.0249526	0.0299414	1310	3	1307	16	162
PIP5K1A	synonymous	0.01	0.2662638	0.0151285	0.0136084	5891	13	5878	22	120
PIP5K1A	synonymous	0.5	0.5323996	0.00614394	0.00984058	210483	360	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.4837124	0.0202006	0.0288438	1392	3	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.4837124	0.0202006	0.0288438	1392	3	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.1931615	0.0153758	0.0118159	7196	16	7180	38	282
PIP5K1A	missense;synonymous	0.5	0.4032907	0.00760195	0.00909586	211788	363	211425	40	282
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.2247395	0.0141992	0.011696	7351	16	7335	40	324
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.4391763	0.00699504	0.00904236	211943	363	211580	42	324
PIP5K1A	Cauchy		0.418107							
TUFT1	pLoF	0.01	0.6748436	-0.0402168	0.0958661	126	0	126	2	23
TUFT1	pLoF	0.5	0.6748436	-0.0402168	0.0958661	126	0	126	2	23
TUFT1	missense	0.01	0.1034177	-0.0322932	0.0198299	2976	1	2975	16	98
