Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,CHEK2,pLoF,0.0922082312732686,0.161240282118942,0.567411095322041,328039,8800,319239,40,1356,1.09659314329467,0.79946149074833,1.504158156255
colorectal,CHEK2,missense,0.295892573840595,0.156515836992561,0.0586916464486852,328039,8800,319239,43,1280,1.34432573332424,0.989186065890523,1.82696839310084
NHL,CHEK2,pLoF,0.636629575571359,0.224129722341446,0.00450497418634332,321794,2555,319239,20,1356,1.89009969351386,1.21816227597186,2.93267729750622
NHL,CHEK2,missense,0.556688746827156,0.242836553279389,0.0218801429643515,321794,2555,319239,17,1280,1.74488516737502,1.08408666411759,2.80846942232571
leukemias,CHEK2,pLoF,1.36503919216438,0.182760197725722,8.07955362056133e-14,321103,1864,319239,31,1356,3.91587652066159,2.73692707841261,5.60266623324226
leukemias,CHEK2,missense,1.29516933858637,0.199844191750353,9.11797627809404e-11,321103,1864,319239,26,1280,3.6516142809885,2.46818218015203,5.40247270414124
oral,CHEK2,pLoF,-0.626448376470594,0.632181824135714,0.321719421207508,320349,1110,319239,2,1356,0.534486729623563,0.154818474062607,1.84523239796412
oral,CHEK2,missense,-0.533460820171717,0.630985501925484,0.397864832297271,320349,1110,319239,2,1280,0.586571434605404,0.170304089395032,2.02030408733731
neck,CHEK2,pLoF,-0.563317634380804,0.81478560348056,0.489333582693293,319892,653,319239,1,1356,0.569317141109245,0.115294209708221,2.81126006224484
neck,CHEK2,missense,-0.420497082453598,0.811800100583369,0.6044714789777,319892,653,319239,1,1280,0.656720294531452,0.133774993651276,3.22393246658445
anus,CHEK2,pLoF,0.878265355068651,0.533302871021593,0.0995906075838249,319582,343,319239,3,1356,2.40672127655531,0.846208864592817,6.84500901064325
anus,CHEK2,missense,0.136652318485555,0.803822378297465,0.865007676849912,319582,343,319239,1,1280,1.14642948688057,0.237209729885897,5.54066887990409
bladder,CHEK2,pLoF,0.680483327289969,0.19297462435392,0.000421434804814334,322524,3285,319239,28,1356,1.97483199179676,1.35291295678394,2.88264028832625
bladder,CHEK2,missense,0.405365988043977,0.237863444290521,0.0883444309231329,322524,3285,319239,18,1280,1.49985132727207,0.940975857442206,2.39066070200206
brain,CHEK2,pLoF,0.282622881653255,0.427356063357363,0.508401462110361,320187,948,319239,5,1356,1.32660478047,0.574083966016541,3.06554502083959
brain,CHEK2,missense,-0.408571846527925,0.630598499831114,0.517042370135205,320187,948,319239,2,1280,0.664598721665539,0.193104807215935,2.28731468267155
breast,CHEK2,pLoF,0.933279761374248,0.0805894822762041,5.16441332303662e-31,191078,19950,171128,206,697,2.54283540948446,2.17130263175305,2.9779413634789
breast,CHEK2,missense,0.463485321044491,0.0965439370085843,1.58056024909762e-06,191078,19950,171128,131,715,1.58960462381775,1.31556033032354,1.92073506765086
