Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,IGLL5,pLoF,-0.898812242923735,0.829585326547092,0.278609791071076,328039,8800,319239,1,116,0.407052852632033,0.0800767599419608,2.06916494818182
colorectal,IGLL5,missense,0.0143664066363862,0.150314645533169,0.923857675488751,328039,8800,319239,46,1645,1.01447009942541,0.75559868404611,1.36203199444084
colorectal,CHEK2,missense,0.0891728337557182,0.0989016132555154,0.367252523923197,328039,8800,319239,108,4013,1.09326959388839,0.900620988616492,1.32712697131007
colorectal,CHEK2,pLoF,0.0314401996711376,0.147233500591345,0.830906015743415,328039,8800,319239,48,1720,1.03193966341922,0.773266013099493,1.37714505861873
NHL,IGLL5,pLoF,0.334639351490198,0.828127368465202,0.686145327846088,321794,2555,319239,1,116,1.39743631100801,0.275694898394834,7.08329481137864
NHL,IGLL5,missense,-0.892507046743693,0.427567117421036,0.0368512640918107,321794,2555,319239,5,1645,0.409627509050708,0.177191679405853,0.946967130362585
NHL,CHEK2,missense,0.137823164727427,0.17253750974206,0.424405711772009,321794,2555,319239,34,4013,1.14777256565279,0.818449043267321,1.60960767600885
NHL,CHEK2,pLoF,0.70559589484604,0.193922919920051,0.000274190275939312,321794,2555,319239,27,1720,2.02505304412699,1.38474215969899,2.96144650670518
leukemias,IGLL5,pLoF,1.98727563966058,0.443746993608963,7.52052967968595e-06,321103,1864,319239,5,116,7.29563073608377,3.05734690062113,17.4092864066151
leukemias,IGLL5,missense,-0.066169701325178,0.326361031449767,0.83933043509219,321103,1864,319239,9,1645,0.935972015122247,0.493700821909114,1.77444228207761
leukemias,CHEK2,missense,0.846736900766014,0.145677105741093,6.15751586826892e-09,321103,1864,319239,49,4013,2.33202479460357,1.75280089540464,3.10265681453245
leukemias,CHEK2,pLoF,1.33813511218108,0.165572335775835,6.37778584039174e-16,321103,1864,319239,38,1720,3.81192805447429,2.75555616560685,5.27327139031046
oral,IGLL5,missense,-0.0288446966680845,0.427387457055459,0.946191031905472,320349,1110,319239,5,1645,0.971567340395678,0.420416782719124,2.2452555076855
oral,CHEK2,missense,0.275225829267538,0.247671603762124,0.266459434987172,320349,1110,319239,16,4013,1.31682801959893,0.81042085343909,2.13967351141361
oral,CHEK2,pLoF,-0.862570604528267,0.63181229349865,0.172180022642219,320349,1110,319239,2,1720,0.422075696884646,0.122346273804072,1.45609578748552
neck,IGLL5,missense,-0.275644992993803,0.632069827543129,0.662764933360092,319892,653,319239,2,1645,0.7590823624903,0.219922714804323,2.62003874204872
neck,CHEK2,missense,-0.667632472556181,0.530141948928038,0.207905160378088,319892,653,319239,3,4013,0.512921497131054,0.181465160086556,1.44980150511356
neck,CHEK2,pLoF,-0.280359773594393,0.631657437281807,0.657152615659428,319892,653,319239,2,1720,0.755511879329818,0.219065260318721,2.60560802282393
anus,CHEK2,missense,0.656895177027039,0.362463696638928,0.0699389088866385,319582,343,319239,7,4013,1.92879446269745,0.947886400988236,3.92478262738419
anus,CHEK2,pLoF,0.881628356931362,0.470827334435064,0.0611362368038076,319582,343,319239,4,1720,2.41482870970668,0.959659963936351,6.07652493212731
bladder,IGLL5,missense,-0.0886947451610142,0.249866592073988,0.722613262518262,322524,3285,319239,16,1645,0.915124877239939,0.560781312602461,1.49336920136832
bladder,CHEK2,missense,0.390712724822367,0.140438728948913,0.00540106035480431,322524,3285,319239,53,4013,1.47803384998163,1.12238723192162,1.94637287342564
bladder,CHEK2,pLoF,0.646934818257306,0.17538172385569,0.000225381323901832,322524,3285,319239,34,1720,1.90967833762821,1.35417573550497,2.69305619469435
brain,IGLL5,pLoF,1.38156873423225,0.823918975361893,0.09357651800915,320187,948,319239,1,116,3.98114208527773,0.791929597110446,20.013764305565
