Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.6359267	0.0136903	0.0289189	186	2	184	3	35
ATAD3A	pLoF	0.5	0.6359267	0.0136903	0.0289189	186	2	184	3	35
ATAD3A	missense	0.01	0.03756204	-0.0108355	0.00521036	9802	47	9755	59	227
ATAD3A	missense	0.5	0.08346159	-0.00696944	0.00402638	33796	173	33623	61	227
ATAD3A	synonymous	0.01	0.9253792	0.000311591	0.00332683	23118	131	22987	63	142
ATAD3A	synonymous	0.5	0.9621855	0.00014886	0.00313977	114474	655	113819	65	142
ATAD3A	pLoF;missense	0.01	0.0504634	-0.0100312	0.00512836	9985	49	9936	62	262
ATAD3A	pLoF;missense	0.5	0.09999597	-0.00654829	0.00398103	33979	175	33804	64	262
ATAD3A	missense;synonymous	0.01	0.3057464	-0.00285559	0.00278815	32917	178	32739	122	369
ATAD3A	missense;synonymous	0.5	0.3211828	-0.00238774	0.00240693	148267	828	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3810094	-0.00242605	0.00276935	33222	182	33040	129	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.3872415	-0.00207	0.00239408	148572	832	147740	133	420
ATAD3A	Cauchy		0.277159							
FLG	pLoF	0.01	0.05064573	0.0101798	0.00520847	10378	80	10298	98	334
FLG	pLoF	0.5	0.005717175	0.00944867	0.003419	39098	297	38801	100	334
FLG	missense	0.01	0.1131351	-0.0284654	0.0179676	1798	2	1796	8	27
FLG	missense	0.5	0.1131351	-0.0284654	0.0179676	1798	2	1796	8	27
FLG	synonymous	0.01	0.7703781	0.00054478	0.00186645	77266	400	76866	401	1134
FLG	synonymous	0.5	0.5816397	-0.000689761	0.00125185	1611940	9999	1601950	422	1134
FLG	pLoF;missense	0.01	0.1498291	0.00722134	0.00501435	12176	82	12094	106	361
FLG	pLoF;missense	0.5	0.01664163	0.00867582	0.00362318	40896	299	40597	108	361
FLG	missense;synonymous	0.01	0.8990136	0.000232393	0.0018312	79062	402	78660	409	1161
FLG	missense;synonymous	0.5	0.5131397	-0.00081116	0.00124039	1613740	10001	1603740	430	1161
FLG	pLoF;missense;synonymous;other	0.01	0.452612	0.00130579	0.00173858	89473	482	88991	508	1498
FLG	pLoF;missense;synonymous;other	0.5	0.8037289	0.000294866	0.00118647	1652870	10298	1642570	531	1498
FLG	Cauchy		0.0459123							
FLG2	pLoF	0.01	0.1062532	-0.0188446	0.0116666	1796	6	1790	26	112
FLG2	pLoF	0.5	0.1380414	-0.0170565	0.0115004	101859	653	101206	27	112
FLG2	missense	0.01	0.1532211	-0.0407101	0.0285035	447	0	447	9	50
FLG2	missense	0.5	0.1532211	-0.0407101	0.0285035	447	0	447	9	50
FLG2	synonymous	0.01	0.8102508	0.0003917	0.00163139	41960	237	41723	148	449
FLG2	synonymous	0.5	0.6652063	0.000501324	0.0011585	421078	2676	418402	156	449
FLG2	pLoF;missense	0.01	0.04074626	-0.0219914	0.0107479	2240	6	2234	35	162
FLG2	pLoF;missense	0.5	0.05654733	-0.0203746	0.0106853	102303	653	101650	36	162
FLG2	missense;synonymous	0.01	0.8740108	0.000258334	0.00162919	42404	237	42167	157	499
FLG2	missense;synonymous	0.5	0.7078832	0.000433758	0.00115761	421522	2676	418846	165	499
FLG2	pLoF;missense;synonymous;other	0.01	0.9463028	-0.000107071	0.00158975	44209	243	43966	183	616
FLG2	pLoF;missense;synonymous;other	0.5	0.8262456	0.000249063	0.00113458	523390	3329	520061	192	616
FLG2	Cauchy		0.287012							
PIP5K1A	pLoF	0.01	0.4220756	-0.0405371	0.0504931	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.4220756	-0.0405371	0.0504931	82	0	82	1	26
PIP5K1A	missense	0.01	0.5418829	0.00978412	0.0160404	1315	8	1307	17	161
PIP5K1A	missense	0.5	0.5418829	0.00978412	0.0160404	1315	8	1307	17	161
PIP5K1A	synonymous	0.01	0.9314223	-0.000600371	0.00697655	5915	37	5878	23	119
PIP5K1A	synonymous	0.5	0.6209098	0.00247924	0.00501302	211462	1339	210123	25	119
PIP5K1A	pLoF;missense	0.01	0.7336245	0.00521109	0.0153129	1397	8	1389	18	187
PIP5K1A	pLoF;missense	0.5	0.7336245	0.00521109	0.0153129	1397	8	1389	18	187
PIP5K1A	missense;synonymous	0.01	0.8678059	0.00103196	0.00619994	7225	45	7180	40	280
PIP5K1A	missense;synonymous	0.5	0.5168741	0.003048	0.00470246	212772	1347	211425	42	280
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.9967441	2.50137e-05	0.00612984	7380	45	7335	42	322
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.6019207	0.00243703	0.00467185	212927	1347	211580	44	322
PIP5K1A	Cauchy		0.964434							
TUFT1	pLoF	0.01	0.8044998	0.0112821	0.0455791	127	1	126	2	23
TUFT1	pLoF	0.5	0.8044998	0.0112821	0.0455791	127	1	126	2	23
TUFT1	missense	0.01	0.4480438	-0.00807437	0.0106426	2987	12	2975	16	98
TUFT1	missense	0.5	0.4480438	-0.00807437	0.0106426	2987	12	2975	16	98
TUFT1	synonymous	0.01	0.4730677	0.0172589	0.0240544	619	4	615	12	59
TUFT1	synonymous	0.5	0.4730677	0.0172589	0.0240544	619	4	615	12	59
TUFT1	pLoF;missense	0.01	0.4952911	-0.00706856	0.0103657	3114	13	3101	18	121
