Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.7046295	-0.027802	0.0733411	184	0	184	3	34
ATAD3A	pLoF	0.5	0.7046295	-0.027802	0.0733411	184	0	184	3	34
ATAD3A	missense	0.01	0.8493915	0.00244457	0.0128733	9766	11	9755	59	227
ATAD3A	missense	0.5	0.678274	0.00416212	0.0100336	33657	34	33623	61	227
ATAD3A	synonymous	0.01	0.4902701	-0.00550529	0.00798008	23005	18	22987	63	142
ATAD3A	synonymous	0.5	0.4578539	-0.00563335	0.00758817	113918	99	113819	65	142
ATAD3A	pLoF;missense	0.01	0.9017562	0.00156407	0.0126703	9947	11	9936	62	261
ATAD3A	pLoF;missense	0.5	0.7183459	0.00358013	0.00992632	33838	34	33804	64	261
ATAD3A	missense;synonymous	0.01	0.6310511	-0.00324062	0.0067478	32768	29	32739	122	369
ATAD3A	missense;synonymous	0.5	0.7392953	-0.00197892	0.00594651	147572	133	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.598793	-0.00352924	0.00670783	33069	29	33040	128	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.7083002	-0.00221388	0.00591725	147873	133	147740	132	420
ATAD3A	Cauchy		0.726225							
FLG	pLoF	0.01	0.005185764	-0.0811055	0.0290153	10299	1	10298	98	334
FLG	pLoF	0.5	0.007804115	-0.0306351	0.0115151	38829	28	38801	100	334
FLG	missense	0.01	0.8920381	-0.00544161	0.0400927	1797	1	1796	8	27
FLG	missense	0.5	0.8920381	-0.00544161	0.0400927	1797	1	1796	8	27
FLG	synonymous	0.01	0.6616843	-0.0019799	0.00452457	76928	62	76866	400	1133
FLG	synonymous	0.5	0.8852664	-0.000440483	0.00305263	1603480	1529	1601950	421	1133
FLG	pLoF;missense	0.01	0.006226605	-0.0631957	0.0231012	12096	2	12094	106	361
FLG	pLoF;missense	0.5	0.00852961	-0.0292354	0.0111146	40626	29	40597	108	361
FLG	missense;synonymous	0.01	0.6586428	-0.00195299	0.00442065	78723	63	78660	408	1160
FLG	missense;synonymous	0.5	0.8788871	-0.00045986	0.00301785	1605270	1530	1603740	429	1160
FLG	pLoF;missense;synonymous;other	0.01	0.1718116	-0.00574654	0.00420559	89055	64	88991	507	1497
FLG	pLoF;missense;synonymous;other	0.5	0.3179817	-0.00288459	0.0028886	1644130	1558	1642570	530	1497
FLG	Cauchy		0.0210762							
FLG2	pLoF	0.01	0.1849159	-0.038796	0.029263	1790	0	1790	26	112
FLG2	pLoF	0.5	0.1928575	-0.0375553	0.0288405	101308	102	101206	27	112
