Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ZNG1A	pLoF	0.01	6.781361E-01	-0.00191767	0.0046208	944	96	848	10	48
ZNG1A	pLoF	0.500000	6.781361E-01	-0.00191767	0.0046208	944	96	848	10	48
ZNG1A	missense	0.01	8.433141E-01	-0.000353842	0.00179019	8536	701	7835	35	154
ZNG1A	missense	0.500000	8.433141E-01	-0.000353842	0.00179019	8536	701	7835	35	154
ZNG1A	synonymous	0.01	1.495849E-01	0.00910542	0.00631882	549	61	488	13	81
ZNG1A	synonymous	0.5	6.913065E-01	0.00107913	0.00271765	29124	3031	26093	14	81
ZNG1A	pLoF;missense	0.01	7.494633E-01	-0.000533532	0.0016707	9479	797	8682	45	202
ZNG1A	pLoF;missense	0.500000	7.494633E-01	-0.000533532	0.0016707	9479	797	8682	45	202
ZNG1A	missense;synonymous	0.01	8.439124E-01	0.000339312	0.00172334	9085	762	8323	48	235
ZNG1A	missense;synonymous	0.5	9.641593E-01	6.24852e-05	0.00139058	37660	3732	33928	49	235
ZNG1A	pLoF;missense;synonymous;other	0.01	9.603012E-01	7.90938e-05	0.00158901	10318	877	9441	63	307
ZNG1A	pLoF;missense;synonymous;other	0.5	9.486633E-01	-8.48451e-05	0.00131777	169751	19651	150100	65	307
ZNG1A	Cauchy	NA	0.880799	NA	NA	NA	NA	NA	NA	NA
WASHC1	pLoF	0.01	8.396411E-01	-0.0039315	0.019429	62	4	58	2	12
WASHC1	pLoF	0.500000	8.396411E-01	-0.0039315	0.019429	62	4	58	2	12
WASHC1	missense	0.01	2.024591E-01	0.00320144	0.00251176	2606	429	2177	10	43
WASHC1	missense	0.500000	2.024591E-01	0.00320144	0.00251176	2606	429	2177	10	43
WASHC1	synonymous	0.01	5.157707E-01	-0.001209	0.00186035	6705	681	6024	16	32
WASHC1	synonymous	0.500000	5.157707E-01	-0.001209	0.00186035	6705	681	6024	16	32
WASHC1	pLoF;missense	0.01	2.156600E-01	0.00308423	0.00249099	2668	433	2235	12	55
WASHC1	pLoF;missense	0.500000	2.156600E-01	0.00308423	0.00249099	2668	433	2235	12	55
WASHC1	missense;synonymous	0.01	8.126293E-01	0.000355473	0.00149966	9311	1110	8201	26	75
WASHC1	missense;synonymous	0.500000	8.126293E-01	0.000355473	0.00149966	9311	1110	8201	26	75
WASHC1	pLoF;missense;synonymous;other	0.01	9.471833E-01	9.815e-05	0.00148164	9510	1128	8382	30	90
WASHC1	pLoF;missense;synonymous;other	0.500000	9.471833E-01	9.815e-05	0.00148164	9510	1128	8382	30	90
WASHC1	Cauchy	NA	0.768369	NA	NA	NA	NA	NA	NA	NA
DOCK8	pLoF	0.01	4.949932E-01	0.00381015	0.00558355	611	72	539	6	100
DOCK8	pLoF	0.500000	4.949932E-01	0.00381015	0.00558355	611	72	539	6	100
DOCK8	missense	0.01	9.508786E-02	0.00175316	0.00105033	18356	2143	16213	179	1134
DOCK8	missense	0.5	3.850760E-01	0.00073445	0.000845574	609323	76304	533019	185	1134
DOCK8	synonymous	0.01	5.191559E-01	-0.000526827	0.000817233	45574	3751	41823	138	700
DOCK8	synonymous	0.5	6.066800E-01	-0.000363114	0.000705324	1.10042e+06	128905	971512	149	700
DOCK8	pLoF;missense	0.01	7.882067E-02	0.00181493	0.00103264	18964	2215	16749	185	1234
DOCK8	pLoF;missense	0.5	3.403945E-01	0.000797272	0.000836253	609931	76376	533555	191	1234
DOCK8	missense;synonymous	0.01	6.584217E-01	0.000279908	0.000633142	63887	5890	57997	317	1834
DOCK8	missense;synonymous	0.5	9.188508E-01	5.31716e-05	0.000521897	1.7097e+06	205205	1.50449e+06	334	1834
DOCK8	pLoF;missense;synonymous;other	0.01	6.703920E-01	0.000265383	0.000623536	65349	6033	59316	337	2026
DOCK8	pLoF;missense;synonymous;other	0.5	9.260935E-01	4.79268e-05	0.00051667	1.71116e+06	205348	1.50581e+06	354	2026
