Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.2614103	-0.00999421	0.00889906	9211	19	9192	44	181
HRNR	pLoF	0.5	0.2614103	-0.00999421	0.00889906	9211	19	9192	44	181
HRNR	missense	0.01	0.6829344	-0.0134401	0.0329042	344	1	343	7	49
HRNR	missense	0.5	0.6829344	-0.0134401	0.0329042	344	1	343	7	49
HRNR	synonymous	0.01	0.3364796	-0.00571243	0.00594336	13373	38	13335	143	525
HRNR	synonymous	0.5	0.8845495	-0.000559862	0.00385568	1465510	4865	1460640	160	525
HRNR	pLoF;missense	0.01	0.2345233	-0.0102153	0.00859307	9555	20	9535	51	230
HRNR	pLoF;missense	0.5	0.2345233	-0.0102153	0.00859307	9555	20	9535	51	230
HRNR	missense;synonymous	0.01	0.3101018	-0.00594634	0.00585841	13715	39	13676	150	574
HRNR	missense;synonymous	0.5	0.8504426	-0.000722626	0.00383247	1465850	4866	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.1687646	-0.00674967	0.00490462	22999	59	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.5430213	-0.00209735	0.00344817	1503840	4952	1498890	214	759
HRNR	Cauchy		0.47407							
FLG	pLoF	0.01	0.4574519	-0.00502943	0.00676864	11146	32	11114	89	526
FLG	pLoF	0.5	0.6983757	-0.00197065	0.00508536	23507	87	23420	91	526
FLG	missense	0.01	0.4038332	-0.0396981	0.0475543	206	0	206	4	31
FLG	missense	0.5	0.3774635	-0.00891219	0.0100979	11949	26	11923	6	31
FLG	synonymous	0.01	0.7645265	-0.00060135	0.00200756	98542	292	98250	352	1179
FLG	synonymous	0.5	0.9424245	-0.000123712	0.00171292	1457740	4836	1452910	372	1179
FLG	pLoF;missense	0.01	0.3948034	-0.00570442	0.00670368	11352	32	11320	93	557
FLG	pLoF;missense	0.5	0.4537789	-0.00343854	0.00459005	35456	113	35343	97	557
FLG	missense;synonymous	0.01	0.7399971	-0.00066574	0.0020061	98746	292	98454	356	1210
FLG	missense;synonymous	0.5	0.8329521	-0.000346927	0.00164485	1469690	4862	1464830	378	1210
FLG	pLoF;missense;synonymous;other	0.01	0.561479	-0.00111608	0.00192213	109931	323	109608	447	1743
FLG	pLoF;missense;synonymous;other	0.5	0.7134559	-0.000582975	0.00158754	1493240	4948	1488290	471	1743
FLG	Cauchy		0.71473							
FLG2	pLoF	0.01	0.7007761	-0.00626594	0.016306	1669	5	1664	25	222
FLG2	pLoF	0.5	0.1309569	0.014237	0.00942637	118357	422	117935	27	222
