Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.4214805	-0.0277508	0.0345221	184	0	184	3	34
ATAD3A	pLoF	0.5	0.4214805	-0.0277508	0.0345221	184	0	184	3	34
ATAD3A	missense	0.01	0.8117858	0.00147059	0.00617576	9802	47	9755	59	227
ATAD3A	missense	0.5	0.9951171	-2.86968e-05	0.00468913	33765	142	33623	61	227
ATAD3A	synonymous	0.01	0.3224997	-0.00371177	0.00375179	23073	86	22987	64	142
ATAD3A	synonymous	0.5	0.2982888	-0.00365512	0.00351416	114294	475	113819	66	142
ATAD3A	pLoF;missense	0.01	0.9235166	0.000583068	0.00607331	9983	47	9936	62	261
ATAD3A	pLoF;missense	0.5	0.9111439	-0.000517713	0.00463918	33946	142	33804	64	261
ATAD3A	missense;synonymous	0.01	0.4736763	-0.00228343	0.00318687	32872	133	32739	123	369
ATAD3A	missense;synonymous	0.5	0.4168678	-0.00221948	0.00273379	148056	617	147439	127	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.4115969	-0.00260045	0.00316708	33173	133	33040	129	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.3672431	-0.00245315	0.00272073	148357	617	147740	133	420
ATAD3A	Cauchy		0.946927							
FLG	pLoF	0.01	0.3003577	0.00632614	0.00610828	10352	54	10298	99	334
FLG	pLoF	0.5	0.3412501	0.00415095	0.00436162	38993	192	38801	101	334
FLG	missense	0.01	0.9808332	-0.000417712	0.017387	1802	6	1796	8	27
FLG	missense	0.5	0.9808332	-0.000417712	0.017387	1802	6	1796	8	27
FLG	synonymous	0.01	0.7957518	-0.000526952	0.00203575	77171	305	76866	400	1136
FLG	synonymous	0.5	0.6905958	-0.000566353	0.00142283	1609100	7159	1601950	421	1136
FLG	pLoF;missense	0.01	0.3328933	0.00560016	0.00578348	12154	60	12094	107	361
FLG	pLoF;missense	0.5	0.3596888	0.00388286	0.00423912	40795	198	40597	109	361
FLG	missense;synonymous	0.01	0.795917	-0.000512984	0.00198343	78971	311	78660	408	1163
FLG	missense;synonymous	0.5	0.6912477	-0.000557372	0.00140339	1610900	7165	1603740	429	1163
FLG	pLoF;missense;synonymous;other	0.01	0.9582947	9.93189e-05	0.00189925	89356	365	88991	508	1500
FLG	pLoF;missense;synonymous;other	0.5	0.9179509	-0.000138858	0.00134794	1649930	7357	1642570	531	1500
FLG	Cauchy		0.919247							
FLG2	pLoF	0.01	0.812902	0.003264	0.0137906	1799	9	1790	26	112
FLG2	pLoF	0.5	0.6317235	0.00651565	0.013594	101707	501	101206	27	112
FLG2	missense	0.01	0.3158181	0.0310801	0.0309844	450	3	447	9	50
FLG2	missense	0.5	0.3158181	0.0310801	0.0309844	450	3	447	9	50
FLG2	synonymous	0.01	0.795392	-0.000494527	0.00190705	41893	170	41723	146	447
FLG2	synonymous	0.5	0.5745877	0.000765107	0.00136308	420430	2028	418402	154	447
FLG2	pLoF;missense	0.01	0.5301798	0.00792289	0.0126215	2246	12	2234	35	162
FLG2	pLoF;missense	0.5	0.3975326	0.0105524	0.0124727	102154	504	101650	36	162
FLG2	missense;synonymous	0.01	0.8434204	-0.000376189	0.00190456	42340	173	42167	155	497
FLG2	missense;synonymous	0.5	0.5452735	0.000823878	0.0013621	420877	2031	418846	163	497
FLG2	pLoF;missense;synonymous;other	0.01	0.872687	-0.000297806	0.00185843	44148	182	43966	181	614
FLG2	pLoF;missense;synonymous;other	0.5	0.5220836	0.000854339	0.00133462	522593	2532	520061	190	614
FLG2	Cauchy		0.656235							
