Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.7816712	0.00288257	0.0104011	105	13	92	3	24
ATAD3A	pLoF	0.5	0.7816712	0.00288257	0.0104011	105	13	92	3	24
ATAD3A	missense	0.01	0.9689488	-7.01744e-05	0.00180273	5753	598	5155	40	205
ATAD3A	missense	0.5	0.4134251	-0.0011146	0.00136279	19921	1855	18066	42	205
ATAD3A	synonymous	0.01	0.5367839	-0.000677809	0.00109734	13760	1264	12496	48	125
ATAD3A	synonymous	0.5	0.3755565	-0.00091097	0.00102805	67931	6152	61779	50	125
ATAD3A	pLoF;missense	0.01	0.9863749	-3.03408e-05	0.00177667	5853	610	5243	43	229
ATAD3A	pLoF;missense	0.5	0.4270608	-0.00107248	0.00135034	20021	1867	18154	45	229
ATAD3A	missense;synonymous	0.01	0.5817387	-0.00051365	0.000932474	19502	1861	17641	88	330
ATAD3A	missense;synonymous	0.5	0.2420283	-0.000932169	0.000796772	87841	8006	79835	92	330
ATAD3A	pLoF;missense;synonymous;other	0.01	0.6448332	-0.000427269	0.000926928	19682	1884	17798	94	366
ATAD3A	pLoF;missense;synonymous;other	0.5	0.2754668	-0.000865027	0.000793196	88021	8029	79992	98	366
ATAD3A	Cauchy		0.892148							
FLG	pLoF	0.01	0.6782455	-0.000737303	0.00177724	6128	613	5515	65	282
FLG	pLoF	0.5	0.4344828	0.000988071	0.00126426	23290	2499	20791	67	282
FLG	missense	0.01	0.8590849	-0.000936739	0.00527624	1122	69	1053	7	24
FLG	missense	0.5	0.8590849	-0.000936739	0.00527624	1122	69	1053	7	24
FLG	synonymous	0.01	0.8950003	-7.82236e-05	0.000592694	46451	4014	42437	313	964
FLG	synonymous	0.5	0.4343316	-0.000320755	0.000410276	959544	95768	863776	334	964
FLG	pLoF;missense	0.01	0.6468557	-0.000774057	0.00168958	7250	682	6568	72	306
FLG	pLoF;missense	0.5	0.4745172	0.000881088	0.00123203	24412	2568	21844	74	306
FLG	missense;synonymous	0.01	0.8761955	-9.02277e-05	0.000579148	47573	4083	43490	320	988
FLG	missense;synonymous	0.5	0.4288049	-0.000320747	0.000405374	960666	95837	864829	341	988
FLG	pLoF;missense;synonymous;other	0.01	0.7870403	-0.000149791	0.000554463	53711	4698	49013	386	1273
FLG	pLoF;missense;synonymous;other	0.5	0.6075164	-0.000200082	0.000389552	983966	98338	885628	409	1273
FLG	Cauchy		0.744521							
FLG2	pLoF	0.01	0.7999344	0.00102519	0.00404522	1056	111	945	20	87
FLG2	pLoF	0.5	0.7789044	0.00112	0.00398937	60837	6230	54607	21	87
FLG2	missense	0.01	0.8549004	-0.00170226	0.00930859	268	20	248	3	41
FLG2	missense	0.5	0.8549004	-0.00170226	0.00930859	268	20	248	3	41
FLG2	synonymous	0.01	0.3948712	0.000482286	0.00056685	24943	2353	22590	111	361
FLG2	synonymous	0.5	0.5086529	0.000264408	0.000400051	251139	25431	225708	119	361
FLG2	pLoF;missense	0.01	0.8635038	0.000639489	0.00371978	1322	131	1191	23	128
