Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ZNG1A	pLoF	0.01	3.947112E-01	0.0050601	0.00594533	905	57	848	10	44
ZNG1A	pLoF	0.500000	3.947112E-01	0.0050601	0.00594533	905	57	848	10	44
ZNG1A	missense	0.01	2.505842E-01	0.0025961	0.00225958	8252	417	7835	35	149
ZNG1A	missense	0.500000	2.505842E-01	0.0025961	0.00225958	8252	417	7835	35	149
ZNG1A	synonymous	0.01	9.084561E-01	-0.000972855	0.00846063	512	24	488	12	75
ZNG1A	synonymous	0.5	5.906597E-01	0.00196482	0.00365289	27601	1508	26093	13	75
ZNG1A	pLoF;missense	0.01	1.809887E-01	0.00282901	0.00211481	9155	473	8682	45	193
ZNG1A	pLoF;missense	0.500000	1.809887E-01	0.00282901	0.00211481	9155	473	8682	45	193
ZNG1A	missense;synonymous	0.01	2.791867E-01	0.00236239	0.00218305	8764	441	8323	47	224
ZNG1A	missense;synonymous	0.5	2.349718E-01	0.00214839	0.00180894	35853	1925	33928	48	224
ZNG1A	pLoF;missense;synonymous;other	0.01	1.676248E-01	0.00276551	0.00200417	9953	512	9441	61	292
ZNG1A	pLoF;missense;synonymous;other	0.5	1.475332E-01	0.0024681	0.00170413	159078	8978	150100	63	292
ZNG1A	Cauchy	NA	0.316766	NA	NA	NA	NA	NA	NA	NA
WASHC1	pLoF	0.01	3.596295E-01	0.0195722	0.0213654	63	5	58	2	13
WASHC1	pLoF	0.500000	3.596295E-01	0.0195722	0.0213654	63	5	58	2	13
WASHC1	missense	0.01	8.732716E-01	0.000566688	0.00355281	2341	164	2177	10	41
WASHC1	missense	0.500000	8.732716E-01	0.000566688	0.00355281	2341	164	2177	10	41
WASHC1	synonymous	0.01	6.099681E-01	0.00124123	0.00243322	6381	357	6024	15	33
WASHC1	synonymous	0.500000	6.099681E-01	0.00124123	0.00243322	6381	357	6024	15	33
WASHC1	pLoF;missense	0.01	7.591259E-01	0.00107457	0.00350445	2404	169	2235	12	54
WASHC1	pLoF;missense	0.500000	7.591259E-01	0.00107457	0.00350445	2404	169	2235	12	54
WASHC1	missense;synonymous	0.01	6.081340E-01	0.00103232	0.00201334	8722	521	8201	25	74
WASHC1	missense;synonymous	0.500000	6.081340E-01	0.00103232	0.00201334	8722	521	8201	25	74
WASHC1	pLoF;missense;synonymous;other	0.01	5.971729E-01	0.00105076	0.00198831	8914	532	8382	28	91
WASHC1	pLoF;missense;synonymous;other	0.500000	5.971729E-01	0.00105076	0.00198831	8914	532	8382	28	91
WASHC1	Cauchy	NA	0.686915	NA	NA	NA	NA	NA	NA	NA
DOCK8	pLoF	0.01	7.466348E-01	0.00243061	0.00752326	572	33	539	6	93
DOCK8	pLoF	0.500000	7.466348E-01	0.00243061	0.00752326	572	33	539	6	93
DOCK8	missense	0.01	6.747808E-02	0.00258696	0.00141482	17226	1014	16212	171	1099
DOCK8	missense	0.5	3.286769E-01	0.00111015	0.00113654	565822	32804	533018	177	1099
DOCK8	synonymous	0.01	1.068883E-01	-0.00165346	0.00102551	43871	2048	41823	131	675
DOCK8	synonymous	0.5	4.085549E-01	-0.000723982	0.000876026	1.02957e+06	58056	971512	142	675
DOCK8	pLoF;missense	0.01	6.294654E-02	0.00258579	0.00139053	17795	1047	16748	177	1192
DOCK8	pLoF;missense	0.5	3.095726E-01	0.00114168	0.00112357	566391	32837	533554	183	1192
DOCK8	missense;synonymous	0.01	8.202813E-01	-0.000185946	0.000818485	61055	3060	57995	302	1774
DOCK8	missense;synonymous	0.5	9.561586E-01	-3.70077e-05	0.000673177	1.59535e+06	90858	1.50449e+06	319	1774
DOCK8	pLoF;missense;synonymous;other	0.01	7.967936E-01	-0.000207558	0.000806054	62440	3129	59311	321	1956
