Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.8698963	0.00603547	0.0368488	185	1	184	3	34
ATAD3A	pLoF	0.5	0.8698963	0.00603547	0.0368488	185	1	184	3	34
ATAD3A	missense	0.01	0.6285367	-0.00320581	0.00662648	9792	36	9756	60	226
ATAD3A	missense	0.5	0.6379479	-0.00246774	0.00524414	33731	107	33624	62	226
ATAD3A	synonymous	0.01	0.03947228	0.00906089	0.00440014	23084	97	22987	63	142
ATAD3A	synonymous	0.5	0.02971793	0.00916443	0.0042158	114208	389	113819	65	142
ATAD3A	pLoF;missense	0.01	0.6548487	-0.00291202	0.00651405	9974	37	9937	63	260
ATAD3A	pLoF;missense	0.5	0.6582746	-0.00229203	0.00518211	33913	108	33805	65	260
ATAD3A	missense;synonymous	0.01	0.1502295	0.0052546	0.00365227	32873	133	32740	123	368
ATAD3A	missense;synonymous	0.5	0.17006	0.0044244	0.00322475	147936	496	147440	127	368
ATAD3A	pLoF;missense;synonymous;other	0.01	0.1333938	0.00544291	0.00362655	33176	135	33041	130	418
ATAD3A	pLoF;missense;synonymous;other	0.5	0.1533254	0.00457769	0.00320593	148239	498	147741	134	418
ATAD3A	Cauchy		0.172509							
FLG	pLoF	0.01	0.4370368	0.00517674	0.0066607	10342	44	10298	98	334
FLG	pLoF	0.5	0.5075966	0.003107	0.00468921	38967	166	38801	100	334
FLG	missense	0.01	0.2151326	0.034732	0.0280193	1800	4	1796	8	27
FLG	missense	0.5	0.2151326	0.034732	0.0280193	1800	4	1796	8	27
FLG	synonymous	0.01	0.06802459	-0.00469536	0.00257302	77053	187	76866	401	1133
FLG	synonymous	0.5	0.1066912	-0.00267292	0.00165686	1607290	5346	1601950	422	1133
FLG	pLoF;missense	0.01	0.2956726	0.0067848	0.00648792	12142	48	12094	106	361
FLG	pLoF;missense	0.5	0.3898477	0.00397964	0.00462806	40767	170	40597	108	361
FLG	missense;synonymous	0.01	0.09134853	-0.00429072	0.00254141	78851	191	78660	409	1160
FLG	missense;synonymous	0.5	0.1258865	-0.00252213	0.00164788	1609090	5350	1603740	430	1160
FLG	pLoF;missense;synonymous;other	0.01	0.1898622	-0.00313155	0.0023887	89226	235	88991	508	1497
FLG	pLoF;missense;synonymous;other	0.5	0.2161311	-0.00193982	0.00156831	1648090	5516	1642570	531	1497
FLG	Cauchy		0.173768							
FLG2	pLoF	0.01	0.2560026	-0.0168296	0.0148162	1794	4	1790	26	112
FLG2	pLoF	0.5	0.2128369	-0.0181917	0.0146024	101566	360	101206	27	112
FLG2	missense	0.01	0.3823891	0.033672	0.0385482	449	2	447	9	50
FLG2	missense	0.5	0.3823891	0.033672	0.0385482	449	2	447	9	50
FLG2	synonymous	0.01	0.2621169	-0.00234615	0.00209216	41825	110	41715	146	448
FLG2	synonymous	0.5	0.6792416	-0.000612213	0.00148057	419883	1489	418394	154	448
FLG2	pLoF;missense	0.01	0.4572104	-0.0103003	0.0138547	2240	6	2234	35	162
FLG2	pLoF;missense	0.5	0.3940324	-0.0116588	0.0136788	102012	362	101650	36	162
FLG2	missense;synonymous	0.01	0.2839609	-0.00223853	0.00208922	42271	112	42159	155	498
FLG2	missense;synonymous	0.5	0.7047521	-0.000560549	0.00147936	420329	1491	418838	163	498
FLG2	pLoF;missense;synonymous;other	0.01	0.2307347	-0.00243606	0.00203264	44074	116	43958	181	615
FLG2	pLoF;missense;synonymous;other	0.5	0.6210653	-0.0007155	0.00144738	521904	1851	520053	190	615
FLG2	Cauchy		0.384273							
PIP5K1A	pLoF	0.01	0.5231981	-0.0404742	0.0633971	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.5231981	-0.0404742	0.0633971	82	0	82	1	26
PIP5K1A	missense	0.01	0.420051	0.0175937	0.0218194	1312	5	1307	16	162
PIP5K1A	missense	0.5	0.420051	0.0175937	0.0218194	1312	5	1307	16	162
PIP5K1A	synonymous	0.01	0.8367874	0.00182413	0.00885481	5902	24	5878	22	120
PIP5K1A	synonymous	0.5	0.4456547	-0.00484231	0.00634908	210945	822	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.5777681	0.0115051	0.0206685	1394	5	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.5777681	0.0115051	0.0206685	1394	5	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.6207967	0.00399392	0.00807306	7209	29	7180	38	282
PIP5K1A	missense;synonymous	0.5	0.6197091	-0.0029994	0.00604398	212252	827	211425	40	282
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.7186223	0.00287424	0.00797734	7364	29	7335	40	324
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.5553994	-0.00354021	0.00600353	212407	827	211580	42	324
PIP5K1A	Cauchy		0.590941							
TUFT1	pLoF	0.01	0.005508293	0.080228	0.0289037	129	3	126	2	24
TUFT1	pLoF	0.5	0.005508293	0.080228	0.0289037	129	3	126	2	24
TUFT1	missense	0.01	0.4279343	-0.0112863	0.0142373	2981	6	2975	16	98
TUFT1	missense	0.5	0.4279343	-0.0112863	0.0142373	2981	6	2975	16	98
TUFT1	synonymous	0.01	0.2541811	-0.0403154	0.0353566	615	0	615	12	59
TUFT1	synonymous	0.5	0.2541811	-0.0403154	0.0353566	615	0	615	12	59
TUFT1	pLoF;missense	0.01	0.9260648	0.00128259	0.0138214	3110	9	3101	18	122
TUFT1	pLoF;missense	0.5	0.9260648	0.00128259	0.0138214	3110	9	3101	18	122
TUFT1	missense;synonymous	0.01	0.2524316	-0.0149312	0.0130464	3592	6	3586	28	157
TUFT1	missense;synonymous	0.5	0.2524316	-0.0149312	0.0130464	3592	6	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.7143079	-0.00462691	0.0126392	3762	9	3753	31	190
TUFT1	pLoF;missense;synonymous;other	0.5	0.7143079	-0.00462691	0.0126392	3762	9	3753	31	190
TUFT1	Cauchy		0.0346218							
RIIAD1	pLoF	0.01	0.8512256	-0.0404909	0.215888	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8512256	-0.0404909	0.215888	6	0	6	0	4
RIIAD1	missense	0.01	0.1935308	-0.0410925	0.0316046	849	0	849	4	20
RIIAD1	missense	0.5	0.1935308	-0.0410925	0.0316046	849	0	849	4	20
RIIAD1	synonymous	0.01	0.3103575	-0.0419952	0.0413961	966	0	966	4	15
RIIAD1	synonymous	0.5	0.3103575	-0.0419952	0.0413961	966	0	966	4	15
RIIAD1	pLoF;missense	0.01	0.1889552	-0.0410828	0.0312731	855	0	855	4	24
RIIAD1	pLoF;missense	0.5	0.1889552	-0.0410828	0.0312731	855	0	855	4	24
RIIAD1	missense;synonymous	0.01	0.09586233	-0.0422463	0.0253693	1815	0	1815	8	35
RIIAD1	missense;synonymous	0.5	0.09586233	-0.0422463	0.0253693	1815	0	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.09376612	-0.0422268	0.0251971	1822	0	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.09376612	-0.0422268	0.0251971	1822	0	1822	8	40
RIIAD1	Cauchy		0.202361							
THEM4	pLoF	0.01	0.6489036	-0.0403788	0.088689	61	0	61	1	19
THEM4	pLoF	0.5	0.6489036	-0.0403788	0.088689	61	0	61	1	19
THEM4	missense	0.01	0.1934266	0.0117247	0.00901545	6988	36	6952	6	44
THEM4	missense	0.5	0.1934266	0.0117247	0.00901545	6988	36	6952	6	44
THEM4	synonymous	0.01	0.982738	0.000504632	0.0233233	838	3	835	13	43
THEM4	synonymous	0.5	0.06225128	-0.0295707	0.0158598	51841	171	51670	14	43
THEM4	pLoF;missense	0.01	0.2119239	0.0111988	0.00897129	7049	36	7013	7	63
THEM4	pLoF;missense	0.5	0.2119239	0.0111988	0.00897129	7049	36	7013	7	63
THEM4	missense;synonymous	0.01	0.2218104	0.0102772	0.00841203	7826	39	7787	19	87
THEM4	missense;synonymous	0.5	0.8320969	0.00168055	0.00792662	58829	207	58622	20	87
THEM4	pLoF;missense;synonymous;other	0.01	0.2472315	0.00967823	0.00836422	7910	39	7871	20	112
THEM4	pLoF;missense;synonymous;other	0.5	0.8755958	0.0012347	0.00788668	58913	207	58706	21	112
THEM4	Cauchy		0.734623							
S100A10	missense	0.01	0.07383186	-0.0252138	0.0141044	2268	4	2264	5	37
S100A10	missense	0.5	0.07383186	-0.0252138	0.0141044	2268	4	2264	5	37
S100A10	synonymous	0.01	0.8501385	0.0082754	0.0437987	748	1	747	5	19
S100A10	synonymous	0.5	0.8501385	0.0082754	0.0437987	748	1	747	5	19
S100A10	pLoF;missense	0.01	0.07383186	-0.0252138	0.0141044	2268	4	2264	5	37
S100A10	pLoF;missense	0.5	0.07383186	-0.0252138	0.0141044	2268	4	2264	5	37
