Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.05445956	0.10582	0.0550242	186	2	184	3	34
ATAD3A	pLoF	0.5	0.05445956	0.10582	0.0550242	186	2	184	3	34
ATAD3A	missense	0.01	0.230761	0.0109752	0.00915823	9782	26	9756	60	226
ATAD3A	missense	0.5	0.3597358	0.00646622	0.0070602	33692	68	33624	62	226
ATAD3A	synonymous	0.01	0.6987844	-0.00227415	0.00587693	23025	38	22987	63	142
ATAD3A	synonymous	0.5	0.7929802	-0.00145281	0.00553573	114019	200	113819	65	142
ATAD3A	pLoF;missense	0.01	0.1237976	0.0138654	0.0090092	9965	28	9937	63	260
ATAD3A	pLoF;missense	0.5	0.2358355	0.00828137	0.00698578	33875	70	33805	65	260
ATAD3A	missense;synonymous	0.01	0.746991	0.00158669	0.00491829	32804	64	32740	123	368
ATAD3A	missense;synonymous	0.5	0.7256035	0.00148603	0.00423393	147708	268	147440	127	368
ATAD3A	pLoF;missense;synonymous;other	0.01	0.5414232	0.00298429	0.00488697	33108	67	33041	129	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.548926	0.00252527	0.0042132	148012	271	147741	133	420
ATAD3A	Cauchy		0.242873							
FLG	pLoF	0.01	0.2960281	0.00949777	0.00908887	10324	26	10298	98	335
FLG	pLoF	0.5	0.59688	0.00344041	0.00650494	38885	84	38801	100	335
FLG	missense	0.01	0.1877563	-0.0439403	0.0333577	1796	0	1796	8	27
FLG	missense	0.5	0.1877563	-0.0439403	0.0333577	1796	0	1796	8	27
FLG	synonymous	0.01	0.1648671	-0.00452289	0.00325648	76972	106	76866	400	1133
FLG	synonymous	0.5	0.08886645	-0.00375572	0.00220742	1604630	2685	1601950	421	1133
FLG	pLoF;missense	0.01	0.5064793	0.0058385	0.00878856	12120	26	12094	106	362
FLG	pLoF;missense	0.5	0.7886894	0.00171344	0.00639314	40681	84	40597	108	362
FLG	missense;synonymous	0.01	0.135849	-0.00477826	0.00320382	78766	106	78660	408	1160
FLG	missense;synonymous	0.5	0.07617077	-0.00388346	0.0021899	1606420	2685	1603740	429	1160
FLG	pLoF;missense;synonymous;other	0.01	0.2849128	-0.00325002	0.00303925	89123	132	88991	507	1498
FLG	pLoF;missense;synonymous;other	0.5	0.1267521	-0.00319525	0.00209245	1645340	2769	1642570	530	1498
FLG	Cauchy		0.197066							
FLG2	pLoF	0.01	0.7781454	-0.00586041	0.020801	1793	3	1790	26	112
FLG2	pLoF	0.5	0.6489097	-0.00933647	0.0205072	101384	178	101206	27	112
FLG2	missense	0.01	0.4421574	-0.0405335	0.0527399	447	0	447	9	50
FLG2	missense	0.5	0.4421574	-0.0405335	0.0527399	447	0	447	9	50
FLG2	synonymous	0.01	0.7995607	0.000727993	0.00286706	41791	76	41715	145	448
FLG2	synonymous	0.5	0.623199	-0.00100198	0.00203936	419134	740	418394	153	448
FLG2	pLoF;missense	0.01	0.5879702	-0.0105028	0.0193857	2237	3	2234	35	162
FLG2	pLoF;missense	0.5	0.4833796	-0.0134201	0.0191476	101828	178	101650	36	162
FLG2	missense;synonymous	0.01	0.8318443	0.000608042	0.00286357	42235	76	42159	154	498
FLG2	missense;synonymous	0.5	0.6028366	-0.00106034	0.00203785	419578	740	418838	162	498
