Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.116403	-0.00915535	0.00583124	9239	47	9192	44	182
HRNR	pLoF	0.5	0.116403	-0.00915535	0.00583124	9239	47	9192	44	182
HRNR	missense	0.01	0.5906275	0.0124438	0.0231328	347	4	343	7	51
HRNR	missense	0.5	0.5906275	0.0124438	0.0231328	347	4	343	7	51
HRNR	synonymous	0.01	0.6794638	0.00172474	0.00417415	13431	96	13335	144	524
HRNR	synonymous	0.5	0.3260989	0.00263268	0.00268093	1471000	10355	1460640	161	524
HRNR	pLoF;missense	0.01	0.1622553	-0.0079055	0.00565678	9586	51	9535	51	233
HRNR	pLoF;missense	0.5	0.1622553	-0.0079055	0.00565678	9586	51	9535	51	233
HRNR	missense;synonymous	0.01	0.6233283	0.00202012	0.00411314	13776	100	13676	151	575
HRNR	missense;synonymous	0.5	0.3026873	0.00274706	0.00266527	1471340	10359	1460980	168	575
HRNR	pLoF;missense;synonymous;other	0.01	0.5774401	-0.00187811	0.00337106	23087	147	22940	197	761
HRNR	pLoF;missense;synonymous;other	0.5	0.8246873	0.000525869	0.00237391	1509460	10569	1498890	215	761
HRNR	Cauchy		0.339523							
FLG	pLoF	0.01	0.1195148	-0.00741833	0.00476507	11176	62	11114	89	526
FLG	pLoF	0.5	0.3001176	-0.00370188	0.00357262	23593	173	23420	91	526
FLG	missense	0.01	0.2350596	-0.0401567	0.0338182	206	0	206	4	31
FLG	missense	0.5	0.8326274	0.00142403	0.00673832	11994	71	11923	6	31
FLG	synonymous	0.01	0.0805959	0.0024233	0.00138693	98943	693	98250	350	1180
FLG	synonymous	0.5	0.04148555	0.00242113	0.00118762	1463230	10321	1452910	370	1180
FLG	pLoF;missense	0.01	0.08828046	-0.00804832	0.0047217	11382	62	11320	93	557
FLG	pLoF;missense	0.5	0.4104101	-0.00262796	0.00319248	35587	244	35343	97	557
FLG	missense;synonymous	0.01	0.0886737	0.00235944	0.00138592	99147	693	98454	354	1211
FLG	missense;synonymous	0.5	0.04650732	0.00226343	0.00113697	1475220	10392	1464830	376	1211
FLG	pLoF;missense;synonymous;other	0.01	0.2193005	0.00163302	0.0013294	110364	756	109608	445	1744
FLG	pLoF;missense;synonymous;other	0.5	0.1031037	0.00179124	0.00109893	1498860	10566	1488290	469	1744
FLG	Cauchy		0.112846							
FLG2	pLoF	0.01	0.7431037	0.00367166	0.0112028	1678	14	1664	25	223
FLG2	pLoF	0.5	0.04914556	0.012833	0.00652305	118831	896	117935	27	223
FLG2	missense	0.01	0.121816	0.020615	0.0133241	1657	15	1642	7	69
FLG2	missense	0.5	0.121816	0.020615	0.0133241	1657	15	1642	7	69
FLG2	synonymous	0.01	0.4217891	-0.00224001	0.00278844	32156	188	31968	105	542
FLG2	synonymous	0.5	0.5047415	-0.00180134	0.00270046	267329	1885	265444	109	542
FLG2	pLoF;missense	0.01	0.2153096	0.0106743	0.00861461	3335	29	3306	32	292
FLG2	pLoF;missense	0.5	0.01448697	0.0143651	0.00587541	120488	911	119577	34	292
FLG2	missense;synonymous	0.01	0.6312527	-0.00131875	0.0027476	33813	203	33610	112	611
FLG2	missense;synonymous	0.5	0.720928	-0.000955079	0.00267365	268986	1900	267086	116	611
FLG2	pLoF;missense;synonymous;other	0.01	0.6950828	-0.0010426	0.00265991	35482	217	35265	137	836
FLG2	pLoF;missense;synonymous;other	0.5	0.6809802	0.00101787	0.00247581	387808	2796	385012	143	836
FLG2	Cauchy		0.11666							
RPTN	pLoF	0.01	0.09778697	-0.0221753	0.0133935	1427	4	1423	21	100
RPTN	pLoF	0.5	0.1007942	-0.021981	0.0133948	124040	986	123054	22	100
RPTN	missense	0.01	0.633886	0.00648731	0.0136212	1157	11	1146	5	40
RPTN	missense	0.5	0.633886	0.00648731	0.0136212	1157	11	1146	5	40
RPTN	synonymous	0.01	0.6734472	0.005225	0.0123985	1992	12	1980	24	154
RPTN	synonymous	0.5	0.0003028915	0.0207831	0.00575261	7358	79	7279	25	154
RPTN	pLoF;missense	0.01	0.3980117	-0.00808051	0.00956073	2584	15	2569	26	140
RPTN	pLoF;missense	0.5	0.4038866	-0.00798129	0.00956187	125197	997	124200	27	140
RPTN	missense;synonymous	0.01	0.5108046	0.0060569	0.00921083	3143	23	3120	29	194
RPTN	missense;synonymous	0.5	0.0004897727	0.0182574	0.00523691	8509	90	8419	30	194
RPTN	pLoF;missense;synonymous;other	0.01	0.6786941	-0.00315028	0.00760487	4576	27	4549	50	298
RPTN	pLoF;missense;synonymous;other	0.5	0.01158473	0.0141432	0.00560227	132555	1076	131479	52	298
RPTN	Cauchy		0.00220412							
CRNN	pLoF	0.01	0.16357	-0.0304312	0.0218432	307	0	307	6	51
CRNN	pLoF	0.5	0.16357	-0.0304312	0.0218432	307	0	307	6	51
CRNN	missense	0.01	0.6488274	0.00766276	0.0168267	959	7	952	11	72
CRNN	missense	0.5	0.6488274	0.00766276	0.0168267	959	7	952	11	72
CRNN	synonymous	0.01	0.5033029	0.00588693	0.00879563	3413	25	3388	26	129
CRNN	synonymous	0.5	0.9111703	0.000793877	0.00711598	25065	141	24924	27	129
CRNN	pLoF;missense	0.01	0.6274331	-0.00648181	0.0133551	1263	7	1256	17	123
CRNN	pLoF;missense	0.5	0.6274331	-0.00648181	0.0133551	1263	7	1256	17	123
CRNN	missense;synonymous	0.01	0.4207777	0.00629035	0.0078134	4372	32	4340	37	201
CRNN	missense;synonymous	0.5	0.7788399	0.00185043	0.00658912	26024	148	25876	38	201
CRNN	pLoF;missense;synonymous;other	0.01	0.8331727	0.00151728	0.00720339	4850	33	4817	45	253
CRNN	pLoF;missense;synonymous;other	0.5	0.8464863	-0.00120228	0.00621001	26502	149	26353	46	253
CRNN	Cauchy		0.655939							
POMC	pLoF	0.01	0.3614622	-0.0100697	0.0110342	1695	8	1687	19	82
POMC	pLoF	0.5	0.419416	-0.00846202	0.0104801	52709	373	52336	20	82
POMC	missense	0.01	0.2871756	-0.00768004	0.00721579	4522	29	4493	16	118
POMC	missense	0.5	0.2871756	-0.00768004	0.00721579	4522	29	4493	16	118
POMC	synonymous	0.01	0.4094999	0.00573114	0.00694874	4997	48	4949	14	122
POMC	synonymous	0.5	0.4388287	0.00321255	0.00414966	22399	129	22270	16	122
POMC	pLoF;missense	0.01	0.1677563	-0.00829989	0.00601681	6216	37	6179	35	200
POMC	pLoF;missense	0.5	0.183222	-0.00792151	0.005952	57230	402	56828	36	200
POMC	missense;synonymous	0.01	0.8936705	-0.000671929	0.0050271	9508	77	9431	30	240
POMC	missense;synonymous	0.5	0.8814637	0.000538628	0.00361219	26910	158	26752	32	240
POMC	pLoF;missense;synonymous;other	0.01	0.6184864	-0.00227766	0.00457364	11205	85	11120	49	324
POMC	pLoF;missense;synonymous;other	0.5	0.9034156	-0.000416499	0.00343228	79621	531	79090	52	324
POMC	Cauchy		0.577376							
DNMT3A	pLoF	0.01	0.3697742	0.00983998	0.0109711	928	18	910	7	396
DNMT3A	pLoF	0.5	0.3697742	0.00983998	0.0109711	928	18	910	7	396
DNMT3A	missense	0.01	0.1049656	0.0108373	0.00668459	3473	49	3424	43	529
DNMT3A	missense	0.5	0.1049656	0.0108373	0.00668459	3473	49	3424	43	529
DNMT3A	synonymous	0.01	0.1305335	-0.00863322	0.0057098	8463	45	8418	46	215
DNMT3A	synonymous	0.5	0.4607906	-0.00352559	0.00478016	156429	1173	155256	49	215
DNMT3A	pLoF;missense	0.01	0.06077888	0.0109715	0.00585113	4388	67	4321	50	925
DNMT3A	pLoF;missense	0.5	0.06077888	0.0109715	0.00585113	4388	67	4321	50	925
DNMT3A	missense;synonymous	0.01	0.9002485	-0.000547772	0.00437003	11934	94	11840	89	744
DNMT3A	missense;synonymous	0.5	0.7485023	0.00125616	0.00391798	159900	1222	158678	92	744
DNMT3A	pLoF;missense;synonymous;other	0.01	0.4182225	0.00315013	0.00389141	14108	128	13980	104	1278
DNMT3A	pLoF;missense;synonymous;other	0.5	0.2560494	0.00404971	0.00356558	162074	1256	160818	107	1278
DNMT3A	Cauchy		0.198961							
DTNB	pLoF	0.01	0.8141435	-0.0403048	0.171448	14	0	14	0	13
DTNB	pLoF	0.5	0.8141435	-0.0403048	0.171448	14	0	14	0	13
DTNB	missense	0.01	0.5116116	-0.0405795	0.0618279	67	0	67	0	57
DTNB	missense	0.5	0.5116116	-0.0405795	0.0618279	67	0	67	0	57
DTNB	synonymous	0.01	0.575633	-0.0409388	0.0731345	33	0	33	0	26
DTNB	synonymous	0.5	0.575633	-0.0409388	0.0731345	33	0	33	0	26
DTNB	pLoF;missense	0.01	0.4856775	-0.0405919	0.0582213	81	0	81	0	70
DTNB	pLoF;missense	0.5	0.4856775	-0.0405919	0.0582213	81	0	81	0	70
DTNB	missense;synonymous	0.01	0.4066551	-0.0408115	0.0491827	94	0	94	0	83
DTNB	missense;synonymous	0.5	0.4066551	-0.0408115	0.0491827	94	0	94	0	83
DTNB	pLoF;missense;synonymous;other	0.01	0.3624343	-0.0408355	0.0448379	123	0	123	0	111
DTNB	pLoF;missense;synonymous;other	0.5	0.3624343	-0.0408355	0.0448379	123	0	123	0	111
DTNB	Cauchy		0.551737							
KCNK12	pLoF	0.01	0.535226	0.034016	0.0548602	68	1	67	2	13
KCNK12	pLoF	0.5	0.535226	0.034016	0.0548602	68	1	67	2	13
KCNK12	missense	0.01	0.9899844	-0.00019467	0.0155078	627	7	620	9	141
KCNK12	missense	0.5	0.9899844	-0.00019467	0.0155078	627	7	620	9	141
KCNK12	synonymous	0.01	0.6803109	0.0024877	0.00603754	8955	60	8895	21	213
KCNK12	synonymous	0.5	0.5598289	0.00271199	0.00465102	262787	1952	260835	23	213
KCNK12	pLoF;missense	0.01	0.8763345	0.00232573	0.0149451	695	8	687	11	154
KCNK12	pLoF;missense	0.5	0.8763345	0.00232573	0.0149451	695	8	687	11	154
KCNK12	missense;synonymous	0.01	0.6993703	0.00217753	0.00563877	9579	67	9512	30	354
KCNK12	missense;synonymous	0.5	0.575319	0.00249875	0.00446018	263411	1959	261452	32	354
KCNK12	pLoF;missense;synonymous;other	0.01	0.6206963	0.0027628	0.00558296	9741	69	9672	34	394
KCNK12	pLoF;missense;synonymous;other	0.5	0.5184271	0.00286098	0.00443033	263573	1961	261612	36	394
KCNK12	Cauchy		0.946629							
MSH6	pLoF	0.01	0.2923029	-0.018557	0.0176216	1023	3	1020	7	109
MSH6	pLoF	0.5	0.2923029	-0.018557	0.0176216	1023	3	1020	7	109
MSH6	missense	0.01	0.8426302	0.00116107	0.00584834	6419	52	6367	76	671
MSH6	missense	0.5	0.8426302	0.00116107	0.00584834	6419	52	6367	76	671
MSH6	synonymous	0.01	0.6205342	-0.00264451	0.00534143	7800	50	7750	64	509
MSH6	synonymous	0.5	0.0646816	-0.00594884	0.00322002	325114	2685	322429	72	509
MSH6	pLoF;missense	0.01	0.88505	-0.000806833	0.0055809	7439	55	7384	83	780
MSH6	pLoF;missense	0.5	0.88505	-0.000806833	0.0055809	7439	55	7384	83	780
MSH6	missense;synonymous	0.01	0.8284474	-0.000865499	0.00399412	14198	102	14096	140	1180
MSH6	missense;synonymous	0.5	0.1268053	-0.00435489	0.00285226	331512	2737	328775	148	1180
