Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.4939165	-0.0283128	0.0413873	184	0	184	3	34
ATAD3A	pLoF	0.5	0.4939165	-0.0283128	0.0413873	184	0	184	3	34
ATAD3A	missense	0.01	0.6029289	-0.00369191	0.0070972	9786	31	9755	59	227
ATAD3A	missense	0.5	0.718565	0.00195413	0.00542246	33734	111	33623	61	227
ATAD3A	synonymous	0.01	0.2463322	-0.00522532	0.00450729	23045	58	22987	63	142
ATAD3A	synonymous	0.5	0.2176497	-0.00522394	0.00423745	114154	335	113819	65	142
ATAD3A	pLoF;missense	0.01	0.5327506	-0.00435955	0.00698856	9967	31	9936	62	261
ATAD3A	pLoF;missense	0.5	0.7863257	0.00145537	0.00536867	33915	111	33804	64	261
ATAD3A	missense;synonymous	0.01	0.2114615	-0.00472782	0.0037836	32828	89	32739	122	369
ATAD3A	missense;synonymous	0.5	0.4685185	-0.00234349	0.00323289	147885	446	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.2154155	-0.00465759	0.00375973	33130	90	33040	128	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.4721857	-0.00231294	0.00321721	148187	447	147740	132	420
ATAD3A	Cauchy		0.435119							
FLG	pLoF	0.01	0.9622139	-0.000335659	0.00708507	10332	34	10298	98	335
FLG	pLoF	0.5	0.1622573	-0.00704121	0.00503836	38918	117	38801	100	335
FLG	missense	0.01	0.9797731	0.000625566	0.0246738	1799	3	1796	8	27
FLG	missense	0.5	0.9797731	0.000625566	0.0246738	1799	3	1796	8	27
FLG	synonymous	0.01	0.4210749	-0.00205413	0.00255311	77064	198	76866	400	1135
FLG	synonymous	0.5	0.9804421	-4.17735e-05	0.00170403	1607490	5543	1601950	421	1135
FLG	pLoF;missense	0.01	0.9698846	-0.000257691	0.00682573	12131	37	12094	106	362
FLG	pLoF;missense	0.5	0.1721452	-0.00674883	0.00494295	40717	120	40597	108	362
FLG	missense;synonymous	0.01	0.431952	-0.00196905	0.00250561	78861	201	78660	408	1162
FLG	missense;synonymous	0.5	0.9826229	-3.67837e-05	0.00168882	1609290	5546	1603740	429	1162
FLG	pLoF;missense;synonymous;other	0.01	0.4337217	-0.00186084	0.00237704	89226	235	88991	507	1500
FLG	pLoF;missense;synonymous;other	0.5	0.6287676	-0.000780989	0.00161541	1648240	5663	1642570	530	1500
FLG	Cauchy		0.953298							
FLG2	pLoF	0.01	0.9467223	-0.00106141	0.0158838	1796	6	1790	26	112
FLG2	pLoF	0.5	0.9913009	-0.000170775	0.0156633	101554	348	101206	27	112
FLG2	missense	0.01	0.3028861	-0.0405239	0.0393335	447	0	447	9	50
FLG2	missense	0.5	0.3028861	-0.0405239	0.0393335	447	0	447	9	50
FLG2	synonymous	0.01	0.6884921	0.000896482	0.00223616	41847	132	41715	145	448
FLG2	synonymous	0.5	0.5094367	0.00104396	0.00158244	419825	1431	418394	153	448
FLG2	pLoF;missense	0.01	0.6575844	-0.00654003	0.0147547	2240	6	2234	35	162
FLG2	pLoF;missense	0.5	0.6989209	-0.0056387	0.0145787	101998	348	101650	36	162
FLG2	missense;synonymous	0.01	0.7314941	0.00076629	0.00223318	42291	132	42159	154	498
FLG2	missense;synonymous	0.5	0.5361063	0.000978361	0.00158129	420269	1431	418838	162	498
FLG2	pLoF;missense;synonymous;other	0.01	0.7447936	0.000708936	0.00217791	44096	138	43958	180	615
FLG2	pLoF;missense;synonymous;other	0.5	0.5450327	0.000937796	0.00154951	521832	1779	520053	189	615
FLG2	Cauchy		0.917316							
PIP5K1A	pLoF	0.01	0.5764658	-0.040268	0.0720932	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.5764658	-0.040268	0.0720932	82	0	82	1	26
PIP5K1A	missense	0.01	0.8264626	-0.00481638	0.0219684	1310	3	1307	16	162
PIP5K1A	missense	0.5	0.8264626	-0.00481638	0.0219684	1310	3	1307	16	162
PIP5K1A	synonymous	0.01	0.5452618	0.00573718	0.00948489	5901	23	5878	22	120
PIP5K1A	synonymous	0.5	0.5589545	0.00397336	0.00679909	210845	722	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.7110292	-0.0077979	0.0210484	1392	3	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.7110292	-0.0077979	0.0210484	1392	3	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.6429745	0.0039153	0.00844644	7206	26	7180	38	282
PIP5K1A	missense;synonymous	0.5	0.6225953	0.00314349	0.00638693	212150	725	211425	40	282
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.7255864	0.00293355	0.00835764	7361	26	7335	40	324
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.6836779	0.00258682	0.00634882	212305	725	211580	42	324
PIP5K1A	Cauchy		0.688548							
TUFT1	pLoF	0.01	0.5165153	-0.0402856	0.0620996	126	0	126	2	23
TUFT1	pLoF	0.5	0.5165153	-0.0402856	0.0620996	126	0	126	2	23
TUFT1	missense	0.01	0.4982701	0.00976229	0.0144154	2985	10	2975	16	98
TUFT1	missense	0.5	0.4982701	0.00976229	0.0144154	2985	10	2975	16	98
TUFT1	synonymous	0.01	0.6187981	-0.0156293	0.0314123	616	1	615	12	59
TUFT1	synonymous	0.5	0.6187981	-0.0156293	0.0314123	616	1	615	12	59
TUFT1	pLoF;missense	0.01	0.6078381	0.00720645	0.0140432	3111	10	3101	18	121
TUFT1	pLoF;missense	0.5	0.6078381	0.00720645	0.0140432	3111	10	3101	18	121
TUFT1	missense;synonymous	0.01	0.6857916	0.00524498	0.0129642	3597	11	3586	28	157
TUFT1	missense;synonymous	0.5	0.6857916	0.00524498	0.0129642	3597	11	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.8235779	0.00281175	0.0126118	3764	11	3753	31	189
TUFT1	pLoF;missense;synonymous;other	0.5	0.8235779	0.00281175	0.0126118	3764	11	3753	31	189
TUFT1	Cauchy		0.650393							
RIIAD1	pLoF	0.01	0.8737723	-0.0402259	0.253202	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8737723	-0.0402259	0.253202	6	0	6	0	4
RIIAD1	missense	0.01	0.8367158	0.00639399	0.0310243	851	2	849	4	20
RIIAD1	missense	0.5	0.8367158	0.00639399	0.0310243	851	2	849	4	20
RIIAD1	synonymous	0.01	0.7050371	-0.0131224	0.0346667	967	1	966	4	15
RIIAD1	synonymous	0.5	0.7050371	-0.0131224	0.0346667	967	1	966	4	15
RIIAD1	pLoF;missense	0.01	0.8529945	0.00570637	0.0307954	857	2	855	4	24
RIIAD1	pLoF;missense	0.5	0.8529945	0.00570637	0.0307954	857	2	855	4	24
RIIAD1	missense;synonymous	0.01	0.9201738	-0.00235146	0.0234642	1818	3	1815	8	35
RIIAD1	missense;synonymous	0.5	0.9201738	-0.00235146	0.0234642	1818	3	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.9086019	-0.00268217	0.0233634	1825	3	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.9086019	-0.00268217	0.0233634	1825	3	1822	8	40
RIIAD1	Cauchy		0.872855							
THEM4	pLoF	0.01	0.658743	-0.0402492	0.0911339	61	0	61	1	19
THEM4	pLoF	0.5	0.658743	-0.0402492	0.0911339	61	0	61	1	19
THEM4	missense	0.01	0.005470729	0.0223564	0.00804787	6990	38	6952	6	44
THEM4	missense	0.5	0.005470729	0.0223564	0.00804787	6990	38	6952	6	44
THEM4	synonymous	0.01	0.1818812	0.0322649	0.0241688	840	5	835	13	43
