Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.8551012	0.000626181	0.00342899	2352	261	2091	15	101
HRNR	pLoF	0.5	0.8551012	0.000626181	0.00342899	2352	261	2091	15	101
HRNR	missense	0.01	0.2235536	0.0125052	0.0102743	113	33	80	2	28
HRNR	missense	0.5	0.2235536	0.0125052	0.0102743	113	33	80	2	28
HRNR	synonymous	0.01	0.9295759	-0.000188232	0.00212984	4818	638	4180	57	340
HRNR	synonymous	0.5	0.7496665	-0.000523349	0.00164019	396066	61121	334945	72	340
HRNR	pLoF;missense	0.01	0.590957	0.0017527	0.00326115	2465	294	2171	17	129
HRNR	pLoF;missense	0.5	0.590957	0.0017527	0.00326115	2465	294	2171	17	129
HRNR	missense;synonymous	0.01	0.9759686	6.32318e-05	0.00209909	4927	668	4259	59	368
HRNR	missense;synonymous	0.5	0.8215786	-0.00036669	0.00162601	396175	61151	335024	74	368
HRNR	pLoF;missense;synonymous;other	0.01	0.994899	1.15657e-05	0.00180908	7295	932	6363	75	471
HRNR	pLoF;missense;synonymous;other	0.5	0.6583803	-0.000640281	0.00144811	405136	61591	343545	91	471
HRNR	Cauchy		0.955618							
FLG	pLoF	0.01	0.03866955	0.00515511	0.00249318	3060	535	2525	29	324
FLG	pLoF	0.5	6.32255e-05	0.00674851	0.00168694	7219	1803	5416	31	324
FLG	missense	0.01	0.7699395	-0.0017945	0.00613601	2707	76	2631	4	16
FLG	missense	0.5	0.7699395	-0.0017945	0.00613601	2707	76	2631	4	16
FLG	synonymous	0.01	0.6646636	0.000416648	0.000961163	30045	2916	27129	176	758
FLG	synonymous	0.5	0.9517033	-4.27212e-05	0.000705344	393659	59516	334143	192	758
FLG	pLoF;missense	0.01	0.06673646	0.00424129	0.00231329	5767	611	5156	33	340
FLG	pLoF;missense	0.5	0.0001480603	0.00620586	0.00163558	9926	1879	8047	35	340
FLG	missense;synonymous	0.01	0.6962877	0.000363178	0.000930423	32751	2992	29759	180	774
FLG	missense;synonymous	0.5	0.935176	-5.63758e-05	0.000693136	396365	59592	336773	196	774
FLG	pLoF;missense;synonymous;other	0.01	0.3039579	0.000886067	0.000861948	35794	3526	32268	209	1103
FLG	pLoF;missense;synonymous;other	0.5	0.1579488	0.000914806	0.000647878	403567	61394	342173	227	1103
FLG	Cauchy		0.000531631							
FLG2	pLoF	0.01	0.6859979	0.00130973	0.00323957	1915	375	1540	8	107
FLG2	pLoF	0.5	0.7045615	0.00122454	0.00322952	32763	5469	27294	9	107
FLG2	missense	0.01	0.6899773	0.00419459	0.0105158	406	24	382	2	32
FLG2	missense	0.5	0.6899773	0.00419459	0.0105158	406	24	382	2	32
FLG2	synonymous	0.01	0.4720459	0.00145371	0.00202141	7651	629	7022	44	290
FLG2	synonymous	0.5	0.8163019	0.000441132	0.00189894	71359	10463	60896	48	290
FLG2	pLoF;missense	0.01	0.6333085	0.00148314	0.00310882	2320	398	1922	10	139
FLG2	pLoF;missense	0.5	0.6506826	0.00140373	0.00310002	33168	5492	27676	11	139
FLG2	missense;synonymous	0.01	0.4506352	0.00150608	0.00199651	8055	652	7403	46	322
FLG2	missense;synonymous	0.5	0.7857553	0.00051169	0.00188241	71763	10486	61277	50	322
FLG2	pLoF;missense;synonymous;other	0.01	0.3857161	0.00149126	0.00171921	9957	1023	8934	54	430
FLG2	pLoF;missense;synonymous;other	0.5	0.66433	0.00071405	0.00164549	104513	15951	88562	59	430
FLG2	Cauchy		0.65729							
RPTN	pLoF	0.01	0.8384415	-0.00164238	0.00805532	367	41	326	3	64
RPTN	pLoF	0.5	0.8282348	-0.00174792	0.00805618	34542	6236	28306	4	64
RPTN	missense	0.01	0.2808931	0.00601021	0.0055737	381	111	270	2	25
RPTN	missense	0.5	0.2808931	0.00601021	0.0055737	381	111	270	2	25
RPTN	synonymous	0.01	0.156623	-0.0109903	0.00775864	506	37	469	8	85
RPTN	synonymous	0.5	0.678173	-0.0014795	0.00356542	2021	339	1682	9	85
RPTN	pLoF;missense	0.01	0.4411407	0.00354467	0.00460186	748	152	596	5	89
RPTN	pLoF;missense	0.5	0.4455084	0.0035114	0.00460255	34923	6347	28576	6	89
RPTN	missense;synonymous	0.01	0.9962884	2.1198e-05	0.00455695	885	147	738	10	110
RPTN	missense;synonymous	0.5	0.8395416	0.000609997	0.00301263	2400	449	1951	11	110
RPTN	pLoF;missense;synonymous;other	0.01	0.9844052	-7.83998e-05	0.00401095	1253	189	1064	13	176
RPTN	pLoF;missense;synonymous;other	0.5	0.8654465	0.000480969	0.00283849	36943	6686	30257	15	176
RPTN	Cauchy		0.96554							
CRNN	pLoF	0.01	0.8921188	0.00185234	0.0136579	70	16	54	0	23
CRNN	pLoF	0.5	0.8921188	0.00185234	0.0136579	70	16	54	0	23
CRNN	missense	0.01	0.259309	-0.0122453	0.0108555	250	19	231	4	39
CRNN	missense	0.5	0.259309	-0.0122453	0.0108555	250	19	231	4	39
CRNN	synonymous	0.01	0.08437988	0.00825316	0.00478217	912	140	772	12	66
CRNN	synonymous	0.5	0.116274	0.00672942	0.0042846	5728	258	5470	13	66
CRNN	pLoF;missense	0.01	0.420789	-0.00690686	0.00857938	320	35	285	4	62
CRNN	pLoF;missense	0.5	0.420789	-0.00690686	0.00857938	320	35	285	4	62
CRNN	missense;synonymous	0.01	0.2575575	0.00498018	0.00439874	1162	159	1003	16	105
CRNN	missense;synonymous	0.5	0.2913704	0.00423185	0.00401077	5978	277	5701	17	105
CRNN	pLoF;missense;synonymous;other	0.01	0.278176	0.00450346	0.00415285	1273	179	1094	17	130
CRNN	pLoF;missense;synonymous;other	0.5	0.3082204	0.00389146	0.00381904	6089	297	5792	18	130
CRNN	Cauchy		0.346809							
POMC	pLoF	0.01	0.5690468	-0.00333693	0.00585985	428	52	376	9	43
POMC	pLoF	0.5	0.7751654	-0.00153197	0.00536357	13695	1910	11785	10	43
POMC	missense	0.01	0.1162291	0.00556654	0.00354376	1345	279	1066	8	60
POMC	missense	0.5	0.1162291	0.00556654	0.00354376	1345	279	1066	8	60
POMC	synonymous	0.01	0.190788	-0.00416811	0.00318602	1508	358	1150	2	83
POMC	synonymous	0.5	0.08177861	-0.00390912	0.00224603	5943	604	5339	4	83
POMC	pLoF;missense	0.01	0.294187	0.00319269	0.00304361	1770	331	1439	17	103
POMC	pLoF;missense	0.5	0.2459268	0.00346468	0.00298602	15037	2189	12848	18	103
POMC	missense;synonymous	0.01	0.9484049	0.000154416	0.00238628	2849	637	2212	10	143
POMC	missense;synonymous	0.5	0.5193062	-0.00123166	0.00191129	7284	883	6401	12	143
POMC	pLoF;missense;synonymous;other	0.01	0.8689057	-0.000366551	0.00222087	3273	689	2584	19	186
POMC	pLoF;missense;synonymous;other	0.5	0.4731262	-0.00130404	0.00181772	20975	2793	18182	22	186
POMC	Cauchy		0.434384							
DNMT3A	pLoF	0.01	0.4911963	-0.003484	0.00506095	372	150	222	2	232
DNMT3A	pLoF	0.5	0.4911963	-0.003484	0.00506095	372	150	222	2	232
DNMT3A	missense	0.01	0.6357969	-0.00148221	0.00312977	1227	367	860	11	313
DNMT3A	missense	0.5	0.6357969	-0.00148221	0.00312977	1227	367	860	11	313
DNMT3A	synonymous	0.01	0.6280548	0.00160135	0.0033054	3581	278	3303	19	130
DNMT3A	synonymous	0.5	0.6783286	0.00129734	0.00312805	44086	8302	35784	21	130
DNMT3A	pLoF;missense	0.01	0.4496741	-0.00210084	0.00277905	1594	515	1079	13	545
DNMT3A	pLoF;missense	0.5	0.4496741	-0.00210084	0.00277905	1594	515	1079	13	545
DNMT3A	missense;synonymous	0.01	0.9818508	-5.25857e-05	0.00231161	4806	644	4162	30	443
DNMT3A	missense;synonymous	0.5	0.9571959	-0.000120937	0.00225324	45311	8668	36643	32	443
DNMT3A	pLoF;missense;synonymous;other	0.01	0.595416	-0.00113564	0.00213867	5487	820	4667	33	741
DNMT3A	pLoF;missense;synonymous;other	0.5	0.58311	-0.00114858	0.00209271	45992	8844	37148	35	741
DNMT3A	Cauchy		0.867202							
DTNB	pLoF	0.01	0.2212908	0.0926095	0.0757169	5	1	4	0	4
DTNB	pLoF	0.5	0.2212908	0.0926095	0.0757169	5	1	4	0	4
DTNB	missense	0.01	0.6958919	-0.0102077	0.0261153	23	3	20	0	20
DTNB	missense	0.5	0.6958919	-0.0102077	0.0261153	23	3	20	0	20
DTNB	synonymous	0.01	0.3239816	-0.0516159	0.0523324	8	0	8	0	9
DTNB	synonymous	0.5	0.3239816	-0.0516159	0.0523324	8	0	8	0	9
DTNB	pLoF;missense	0.01	0.9775675	0.000695087	0.0247198	28	4	24	0	24
DTNB	pLoF;missense	0.5	0.9775675	0.000695087	0.0247198	28	4	24	0	24
DTNB	missense;synonymous	0.01	0.4382247	-0.0182437	0.0235343	30	3	27	0	29
DTNB	missense;synonymous	0.5	0.4382247	-0.0182437	0.0235343	30	3	27	0	29
DTNB	pLoF;missense;synonymous;other	0.01	0.5975136	-0.0114188	0.0216274	39	4	35	0	37
DTNB	pLoF;missense;synonymous;other	0.5	0.5975136	-0.0114188	0.0216274	39	4	35	0	37
DTNB	Cauchy		0.86399							
KCNK12	pLoF	0.01	0.9314084	0.00245943	0.0285738	17	4	13	0	8
KCNK12	pLoF	0.5	0.9314084	0.00245943	0.0285738	17	4	13	0	8
KCNK12	missense	0.01	0.3047	-0.00835725	0.00814224	199	44	155	2	63
KCNK12	missense	0.5	0.3047	-0.00835725	0.00814224	199	44	155	2	63
KCNK12	synonymous	0.01	0.5931382	0.00201644	0.00377403	2196	219	1977	5	118
KCNK12	synonymous	0.5	0.1169219	0.00393519	0.00250997	73755	13596	60159	7	118
KCNK12	pLoF;missense	0.01	0.3343761	-0.00757615	0.00784819	216	48	168	2	71
KCNK12	pLoF;missense	0.5	0.3343761	-0.00757615	0.00784819	216	48	168	2	71
KCNK12	missense;synonymous	0.01	0.9552994	0.000193146	0.00344576	2394	263	2131	7	181
KCNK12	missense;synonymous	0.5	0.2306171	0.00287792	0.00240073	73953	13640	60313	9	181
KCNK12	pLoF;missense;synonymous;other	0.01	0.929459	-0.000300192	0.00339103	2441	272	2169	7	204
KCNK12	pLoF;missense;synonymous;other	0.5	0.2773726	0.00258209	0.00237709	74000	13649	60351	9	204
KCNK12	Cauchy		0.772473							
MSH6	pLoF	0.01	0.7201169	0.00339763	0.00948257	269	32	237	2	47
MSH6	pLoF	0.5	0.7201169	0.00339763	0.00948257	269	32	237	2	47
MSH6	missense	0.01	0.1457291	0.00445668	0.00306346	1796	382	1414	20	353
MSH6	missense	0.5	0.1457291	0.00445668	0.00306346	1796	382	1414	20	353
MSH6	synonymous	0.01	0.9359815	-0.000208695	0.00259825	5631	398	5233	24	276
MSH6	synonymous	0.5	0.9059224	-0.00028228	0.00238849	98731	23274	75457	29	276
MSH6	pLoF;missense	0.01	0.1299591	0.00446874	0.0029511	2064	414	1650	22	400
MSH6	pLoF;missense	0.5	0.1299591	0.00446874	0.0029511	2064	414	1650	22	400
MSH6	missense;synonymous	0.01	0.3726322	0.0018175	0.00203857	7420	778	6642	44	629
MSH6	missense;synonymous	0.5	0.4179513	0.00156664	0.00193417	100520	23654	76866	49	629
MSH6	pLoF;missense;synonymous;other	0.01	0.2582732	0.00220801	0.00195316	7922	866	7056	47	694
MSH6	pLoF;missense;synonymous;other	0.5	0.2967377	0.00194348	0.00186255	101022	23742	77280	52	694
MSH6	Cauchy		0.467869							
FBXO11	pLoF	0.01	0.912743	-0.000285735	0.00260756	2749	580	2169	21	69
FBXO11	pLoF	0.5	0.912743	-0.000285735	0.00260756	2749	580	2169	21	69
FBXO11	missense	0.01	0.1966781	0.00899239	0.00696504	266	63	203	4	138
FBXO11	missense	0.5	0.1966781	0.00899239	0.00696504	266	63	203	4	138
FBXO11	synonymous	0.01	0.3829172	-0.00292272	0.00334969	2430	270	2160	17	96
FBXO11	synonymous	0.5	0.3829172	-0.00292272	0.00334969	2430	270	2160	17	96
FBXO11	pLoF;missense	0.01	0.7589805	0.000753386	0.00245547	3014	642	2372	25	207
FBXO11	pLoF;missense	0.5	0.7589805	0.000753386	0.00245547	3014	642	2372	25	207
FBXO11	missense;synonymous	0.01	0.8244058	-0.000663479	0.00299023	2696	333	2363	21	234
FBXO11	missense;synonymous	0.5	0.8244058	-0.000663479	0.00299023	2696	333	2363	21	234
FBXO11	pLoF;missense;synonymous;other	0.01	0.5626464	-0.00107967	0.00186499	5985	1020	4965	46	345
FBXO11	pLoF;missense;synonymous;other	0.5	0.5626464	-0.00107967	0.00186499	5985	1020	4965	46	345
FBXO11	Cauchy		0.70974							
FAP	pLoF	0.01	0.6728053	0.00752721	0.0178243	53	10	43	0	38
FAP	pLoF	0.5	0.6728053	0.00752721	0.0178243	53	10	43	0	38
FAP	missense	0.01	0.9069878	0.000492401	0.00421436	1455	165	1290	9	170
FAP	missense	0.5	0.9069878	0.000492401	0.00421436	1455	165	1290	9	170
FAP	synonymous	0.01	0.120127	0.00408539	0.00262854	3165	506	2659	16	104
FAP	synonymous	0.5	0.1256276	0.00383424	0.00250346	10286	976	9310	17	104
FAP	pLoF;missense	0.01	0.8324126	0.000873059	0.00412582	1507	175	1332	9	208
FAP	pLoF;missense	0.5	0.8324126	0.000873059	0.00412582	1507	175	1332	9	208
FAP	missense;synonymous	0.01	0.1712634	0.00303823	0.00222068	4620	671	3949	25	274
FAP	missense;synonymous	0.5	0.171819	0.00293283	0.00214642	11741	1141	10600	26	274
FAP	pLoF;missense;synonymous;other	0.01	0.07690643	0.00374656	0.00211799	5012	722	4290	27	338
FAP	pLoF;missense;synonymous;other	0.5	0.07893384	0.00360733	0.00205323	12133	1192	10941	28	338
FAP	Cauchy		0.374793							
IFIH1	pLoF	0.01	0.2973353	0.00235156	0.00225642	3096	828	2268	9	68
IFIH1	pLoF	0.5	0.2973353	0.00235156	0.00225642	3096	828	2268	9	68
IFIH1	missense	0.01	0.7551994	-0.000956316	0.00306717	1952	324	1628	24	221
IFIH1	missense	0.5	0.5658726	-0.0012837	0.00223587	3879	861	3018	25	221
IFIH1	synonymous	0.01	0.9798902	0.000103294	0.00409791	2087	169	1918	18	128
IFIH1	synonymous	0.5	0.8018919	0.000948688	0.00378115	26222	1072	25150	20	128
IFIH1	pLoF;missense	0.01	0.4837268	0.00128308	0.00183213	5037	1149	3888	33	289
IFIH1	pLoF;missense	0.5	0.715305	0.000585772	0.001606	6964	1686	5278	34	289
IFIH1	missense;synonymous	0.01	0.8651781	-0.000418133	0.0024627	4038	493	3545	42	349
IFIH1	missense;synonymous	0.5	0.7515149	-0.000611837	0.00193226	30100	1933	28167	45	349
IFIH1	pLoF;missense;synonymous;other	0.01	0.3710311	0.0014825	0.00165727	7548	1348	6200	58	426
IFIH1	pLoF;missense;synonymous;other	0.5	0.5127738	0.000963045	0.00147137	33610	2788	30822	61	426
IFIH1	Cauchy		0.831805							
GCA	pLoF	0.01	0.4693118	-0.00562296	0.00777083	238	46	192	2	16
GCA	pLoF	0.5	0.4693118	-0.00562296	0.00777083	238	46	192	2	16
GCA	missense	0.01	0.4508124	-0.0037904	0.00502665	757	123	634	3	31
GCA	missense	0.5	0.4508124	-0.0037904	0.00502665	757	123	634	3	31
GCA	synonymous	0.01	0.7713263	0.00309312	0.0106424	270	25	245	3	33
GCA	synonymous	0.5	0.7713263	0.00309312	0.0106424	270	25	245	3	33
GCA	pLoF;missense	0.01	0.3104075	-0.00428478	0.00422409	993	168	825	5	47
GCA	pLoF;missense	0.5	0.3104075	-0.00428478	0.00422409	993	168	825	5	47
GCA	missense;synonymous	0.01	0.6126499	-0.00230261	0.00454797	1026	148	878	6	64
GCA	missense;synonymous	0.5	0.6126499	-0.00230261	0.00454797	1026	148	878	6	64
GCA	pLoF;missense;synonymous;other	0.01	0.4818267	-0.00274742	0.0039061	1272	197	1075	8	87
GCA	pLoF;missense;synonymous;other	0.5	0.4818267	-0.00274742	0.0039061	1272	197	1075	8	87
GCA	Cauchy		0.527831							
EFR3B	pLoF	0.01	0.5240017	-0.0111285	0.017465	37	8	29	0	22
EFR3B	pLoF	0.5	0.5240017	-0.0111285	0.017465	37	8	29	0	22
EFR3B	missense	0.01	0.4591547	0.00323076	0.00436448	780	164	616	10	170
EFR3B	missense	0.5	0.4591547	0.00323076	0.00436448	780	164	616	10	170
EFR3B	synonymous	0.01	0.05471015	0.00631471	0.00328691	2288	329	1959	22	114
EFR3B	synonymous	0.5	0.05501398	0.00630706	0.00328704	96293	22591	73702	24	114
EFR3B	pLoF;missense	0.01	0.540657	0.00260664	0.00426047	816	172	644	10	192
EFR3B	pLoF;missense	0.5	0.540657	0.00260664	0.00426047	816	172	644	10	192
EFR3B	missense;synonymous	0.01	0.04701395	0.00527363	0.00265517	3067	493	2574	32	284
EFR3B	missense;synonymous	0.5	0.04723747	0.00526829	0.00265517	97072	22755	74317	34	284
EFR3B	pLoF;missense;synonymous;other	0.01	0.1529948	0.00343511	0.0024038	3528	590	2938	35	332
EFR3B	pLoF;missense;synonymous;other	0.5	0.1535137	0.0034308	0.00240382	97533	22852	74681	37	332
EFR3B	Cauchy		0.126546							
MSH2	pLoF	0.01	0.03987195	0.0283412	0.0137909	82	20	62	2	22
MSH2	pLoF	0.5	0.03987195	0.0283412	0.0137909	82	20	62	2	22
MSH2	missense	0.01	0.3664315	0.00370612	0.00410343	1278	191	1087	18	301
MSH2	missense	0.5	0.2811142	0.00263939	0.00244882	5039	729	4310	20	301
MSH2	synonymous	0.01	0.7165434	0.000872702	0.00240359	3533	605	2928	17	130
MSH2	synonymous	0.5	0.720793	0.000834144	0.00233393	5203	642	4561	18	130
MSH2	pLoF;missense	0.01	0.152513	0.00566678	0.00396082	1359	211	1148	20	323
MSH2	pLoF;missense	0.5	0.1597162	0.00340113	0.00241896	5120	749	4371	22	323
MSH2	missense;synonymous	0.01	0.4325904	0.00164836	0.00210044	4804	795	4009	35	431
MSH2	missense;synonymous	0.5	0.3041636	0.00177237	0.00172485	10235	1370	8865	38	431
MSH2	pLoF;missense;synonymous;other	0.01	0.2032791	0.00251412	0.00197609	5680	881	4799	45	468
MSH2	pLoF;missense;synonymous;other	0.5	0.4596612	0.00111226	0.00150426	73442	12572	60870	52	468
MSH2	Cauchy		0.161079							
GCG	pLoF	0.01	0.7707899	0.0167442	0.0574728	5	1	4	0	4
GCG	pLoF	0.5	0.7707899	0.0167442	0.0574728	5	1	4	0	4
GCG	missense	0.01	0.8030126	-0.0021311	0.00854321	180	37	143	3	34
GCG	missense	0.5	0.8030126	-0.0021311	0.00854321	180	37	143	3	34
GCG	synonymous	0.01	0.292353	0.0166758	0.0158369	100	13	87	1	25
GCG	synonymous	0.5	0.7189365	0.00286254	0.00795413	9203	767	8436	2	25
GCG	pLoF;missense	0.01	0.837893	-0.00172986	0.00845528	185	38	147	3	38
GCG	pLoF;missense	0.5	0.837893	-0.00172986	0.00845528	185	38	147	3	38
GCG	missense;synonymous	0.01	0.7828615	0.00208225	0.00755557	280	50	230	4	59
GCG	missense;synonymous	0.5	0.9293277	0.000516449	0.00582304	9383	804	8579	5	59
GCG	pLoF;missense;synonymous;other	0.01	0.758433	0.00230559	0.00749691	288	51	237	4	66
GCG	pLoF;missense;synonymous;other	0.5	0.9087451	0.000664285	0.00579546	9391	805	8586	5	66
GCG	Cauchy		0.819435							
ASXL2	missense	0.01	0.3925296	-0.0215823	0.0252413	21	3	18	0	20
ASXL2	missense	0.5	0.3925296	-0.0215823	0.0252413	21	3	18	0	20
ASXL2	synonymous	0.01	0.5555134	-0.0207711	0.0352339	15	2	13	0	20
ASXL2	synonymous	0.5	0.5555134	-0.0207711	0.0352339	15	2	13	0	20
ASXL2	pLoF;missense	0.01	0.1809372	-0.0325546	0.0243331	24	3	21	0	23
ASXL2	pLoF;missense	0.5	0.1809372	-0.0325546	0.0243331	24	3	21	0	23
ASXL2	missense;synonymous	0.01	0.2988534	-0.0213875	0.0205868	36	5	31	0	40
ASXL2	missense;synonymous	0.5	0.2988534	-0.0213875	0.0205868	36	5	31	0	40
ASXL2	pLoF;missense;synonymous;other	0.01	0.2888597	-0.0216841	0.0204446	39	5	34	0	46
ASXL2	pLoF;missense;synonymous;other	0.5	0.2888597	-0.0216841	0.0204446	39	5	34	0	46
ASXL2	Cauchy		0.316359							
FOXN2	pLoF	0.01	0.6056581	-0.0218402	0.0423029	11	1	10	0	8
FOXN2	pLoF	0.5	0.6056581	-0.0218402	0.0423029	11	1	10	0	8
FOXN2	missense	0.01	0.208272	-0.0124929	0.00992812	171	25	146	1	79
FOXN2	missense	0.5	0.208272	-0.0124929	0.00992812	171	25	146	1	79
FOXN2	synonymous	0.01	0.02401582	-0.00738716	0.00327318	1789	349	1440	7	62
FOXN2	synonymous	0.5	0.05593252	-0.00521785	0.00272963	53199	12762	40437	10	62
FOXN2	pLoF;missense	0.01	0.1795864	-0.0130126	0.00969623	182	26	156	1	87
FOXN2	pLoF;missense	0.5	0.1795864	-0.0130126	0.00969623	182	26	156	1	87
FOXN2	missense;synonymous	0.01	0.01087436	-0.00795484	0.00312358	1959	374	1585	8	141
FOXN2	missense;synonymous	0.5	0.02964522	-0.00576578	0.00265118	53369	12787	40582	11	141
FOXN2	pLoF;missense;synonymous;other	0.01	0.00958118	-0.00806158	0.00311187	2436	386	2050	9	153
FOXN2	pLoF;missense;synonymous;other	0.5	0.02750482	-0.00564505	0.00256095	53846	12799	41047	12	153
FOXN2	Cauchy		0.0350102							
KCNH7	pLoF	0.01	0.2079659	0.0178375	0.014166	306	15	291	1	16
KCNH7	pLoF	0.5	0.2079659	0.0178375	0.014166	306	15	291	1	16
KCNH7	missense	0.01	0.5146628	0.00155819	0.00239135	2793	668	2125	11	208
KCNH7	missense	0.5	0.5146628	0.00155819	0.00239135	2793	668	2125	11	208
KCNH7	synonymous	0.01	0.5188917	0.00156709	0.00242939	3707	680	3027	15	189
KCNH7	synonymous	0.5	0.913977	0.000193272	0.00178917	15486	2794	12692	18	189
KCNH7	pLoF;missense	0.01	0.3994511	0.00198836	0.00235978	3099	683	2416	12	224
KCNH7	pLoF;missense	0.5	0.3994511	0.00198836	0.00235978	3099	683	2416	12	224
KCNH7	missense;synonymous	0.01	0.3583439	0.00159343	0.00173477	6497	1348	5149	26	397
KCNH7	missense;synonymous	0.5	0.653499	0.000621325	0.00138409	18276	3462	14814	29	397
KCNH7	pLoF;missense;synonymous;other	0.01	0.3825767	0.00147369	0.00168777	7259	1379	5880	30	425
KCNH7	pLoF;missense;synonymous;other	0.5	0.6873807	0.000528012	0.00131212	23256	3623	19633	34	425
KCNH7	Cauchy		0.521786							
EPM2AIP1	Cauchy		0.5							
MLH1	pLoF	0.01	0.6098047	0.0137403	0.0269232	21	5	16	0	12
MLH1	pLoF	0.5	0.6098047	0.0137403	0.0269232	21	5	16	0	12
MLH1	missense	0.01	0.917301	0.000204177	0.00196637	3067	569	2498	21	198
