Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.3306696	0.00515178	0.00529601	9270	78	9192	44	181
HRNR	pLoF	0.5	0.3306696	0.00515178	0.00529601	9270	78	9192	44	181
HRNR	missense	0.01	0.5270574	0.0119657	0.018918	349	6	343	7	49
HRNR	missense	0.5	0.5270574	0.0119657	0.018918	349	6	343	7	49
HRNR	synonymous	0.01	0.03457677	0.0070851	0.00335266	13503	168	13335	145	524
HRNR	synonymous	0.5	0.4628548	0.00156486	0.00213152	1475860	15217	1460640	162	524
HRNR	pLoF;missense	0.01	0.2693981	0.00563669	0.00510362	9619	84	9535	51	230
HRNR	pLoF;missense	0.5	0.2693981	0.00563669	0.00510362	9619	84	9535	51	230
HRNR	missense;synonymous	0.01	0.03490344	0.0069748	0.00330641	13849	173	13676	152	573
HRNR	missense;synonymous	0.5	0.4554589	0.00158201	0.00211967	1476200	15222	1460980	169	573
HRNR	pLoF;missense;synonymous;other	0.01	0.02027136	0.00651587	0.00280701	23192	252	22940	198	758
HRNR	pLoF;missense;synonymous;other	0.5	0.3701824	0.00172187	0.00192144	1514410	15525	1498890	216	758
HRNR	Cauchy		0.0988265							
FLG	pLoF	0.01	0.6004602	0.00195526	0.00373328	11245	131	11114	90	528
FLG	pLoF	0.5	0.5396264	0.00173753	0.00283272	23726	306	23420	92	528
FLG	missense	0.01	0.2371876	0.0318281	0.0269263	210	4	206	4	32
FLG	missense	0.5	0.9371083	0.000422407	0.00535337	12034	111	11923	6	32
FLG	synonymous	0.01	0.2959889	0.00114566	0.00109625	99320	1067	98253	353	1179
FLG	synonymous	0.5	0.1573454	0.00134063	0.000948071	1468240	15334	1452910	373	1179
FLG	pLoF;missense	0.01	0.5018685	0.00248458	0.00369976	11455	135	11320	94	560
FLG	pLoF;missense	0.5	0.5620613	0.00147048	0.00253627	35760	417	35343	98	560
FLG	missense;synonymous	0.01	0.2769923	0.00119091	0.00109549	99528	1071	98457	357	1211
FLG	missense;synonymous	0.5	0.1730543	0.00123639	0.000907473	1480280	15445	1464830	379	1211
FLG	pLoF;missense;synonymous;other	0.01	0.2350393	0.00124902	0.00105183	110813	1202	109611	449	1746
FLG	pLoF;missense;synonymous;other	0.5	0.132183	0.00132226	0.000878259	1504040	15751	1488290	473	1746
FLG	Cauchy		0.399984							
FLG2	pLoF	0.01	0.5566321	-0.00536811	0.00913174	1681	17	1664	25	224
FLG2	pLoF	0.5	0.6858854	-0.002199	0.00543708	119152	1217	117935	27	224
FLG2	missense	0.01	0.1105045	0.0171468	0.0107441	1664	22	1642	7	69
FLG2	missense	0.5	0.1105045	0.0171468	0.0107441	1664	22	1642	7	69
FLG2	synonymous	0.01	0.2087791	0.00280038	0.00222796	32314	346	31968	104	547
FLG2	synonymous	0.5	0.3459744	0.00203944	0.00216403	268180	2736	265444	108	547
FLG2	pLoF;missense	0.01	0.559857	0.00407424	0.00698776	3345	39	3306	32	293
FLG2	pLoF;missense	0.5	0.7211643	0.00173478	0.00486063	120816	1239	119577	34	293
FLG2	missense;synonymous	0.01	0.1187265	0.00342895	0.00219784	33978	368	33610	111	616
FLG2	missense;synonymous	0.5	0.2125444	0.00267387	0.00214493	269844	2758	267086	115	616
FLG2	pLoF;missense;synonymous;other	0.01	0.1677949	0.00293634	0.00212882	35650	385	35265	136	842
FLG2	pLoF;missense;synonymous;other	0.5	0.3097446	0.00202605	0.00199462	388987	3975	385012	142	842
FLG2	Cauchy		0.253884							
RPTN	pLoF	0.01	0.5935387	-0.00564741	0.0105813	1436	12	1424	21	100
RPTN	pLoF	0.5	0.5923763	-0.00566579	0.0105824	124401	1346	123055	22	100
RPTN	missense	0.01	0.7923499	0.00288399	0.0109549	1162	16	1146	5	40
RPTN	missense	0.5	0.7923499	0.00288399	0.0109549	1162	16	1146	5	40
RPTN	synonymous	0.01	0.9706482	0.000334649	0.00909487	2001	21	1980	24	154
RPTN	synonymous	0.5	0.6916722	-0.00212129	0.00534886	7360	81	7279	25	154
RPTN	pLoF;missense	0.01	0.8403252	-0.0015354	0.0076207	2598	28	2570	26	140
RPTN	pLoF;missense	0.5	0.8393913	-0.00154469	0.00762162	125563	1362	124201	27	140
RPTN	missense;synonymous	0.01	0.8190223	0.0016088	0.00703137	3157	37	3120	29	194
RPTN	missense;synonymous	0.5	0.8256357	-0.00106317	0.00482595	8516	97	8419	30	194
RPTN	pLoF;missense;synonymous;other	0.01	0.8979536	-0.000752164	0.00586497	4599	49	4550	50	298
RPTN	pLoF;missense;synonymous;other	0.5	0.659458	-0.00193776	0.00439738	132923	1443	131480	52	298
RPTN	Cauchy		0.858135							
CRNN	pLoF	0.01	0.689583	-0.00707974	0.017725	310	3	307	6	51
CRNN	pLoF	0.5	0.689583	-0.00707974	0.017725	310	3	307	6	51
CRNN	missense	0.01	0.6919992	0.00549761	0.0138778	962	10	952	11	73
CRNN	missense	0.5	0.6919992	0.00549761	0.0138778	962	10	952	11	73
CRNN	synonymous	0.01	0.6347725	-0.00334213	0.00703576	3420	32	3388	26	127
CRNN	synonymous	0.5	0.731901	-0.00194387	0.00567392	25156	232	24924	27	127
