Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.9595242	0.000709808	0.0139862	9202	10	9192	44	181
HRNR	pLoF	0.5	0.9595242	0.000709808	0.0139862	9202	10	9192	44	181
HRNR	missense	0.01	0.6348032	0.0241909	0.0509306	344	1	343	7	49
HRNR	missense	0.5	0.6348032	0.0241909	0.0509306	344	1	343	7	49
HRNR	synonymous	0.01	0.6873845	-0.00382486	0.00950495	13351	16	13335	143	525
HRNR	synonymous	0.5	0.3013356	-0.00663307	0.00641761	1462600	1955	1460640	160	525
HRNR	pLoF;missense	0.01	0.8662615	0.00227166	0.0134889	9546	11	9535	51	230
HRNR	pLoF;missense	0.5	0.8662615	0.00227166	0.0134889	9546	11	9535	51	230
HRNR	missense;synonymous	0.01	0.5888536	-0.00505976	0.0093613	13692	16	13676	150	574
HRNR	missense;synonymous	0.5	0.2605754	-0.00717298	0.0063758	1462940	1955	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.6473043	-0.00357114	0.0078056	22966	26	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.3889617	-0.00491495	0.0057051	1500880	1991	1498890	214	759
HRNR	Cauchy		0.831124							
FLG	pLoF	0.01	0.7167665	-0.00390385	0.0107608	11127	13	11114	89	525
FLG	pLoF	0.5	0.896346	-0.00102022	0.00783108	23458	38	23420	91	525
FLG	missense	0.01	0.2034233	0.0927108	0.072894	207	1	206	4	31
FLG	missense	0.5	0.328748	0.0177034	0.0181268	11935	12	11923	6	31
FLG	synonymous	0.01	0.9080653	-0.000396281	0.00343162	98358	108	98250	350	1177
FLG	synonymous	0.5	0.942312	0.000204694	0.00282866	1454840	1937	1452910	370	1177
FLG	pLoF;missense	0.01	0.8639097	-0.00182655	0.0106567	11334	14	11320	93	556
FLG	pLoF;missense	0.5	0.786253	0.00196503	0.00724622	35393	50	35343	97	556
FLG	missense;synonymous	0.01	0.9576958	-0.000181873	0.00342863	98563	109	98454	354	1208
FLG	missense;synonymous	0.5	0.8263399	0.000600249	0.00273589	1466780	1949	1464830	376	1208
