Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
CPN1	pLoF	0.01	2.451434E-01	-0.0151121	0.0130027	134	7	127	3	30
CPN1	pLoF	0.500000	2.451434E-01	-0.0151121	0.0130027	134	7	127	3	30
CPN1	missense	0.01	6.006345E-01	-0.00242049	0.00462376	1005	80	925	21	158
CPN1	missense	0.5	7.529760E-01	-0.00068357	0.00217201	32154	2863	29291	22	158
CPN1	synonymous	0.01	9.261024E-01	0.000248517	0.00267943	5059	288	4771	29	97
CPN1	synonymous	0.5	3.910877E-01	-0.000969812	0.00113078	49020	3937	45083	32	97
CPN1	pLoF;missense	0.01	3.762172E-01	-0.00386202	0.00436442	1139	87	1052	24	188
CPN1	pLoF;missense	0.5	6.151571E-01	-0.00107807	0.00214446	32288	2870	29418	25	188
CPN1	missense;synonymous	0.01	8.172443E-01	-0.00053622	0.00232039	6062	367	5695	50	255
CPN1	missense;synonymous	0.5	4.178458E-01	-0.000710091	0.000876477	81172	6799	74373	54	255
CPN1	pLoF;missense;synonymous;other	0.01	6.443421E-01	-0.00105425	0.00228371	6206	374	5832	53	291
CPN1	pLoF;missense;synonymous;other	0.5	3.691189E-01	-0.000785504	0.000874605	81316	6806	74510	57	291
CPN1	Cauchy	NA	0.613261	NA	NA	NA	NA	NA	NA	NA
GTPBP4	pLoF	0.01	9.051316E-02	0.0530593	0.031346	22	4	18	0	8
GTPBP4	pLoF	0.500000	9.051316E-02	0.0530593	0.031346	22	4	18	0	8
GTPBP4	missense	0.01	3.340900E-01	0.00220063	0.0022783	4293	374	3919	51	241
GTPBP4	missense	0.5	1.197517E-01	0.00330881	0.00212674	67405	6004	61401	52	241
GTPBP4	synonymous	0.01	6.055090E-01	0.00147704	0.00285974	2870	234	2636	30	111
GTPBP4	synonymous	0.5	2.140980E-01	0.00320663	0.00258104	395656	34872	360784	32	111
GTPBP4	pLoF;missense	0.01	2.783887E-01	0.00246369	0.00227289	4315	378	3937	51	249
GTPBP4	pLoF;missense	0.5	9.590432E-02	0.00353396	0.00212244	67427	6008	61419	52	249
GTPBP4	missense;synonymous	0.01	2.969618E-01	0.00186904	0.00179204	7161	607	6554	81	352
GTPBP4	missense;synonymous	0.5	6.740605E-02	0.00281021	0.00153651	463059	40875	422184	84	352
GTPBP4	pLoF;missense;synonymous;other	0.01	6.514517E-02	0.0028771	0.00156003	9541	827	8714	91	379
GTPBP4	pLoF;missense;synonymous;other	0.5	1.294140E-02	0.00345057	0.00138835	465439	41095	424344	94	379
GTPBP4	Cauchy	NA	0.0754022	NA	NA	NA	NA	NA	NA	NA
ERLIN1	pLoF	0.01	4.387593E-01	-0.0179131	0.0231348	39	2	37	0	14
ERLIN1	pLoF	0.500000	4.387593E-01	-0.0179131	0.0231348	39	2	37	0	14
ERLIN1	missense	0.01	1.441314E-01	0.00876234	0.00599923	592	60	532	9	114
ERLIN1	missense	0.500000	1.441314E-01	0.00876234	0.00599923	592	60	532	9	114
ERLIN1	synonymous	0.01	4.903660E-01	-0.00358332	0.00519528	945	61	884	13	60
ERLIN1	synonymous	0.500000	4.903660E-01	-0.00358332	0.00519528	945	61	884	13	60
ERLIN1	pLoF;missense	0.01	2.212031E-01	0.00711388	0.00581515	631	62	569	9	128
ERLIN1	pLoF;missense	0.500000	2.212031E-01	0.00711388	0.00581515	631	62	569	9	128
ERLIN1	missense;synonymous	0.01	6.540076E-01	0.00176445	0.00393673	1536	121	1415	22	174
ERLIN1	missense;synonymous	0.500000	6.540076E-01	0.00176445	0.00393673	1536	121	1415	22	174
ERLIN1	pLoF;missense;synonymous;other	0.01	7.738127E-01	0.00111514	0.00388022	1579	123	1456	22	190
ERLIN1	pLoF;missense;synonymous;other	0.500000	7.738127E-01	0.00111514	0.00388022	1579	123	1456	22	190
ERLIN1	Cauchy	NA	0.407591	NA	NA	NA	NA	NA	NA	NA
CHUK	pLoF	0.01	8.678458E-02	0.0459917	0.0268548	35	5	30	0	25
CHUK	pLoF	0.500000	8.678458E-02	0.0459917	0.0268548	35	5	30	0	25
CHUK	missense	0.01	7.747195E-01	0.000859643	0.00300357	2404	212	2192	23	205
CHUK	missense	0.500000	7.747195E-01	0.000859643	0.00300357	2404	212	2192	23	205
CHUK	synonymous	0.01	6.723849E-01	0.000731424	0.00172964	8603	750	7853	20	118
CHUK	synonymous	0.5	7.094401E-01	0.000562471	0.00150955	48327	4285	44042	21	118
CHUK	pLoF;missense	0.01	6.373920E-01	0.00140764	0.00298642	2439	217	2222	23	230
CHUK	pLoF;missense	0.500000	6.373920E-01	0.00140764	0.00298642	2439	217	2222	23	230
CHUK	missense;synonymous	0.01	6.115030E-01	0.000764225	0.00150459	11007	962	10045	43	323
CHUK	missense;synonymous	0.5	6.454599E-01	0.000622692	0.00135345	50731	4497	46234	44	323
CHUK	pLoF;missense;synonymous;other	0.01	4.155755E-01	0.00120563	0.00148089	11318	997	10321	49	376
CHUK	pLoF;missense;synonymous;other	0.5	4.610369E-01	0.000984209	0.00133517	51042	4532	46510	50	376
CHUK	Cauchy	NA	0.445951	NA	NA	NA	NA	NA	NA	NA
CWF19L1	pLoF	0.01	4.292259E-01	-0.00723402	0.009151	252	18	234	5	39
CWF19L1	pLoF	0.500000	4.292259E-01	-0.00723402	0.009151	252	18	234	5	39
CWF19L1	missense	0.01	5.514710E-01	-0.00196896	0.00330607	2366	159	2207	31	167
CWF19L1	missense	0.5	5.741627E-01	-0.000685807	0.00122045	111688	9354	102334	34	167
CWF19L1	synonymous	0.01	1.040565E-01	0.0047871	0.002945	2498	237	2261	16	85
CWF19L1	synonymous	0.5	4.009359E-01	-0.00114703	0.00136559	30408	2276	28132	18	85
CWF19L1	pLoF;missense	0.01	3.759571E-01	-0.00275835	0.00311548	2615	176	2439	36	206
CWF19L1	pLoF;missense	0.5	4.948924E-01	-0.000825319	0.00120917	111937	9371	102566	39	206
CWF19L1	missense;synonymous	0.01	4.250491E-01	0.00172602	0.00216376	4864	396	4468	47	252
CWF19L1	missense;synonymous	0.5	3.745892E-01	-0.000730888	0.000823155	142096	11630	130466	52	252
CWF19L1	pLoF;missense;synonymous;other	0.01	5.202985E-01	0.00133137	0.00207093	5290	430	4860	54	310
CWF19L1	pLoF;missense;synonymous;other	0.5	3.526600E-01	-0.000759845	0.000817528	142522	11664	130858	59	310
CWF19L1	Cauchy	NA	0.377962	NA	NA	NA	NA	NA	NA	NA
BLOC1S2	pLoF	0.01	9.245424E-01	-0.000854953	0.00902673	241	22	219	1	10
BLOC1S2	pLoF	0.500000	9.245424E-01	-0.000854953	0.00902673	241	22	219	1	10
BLOC1S2	missense	0.01	8.079384E-01	-0.00137849	0.00567077	636	56	580	4	34
BLOC1S2	missense	0.500000	8.079384E-01	-0.00137849	0.00567077	636	56	580	4	34
BLOC1S2	synonymous	0.01	2.346116E-01	0.00386558	0.00325231	4414	248	4166	8	30
BLOC1S2	synonymous	0.500000	2.346116E-01	0.00386558	0.00325231	4414	248	4166	8	30
BLOC1S2	pLoF;missense	0.01	8.279792E-01	-0.00104619	0.00481465	874	78	796	5	44
BLOC1S2	pLoF;missense	0.500000	8.279792E-01	-0.00104619	0.00481465	874	78	796	5	44
BLOC1S2	missense;synonymous	0.01	3.629830E-01	0.00256463	0.00281922	5050	304	4746	12	64
BLOC1S2	missense;synonymous	0.500000	3.629830E-01	0.00256463	0.00281922	5050	304	4746	12	64
BLOC1S2	pLoF;missense;synonymous;other	0.01	3.580312E-01	0.00247063	0.00268803	5305	328	4977	13	78
BLOC1S2	pLoF;missense;synonymous;other	0.500000	3.580312E-01	0.00247063	0.00268803	5305	328	4977	13	78
BLOC1S2	Cauchy	NA	0.727844	NA	NA	NA	NA	NA	NA	NA
PKD2L1	pLoF	0.01	9.316670E-01	-0.000285215	0.00332621	3995	212	3783	10	60
PKD2L1	pLoF	0.500000	9.316670E-01	-0.000285215	0.00332621	3995	212	3783	10	60
PKD2L1	missense	0.01	5.943628E-01	0.00100431	0.00188594	8654	557	8097	55	249
PKD2L1	missense	0.5	4.382133E-01	-0.00108445	0.0013989	18843	1364	17479	56	249
PKD2L1	synonymous	0.01	5.368898E-01	-0.0010576	0.00171265	9270	722	8548	47	169
PKD2L1	synonymous	0.5	4.363090E-01	-0.00132949	0.00170788	99546	8366	91180	48	169
PKD2L1	pLoF;missense	0.01	7.169368E-01	0.000512214	0.00141279	12649	769	11880	65	309
PKD2L1	pLoF;missense	0.5	4.966458E-01	-0.000796854	0.00117223	22838	1576	21262	66	309
PKD2L1	missense;synonymous	0.01	9.352256E-01	-0.000103548	0.0012741	17916	1279	16637	102	418
PKD2L1	missense;synonymous	0.5	2.812274E-01	-0.00116635	0.00108239	118381	9730	108651	104	418
PKD2L1	pLoF;missense;synonymous;other	0.01	9.451682E-01	-7.51814e-05	0.00109314	21925	1493	20432	112	486
PKD2L1	pLoF;missense;synonymous;other	0.5	3.364185E-01	-0.000928986	0.000966419	122390	9944	112446	114	486
PKD2L1	Cauchy	NA	0.822226	NA	NA	NA	NA	NA	NA	NA
SCD	pLoF	0.01	2.612247E-01	-0.0203056	0.0180735	64	3	61	1	6
SCD	pLoF	0.500000	2.612247E-01	-0.0203056	0.0180735	64	3	61	1	6
SCD	missense	0.01	2.861209E-01	-0.0044717	0.00419221	1207	96	1111	8	85
SCD	missense	0.500000	2.861209E-01	-0.0044717	0.00419221	1207	96	1111	8	85
SCD	synonymous	0.01	6.013055E-01	-0.00201855	0.00386307	2206	123	2083	15	68
SCD	synonymous	0.500000	6.013055E-01	-0.00201855	0.00386307	2206	123	2083	15	68
SCD	pLoF;missense	0.01	1.960286E-01	-0.00528145	0.0040848	1271	99	1172	9	91
SCD	pLoF;missense	0.500000	1.960286E-01	-0.00528145	0.0040848	1271	99	1172	9	91
SCD	missense;synonymous	0.01	2.665076E-01	-0.00316239	0.00284608	3413	219	3194	23	153
SCD	missense;synonymous	0.500000	2.665076E-01	-0.00316239	0.00284608	3413	219	3194	23	153
SCD	pLoF;missense;synonymous;other	0.01	1.969934E-01	-0.00362599	0.00281049	3479	222	3257	24	160
SCD	pLoF;missense;synonymous;other	0.500000	1.969934E-01	-0.00362599	0.00281049	3479	222	3257	24	160
SCD	Cauchy	NA	0.275251	NA	NA	NA	NA	NA	NA	NA
WNT8B	pLoF	0.01	9.723201E-01	-0.000491237	0.0141573	94	9	85	1	16
WNT8B	pLoF	0.500000	9.723201E-01	-0.000491237	0.0141573	94	9	85	1	16
WNT8B	missense	0.01	2.513220E-01	-0.0077435	0.00675024	472	33	439	10	138
WNT8B	missense	0.500000	2.513220E-01	-0.0077435	0.00675024	472	33	439	10	138
WNT8B	synonymous	0.01	4.105950E-01	0.00213385	0.00259325	3432	318	3114	19	81
WNT8B	synonymous	0.500000	4.105950E-01	0.00213385	0.00259325	3432	318	3114	19	81
WNT8B	pLoF;missense	0.01	2.957188E-01	-0.00638409	0.00610533	565	42	523	11	154
WNT8B	pLoF;missense	0.500000	2.957188E-01	-0.00638409	0.00610533	565	42	523	11	154
WNT8B	missense;synonymous	0.01	7.119821E-01	0.000895605	0.00242583	3902	351	3551	29	219
WNT8B	missense;synonymous	0.500000	7.119821E-01	0.000895605	0.00242583	3902	351	3551	29	219
WNT8B	pLoF;missense;synonymous;other	0.01	6.767709E-01	0.000993875	0.00238412	4017	363	3654	31	238
WNT8B	pLoF;missense;synonymous;other	0.500000	6.767709E-01	0.000993875	0.00238412	4017	363	3654	31	238
WNT8B	Cauchy	NA	0.839201	NA	NA	NA	NA	NA	NA	NA
