Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.4900475	-0.0050107	0.00725943	9228	36	9192	44	181
HRNR	pLoF	0.5	0.4900475	-0.0050107	0.00725943	9228	36	9192	44	181
HRNR	missense	0.01	0.06095952	0.0593322	0.0316643	347	4	343	7	49
HRNR	missense	0.5	0.06095952	0.0593322	0.0316643	347	4	343	7	49
HRNR	synonymous	0.01	0.3958902	0.00448544	0.00528331	13398	63	13335	143	524
HRNR	synonymous	0.5	0.6372036	-0.0015706	0.00333028	1466620	5982	1460640	160	524
HRNR	pLoF;missense	0.01	0.7930364	-0.00185728	0.00707885	9575	40	9535	51	230
HRNR	pLoF;missense	0.5	0.7930364	-0.00185728	0.00707885	9575	40	9535	51	230
HRNR	missense;synonymous	0.01	0.3133706	0.00526165	0.00521898	13742	66	13676	150	573
HRNR	missense;synonymous	0.5	0.7175483	-0.00119906	0.00331472	1466970	5985	1460980	167	573
HRNR	pLoF;missense;synonymous;other	0.01	0.6982795	0.00164684	0.00424833	23042	102	22940	196	758
HRNR	pLoF;missense;synonymous;other	0.5	0.4400654	-0.00227793	0.00295037	1505020	6127	1498890	214	758
HRNR	Cauchy		0.332909							
FLG	pLoF	0.01	0.9702279	-0.000227714	0.00610126	11160	46	11114	89	526
FLG	pLoF	0.5	0.7339534	0.00160978	0.00473644	23526	106	23420	91	526
FLG	missense	0.01	0.2337051	0.0507824	0.0426431	208	2	206	5	30
FLG	missense	0.5	0.508942	0.0053347	0.00807693	11975	52	11923	7	30
FLG	synonymous	0.01	0.886674	-0.000243576	0.00170914	98651	401	98250	351	1181
FLG	synonymous	0.5	0.5659674	-0.000862711	0.00150298	1458920	6009	1452910	371	1181
FLG	pLoF;missense	0.01	0.8940131	0.000805144	0.00604335	11368	48	11320	94	556
FLG	pLoF;missense	0.5	0.524345	0.00263605	0.00414043	35501	158	35343	98	556
FLG	missense;synonymous	0.01	0.9267684	-0.000156986	0.00170802	98857	403	98454	356	1211
FLG	missense;synonymous	0.5	0.6690281	-0.000612221	0.00143216	1470890	6061	1464830	378	1211
FLG	pLoF;missense;synonymous;other	0.01	0.9392606	-0.000125577	0.00164801	110058	450	109608	447	1744
FLG	pLoF;missense;synonymous;other	0.5	0.7667826	-0.000412895	0.00139216	1494460	6168	1488290	471	1744
FLG	Cauchy		0.869017							
FLG2	pLoF	0.01	0.6687741	-0.00637292	0.0148959	1670	6	1664	25	222
FLG2	pLoF	0.5	0.9183872	-0.000885693	0.00864382	118405	470	117935	27	222
FLG2	missense	0.01	0.04179828	0.0327626	0.0160954	1654	12	1642	7	69
FLG2	missense	0.5	0.04179828	0.0327626	0.0160954	1654	12	1642	7	69
FLG2	synonymous	0.01	0.107779	-0.00551822	0.00343118	32080	112	31968	104	540
FLG2	synonymous	0.5	0.0475184	-0.00658555	0.00332327	266478	1034	265444	108	540
FLG2	pLoF;missense	0.01	0.2968991	0.0115238	0.0110476	3324	18	3306	32	291
FLG2	pLoF;missense	0.5	0.3941236	0.00652534	0.00765739	120059	482	119577	34	291
FLG2	missense;synonymous	0.01	0.2425597	-0.00395215	0.00338191	33734	124	33610	111	609
FLG2	missense;synonymous	0.5	0.1193187	-0.00512811	0.00329223	268132	1046	267086	115	609
FLG2	pLoF;missense;synonymous;other	0.01	0.2216585	-0.00401792	0.00328764	35395	130	35265	136	833
FLG2	pLoF;missense;synonymous;other	0.5	0.1373793	-0.00457475	0.00307935	386528	1516	385012	142	833
FLG2	Cauchy		0.127759							
RPTN	pLoF	0.01	0.7046394	-0.00613789	0.0161922	1429	5	1424	21	100
RPTN	pLoF	0.5	0.6940959	-0.0063691	0.0161939	123564	509	123055	22	100
RPTN	missense	0.01	0.996126	9.08144e-05	0.0187039	1151	5	1146	5	40
RPTN	missense	0.5	0.996126	9.08144e-05	0.0187039	1151	5	1146	5	40
RPTN	synonymous	0.01	0.3693478	0.0132676	0.0147796	1990	10	1980	25	152
RPTN	synonymous	0.5	0.6266595	0.00425752	0.00875251	7312	33	7279	26	152
RPTN	pLoF;missense	0.01	0.7760711	-0.00348272	0.012244	2580	10	2570	26	140
RPTN	pLoF;missense	0.5	0.7678304	-0.00361505	0.0122455	124715	514	124201	27	140
RPTN	missense;synonymous	0.01	0.6643546	0.00505027	0.011639	3134	14	3120	30	192
RPTN	missense;synonymous	0.5	0.7983909	0.00203138	0.00795277	8456	37	8419	31	192
RPTN	pLoF;missense;synonymous;other	0.01	0.8980011	0.00121371	0.00946828	4569	19	4550	51	296
RPTN	pLoF;missense;synonymous;other	0.5	0.9572408	0.000383312	0.00714915	132026	546	131480	53	296
RPTN	Cauchy		0.978857							
CRNN	pLoF	0.01	0.8064463	-0.00747561	0.0305111	308	1	307	6	51
CRNN	pLoF	0.5	0.8064463	-0.00747561	0.0305111	308	1	307	6	51
CRNN	missense	0.01	0.6475887	0.0092774	0.0202956	957	5	952	11	72
CRNN	missense	0.5	0.6475887	0.0092774	0.0202956	957	5	952	11	72
CRNN	synonymous	0.01	0.3624749	0.00982555	0.0107895	3406	18	3388	26	128
