Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.6866093	0.0113202	0.0280577	94	2	92	3	21
ATAD3A	pLoF	0.5	0.6866093	0.0113202	0.0280577	94	2	92	3	21
ATAD3A	missense	0.01	0.94363	-0.000354751	0.00501711	5224	69	5155	39	200
ATAD3A	missense	0.5	0.4576021	0.00280002	0.00376954	18306	240	18066	41	200
ATAD3A	synonymous	0.01	0.5996138	-0.00163111	0.00310713	12636	140	12496	46	126
ATAD3A	synonymous	0.5	0.6467398	-0.00133205	0.00290654	62529	750	61779	48	126
ATAD3A	pLoF;missense	0.01	0.9928471	4.42713e-05	0.00493827	5314	71	5243	42	221
ATAD3A	pLoF;missense	0.5	0.4267061	0.00296659	0.00373231	18396	242	18154	44	221
ATAD3A	missense;synonymous	0.01	0.6294324	-0.00126738	0.00262656	17850	209	17641	85	326
ATAD3A	missense;synonymous	0.5	0.9314527	0.000191133	0.00222203	80825	990	79835	89	326
ATAD3A	pLoF;missense;synonymous;other	0.01	0.6228619	-0.00128373	0.00261027	18009	211	17798	90	360
ATAD3A	pLoF;missense;synonymous;other	0.5	0.9400373	0.000166366	0.00221164	80984	992	79992	94	360
ATAD3A	Cauchy		0.939634							
FLG	pLoF	0.01	0.6290164	-0.00239004	0.00494719	5583	68	5515	61	269
FLG	pLoF	0.5	0.8322254	0.000747039	0.00352629	21079	288	20791	63	269
FLG	missense	0.01	0.565661	-0.0089778	0.0156284	1059	6	1053	6	24
FLG	missense	0.5	0.565661	-0.0089778	0.0156284	1059	6	1053	6	24
FLG	synonymous	0.01	0.9784084	-4.56843e-05	0.00168799	42893	457	42436	297	946
FLG	synonymous	0.5	0.9359994	9.30554e-05	0.00115886	874883	11108	863775	318	946
FLG	pLoF;missense	0.01	0.5268875	-0.00299339	0.00473066	6642	74	6568	67	293
FLG	pLoF;missense	0.5	0.9341451	0.000284821	0.00344692	22138	294	21844	69	293
FLG	missense;synonymous	0.01	0.9351824	-0.000134432	0.00165299	43952	463	43489	303	970
FLG	missense;synonymous	0.5	0.9669655	4.74778e-05	0.00114641	875942	11114	864828	324	970
FLG	pLoF;missense;synonymous;other	0.01	0.8342153	-0.000330638	0.00157974	49542	532	49010	365	1242
FLG	pLoF;missense;synonymous;other	0.5	0.9031109	0.000134026	0.00110098	897028	11403	885625	388	1242
FLG	Cauchy		0.919462							
FLG2	pLoF	0.01	0.5375246	0.00689702	0.0111863	960	15	945	18	83
FLG2	pLoF	0.5	0.5636914	0.00637127	0.011035	55326	719	54607	19	83
FLG2	missense	0.01	0.3918603	-0.0230841	0.0269596	249	1	248	3	40
FLG2	missense	0.5	0.3918603	-0.0230841	0.0269596	249	1	248	3	40
FLG2	synonymous	0.01	0.746955	-0.000511947	0.00158666	22843	253	22590	107	344
FLG2	synonymous	0.5	0.8757402	-0.0001743	0.00111465	228647	2939	225708	115	344
FLG2	pLoF;missense	0.01	0.8105064	0.00248399	0.0103598	1207	16	1191	21	123
FLG2	pLoF;missense	0.5	0.8349155	0.00213439	0.0102417	55573	720	54853	22	123
FLG2	missense;synonymous	0.01	0.7105424	-0.000588068	0.00158454	23089	254	22835	110	384
FLG2	missense;synonymous	0.5	0.8487922	-0.000212395	0.001114	228893	2940	225953	118	384
FLG2	pLoF;missense;synonymous;other	0.01	0.7740985	-0.000444676	0.0015493	24051	269	23782	128	469
FLG2	pLoF;missense;synonymous;other	0.5	0.8913084	-0.000149402	0.00109333	284221	3659	280562	137	469
FLG2	Cauchy		0.762175							
PIP5K1A	pLoF	0.01	0.001798739	0.0800616	0.0256477	40	4	36	1	14
PIP5K1A	pLoF	0.5	0.001798739	0.0800616	0.0256477	40	4	36	1	14
PIP5K1A	missense	0.01	0.7840359	0.00416225	0.0151872	729	8	721	9	120
PIP5K1A	missense	0.5	0.7840359	0.00416225	0.0151872	729	8	721	9	120
PIP5K1A	synonymous	0.01	0.7191575	-0.00238794	0.00664084	3223	39	3184	12	95
PIP5K1A	synonymous	0.5	0.8002968	0.00120338	0.00475713	113997	1509	112488	14	95
PIP5K1A	pLoF;missense	0.01	0.1419427	0.02136	0.0145445	769	12	757	10	134
PIP5K1A	pLoF;missense	0.5	0.1419427	0.02136	0.0145445	769	12	757	10	134
PIP5K1A	missense;synonymous	0.01	0.8359515	-0.00121507	0.00586776	3949	47	3902	21	215
PIP5K1A	missense;synonymous	0.5	0.7486075	0.00142581	0.00444903	114723	1517	113206	23	215
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.7303748	0.0020004	0.00580453	4030	52	3978	23	241
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.4610333	0.00325975	0.00442212	114804	1522	113282	25	241
PIP5K1A	Cauchy		0.0109122							
TUFT1	pLoF	0.01	0.8310835	0.00959711	0.0449909	61	1	60	1	14
TUFT1	pLoF	0.5	0.8310835	0.00959711	0.0449909	61	1	60	1	14
TUFT1	missense	0.01	0.6790726	-0.00410279	0.00991661	1686	16	1670	11	82
TUFT1	missense	0.5	0.6790726	-0.00410279	0.00991661	1686	16	1670	11	82
TUFT1	synonymous	0.01	0.3681157	-0.0190535	0.0211703	322	2	320	6	46
TUFT1	synonymous	0.5	0.3681157	-0.0190535	0.0211703	322	2	320	6	46
TUFT1	pLoF;missense	0.01	0.7208295	-0.00346266	0.0096898	1747	17	1730	12	96
TUFT1	pLoF;missense	0.5	0.7208295	-0.00346266	0.0096898	1747	17	1730	12	96
TUFT1	missense;synonymous	0.01	0.4611716	-0.00657	0.0089155	2004	18	1986	17	128
TUFT1	missense;synonymous	0.5	0.4611716	-0.00657	0.0089155	2004	18	1986	17	128
TUFT1	pLoF;missense;synonymous;other	0.01	0.4616906	-0.00640058	0.00869567	2085	19	2066	18	150
TUFT1	pLoF;missense;synonymous;other	0.5	0.4616906	-0.00640058	0.00869567	2085	19	2066	18	150
TUFT1	Cauchy		0.624897							
RIIAD1	missense	0.01	0.1299045	-0.0316067	0.0208697	477	1	476	3	14
RIIAD1	missense	0.5	0.1299045	-0.0316067	0.0208697	477	1	476	3	14
RIIAD1	synonymous	0.01	0.7451956	-0.00711444	0.0218919	553	3	550	3	13
RIIAD1	synonymous	0.5	0.7451956	-0.00711444	0.0218919	553	3	550	3	13
RIIAD1	pLoF;missense	0.01	0.1259193	-0.0317289	0.0207325	480	1	479	3	16
RIIAD1	pLoF;missense	0.5	0.1259193	-0.0317289	0.0207325	480	1	479	3	16
RIIAD1	missense;synonymous	0.01	0.1795584	-0.0206123	0.0153581	1030	4	1026	6	27
RIIAD1	missense;synonymous	0.5	0.1795584	-0.0206123	0.0153581	1030	4	1026	6	27
RIIAD1	pLoF;missense;synonymous;other	0.01	0.1746501	-0.0207705	0.0153015	1034	4	1030	6	30
RIIAD1	pLoF;missense;synonymous;other	0.5	0.1746501	-0.0207705	0.0153015	1034	4	1030	6	30
RIIAD1	Cauchy		0.198434							
THEM4	pLoF	0.01	0.4120626	0.0493019	0.0601045	35	1	34	0	15
THEM4	pLoF	0.5	0.4120626	0.0493019	0.0601045	35	1	34	0	15
THEM4	missense	0.01	0.4193059	-0.00552597	0.00684224	3795	46	3749	2	33
THEM4	missense	0.5	0.4193059	-0.00552597	0.00684224	3795	46	3749	2	33
THEM4	synonymous	0.01	0.1858093	0.0221679	0.0167548	458	9	449	6	37
THEM4	synonymous	0.5	0.2259935	0.0140958	0.0116422	28069	383	27686	7	37
THEM4	pLoF;missense	0.01	0.4771907	-0.00483424	0.00680086	3830	47	3783	2	48
THEM4	pLoF;missense	0.5	0.4771907	-0.00483424	0.00680086	3830	47	3783	2	48
THEM4	missense;synonymous	0.01	0.803062	-0.0015809	0.00633917	4253	55	4198	8	70
THEM4	missense;synonymous	0.5	0.9319828	-0.000508989	0.00596352	31864	429	31435	9	70
THEM4	pLoF;missense;synonymous;other	0.01	0.8538785	-0.00115995	0.0062982	4297	56	4241	8	91
THEM4	pLoF;missense;synonymous;other	0.5	0.9800709	-0.000148093	0.00592845	31908	430	31478	9	91
THEM4	Cauchy		0.828548							
S100A10	missense	0.01	0.789038	0.00283419	0.0105927	1228	18	1210	3	31
S100A10	missense	0.5	0.789038	0.00283419	0.0105927	1228	18	1210	3	31
S100A10	synonymous	0.01	0.6295619	0.0110647	0.0229395	420	4	416	4	15
S100A10	synonymous	0.5	0.6295619	0.0110647	0.0229395	420	4	416	4	15
S100A10	pLoF;missense	0.01	0.789038	0.00283419	0.0105927	1228	18	1210	3	31
S100A10	pLoF;missense	0.5	0.789038	0.00283419	0.0105927	1228	18	1210	3	31
S100A10	missense;synonymous	0.01	0.6526844	0.00433249	0.00962699	1646	22	1624	7	46
S100A10	missense;synonymous	0.5	0.6526844	0.00433249	0.00962699	1646	22	1624	7	46
S100A10	pLoF;missense;synonymous;other	0.01	0.6590541	0.00424354	0.00961774	1648	22	1626	7	47
S100A10	pLoF;missense;synonymous;other	0.5	0.6590541	0.00424354	0.00961774	1648	22	1626	7	47
S100A10	Cauchy		0.717075							
S100A11	pLoF	0.01	0.5714295	-0.0407555	0.0720128	40	0	40	1	5
S100A11	pLoF	0.5	0.5714295	-0.0407555	0.0720128	40	0	40	1	5
S100A11	missense	0.01	0.0194736	-0.0300331	0.0128548	811	3	808	6	22
S100A11	missense	0.5	0.0194736	-0.0300331	0.0128548	811	3	808	6	22
S100A11	synonymous	0.01	0.8360671	-0.00755327	0.0365021	108	1	107	3	15
S100A11	synonymous	0.5	0.8360671	-0.00755327	0.0365021	108	1	107	3	15
S100A11	pLoF;missense	0.01	0.01655394	-0.0303916	0.0126818	851	3	848	7	27
S100A11	pLoF;missense	0.5	0.01655394	-0.0303916	0.0126818	851	3	848	7	27
S100A11	missense;synonymous	0.01	0.02300618	-0.0275241	0.0121074	919	4	915	9	37
S100A11	missense;synonymous	0.5	0.02300618	-0.0275241	0.0121074	919	4	915	9	37
S100A11	pLoF;missense;synonymous;other	0.01	0.0196086	-0.0279124	0.0119603	959	4	955	10	42
S100A11	pLoF;missense;synonymous;other	0.5	0.0196086	-0.0279124	0.0119603	959	4	955	10	42
S100A11	Cauchy		0.0299566							
HRNR	pLoF	0.01	0.9060745	-0.000841402	0.00713104	2592	34	2558	28	109
HRNR	pLoF	0.5	0.9060745	-0.000841402	0.00713104	2592	34	2558	28	109
HRNR	missense	0.01	0.02172687	0.0435788	0.0189877	344	9	335	7	34
HRNR	missense	0.5	0.02172687	0.0435788	0.0189877	344	9	335	7	34
HRNR	synonymous	0.01	0.6138581	-0.00119203	0.00236245	24835	260	24575	148	424
HRNR	synonymous	0.5	0.9885324	2.0433e-05	0.00142163	577526	7456	570070	163	424
HRNR	pLoF;missense	0.01	0.5117494	0.00440035	0.00670666	2936	43	2893	35	143
HRNR	pLoF;missense	0.5	0.5117494	0.00440035	0.00670666	2936	43	2893	35	143
HRNR	missense;synonymous	0.01	0.8123536	-0.000557107	0.00234679	25178	269	24909	155	458
HRNR	missense;synonymous	0.5	0.8619646	0.000246721	0.00141897	577869	7465	570404	170	458
HRNR	pLoF;missense;synonymous;other	0.01	0.944885	0.000147841	0.00213855	30988	340	30648	185	569
HRNR	pLoF;missense;synonymous;other	0.5	0.7249771	0.000483458	0.00137418	583679	7536	576143	200	569
HRNR	Cauchy		0.792695							
