Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.4053397	-0.0281155	0.0337876	92	0	92	3	21
ATAD3A	pLoF	0.5	0.4053397	-0.0281155	0.0337876	92	0	92	3	21
ATAD3A	missense	0.01	0.07312245	-0.0104372	0.00582411	5194	39	5155	39	199
ATAD3A	missense	0.5	0.6552475	-0.00198514	0.00444615	18228	162	18066	41	199
ATAD3A	synonymous	0.01	0.452689	0.00273349	0.00364009	12614	118	12496	46	126
ATAD3A	synonymous	0.5	0.2548714	0.00390368	0.0034285	62331	552	61779	48	126
ATAD3A	pLoF;missense	0.01	0.05756371	-0.0108964	0.00573794	5282	39	5243	42	220
ATAD3A	pLoF;missense	0.5	0.5860369	-0.00239795	0.00440324	18316	162	18154	44	220
ATAD3A	missense;synonymous	0.01	0.7092101	-0.00114505	0.00307051	17797	156	17641	85	325
ATAD3A	missense;synonymous	0.5	0.5768447	0.00147129	0.00263672	80548	713	79835	89	325
ATAD3A	pLoF;missense;synonymous;other	0.01	0.6285565	-0.00147662	0.00305239	17954	156	17798	90	359
ATAD3A	pLoF;missense;synonymous;other	0.5	0.6467892	0.00120264	0.00262455	80705	713	79992	94	359
ATAD3A	Cauchy		0.299829							
FLG	pLoF	0.01	0.5993007	-0.00303088	0.00576864	5564	49	5515	60	271
FLG	pLoF	0.5	0.5535775	0.00242177	0.00408801	21013	222	20791	62	271
FLG	missense	0.01	0.05800731	0.0363191	0.0191592	1062	9	1053	6	24
FLG	missense	0.5	0.05800731	0.0363191	0.0191592	1062	9	1053	6	24
FLG	synonymous	0.01	0.5921089	0.00106924	0.00199567	42775	339	42436	297	944
FLG	synonymous	0.5	0.918331	0.00013911	0.00135668	871944	8169	863775	318	944
FLG	pLoF;missense	0.01	0.962641	0.000259452	0.00553915	6626	58	6568	66	295
FLG	pLoF;missense	0.5	0.3274989	0.00392213	0.00400559	22075	231	21844	68	295
FLG	missense;synonymous	0.01	0.4700866	0.00141403	0.00195757	43837	348	43489	303	968
FLG	missense;synonymous	0.5	0.8129604	0.000317903	0.00134358	873006	8178	864828	324	968
FLG	pLoF;missense;synonymous;other	0.01	0.6196546	0.000927096	0.00186786	49407	397	49010	364	1242
FLG	pLoF;missense;synonymous;other	0.5	0.6905728	0.000513126	0.00128901	894025	8400	885625	387	1242
FLG	Cauchy		0.605078							
FLG2	pLoF	0.01	0.4708491	-0.00948689	0.0131562	952	7	945	18	83
FLG2	pLoF	0.5	0.5060146	-0.00862948	0.0129756	55141	534	54607	19	83
FLG2	missense	0.01	0.1894103	-0.0407683	0.0310657	248	0	248	3	40
FLG2	missense	0.5	0.1894103	-0.0407683	0.0310657	248	0	248	3	40
FLG2	synonymous	0.01	0.08039156	-0.00325818	0.0018635	22740	150	22590	108	340
FLG2	synonymous	0.5	0.2924457	-0.00137417	0.00130529	227853	2145	225708	116	340
FLG2	pLoF;missense	0.01	0.2431473	-0.0141805	0.0121496	1198	7	1191	21	123
FLG2	pLoF;missense	0.5	0.2665606	-0.0133431	0.0120098	55387	534	54853	22	123
FLG2	missense;synonymous	0.01	0.06877877	-0.00338679	0.00186101	22985	150	22835	111	380
FLG2	missense;synonymous	0.5	0.2696448	-0.00144004	0.00130453	228098	2145	225953	119	380
FLG2	pLoF;missense;synonymous;other	0.01	0.06076063	-0.00341623	0.00182176	23939	157	23782	129	465
FLG2	pLoF;missense;synonymous;other	0.5	0.2519077	-0.00146819	0.00128144	283241	2679	280562	138	465
FLG2	Cauchy		0.163866							
PIP5K1A	pLoF	0.01	0.356359	0.0579538	0.0628345	37	1	36	1	15
PIP5K1A	pLoF	0.5	0.356359	0.0579538	0.0628345	37	1	36	1	15
PIP5K1A	missense	0.01	0.03476091	0.0370064	0.0175292	731	10	721	10	119
PIP5K1A	missense	0.5	0.03476091	0.0370064	0.0175292	731	10	721	10	119
PIP5K1A	synonymous	0.01	0.7007301	-0.00295092	0.00767798	3213	29	3184	12	95
PIP5K1A	synonymous	0.5	0.1313131	-0.00830598	0.0055045	113617	1129	112488	14	95
PIP5K1A	pLoF;missense	0.01	0.023353	0.0385567	0.0170032	768	11	757	11	134
PIP5K1A	pLoF;missense	0.5	0.023353	0.0385567	0.0170032	768	11	757	11	134
PIP5K1A	missense;synonymous	0.01	0.6472925	0.00311947	0.00681811	3941	39	3902	22	214
PIP5K1A	missense;synonymous	0.5	0.4177778	-0.00418276	0.0051621	114345	1139	113206	24	214
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.6250613	0.00329979	0.00675232	4018	40	3978	24	241
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.4360794	-0.00399857	0.00513406	114422	1140	113282	26	241
PIP5K1A	Cauchy		0.0787165							
TUFT1	pLoF	0.01	0.06868291	0.0948138	0.0520812	62	2	60	1	14
TUFT1	pLoF	0.5	0.06868291	0.0948138	0.0520812	62	2	60	1	14
TUFT1	missense	0.01	0.9003301	0.00146728	0.0117154	1683	13	1670	11	82
TUFT1	missense	0.5	0.9003301	0.00146728	0.0117154	1683	13	1670	11	82
TUFT1	synonymous	0.01	0.348654	-0.0242629	0.0258887	321	1	320	7	45
TUFT1	synonymous	0.5	0.348654	-0.0242629	0.0258887	321	1	320	7	45
TUFT1	pLoF;missense	0.01	0.6052756	0.00591095	0.011437	1745	15	1730	12	96
TUFT1	pLoF;missense	0.5	0.6052756	0.00591095	0.011437	1745	15	1730	12	96
TUFT1	missense;synonymous	0.01	0.7974809	-0.00271738	0.0105896	2000	14	1986	18	127
TUFT1	missense;synonymous	0.5	0.7974809	-0.00271738	0.0105896	2000	14	1986	18	127
TUFT1	pLoF;missense;synonymous;other	0.01	0.9612098	0.000501635	0.0103142	2082	16	2066	19	149
TUFT1	pLoF;missense;synonymous;other	0.5	0.9612098	0.000501635	0.0103142	2082	16	2066	19	149
TUFT1	Cauchy		0.792731							
RIIAD1	missense	0.01	0.4547794	0.0183682	0.0245737	480	4	476	3	14
RIIAD1	missense	0.5	0.4547794	0.0183682	0.0245737	480	4	476	3	14
RIIAD1	synonymous	0.01	0.1226354	-0.041702	0.0270124	550	0	550	3	13
RIIAD1	synonymous	0.5	0.1226354	-0.041702	0.0270124	550	0	550	3	13
RIIAD1	pLoF;missense	0.01	0.4719237	0.0175551	0.0244041	483	4	479	3	16
RIIAD1	pLoF;missense	0.5	0.4719237	0.0175551	0.0244041	483	4	479	3	16
RIIAD1	missense;synonymous	0.01	0.6230213	-0.00904475	0.0183996	1030	4	1026	6	27
RIIAD1	missense;synonymous	0.5	0.6230213	-0.00904475	0.0183996	1030	4	1026	6	27
RIIAD1	pLoF;missense;synonymous;other	0.01	0.6115193	-0.00930778	0.0183258	1034	4	1030	6	30
RIIAD1	pLoF;missense;synonymous;other	0.5	0.6115193	-0.00930778	0.0183258	1034	4	1030	6	30
RIIAD1	Cauchy		0.383021							
THEM4	pLoF	0.01	0.5704972	-0.0405505	0.0714773	34	0	34	0	14
THEM4	pLoF	0.5	0.5704972	-0.0405505	0.0714773	34	0	34	0	14
THEM4	missense	0.01	0.4188667	-0.00637859	0.0078905	3783	34	3749	2	32
THEM4	missense	0.5	0.4188667	-0.00637859	0.0078905	3783	34	3749	2	32
THEM4	synonymous	0.01	0.3979028	0.0165873	0.0196212	455	6	449	4	39
THEM4	synonymous	0.5	0.3958591	0.0115315	0.0135819	27967	281	27686	5	39
THEM4	pLoF;missense	0.01	0.3865664	-0.00679318	0.00784558	3817	34	3783	2	46
