Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
OR11H1	pLoF	0.01	8.234039E-02	-0.00950909	0.0054736	526	44	482	7	7
OR11H1	pLoF	0.500000	8.234039E-02	-0.00950909	0.0054736	526	44	482	7	7
OR11H1	missense	0.01	4.409982E-01	-0.00116001	0.00150552	9470	1029	8441	15	23
OR11H1	missense	0.5	2.209828E-01	-0.00143601	0.00117329	17596	1911	15685	16	23
OR11H1	synonymous	0.01	7.402312E-01	-0.00136012	0.00410235	1109	108	1001	20	51
OR11H1	synonymous	0.5	7.063099E-01	0.00140181	0.00372015	83855	9415	74440	21	51
OR11H1	pLoF;missense	0.01	2.283716E-01	-0.00175004	0.00145284	9996	1073	8923	22	30
OR11H1	pLoF;missense	0.5	1.181795E-01	-0.00179444	0.00114847	18122	1955	16167	23	30
OR11H1	missense;synonymous	0.01	4.027477E-01	-0.00118225	0.00141295	10579	1137	9442	35	74
OR11H1	missense;synonymous	0.5	2.902378E-01	-0.0011881	0.00112339	101451	11326	90125	37	74
OR11H1	pLoF;missense;synonymous;other	0.01	2.130186E-01	-0.00170526	0.00136935	11105	1181	9924	42	81
OR11H1	pLoF;missense;synonymous;other	0.5	1.655178E-01	-0.00152787	0.00110176	101977	11370	90607	44	81
OR11H1	Cauchy	NA	0.214109	NA	NA	NA	NA	NA	NA	NA
POTEH	pLoF	0.01	1.909341E-01	0.00493466	0.00377319	1078	130	948	9	16
POTEH	pLoF	0.5	3.851415E-01	0.00134011	0.00154308	14123	1617	12506	10	16
POTEH	missense	0.01	6.457805E-01	-0.00592796	0.0128972	82	8	74	4	1
POTEH	missense	0.5	5.421753E-01	0.000867011	0.00142243	26218	2958	23260	5	1
POTEH	synonymous	0.01	2.823813E-01	0.000932778	0.000867712	20961	2330	18631	52	39
POTEH	synonymous	0.5	3.641336E-01	0.000478087	0.000526808	79926	8892	71034	55	39
POTEH	pLoF;missense	0.01	2.599795E-01	0.00408023	0.00362224	1160	138	1022	13	17
POTEH	pLoF;missense	0.5	2.916718E-01	0.00112162	0.00106369	40341	4575	35766	15	17
POTEH	missense;synonymous	0.01	2.976435E-01	0.000901476	0.000865555	21043	2338	18705	56	40
POTEH	missense;synonymous	0.5	3.602309E-01	0.000389122	0.000425305	106144	11850	94294	60	40
POTEH	pLoF;missense;synonymous;other	0.01	1.885145E-01	0.0011091	0.000843434	22125	2469	19656	65	57
POTEH	pLoF;missense;synonymous;other	0.5	2.586185E-01	0.000468611	0.000414824	120271	13468	106803	70	57
POTEH	Cauchy	NA	0.315965	NA	NA	NA	NA	NA	NA	NA
CCT8L2	pLoF	0.01	2.985672E-01	-0.00255576	0.00245862	3942	370	3572	6	37
CCT8L2	pLoF	0.500000	2.985672E-01	-0.00255576	0.00245862	3942	370	3572	6	37
CCT8L2	missense	0.01	2.837741E-01	-0.00244471	0.00228077	3807	398	3409	17	81
CCT8L2	missense	0.500000	2.837741E-01	-0.00244471	0.00228077	3807	398	3409	17	81
