Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.9891824	-7.2302e-05	0.0053327	9256	64	9192	45	181
HRNR	pLoF	0.5	0.9891824	-7.2302e-05	0.0053327	9256	64	9192	45	181
HRNR	missense	0.01	0.2738706	0.0178589	0.0163215	352	9	343	7	49
HRNR	missense	0.5	0.2738706	0.0178589	0.0163215	352	9	343	7	49
HRNR	synonymous	0.01	0.9626087	0.000163041	0.00347782	13475	140	13335	143	527
HRNR	synonymous	0.5	0.8330425	0.000553745	0.00262686	1475220	14582	1460640	160	527
HRNR	pLoF;missense	0.01	0.7451007	0.0016477	0.00506819	9608	73	9535	52	230
HRNR	pLoF;missense	0.5	0.7451007	0.0016477	0.00506819	9608	73	9535	52	230
HRNR	missense;synonymous	0.01	0.7860506	0.000925393	0.00340917	13825	149	13676	150	576
HRNR	missense;synonymous	0.5	0.7036773	0.000988282	0.00259827	1475570	14591	1460980	167	576
HRNR	pLoF;missense;synonymous;other	0.01	0.7820562	0.000798384	0.002886	23156	215	22941	197	761
HRNR	pLoF;missense;synonymous;other	0.5	0.6818482	0.000952706	0.002324	1513590	14702	1498890	215	761
HRNR	Cauchy		0.948221							
FLG	pLoF	0.01	0.3993502	0.00325007	0.00385636	11236	122	11114	91	528
FLG	pLoF	0.5	0.109098	0.00415797	0.00259507	23832	412	23420	93	528
FLG	missense	0.01	0.3290214	-0.0246109	0.0252138	207	1	206	4	31
FLG	missense	0.5	0.9746107	0.000409216	0.0128579	11940	17	11923	6	31
FLG	synonymous	0.01	0.07716369	0.00277974	0.0015728	98963	712	98251	355	1177
FLG	synonymous	0.5	0.2801671	0.00120325	0.00111418	1467090	14183	1452910	375	1177
FLG	pLoF;missense	0.01	0.4926903	0.00261751	0.00381541	11443	123	11320	95	559
FLG	pLoF;missense	0.5	0.1142493	0.00402409	0.00254789	35772	429	35343	99	559
FLG	missense;synonymous	0.01	0.08821935	0.0026767	0.00157004	99168	713	98455	359	1208
FLG	missense;synonymous	0.5	0.2832984	0.00118361	0.00110315	1479030	14200	1464830	381	1208
FLG	pLoF;missense;synonymous;other	0.01	0.07208615	0.00255942	0.00142303	110443	834	109609	452	1743
FLG	pLoF;missense;synonymous;other	0.5	0.1125138	0.00162537	0.00102418	1502900	14611	1488290	476	1743
FLG	Cauchy		0.276541							
FLG2	pLoF	0.01	0.08538903	0.0146216	0.00849977	1695	31	1664	25	227
FLG2	pLoF	0.5	0.6694951	0.00215676	0.00505285	119250	1315	117935	27	227
FLG2	missense	0.01	0.9518427	0.00113661	0.0188203	1647	5	1642	7	70
FLG2	missense	0.5	0.9518427	0.00113661	0.0188203	1647	5	1642	7	70
FLG2	synonymous	0.01	0.6374461	-0.00157573	0.00334356	32110	142	31968	104	541
FLG2	synonymous	0.5	0.6358164	-0.00154338	0.00325913	267961	2517	265444	108	541
FLG2	pLoF;missense	0.01	0.1126779	0.0123341	0.00777554	3342	36	3306	32	297
FLG2	pLoF;missense	0.5	0.6737891	0.00205817	0.00488931	120897	1320	119577	34	297
FLG2	missense;synonymous	0.01	0.6473287	-0.0015113	0.00330356	33757	147	33610	111	611
FLG2	missense;synonymous	0.5	0.6450357	-0.00148578	0.00322525	269608	2522	267086	115	611
FLG2	pLoF;missense;synonymous;other	0.01	0.8428323	0.000606662	0.00305975	35443	178	35265	136	840
FLG2	pLoF;missense;synonymous;other	0.5	0.8759092	-0.000424357	0.0027175	388849	3837	385012	142	840
FLG2	Cauchy		0.776309							
RPTN	pLoF	0.01	0.4114955	0.0109087	0.0132829	1436	12	1424	21	102
RPTN	pLoF	0.5	0.4045907	0.0110705	0.0132827	124584	1529	123055	22	102
RPTN	missense	0.01	0.8804462	-0.00134725	0.00895757	1168	22	1146	5	40
RPTN	missense	0.5	0.8804462	-0.00134725	0.00895757	1168	22	1146	5	40
RPTN	synonymous	0.01	0.4832171	-0.00806014	0.0114958	1990	10	1980	24	153
RPTN	synonymous	0.5	0.9355091	-0.000446616	0.00551953	7363	84	7279	25	153
RPTN	pLoF;missense	0.01	0.7395214	0.00247471	0.00744303	2604	34	2570	26	142
RPTN	pLoF;missense	0.5	0.7343424	0.00252608	0.00744377	125752	1551	124201	27	142
RPTN	missense;synonymous	0.01	0.6085618	-0.00363833	0.00710435	3152	32	3120	29	193
RPTN	missense;synonymous	0.5	0.9032523	-0.000573676	0.00471952	8525	106	8419	30	193
RPTN	pLoF;missense;synonymous;other	0.01	0.9206545	-0.000625387	0.0062784	4594	44	4550	50	299
RPTN	pLoF;missense;synonymous;other	0.5	0.8888276	0.000622638	0.00445416	133115	1635	131480	52	299
RPTN	Cauchy		0.837024							
CRNN	pLoF	0.01	0.6889622	0.00623226	0.0155704	313	6	307	6	51
CRNN	pLoF	0.5	0.6889622	0.00623226	0.0155704	313	6	307	6	51
CRNN	missense	0.01	0.9455181	0.00127262	0.018623	957	5	952	11	73
CRNN	missense	0.5	0.9455181	0.00127262	0.018623	957	5	952	11	73
CRNN	synonymous	0.01	0.09956378	0.0130314	0.00791236	3424	36	3388	26	127
CRNN	synonymous	0.5	0.053515	0.0145856	0.00755442	24991	67	24924	27	127
CRNN	pLoF;missense	0.01	0.7325698	0.00409165	0.0119741	1267	11	1256	17	124
CRNN	pLoF;missense	0.5	0.7325698	0.00409165	0.0119741	1267	11	1256	17	124
CRNN	missense;synonymous	0.01	0.123673	0.0112388	0.00730009	4381	41	4340	37	200
CRNN	missense;synonymous	0.5	0.06964882	0.0127411	0.00702304	25948	72	25876	38	200
CRNN	pLoF;missense;synonymous;other	0.01	0.1545652	0.00924663	0.00649529	4865	48	4817	45	252
CRNN	pLoF;missense;synonymous;other	0.5	0.09314127	0.0105748	0.00629806	26432	79	26353	46	252
CRNN	Cauchy		0.343508							
POMC	pLoF	0.01	0.2830708	0.0100844	0.0093944	1705	18	1687	19	84
POMC	pLoF	0.5	0.2646682	0.00992229	0.00889553	52800	464	52336	20	84
POMC	missense	0.01	0.4415684	0.00432071	0.00561462	4559	66	4493	16	118
POMC	missense	0.5	0.4415684	0.00432071	0.00561462	4559	66	4493	16	118
POMC	synonymous	0.01	0.753706	0.00151607	0.00483198	5044	95	4949	14	123
POMC	synonymous	0.5	0.8426005	0.00073004	0.00367652	22427	157	22270	16	123
POMC	pLoF;missense	0.01	0.2270475	0.00583143	0.00482735	6263	84	6179	35	202
POMC	pLoF;missense	0.5	0.2123093	0.00595179	0.00477197	57358	530	56828	36	202
POMC	missense;synonymous	0.01	0.4558082	0.0027415	0.00367607	9592	161	9431	30	241
POMC	missense;synonymous	0.5	0.5534941	0.00182912	0.00308696	26975	223	26752	32	241
POMC	pLoF;missense;synonymous;other	0.01	0.2813652	0.0036973	0.00343214	11299	179	11120	49	327
POMC	pLoF;missense;synonymous;other	0.5	0.3564605	0.00270737	0.002936	79777	687	79090	52	327
POMC	Cauchy		0.424118							
DNMT3A	pLoF	0.01	0.8085443	0.00190615	0.00786675	941	31	910	6	399
DNMT3A	pLoF	0.5	0.8085443	0.00190615	0.00786675	941	31	910	6	399
DNMT3A	missense	0.01	0.1773966	0.00651662	0.00483137	3513	89	3424	42	536
DNMT3A	missense	0.5	0.1773966	0.00651662	0.00483137	3513	89	3424	42	536
DNMT3A	synonymous	0.01	0.04564817	0.011192	0.00559982	8491	73	8418	46	219
DNMT3A	synonymous	0.5	0.02339296	0.0113594	0.00501085	157280	2024	155256	49	219
DNMT3A	pLoF;missense	0.01	0.1955112	0.0054555	0.00421454	4441	120	4321	48	935
DNMT3A	pLoF;missense	0.5	0.1955112	0.0054555	0.00421454	4441	120	4321	48	935
DNMT3A	missense;synonymous	0.01	0.02050335	0.00855399	0.00369183	12002	162	11840	88	755
DNMT3A	missense;synonymous	0.5	0.01106073	0.00893898	0.00351821	160791	2113	158678	91	755
DNMT3A	pLoF;missense;synonymous;other	0.01	0.03510461	0.00703573	0.00333898	14180	200	13980	102	1294
DNMT3A	pLoF;missense;synonymous;other	0.5	0.01991033	0.00746553	0.0032068	162969	2151	160818	105	1294
DNMT3A	Cauchy		0.0408874							
DTNB	pLoF	0.01	0.02816524	0.386519	0.176092	15	1	14	0	14
DTNB	pLoF	0.5	0.02816524	0.386519	0.176092	15	1	14	0	14
DTNB	missense	0.01	0.732179	0.0164697	0.048125	68	1	67	0	57
