Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.5254397	-0.0281548	0.0443394	184	0	184	3	34
ATAD3A	pLoF	0.5	0.5254397	-0.0281548	0.0443394	184	0	184	3	34
ATAD3A	missense	0.01	0.9930455	6.70873e-05	0.00769683	9784	29	9755	59	228
ATAD3A	missense	0.5	0.2553685	-0.00673126	0.00591808	33700	77	33623	61	228
ATAD3A	synonymous	0.01	0.8175686	0.00115804	0.00502024	23046	59	22987	63	142
ATAD3A	synonymous	0.5	0.8963199	0.000616528	0.00473119	114094	275	113819	65	142
ATAD3A	pLoF;missense	0.01	0.9228685	-0.000733484	0.00757567	9965	29	9936	62	262
ATAD3A	pLoF;missense	0.5	0.2273941	-0.00706965	0.00585673	33881	77	33804	64	262
ATAD3A	missense;synonymous	0.01	0.8400082	0.000843564	0.00417848	32827	88	32739	122	370
ATAD3A	missense;synonymous	0.5	0.5592235	-0.00208703	0.0035737	147791	352	147439	126	370
ATAD3A	pLoF;missense;synonymous;other	0.01	0.9112078	0.000462831	0.00415039	33128	88	33040	128	421
ATAD3A	pLoF;missense;synonymous;other	0.5	0.5110376	-0.00233658	0.00355523	148092	352	147740	132	421
ATAD3A	Cauchy		0.934942							
FLG	pLoF	0.01	0.947702	-0.000502111	0.00765497	10327	29	10298	98	334
FLG	pLoF	0.5	0.01768069	0.0129017	0.00543861	38948	147	38801	100	334
FLG	missense	0.01	0.1562302	-0.0431374	0.0304242	1796	0	1796	8	27
FLG	missense	0.5	0.1562302	-0.0431374	0.0304242	1796	0	1796	8	27
FLG	synonymous	0.01	0.1985516	-0.00359524	0.00279635	77015	149	76866	400	1133
FLG	synonymous	0.5	0.2098452	-0.00233037	0.00185836	1606450	4500	1601950	421	1133
FLG	pLoF;missense	0.01	0.6829465	-0.00303735	0.00743637	12123	29	12094	106	361
FLG	pLoF;missense	0.5	0.03652293	0.011196	0.00535424	40744	147	40597	108	361
FLG	missense;synonymous	0.01	0.162926	-0.00384932	0.00275878	78809	149	78660	408	1160
FLG	missense;synonymous	0.5	0.1831919	-0.00245782	0.00184661	1608240	4500	1603740	429	1160
FLG	pLoF;missense;synonymous;other	0.01	0.1809924	-0.0034906	0.00260939	89169	178	88991	507	1497
FLG	pLoF;missense;synonymous;other	0.5	0.6182177	-0.000878876	0.00176347	1647220	4647	1642570	530	1497
FLG	Cauchy		0.117903							
FLG2	pLoF	0.01	0.5604275	-0.0099684	0.0171217	1794	4	1790	26	112
FLG2	pLoF	0.5	0.5409231	-0.0103219	0.0168819	101491	285	101206	27	112
FLG2	missense	0.01	0.2285352	0.0517728	0.0429957	449	2	447	9	50
FLG2	missense	0.5	0.2285352	0.0517728	0.0429957	449	2	447	9	50
FLG2	synonymous	0.01	0.2300842	-0.00291989	0.00243295	41795	80	41715	146	447
FLG2	synonymous	0.5	0.2082301	-0.00215934	0.00171588	419522	1128	418394	154	447
FLG2	pLoF;missense	0.01	0.9251473	-0.00149731	0.0159369	2240	6	2234	35	162
FLG2	pLoF;missense	0.5	0.8984187	-0.00200982	0.0157437	101937	287	101650	36	162
FLG2	missense;synonymous	0.01	0.2576058	-0.00275019	0.00242935	42241	82	42159	155	497
FLG2	missense;synonymous	0.5	0.2260242	-0.00207571	0.00171452	419968	1130	418838	163	497
FLG2	pLoF;missense;synonymous;other	0.01	0.2352498	-0.00281367	0.00237052	44044	86	43958	181	614
FLG2	pLoF;missense;synonymous;other	0.5	0.2117021	-0.00209911	0.00168077	521468	1415	520053	190	614
FLG2	Cauchy		0.455343							
PIP5K1A	pLoF	0.01	0.1656905	0.106121	0.0765559	83	1	82	1	26
PIP5K1A	pLoF	0.5	0.1656905	0.106121	0.0765559	83	1	82	1	26
PIP5K1A	missense	0.01	0.6792044	-0.010279	0.0248556	1309	2	1307	16	162
PIP5K1A	missense	0.5	0.6792044	-0.010279	0.0248556	1309	2	1307	16	162
PIP5K1A	synonymous	0.01	0.6846297	-0.00420972	0.0103648	5893	15	5878	22	121
PIP5K1A	synonymous	0.5	0.5641016	0.00427508	0.00741223	210732	609	210123	24	121
