Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.4056507	-0.00460401	0.00553652	5793	62	5731	28	149
HRNR	pLoF	0.5	0.4056507	-0.00460401	0.00553652	5793	62	5731	28	149
HRNR	missense	0.01	0.03101211	0.0523823	0.0242857	208	6	202	4	35
HRNR	missense	0.5	0.03101211	0.0523823	0.0242857	208	6	202	4	35
HRNR	synonymous	0.01	0.7410134	0.0011248	0.00340321	11321	159	11162	113	441
HRNR	synonymous	0.5	0.1871833	0.00307149	0.00232873	907004	11674	895330	129	441
HRNR	pLoF;missense	0.01	0.714392	-0.00198029	0.00541116	6001	68	5933	32	184
HRNR	pLoF;missense	0.5	0.714392	-0.00198029	0.00541116	6001	68	5933	32	184
HRNR	missense;synonymous	0.01	0.5475744	0.00203079	0.00337678	11528	165	11363	117	476
HRNR	missense;synonymous	0.5	0.1331432	0.00348407	0.00231989	907211	11680	895531	133	476
HRNR	pLoF;missense;synonymous;other	0.01	0.8108653	0.000694193	0.00290081	17360	230	17130	147	629
HRNR	pLoF;missense;synonymous;other	0.5	0.2501935	0.00239695	0.00208453	930557	11995	918562	164	629
HRNR	Cauchy		0.1611							
FLG	pLoF	0.01	0.2896364	-0.00464498	0.00438653	6726	81	6645	56	436
FLG	pLoF	0.5	0.9794818	8.90752e-05	0.00346345	14416	195	14221	58	436
FLG	missense	0.01	0.7490477	0.0101508	0.0317316	124	2	122	2	23
FLG	missense	0.5	0.2305846	0.00643433	0.00536706	7178	119	7059	4	23
FLG	synonymous	0.01	0.258049	0.00133599	0.00118123	62859	925	61934	273	1042
FLG	synonymous	0.5	0.8696959	0.000173489	0.00105757	900839	11463	889376	292	1042
FLG	pLoF;missense	0.01	0.3140343	-0.00438117	0.00435161	6850	83	6767	58	459
FLG	pLoF;missense	0.5	0.4943128	0.0020243	0.00296182	21594	314	21280	62	459
FLG	missense;synonymous	0.01	0.2535173	0.00134804	0.00118058	62981	927	62054	275	1065
FLG	missense;synonymous	0.5	0.704894	0.000379335	0.00100162	908015	11582	896433	296	1065
FLG	pLoF;missense;synonymous;other	0.01	0.4059281	0.000952908	0.00114659	69708	1008	68700	333	1505
FLG	pLoF;missense;synonymous;other	0.5	0.7064272	0.000368903	0.000979408	922432	11777	910655	356	1505
FLG	Cauchy		0.790088							
FLG2	pLoF	0.01	0.9863376	-0.000192285	0.0112289	1030	13	1017	15	171
FLG2	pLoF	0.5	0.553086	0.00387905	0.00653984	73334	931	72403	17	171
FLG2	missense	0.01	0.6434704	0.00523266	0.0113052	977	16	961	3	55
FLG2	missense	0.5	0.6434704	0.00523266	0.0113052	977	16	961	3	55
FLG2	synonymous	0.01	0.8601549	-0.000417291	0.00236859	19236	274	18962	76	439
FLG2	synonymous	0.5	0.9636456	0.000104003	0.00228181	163867	2138	161729	80	439
FLG2	pLoF;missense	0.01	0.756046	0.00248918	0.0080121	2007	29	1978	18	226
FLG2	pLoF;missense	0.5	0.4571452	0.00422049	0.00567609	74311	947	73364	20	226
FLG2	missense;synonymous	0.01	0.9354117	-0.000189522	0.00233868	20213	290	19923	79	494
FLG2	missense;synonymous	0.5	0.8924296	0.000306297	0.002265	164844	2154	162690	83	494
FLG2	pLoF;missense;synonymous;other	0.01	0.9552902	-0.000128411	0.0022904	21227	303	20924	94	666
FLG2	pLoF;missense;synonymous;other	0.5	0.7275423	0.000748802	0.00214928	238162	3085	235077	100	666
FLG2	Cauchy		0.927559							
RPTN	pLoF	0.01	0.7454324	0.0037814	0.011647	850	13	837	13	81
RPTN	pLoF	0.5	0.7516031	0.00368705	0.0116485	76768	960	75808	14	81
RPTN	missense	0.01	0.5788197	0.00762472	0.0137355	725	11	714	4	32
RPTN	missense	0.5	0.5788197	0.00762472	0.0137355	725	11	714	4	32
RPTN	synonymous	0.01	0.519172	0.00697978	0.0108277	1240	17	1223	17	130
RPTN	synonymous	0.5	0.6777304	0.00263759	0.00634704	4477	62	4415	18	130
RPTN	pLoF;missense	0.01	0.5423596	0.00541383	0.00888607	1575	24	1551	17	113
RPTN	pLoF;missense	0.5	0.5464455	0.00535994	0.00888739	77493	971	76522	18	113
RPTN	missense;synonymous	0.01	0.3887769	0.0073535	0.00853235	1962	28	1934	21	162
RPTN	missense;synonymous	0.5	0.5366016	0.00357069	0.00577818	5199	73	5126	22	162
RPTN	pLoF;missense;synonymous;other	0.01	0.3785558	0.00608104	0.00690587	2817	41	2776	34	246
RPTN	pLoF;missense;synonymous;other	0.5	0.4912938	0.00356843	0.00518476	81972	1033	80939	36	246
RPTN	Cauchy		0.572358							
CRNN	pLoF	0.01	0.1398392	0.0340267	0.0230473	186	5	181	5	44
CRNN	pLoF	0.5	0.1398392	0.0340267	0.0230473	186	5	181	5	44
CRNN	missense	0.01	0.2640549	-0.0149745	0.0134077	616	6	610	6	59
CRNN	missense	0.5	0.2640549	-0.0149745	0.0134077	616	6	610	6	59
CRNN	synonymous	0.01	0.4208208	0.00642171	0.0079773	2068	31	2037	19	106
CRNN	synonymous	0.5	0.703313	0.00231694	0.00608358	15088	222	14866	20	106
CRNN	pLoF;missense	0.01	0.8272909	-0.00253075	0.0115995	800	11	789	11	103
CRNN	pLoF;missense	0.5	0.8272909	-0.00253075	0.0115995	800	11	789	11	103
CRNN	missense;synonymous	0.01	0.902384	0.000845204	0.00689117	2684	37	2647	25	165
CRNN	missense;synonymous	0.5	0.9087118	-0.00064105	0.0055907	15704	228	15476	26	165
CRNN	pLoF;missense;synonymous;other	0.01	0.7811081	0.00180198	0.00648485	2979	42	2937	31	211
CRNN	pLoF;missense;synonymous;other	0.5	0.9805516	0.000130836	0.00536709	15999	233	15766	32	211
CRNN	Cauchy		0.840023							
POMC	pLoF	0.01	0.7939204	0.00255195	0.00976923	1060	16	1044	17	66
POMC	pLoF	0.5	0.6623143	0.00406514	0.00930834	31968	461	31507	18	66
POMC	missense	0.01	0.5336031	-0.00428503	0.00688342	2809	35	2774	11	93
POMC	missense	0.5	0.5336031	-0.00428503	0.00688342	2809	35	2774	11	93
POMC	synonymous	0.01	0.7544867	0.002227	0.00712119	3112	43	3069	7	107
POMC	synonymous	0.5	0.7701787	0.001094	0.00374478	13997	157	13840	9	107
POMC	pLoF;missense	0.01	0.7259876	-0.00196671	0.00561168	3868	51	3817	28	159
POMC	pLoF;missense	0.5	0.8144228	-0.00130324	0.00555223	34776	496	34280	29	159
POMC	missense;synonymous	0.01	0.823177	-0.0011125	0.00497851	5916	78	5838	18	200
POMC	missense;synonymous	0.5	0.9715705	-0.00011774	0.00330372	16801	192	16609	20	200
POMC	pLoF;missense;synonymous;other	0.01	0.940658	-0.000330422	0.00443859	6977	94	6883	35	267
POMC	pLoF;missense;synonymous;other	0.5	0.9064815	0.000367991	0.00313244	48770	653	48117	38	267
POMC	Cauchy		0.871194							
DNMT3A	pLoF	0.01	0.3230145	-0.0148375	0.0150134	554	5	549	5	289
DNMT3A	pLoF	0.5	0.3230145	-0.0148375	0.0150134	554	5	549	5	289
DNMT3A	missense	0.01	0.01915224	0.0183173	0.00781935	2126	41	2085	28	406
DNMT3A	missense	0.5	0.01915224	0.0183173	0.00781935	2126	41	2085	28	406
DNMT3A	synonymous	0.01	0.1859529	0.00684416	0.00517459	5205	83	5122	32	193
DNMT3A	synonymous	0.5	0.3303464	0.00409979	0.00421175	96259	1281	94978	35	193
DNMT3A	pLoF;missense	0.01	0.09840155	0.0117418	0.00710484	2673	46	2627	33	695
DNMT3A	pLoF;missense	0.5	0.09840155	0.0117418	0.00710484	2673	46	2627	33	695
DNMT3A	missense;synonymous	0.01	0.01756069	0.0103145	0.00434339	7330	124	7206	60	599
DNMT3A	missense;synonymous	0.5	0.05118477	0.00728027	0.00373361	98384	1322	97062	63	599
DNMT3A	pLoF;missense;synonymous;other	0.01	0.1085164	0.00622765	0.0038804	8640	137	8503	71	992
DNMT3A	pLoF;missense;synonymous;other	0.5	0.1818344	0.00458119	0.00343128	99694	1335	98359	74	992
DNMT3A	Cauchy		0.0529621							
DTNB	pLoF	0.01	0.705542	-0.0407134	0.10775	11	0	11	0	10
DTNB	pLoF	0.5	0.705542	-0.0407134	0.10775	11	0	11	0	10
DTNB	missense	0.01	0.4593125	-0.040721	0.0550299	44	0	44	0	41
DTNB	missense	0.5	0.4593125	-0.040721	0.0550299	44	0	44	0	41
DTNB	synonymous	0.01	0.5993178	-0.0406813	0.0774319	21	0	21	0	19
DTNB	synonymous	0.5	0.5993178	-0.0406813	0.0774319	21	0	21	0	19
DTNB	pLoF;missense	0.01	0.4060128	-0.0407825	0.0490805	55	0	55	0	51
DTNB	pLoF;missense	0.5	0.4060128	-0.0407825	0.0490805	55	0	55	0	51
DTNB	missense;synonymous	0.01	0.3899902	-0.0407675	0.0474242	60	0	60	0	60
DTNB	missense;synonymous	0.5	0.3899902	-0.0407675	0.0474242	60	0	60	0	60
DTNB	pLoF;missense;synonymous;other	0.01	0.3220521	-0.0408452	0.0412474	79	0	79	0	78
DTNB	pLoF;missense;synonymous;other	0.5	0.3220521	-0.0408452	0.0412474	79	0	79	0	78
DTNB	Cauchy		0.481859							
KCNK12	pLoF	0.01	0.5911138	0.0282016	0.0524951	46	1	45	2	11
KCNK12	pLoF	0.5	0.5911138	0.0282016	0.0524951	46	1	45	2	11
KCNK12	missense	0.01	0.6526403	0.0090502	0.0201072	346	5	341	5	102
KCNK12	missense	0.5	0.6526403	0.0090502	0.0201072	346	5	341	5	102
KCNK12	synonymous	0.01	0.3769588	0.00460926	0.00521696	5508	87	5421	17	174
KCNK12	synonymous	0.5	0.4862113	0.00301939	0.00433604	160797	2126	158671	19	174
KCNK12	pLoF;missense	0.01	0.5385807	0.0115708	0.0188156	392	6	386	7	113
KCNK12	pLoF;missense	0.5	0.5385807	0.0115708	0.0188156	392	6	386	7	113
KCNK12	missense;synonymous	0.01	0.3298363	0.00493486	0.00506429	5852	92	5760	22	276
KCNK12	missense;synonymous	0.5	0.4357231	0.00330793	0.004244	161141	2131	159010	24	276
KCNK12	pLoF;missense;synonymous;other	0.01	0.2954439	0.00524945	0.00501738	5958	94	5864	25	309
KCNK12	pLoF;missense;synonymous;other	0.5	0.4000708	0.00354469	0.00421238	161247	2133	159114	27	309
KCNK12	Cauchy		0.488116							
MSH6	pLoF	0.01	0.1663788	0.0211	0.0152464	646	11	635	4	76
MSH6	pLoF	0.5	0.1663788	0.0211	0.0152464	646	11	635	4	76
MSH6	missense	0.01	0.3098233	-0.00602077	0.00592833	3853	43	3810	51	515
MSH6	missense	0.5	0.3098233	-0.00602077	0.00592833	3853	43	3810	51	515
MSH6	synonymous	0.01	0.04795131	0.0098105	0.00496031	4790	83	4707	49	432
MSH6	synonymous	0.5	0.09021454	0.00463127	0.00273349	200447	2779	197668	57	432
MSH6	pLoF;missense	0.01	0.6525042	-0.00250837	0.00557061	4496	54	4442	55	591
MSH6	pLoF;missense	0.5	0.6525042	-0.00250837	0.00557061	4496	54	4442	55	591
MSH6	missense;synonymous	0.01	0.3832138	0.00337261	0.00386771	8627	126	8501	100	947
MSH6	missense;synonymous	0.5	0.2621988	0.00281519	0.00251085	204284	2822	201462	108	947
MSH6	pLoF;missense;synonymous;other	0.01	0.2849261	0.00394012	0.0036847	9746	142	9604	107	1051
MSH6	pLoF;missense;synonymous;other	0.5	0.2082862	0.00309663	0.00246098	205403	2838	202565	115	1051
MSH6	Cauchy		0.193642							
FBXO11	pLoF	0.01	0.2071123	-0.00682952	0.00541361	5395	58	5337	26	84
FBXO11	pLoF	0.5	0.2071123	-0.00682952	0.00541361	5395	58	5337	26	84
FBXO11	missense	0.01	0.302341	0.0153175	0.0148508	549	10	539	7	214
FBXO11	missense	0.5	0.302341	0.0153175	0.0148508	549	10	539	7	214
FBXO11	synonymous	0.01	0.6356125	0.00356534	0.00752432	2366	33	2333	21	170
FBXO11	synonymous	0.5	0.2489792	0.00615719	0.00534093	5885	94	5791	22	170
FBXO11	pLoF;missense	0.01	0.4118232	-0.00417239	0.00508401	5943	68	5875	33	298
FBXO11	pLoF;missense	0.5	0.4118232	-0.00417239	0.00508401	5943	68	5875	33	298
FBXO11	missense;synonymous	0.01	0.3649785	0.00604898	0.00667718	2908	43	2865	28	384
FBXO11	missense;synonymous	0.5	0.1477051	0.00726324	0.00501714	6427	104	6323	29	384
FBXO11	pLoF;missense;synonymous;other	0.01	0.9170936	-0.000412782	0.00396542	9414	118	9296	60	523
FBXO11	pLoF;missense;synonymous;other	0.5	0.6577302	0.00155021	0.00349896	12933	179	12754	61	523
FBXO11	Cauchy		0.413683							
FAP	pLoF	0.01	0.2441813	-0.0399649	0.0343165	109	0	109	0	66
FAP	pLoF	0.5	0.2441813	-0.0399649	0.0343165	109	0	109	0	66
FAP	missense	0.01	0.7848828	0.00167274	0.00612811	3501	51	3450	18	263
FAP	missense	0.5	0.7848828	0.00167274	0.00612811	3501	51	3450	18	263
FAP	synonymous	0.01	0.2509999	0.00515271	0.00448872	7201	114	7087	28	128
FAP	synonymous	0.5	0.1864214	0.00567763	0.0042972	26082	351	25731	29	128
FAP	pLoF;missense	0.01	0.9422761	0.00043802	0.00604921	3608	51	3557	18	329
FAP	pLoF;missense	0.5	0.9422761	0.00043802	0.00604921	3608	51	3557	18	329
FAP	missense;synonymous	0.01	0.3094969	0.00345298	0.00339767	10700	165	10535	46	391
FAP	missense;synonymous	0.5	0.2442417	0.00386484	0.00331903	29581	402	29179	47	391
FAP	pLoF;missense;synonymous;other	0.01	0.3723598	0.00272694	0.0030569	11688	178	11510	51	494
FAP	pLoF;missense;synonymous;other	0.5	0.3027526	0.00309135	0.00299971	30569	415	30154	52	494
FAP	Cauchy		0.646948							
IFIH1	pLoF	0.01	0.3217611	-0.00520599	0.00525409	6120	71	6049	16	95
IFIH1	pLoF	0.5	0.3217611	-0.00520599	0.00525409	6120	71	6049	16	95
IFIH1	missense	0.01	0.2742703	-0.00590639	0.00540244	4354	51	4303	45	313
IFIH1	missense	0.5	0.8687061	0.000739844	0.0044757	7926	110	7816	46	313
IFIH1	synonymous	0.01	0.8929951	0.000690111	0.00513035	5287	76	5211	26	198
IFIH1	synonymous	0.5	0.5931664	0.00249811	0.00467589	70043	1024	69019	28	198
IFIH1	pLoF;missense	0.01	0.1402704	-0.00556599	0.00377411	10467	122	10345	61	408
IFIH1	pLoF;missense	0.5	0.6033709	-0.00178223	0.00343027	14039	181	13858	62	408
IFIH1	missense;synonymous	0.01	0.5295217	-0.00227987	0.00362612	9636	127	9509	71	511
IFIH1	missense;synonymous	0.5	0.6253115	0.00154905	0.00317209	77964	1134	76830	74	511
IFIH1	pLoF;missense;synonymous;other	0.01	0.2095822	-0.00357933	0.0028527	16813	210	16603	94	632
IFIH1	pLoF;missense;synonymous;other	0.5	0.7672827	-0.000778478	0.00263061	85141	1217	83924	97	632
IFIH1	Cauchy		0.549558							
GCA	pLoF	0.01	0.3298904	-0.0158226	0.0162394	507	4	503	4	24
GCA	pLoF	0.5	0.3298904	-0.0158226	0.0162394	507	4	503	4	24
GCA	missense	0.01	0.2493557	-0.0101616	0.00882145	1703	18	1685	5	67
GCA	missense	0.5	0.2493557	-0.0101616	0.00882145	1703	18	1685	5	67
GCA	synonymous	0.01	0.9382982	0.00124454	0.0160775	627	7	620	8	39
GCA	synonymous	0.5	0.9382982	0.00124454	0.0160775	627	7	620	8	39
GCA	pLoF;missense	0.01	0.1415529	-0.0114133	0.00776397	2207	22	2185	9	91
GCA	pLoF;missense	0.5	0.1415529	-0.0114133	0.00776397	2207	22	2185	9	91
GCA	missense;synonymous	0.01	0.3322591	-0.00750865	0.00774428	2330	25	2305	13	106
GCA	missense;synonymous	0.5	0.3322591	-0.00750865	0.00774428	2330	25	2305	13	106
GCA	pLoF;missense;synonymous;other	0.01	0.1861085	-0.00923362	0.00698364	2854	29	2825	17	140
GCA	pLoF;missense;synonymous;other	0.5	0.1861085	-0.00923362	0.00698364	2854	29	2825	17	140
GCA	Cauchy		0.463395							
EFR3B	pLoF	0.01	0.2273483	0.0521326	0.0431841	67	2	65	1	34
EFR3B	pLoF	0.5	0.2273483	0.0521326	0.0431841	67	2	65	1	34
EFR3B	missense	0.01	0.9616983	-0.000430807	0.00897093	1589	21	1568	15	251
EFR3B	missense	0.5	0.9616983	-0.000430807	0.00897093	1589	21	1568	15	251
EFR3B	synonymous	0.01	0.5180213	-0.00334987	0.00518236	5212	65	5147	31	168
EFR3B	synonymous	0.5	0.517518	-0.00335411	0.00518269	196110	2524	193586	33	168
EFR3B	pLoF;missense	0.01	0.9892165	-0.000119174	0.00881762	1653	22	1631	16	285
EFR3B	pLoF;missense	0.5	0.9892165	-0.000119174	0.00881762	1653	22	1631	16	285
EFR3B	missense;synonymous	0.01	0.5547256	-0.00266127	0.00450533	6798	86	6712	46	419
EFR3B	missense;synonymous	0.5	0.5542847	-0.00266431	0.00450546	197696	2545	195151	48	419
EFR3B	pLoF;missense;synonymous;other	0.01	0.4652275	-0.00308394	0.00422304	7714	96	7618	58	487
EFR3B	pLoF;missense;synonymous;other	0.5	0.4648458	-0.00308668	0.00422318	198612	2555	196057	60	487
EFR3B	Cauchy		0.948475							
MSH2	pLoF	0.01	0.3191069	0.0258058	0.0259018	181	4	177	4	23
MSH2	pLoF	0.5	0.3191069	0.0258058	0.0259018	181	4	177	4	23
MSH2	missense	0.01	0.6331617	-0.00326133	0.00683314	3078	35	3043	37	455
MSH2	missense	0.5	0.8147537	-0.000986124	0.00420885	11643	157	11486	39	455
MSH2	synonymous	0.01	0.7020663	0.00171877	0.00449313	7788	107	7681	26	196
MSH2	synonymous	0.5	0.1363272	0.00578383	0.00388279	12216	190	12026	27	196
MSH2	pLoF;missense	0.01	0.8313997	-0.00140997	0.00662247	3259	39	3220	41	478
MSH2	pLoF;missense	0.5	0.9403999	-0.000311098	0.00416089	11824	161	11663	43	478
MSH2	missense;synonymous	0.01	0.9436652	0.000267987	0.00379241	10865	142	10723	63	651
MSH2	missense;synonymous	0.5	0.3279943	0.00288784	0.00295232	23858	347	23511	66	651
