Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.7443733	0.00585437	0.0179545	2098	7	2091	14	89
HRNR	pLoF	0.5	0.7443733	0.00585437	0.0179545	2098	7	2091	14	89
HRNR	missense	0.01	0.4819524	-0.0411395	0.0585061	80	0	80	2	24
HRNR	missense	0.5	0.4819524	-0.0411395	0.0585061	80	0	80	2	24
HRNR	synonymous	0.01	0.1136912	-0.0177359	0.0112124	4188	8	4180	51	305
HRNR	synonymous	0.5	0.2429465	-0.00927252	0.00794115	337519	1329	336190	67	305
HRNR	pLoF;missense	0.01	0.9093786	0.0019582	0.017204	2178	7	2171	16	113
HRNR	pLoF;missense	0.5	0.9093786	0.0019582	0.017204	2178	7	2171	16	113
HRNR	missense;synonymous	0.01	0.09344239	-0.0185732	0.0110719	4267	8	4259	53	329
HRNR	missense;synonymous	0.5	0.2141661	-0.00979886	0.00788837	337598	1329	336269	69	329
HRNR	pLoF;missense;synonymous;other	0.01	0.2164914	-0.0117468	0.00950456	6377	15	6362	68	419
HRNR	pLoF;missense;synonymous;other	0.5	0.4540179	-0.00531869	0.00710359	346144	1355	344789	85	419
HRNR	Cauchy		0.473046							
FLG	pLoF	0.01	0.7520627	0.00422588	0.0133764	2536	11	2525	27	287
FLG	pLoF	0.5	0.9007202	0.00117999	0.00945869	5444	28	5416	29	287
FLG	missense	0.01	0.1419548	0.115026	0.0783263	46	1	45	1	15
FLG	missense	0.5	0.5124968	0.0148108	0.0226134	2638	7	2631	3	15
FLG	synonymous	0.01	0.6695807	-0.00185465	0.00434625	23141	68	23073	159	694
FLG	synonymous	0.5	0.6997893	-0.0013459	0.00349036	335408	1287	334121	178	694
FLG	pLoF;missense	0.01	0.5970875	0.00699274	0.013229	2582	12	2570	28	302
FLG	pLoF;missense	0.5	0.7267127	0.00307356	0.00879412	8082	35	8047	32	302
FLG	missense;synonymous	0.01	0.7137438	-0.00159289	0.00434229	23186	69	23117	160	709
FLG	missense;synonymous	0.5	0.7702332	-0.000985496	0.00337418	338045	1294	336751	181	709
FLG	pLoF;missense;synonymous;other	0.01	0.7854212	-0.00112555	0.0041341	25705	80	25625	187	1001
FLG	pLoF;missense;synonymous;other	0.5	0.8005832	-0.000814153	0.00322319	343472	1322	342150	210	1001
FLG	Cauchy		0.706853							
FLG2	pLoF	0.01	0.2916656	0.0337778	0.0320328	375	3	372	5	98
FLG2	pLoF	0.5	0.6043687	-0.00926864	0.0178887	27398	104	27294	7	98
FLG2	missense	0.01	0.9946852	0.000284282	0.0426774	383	1	382	2	27
FLG2	missense	0.5	0.9946852	0.000284282	0.0426774	383	1	382	2	27
FLG2	synonymous	0.01	0.6369071	-0.00425112	0.00900608	7039	17	7022	41	262
FLG2	synonymous	0.5	0.8645227	0.00146844	0.00860652	61121	225	60896	45	262
FLG2	pLoF;missense	0.01	0.389899	0.0222245	0.0258485	758	4	754	7	125
FLG2	pLoF;missense	0.5	0.6360146	-0.00782656	0.0165369	27781	105	27676	9	125
FLG2	missense;synonymous	0.01	0.6456301	-0.00407956	0.00887166	7421	18	7403	43	289
