Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.04893897	-0.0289341	0.0146939	184	0	184	3	34
ATAD3A	pLoF	0.5	0.04893897	-0.0289341	0.0146939	184	0	184	3	34
ATAD3A	missense	0.01	0.9586821	0.000133355	0.00257405	10026	271	9755	62	224
ATAD3A	missense	0.5	0.504213	0.00132242	0.00198003	34474	851	33623	64	224
ATAD3A	synonymous	0.01	0.1746535	0.00217197	0.00160009	23593	606	22987	64	142
ATAD3A	synonymous	0.5	0.1519669	0.00216038	0.00150799	116633	2814	113819	66	142
ATAD3A	pLoF;missense	0.01	0.7785328	-0.000712262	0.00253265	10207	271	9936	65	258
ATAD3A	pLoF;missense	0.5	0.6863121	0.000791257	0.00195921	34655	851	33804	67	258
ATAD3A	missense;synonymous	0.01	0.2406816	0.00158468	0.00135064	33616	877	32739	126	366
ATAD3A	missense;synonymous	0.5	0.1323411	0.00175901	0.00116883	151104	3665	147439	130	366
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3512872	0.00125109	0.00134224	33918	878	33040	132	417
ATAD3A	pLoF;missense;synonymous;other	0.5	0.1953472	0.00150617	0.00116314	151406	3666	147740	136	417
ATAD3A	Cauchy		0.247502							
FLG	pLoF	0.01	0.8428815	0.000507657	0.00256122	10578	280	10298	102	335
FLG	pLoF	0.5	0.1614715	-0.00255034	0.00182149	39830	1029	38801	104	335
FLG	missense	0.01	0.8051509	-0.00197649	0.00801214	1824	28	1796	9	26
FLG	missense	0.5	0.8051509	-0.00197649	0.00801214	1824	28	1796	9	26
FLG	synonymous	0.01	0.8559792	0.000160491	0.000884272	78615	1749	76866	406	1143
FLG	synonymous	0.5	0.1814435	0.000809466	0.000605741	1644870	42922	1601950	427	1143
FLG	pLoF;missense	0.01	0.9101628	0.000275987	0.00244597	12402	308	12094	111	361
FLG	pLoF;missense	0.5	0.1547338	-0.0025314	0.0017789	41654	1057	40597	113	361
FLG	missense;synonymous	0.01	0.8811249	0.000129314	0.000864726	80437	1777	78660	415	1169
FLG	missense;synonymous	0.5	0.1929368	0.000779768	0.000598927	1646690	42950	1603740	436	1169
FLG	pLoF;missense;synonymous;other	0.01	0.8422581	0.000164099	0.000824595	91049	2058	88991	518	1507
FLG	pLoF;missense;synonymous;other	0.5	0.4228382	0.000460141	0.000574095	1686550	43980	1642570	541	1507
FLG	Cauchy		0.681093							
FLG2	pLoF	0.01	0.1446723	0.0083944	0.00575506	1849	59	1790	26	112
FLG2	pLoF	0.5	0.09245043	0.00954504	0.00567276	104013	2807	101206	27	112
FLG2	missense	0.01	0.9656924	-0.000584476	0.0135888	456	9	447	9	50
FLG2	missense	0.5	0.9656924	-0.000584476	0.0135888	456	9	447	9	50
FLG2	synonymous	0.01	0.4442947	0.000612024	0.000800072	42747	1032	41715	147	455
FLG2	synonymous	0.5	0.1679598	0.000786118	0.000570151	429799	11405	418394	155	455
FLG2	pLoF;missense	0.01	0.2257335	0.00643406	0.00531116	2301	67	2234	35	162
FLG2	pLoF;missense	0.5	0.1546571	0.00746792	0.005247	104465	2815	101650	36	162
FLG2	missense;synonymous	0.01	0.457176	0.000594077	0.000799022	43199	1040	42159	156	505
FLG2	missense;synonymous	0.5	0.1728251	0.000776642	0.000569727	430251	11413	418838	164	505
FLG2	pLoF;missense;synonymous;other	0.01	0.3681273	0.000700449	0.000778288	45056	1098	43958	182	622
FLG2	pLoF;missense;synonymous;other	0.5	0.137694	0.000827869	0.0005577	534272	14219	520053	191	622
