Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.8378164	-0.00226988	0.0110895	9207	15	9192	44	181
HRNR	pLoF	0.5	0.8378164	-0.00226988	0.0110895	9207	15	9192	44	181
HRNR	missense	0.01	0.9260788	0.00390131	0.0420493	344	1	343	7	50
HRNR	missense	0.5	0.9260788	0.00390131	0.0420493	344	1	343	7	50
HRNR	synonymous	0.01	0.3137023	0.00760331	0.00754683	13368	33	13335	143	525
HRNR	synonymous	0.5	0.1165155	0.00755996	0.00481658	1463810	3166	1460640	160	525
HRNR	pLoF;missense	0.01	0.8594314	-0.00190065	0.0107322	9551	16	9535	51	231
HRNR	pLoF;missense	0.5	0.8594314	-0.00190065	0.0107322	9551	16	9535	51	231
HRNR	missense;synonymous	0.01	0.3163656	0.00745456	0.00744001	13710	34	13676	150	575
HRNR	missense;synonymous	0.5	0.1172838	0.00750127	0.00478924	1464150	3167	1460980	167	575
HRNR	pLoF;missense;synonymous;other	0.01	0.4842555	0.00434014	0.00620486	22989	49	22940	196	760
HRNR	pLoF;missense;synonymous;other	0.5	0.1393106	0.00636449	0.00430509	1502120	3235	1498890	214	760
HRNR	Cauchy		0.679101							
FLG	pLoF	0.01	0.1919574	0.011126	0.00852691	11144	30	11114	89	524
FLG	pLoF	0.5	0.9058399	-0.00075816	0.00640947	23474	54	23420	91	524
FLG	missense	0.01	0.5049796	-0.0397054	0.0595574	206	0	206	4	31
FLG	missense	0.5	0.4689955	-0.008741	0.0120713	11941	18	11923	6	31
FLG	synonymous	0.01	0.7523705	0.000778817	0.0024684	98456	206	98250	350	1179
FLG	synonymous	0.5	0.6418871	0.000982523	0.00211267	1456010	3100	1452910	370	1179
FLG	pLoF;missense	0.01	0.2303573	0.0101334	0.00844849	11350	30	11320	93	555
FLG	pLoF;missense	0.5	0.6540242	-0.00256533	0.00572389	35415	72	35343	97	555
FLG	missense;synonymous	0.01	0.7720252	0.000714635	0.00246658	98660	206	98454	354	1210
FLG	missense;synonymous	0.5	0.7446856	0.0006588	0.002023	1467950	3118	1464830	376	1210
FLG	pLoF;missense;synonymous;other	0.01	0.5315614	0.00148099	0.00236722	109844	236	109608	445	1741
FLG	pLoF;missense;synonymous;other	0.5	0.7897824	0.000521348	0.00195559	1491460	3172	1488290	469	1741
FLG	Cauchy		0.650471							
FLG2	pLoF	0.01	0.9612821	0.000981943	0.0202276	1668	4	1664	25	222
FLG2	pLoF	0.5	0.005469223	0.0254872	0.00917462	118210	275	117935	27	222
FLG2	missense	0.01	0.5442353	-0.0145747	0.024034	1644	2	1642	7	69
FLG2	missense	0.5	0.5442353	-0.0145747	0.024034	1644	2	1642	7	69
FLG2	synonymous	0.01	0.1309083	0.00756489	0.00500811	32045	77	31968	104	541
FLG2	synonymous	0.5	0.1195289	0.00755213	0.0048512	266021	577	265444	108	541
FLG2	pLoF;missense	0.01	0.7184618	-0.0056032	0.0155422	3312	6	3306	32	291
FLG2	pLoF;missense	0.5	0.02297647	0.0242273	0.0106549	119854	277	119577	34	291
FLG2	missense;synonymous	0.01	0.1740006	0.00671245	0.00493758	33689	79	33610	111	610
FLG2	missense;synonymous	0.5	0.1568451	0.00680344	0.00480549	267665	579	267086	115	610
FLG2	pLoF;missense;synonymous;other	0.01	0.1832547	0.00636766	0.00478483	35348	83	35265	136	834
FLG2	pLoF;missense;synonymous;other	0.5	0.01745003	0.0106207	0.00446793	385866	854	385012	142	834
FLG2	Cauchy		0.0418051							
RPTN	pLoF	0.01	0.5800425	-0.012849	0.0232216	1426	2	1424	21	100
RPTN	pLoF	0.5	0.5814096	-0.0128039	0.0232238	123343	288	123055	22	100
RPTN	missense	0.01	0.2658705	-0.0270538	0.0243153	1147	1	1146	5	40
RPTN	missense	0.5	0.2658705	-0.0270538	0.0243153	1147	1	1146	5	40
RPTN	synonymous	0.01	0.4465476	-0.0165509	0.0217436	1982	2	1980	24	153
RPTN	synonymous	0.5	0.1502351	-0.0177005	0.0123031	7289	10	7279	25	153
