Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
OR4F17	pLoF	0.01	2.722112E-02	0.0104757	0.00474373	1885	112	1773	2	3
OR4F17	pLoF	0.500000	2.722112E-02	0.0104757	0.00474373	1885	112	1773	2	3
OR4F17	missense	0.01	2.951888E-01	0.00679897	0.00649497	1060	47	1013	6	11
OR4F17	missense	0.500000	2.951888E-01	0.00679897	0.00649497	1060	47	1013	6	11
OR4F17	synonymous	0.01	3.048344E-01	-0.00281957	0.0027478	6036	248	5788	6	7
OR4F17	synonymous	0.500000	3.048344E-01	-0.00281957	0.0027478	6036	248	5788	6	7
OR4F17	pLoF;missense	0.01	1.634879E-02	0.00920408	0.00383338	2945	159	2786	8	14
OR4F17	pLoF;missense	0.500000	1.634879E-02	0.00920408	0.00383338	2945	159	2786	8	14
OR4F17	missense;synonymous	0.01	5.915349E-01	-0.00135692	0.00252867	7096	295	6801	12	18
OR4F17	missense;synonymous	0.500000	5.915349E-01	-0.00135692	0.00252867	7096	295	6801	12	18
OR4F17	pLoF;missense;synonymous;other	0.01	5.714472E-01	0.00126714	0.00223908	8981	407	8574	14	21
OR4F17	pLoF;missense;synonymous;other	0.500000	5.714472E-01	0.00126714	0.00223908	8981	407	8574	14	21
OR4F17	Cauchy	NA	0.0589132	NA	NA	NA	NA	NA	NA	NA
PLPP2	pLoF	0.01	2.813046E-02	0.0482301	0.0219681	73	7	66	2	24
PLPP2	pLoF	0.500000	2.813046E-02	0.0482301	0.0219681	73	7	66	2	24
PLPP2	missense	0.01	5.079382E-01	-0.00165689	0.00250267	6264	309	5955	20	123
PLPP2	missense	0.500000	5.079382E-01	-0.00165689	0.00250267	6264	309	5955	20	123
PLPP2	synonymous	0.01	9.183563E-01	-0.000472477	0.00460933	1880	81	1799	26	84
PLPP2	synonymous	0.5	8.573934E-01	-0.000451826	0.00251443	43289	1986	41303	28	84
PLPP2	pLoF;missense	0.01	6.357411E-01	-0.00117903	0.00248919	6332	315	6017	22	147
PLPP2	pLoF;missense	0.500000	6.357411E-01	-0.00117903	0.00248919	6332	315	6017	22	147
PLPP2	missense;synonymous	0.01	5.085579E-01	-0.00145921	0.00220729	8136	389	7747	46	207
PLPP2	missense;synonymous	0.5	5.380895E-01	-0.00108708	0.00176558	49545	2294	47251	48	207
PLPP2	pLoF;missense;synonymous;other	0.01	5.779376E-01	-0.00122149	0.00219534	8234	395	7839	48	243
PLPP2	pLoF;missense;synonymous;other	0.5	5.943265E-01	-0.000937106	0.00175957	272741	12091	260650	51	243
PLPP2	Cauchy	NA	0.214595	NA	NA	NA	NA	NA	NA	NA
MIER2	pLoF	0.01	2.622987E-01	-0.0276005	0.0246218	69	1	68	0	29
MIER2	pLoF	0.500000	2.622987E-01	-0.0276005	0.0246218	69	1	68	0	29
MIER2	missense	0.01	1.120926E-01	0.00481055	0.00302768	4614	226	4388	30	184
MIER2	missense	0.500000	1.120926E-01	0.00481055	0.00302768	4614	226	4388	30	184
MIER2	synonymous	0.01	6.411638E-01	0.000714668	0.00153339	17909	728	17181	70	187
MIER2	synonymous	0.5	1.619659E-01	0.0014623	0.00104563	256198	10437	245761	76	187
MIER2	pLoF;missense	0.01	1.491205E-01	0.00433809	0.00300704	4683	227	4456	30	213
MIER2	pLoF;missense	0.500000	1.491205E-01	0.00433809	0.00300704	4683	227	4456	30	213
MIER2	missense;synonymous	0.01	2.542186E-01	0.00156446	0.00137214	22519	954	21565	100	371
MIER2	missense;synonymous	0.5	6.674250E-02	0.00180288	0.00098335	260808	10663	250145	106	371
MIER2	pLoF;missense;synonymous;other	0.01	2.840773E-01	0.00146197	0.00136479	22811	963	21848	105	442
MIER2	pLoF;missense;synonymous;other	0.5	7.475102E-02	0.00174631	0.000979979	261100	10672	250428	111	442
MIER2	Cauchy	NA	0.151819	NA	NA	NA	NA	NA	NA	NA
SPMAP2	pLoF	0.01	3.552378E-01	-0.00940323	0.0101714	439	13	426	6	37
SPMAP2	pLoF	0.500000	3.552378E-01	-0.00940323	0.0101714	439	13	426	6	37
SPMAP2	missense	0.01	6.484956E-01	0.00184246	0.00404179	3218	118	3100	26	85
SPMAP2	missense	0.5	8.250809E-01	-0.000495087	0.00224006	44516	1977	42539	28	85
SPMAP2	synonymous	0.01	7.575685E-01	-0.000638545	0.00206866	13493	520	12973	33	110
SPMAP2	synonymous	0.5	5.181076E-01	-0.00127085	0.00196645	46900	1772	45128	34	110
SPMAP2	pLoF;missense	0.01	9.368709E-01	0.00029801	0.00376259	3657	131	3526	32	122
SPMAP2	pLoF;missense	0.5	6.765227E-01	-0.000914218	0.00219125	44955	1990	42965	34	122
SPMAP2	missense;synonymous	0.01	9.436667E-01	-0.000127942	0.00181062	16711	638	16073	59	195
SPMAP2	missense;synonymous	0.5	5.218534E-01	-0.000954225	0.00148983	91416	3749	87667	62	195
SPMAP2	pLoF;missense;synonymous;other	0.01	6.549200E-01	-0.000788361	0.00176392	17447	659	16788	70	242
SPMAP2	pLoF;missense;synonymous;other	0.5	6.433909E-01	-0.000627348	0.00135507	106781	4326	102455	74	242
SPMAP2	Cauchy	NA	0.780289	NA	NA	NA	NA	NA	NA	NA
C2CD4C	pLoF	0.01	8.745788E-01	-0.00436964	0.027683	52	2	50	0	35
C2CD4C	pLoF	0.500000	8.745788E-01	-0.00436964	0.027683	52	2	50	0	35
C2CD4C	missense	0.01	1.048713E-01	0.00442471	0.00272847	7767	339	7428	30	207
C2CD4C	missense	0.500000	1.048713E-01	0.00442471	0.00272847	7767	339	7428	30	207
C2CD4C	synonymous	0.01	6.197972E-01	-0.0009879	0.00199118	15385	579	14806	42	213
C2CD4C	synonymous	0.5	6.662353E-01	0.000621533	0.001441	139829	6008	133821	45	213
C2CD4C	pLoF;missense	0.01	1.083627E-01	0.00436295	0.00271734	7817	341	7476	30	242
C2CD4C	pLoF;missense	0.500000	1.083627E-01	0.00436295	0.00271734	7817	341	7476	30	242
C2CD4C	missense;synonymous	0.01	6.173545E-01	0.000710583	0.00142229	23150	918	22232	72	420
C2CD4C	missense;synonymous	0.5	3.219150E-01	0.00109047	0.00110089	147594	6347	141247	75	420
C2CD4C	pLoF;missense;synonymous;other	0.01	6.213504E-01	0.000701926	0.00142108	23201	920	22281	72	457
C2CD4C	pLoF;missense;synonymous;other	0.5	3.241201E-01	0.00108502	0.0011004	147645	6349	141296	75	457
C2CD4C	Cauchy	NA	0.348832	NA	NA	NA	NA	NA	NA	NA
SHC2	pLoF	0.01	2.071904E-01	0.00911625	0.00722749	856	40	816	17	70
SHC2	pLoF	0.500000	2.071904E-01	0.00911625	0.00722749	856	40	816	17	70
SHC2	missense	0.01	9.734664E-02	0.00388097	0.00234096	8748	392	8356	70	291
SHC2	missense	0.5	1.271776E-01	0.00289869	0.00190037	14850	692	14158	71	291
SHC2	synonymous	0.01	3.169841E-01	-0.00153226	0.00153122	14779	571	14208	69	213
SHC2	synonymous	0.5	3.165515E-01	-0.00125059	0.00124863	157462	6627	150835	74	213
SHC2	pLoF;missense	0.01	6.035692E-02	0.00418984	0.0022308	9593	430	9163	87	361
SHC2	pLoF;missense	0.5	8.479634E-02	0.0031723	0.00184061	15695	730	14965	88	361
SHC2	missense;synonymous	0.01	9.576874E-01	6.86123e-05	0.00129321	23514	962	22552	139	504
SHC2	missense;synonymous	0.5	9.890847E-01	-1.42417e-05	0.00104101	172299	7318	164981	145	504
SHC2	pLoF;missense;synonymous;other	0.01	9.539271E-01	7.29928e-05	0.00126338	24867	1015	23852	161	601
SHC2	pLoF;missense;synonymous;other	0.5	9.930916E-01	-8.8861e-06	0.00102628	173652	7371	166281	167	601
SHC2	Cauchy	NA	0.946869	NA	NA	NA	NA	NA	NA	NA
CIMAP1D	pLoF	0.01	7.235524E-01	-0.00766344	0.0216656	91	3	88	2	14
CIMAP1D	pLoF	0.500000	7.235524E-01	-0.00766344	0.0216656	91	3	88	2	14
CIMAP1D	missense	0.01	6.387636E-01	-0.00572367	0.0121929	288	10	278	6	38
CIMAP1D	missense	0.5	3.685399E-01	-0.00303586	0.00337613	11994	439	11555	7	38
CIMAP1D	synonymous	0.01	4.573067E-01	0.0051168	0.006884	984	41	943	11	41
CIMAP1D	synonymous	0.5	4.849711E-01	-0.00172884	0.00247568	29402	1185	28217	13	41
CIMAP1D	pLoF;missense	0.01	5.592110E-01	-0.00621384	0.0106399	379	13	366	8	52
CIMAP1D	pLoF;missense	0.5	3.453434E-01	-0.0031496	0.00333764	12085	442	11643	9	52
CIMAP1D	missense;synonymous	0.01	6.773906E-01	0.00249866	0.00600601	1272	51	1221	17	79
CIMAP1D	missense;synonymous	0.5	2.563818E-01	-0.00234804	0.00206878	41396	1624	39772	20	79
CIMAP1D	pLoF;missense;synonymous;other	0.01	6.216594E-01	0.00281498	0.00570412	1405	57	1348	20	98
CIMAP1D	pLoF;missense;synonymous;other	0.5	2.749361E-01	-0.00224314	0.0020546	41529	1630	39899	23	98
CIMAP1D	Cauchy	NA	0.51082	NA	NA	NA	NA	NA	NA	NA
MADCAM1	pLoF	0.01	8.329620E-01	0.00153331	0.00727015	762	32	730	14	68
MADCAM1	pLoF	0.5	6.222780E-01	0.00275017	0.00558268	210259	9340	200919	16	68
MADCAM1	missense	0.01	8.976564E-01	-0.00107278	0.00834056	479	25	454	5	46
MADCAM1	missense	0.500000	8.976564E-01	-0.00107278	0.00834056	479	25	454	5	46
MADCAM1	synonymous	0.01	6.430434E-01	0.0037279	0.00804384	673	29	644	18	96
MADCAM1	synonymous	0.5	5.065758E-01	0.00500078	0.00752926	303856	13572	290284	20	96
MADCAM1	pLoF;missense	0.01	9.426487E-01	0.000394836	0.00548832	1241	57	1184	19	114
MADCAM1	pLoF;missense	0.5	7.366554E-01	0.00156329	0.00464869	210738	9365	201373	21	114
MADCAM1	missense;synonymous	0.01	8.073234E-01	0.00141457	0.00580026	1152	54	1098	23	142
MADCAM1	missense;synonymous	0.5	6.840503E-01	0.00227963	0.00560185	304335	13597	290738	25	142
MADCAM1	pLoF;missense;synonymous;other	0.01	8.600796E-01	0.000789533	0.00447904	1966	87	1879	38	219
MADCAM1	pLoF;missense;synonymous;other	0.5	6.342690E-01	0.00175188	0.00368253	514646	22938	491708	42	219
MADCAM1	Cauchy	NA	0.826005	NA	NA	NA	NA	NA	NA	NA
TPGS1	pLoF	0.01	5.321838E-01	0.00681467	0.0109091	314	17	297	4	42
TPGS1	pLoF	0.500000	5.321838E-01	0.00681467	0.0109091	314	17	297	4	42
TPGS1	missense	0.01	9.900386E-01	3.3878e-05	0.00271348	5708	266	5442	29	191
TPGS1	missense	0.5	9.300804E-01	0.000196581	0.0022404	27800	1281	26519	30	191
TPGS1	synonymous	0.01	2.040549E-01	0.00291788	0.00229739	11485	458	11027	26	143
TPGS1	synonymous	0.5	3.385229E-01	0.00136403	0.00142519	151078	6641	144437	29	143
TPGS1	pLoF;missense	0.01	8.696851E-01	0.000432565	0.00263665	6022	283	5739	33	233
TPGS1	pLoF;missense	0.5	8.315968E-01	0.000467237	0.00219717	28114	1298	26816	34	233
TPGS1	missense;synonymous	0.01	3.272909E-01	0.00172563	0.00176159	17189	724	16465	55	334
TPGS1	missense;synonymous	0.5	3.885809E-01	0.00104796	0.00121546	178874	7922	170952	59	334
TPGS1	pLoF;missense;synonymous;other	0.01	2.800825E-01	0.00187914	0.00173973	17527	742	16785	60	381
TPGS1	pLoF;missense;synonymous;other	0.5	3.495977E-01	0.00113018	0.00120827	179212	7940	171272	64	381
TPGS1	Cauchy	NA	0.898735	NA	NA	NA	NA	NA	NA	NA
CDC34	pLoF	0.01	3.815296E-01	-0.0240021	0.0274284	53	1	52	1	15
CDC34	pLoF	0.500000	3.815296E-01	-0.0240021	0.0274284	53	1	52	1	15
CDC34	missense	0.01	8.567924E-01	-0.00150147	0.00832029	587	24	563	16	107
