Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.5566932	-0.0284134	0.0483418	184	0	184	3	34
ATAD3A	pLoF	0.5	0.5566932	-0.0284134	0.0483418	184	0	184	3	34
ATAD3A	missense	0.01	0.8486866	-0.00152757	0.00800637	9781	26	9755	59	228
ATAD3A	missense	0.5	0.3259902	-0.00570394	0.00580717	33708	85	33623	61	228
ATAD3A	synonymous	0.01	0.9194675	-0.00046267	0.00457616	23050	63	22987	63	142
ATAD3A	synonymous	0.5	0.9449527	0.000289464	0.0041923	114150	331	113819	65	142
ATAD3A	pLoF;missense	0.01	0.7777622	-0.00222785	0.00789355	9962	26	9936	62	262
ATAD3A	pLoF;missense	0.5	0.2970553	-0.00600541	0.0057591	33889	85	33804	64	262
ATAD3A	missense;synonymous	0.01	0.8530888	-0.000730768	0.00394628	32828	89	32739	122	370
ATAD3A	missense;synonymous	0.5	0.6159102	-0.00163765	0.00326448	147855	416	147439	126	370
ATAD3A	pLoF;missense;synonymous;other	0.01	0.7904519	-0.00104313	0.00392563	33129	89	33040	128	421
ATAD3A	pLoF;missense;synonymous;other	0.5	0.5704791	-0.00184528	0.00325248	148156	416	147740	132	421
ATAD3A	Cauchy		0.791753							
FLG	pLoF	0.01	0.4259402	0.00619483	0.00778091	10331	33	10298	99	334
FLG	pLoF	0.5	0.3605496	0.00516959	0.00565404	38915	114	38801	101	334
FLG	missense	0.01	0.6427706	0.00891237	0.0192148	1802	6	1796	8	27
FLG	missense	0.5	0.6427706	0.00891237	0.0192148	1802	6	1796	8	27
FLG	synonymous	0.01	0.7906806	0.000614431	0.00231488	77088	222	76866	400	1134
FLG	synonymous	0.5	0.6427816	0.000795661	0.00171548	1606540	4591	1601950	421	1134
FLG	pLoF;missense	0.01	0.359522	0.00663663	0.00724304	12133	39	12094	107	361
FLG	pLoF;missense	0.5	0.3120034	0.00549874	0.00543876	40717	120	40597	109	361
FLG	missense;synonymous	0.01	0.7540986	0.000704099	0.0022478	78888	228	78660	408	1161
FLG	missense;synonymous	0.5	0.6188888	0.000838576	0.00168583	1608340	4597	1603740	429	1161
FLG	pLoF;missense;synonymous;other	0.01	0.6135633	0.00109679	0.00217189	89252	261	88991	508	1498
FLG	pLoF;missense;synonymous;other	0.5	0.4660117	0.00118723	0.00162861	1647280	4711	1642570	531	1498
FLG	Cauchy		0.567257							
FLG2	pLoF	0.01	0.6646455	-0.00770201	0.0177667	1794	4	1790	26	112
FLG2	pLoF	0.5	0.5425476	-0.0106702	0.0175219	101467	261	101206	27	112
FLG2	missense	0.01	0.2596963	-0.0405085	0.0359402	447	0	447	9	50
FLG2	missense	0.5	0.2596963	-0.0405085	0.0359402	447	0	447	9	50
FLG2	synonymous	0.01	0.7218984	-0.000865677	0.0024322	41825	110	41715	145	450
FLG2	synonymous	0.5	0.7808394	-0.000483855	0.00173908	419518	1124	418394	153	450
FLG2	pLoF;missense	0.01	0.3766063	-0.0141087	0.015957	2238	4	2234	35	162
FLG2	pLoF;missense	0.5	0.2992265	-0.0163865	0.0157852	101911	261	101650	36	162
FLG2	missense;synonymous	0.01	0.6662701	-0.00104758	0.00242904	42269	110	42159	154	500
FLG2	missense;synonymous	0.5	0.7396619	-0.000577544	0.00173801	419962	1124	418838	162	500
FLG2	pLoF;missense;synonymous;other	0.01	0.630612	-0.00114334	0.00237767	44072	114	43958	180	617
FLG2	pLoF;missense;synonymous;other	0.5	0.6994608	-0.000658729	0.00170634	521438	1385	520053	189	617
FLG2	Cauchy		0.563024							
PIP5K1A	pLoF	0.01	0.09703143	0.141602	0.0853323	83	1	82	1	26
PIP5K1A	pLoF	0.5	0.09703143	0.141602	0.0853323	83	1	82	1	26
PIP5K1A	missense	0.01	0.8437438	0.00421284	0.0213733	1311	4	1307	16	162
PIP5K1A	missense	0.5	0.8437438	0.00421284	0.0213733	1311	4	1307	16	162
PIP5K1A	synonymous	0.01	0.3397716	0.0100191	0.0104954	5898	20	5878	22	121
PIP5K1A	synonymous	0.5	0.05802146	0.0143105	0.00754958	210724	601	210123	24	121
PIP5K1A	pLoF;missense	0.01	0.5509869	0.0123785	0.0207595	1394	5	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.5509869	0.0123785	0.0207595	1394	5	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.3784637	0.00777745	0.00883068	7204	24	7180	38	283
PIP5K1A	missense;synonymous	0.5	0.0747714	0.0122184	0.00685707	212030	605	211425	40	283
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.3172881	0.00875167	0.00875126	7360	25	7335	40	325
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.06127292	0.0127647	0.00682048	212186	606	211580	42	325
PIP5K1A	Cauchy		0.182186							
TUFT1	pLoF	0.01	0.5581833	-0.040281	0.0687927	126	0	126	2	23
TUFT1	pLoF	0.5	0.5581833	-0.040281	0.0687927	126	0	126	2	23
TUFT1	missense	0.01	0.2944568	0.0152618	0.0145573	2986	11	2975	16	98
TUFT1	missense	0.5	0.2944568	0.0152618	0.0145573	2986	11	2975	16	98
TUFT1	synonymous	0.01	0.1763623	-0.0400537	0.0296247	615	0	615	12	59
TUFT1	synonymous	0.5	0.1763623	-0.0400537	0.0296247	615	0	615	12	59
TUFT1	pLoF;missense	0.01	0.3655401	0.0128912	0.0142466	3112	11	3101	18	121
TUFT1	pLoF;missense	0.5	0.3655401	0.0128912	0.0142466	3112	11	3101	18	121
TUFT1	missense;synonymous	0.01	0.729812	0.00445735	0.0129058	3597	11	3586	28	157
TUFT1	missense;synonymous	0.5	0.729812	0.00445735	0.0129058	3597	11	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.84199	0.00251496	0.0126159	3764	11	3753	31	189
TUFT1	pLoF;missense;synonymous;other	0.5	0.84199	0.00251496	0.0126159	3764	11	3753	31	189
TUFT1	Cauchy		0.504902							
RIIAD1	pLoF	0.01	0.8986917	-0.0401419	0.315298	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8986917	-0.0401419	0.315298	6	0	6	0	4
RIIAD1	missense	0.01	0.3113577	0.0266757	0.0263496	853	4	849	4	20
RIIAD1	missense	0.5	0.3113577	0.0266757	0.0263496	853	4	849	4	20
RIIAD1	synonymous	0.01	0.8711869	0.00410381	0.0253086	969	3	966	4	15
RIIAD1	synonymous	0.5	0.8711869	0.00410381	0.0253086	969	3	966	4	15
RIIAD1	pLoF;missense	0.01	0.3181278	0.0262144	0.0262587	859	4	855	4	24
RIIAD1	pLoF;missense	0.5	0.3181278	0.0262144	0.0262587	859	4	855	4	24
RIIAD1	missense;synonymous	0.01	0.4051863	0.0154544	0.0185662	1822	7	1815	8	35
RIIAD1	missense;synonymous	0.5	0.4051863	0.0154544	0.0185662	1822	7	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.4111377	0.0152303	0.0185308	1829	7	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.4111377	0.0152303	0.0185308	1829	7	1822	8	40
RIIAD1	Cauchy		0.666501							
THEM4	pLoF	0.01	0.6803043	-0.0402132	0.0975935	61	0	61	1	19
THEM4	pLoF	0.5	0.6803043	-0.0402132	0.0975935	61	0	61	1	19
THEM4	missense	0.01	0.6750929	-0.00469177	0.011193	6969	17	6952	6	44
THEM4	missense	0.5	0.6750929	-0.00469177	0.011193	6969	17	6952	6	44
THEM4	synonymous	0.01	0.08923637	0.0443796	0.0261142	840	5	835	13	43
THEM4	synonymous	0.5	0.1431785	0.0269643	0.0184175	51820	150	51670	14	43
THEM4	pLoF;missense	0.01	0.6428336	-0.00515832	0.0111233	7030	17	7013	7	63
THEM4	pLoF;missense	0.5	0.6428336	-0.00515832	0.0111233	7030	17	7013	7	63
THEM4	missense;synonymous	0.01	0.7770913	0.00291552	0.0102981	7809	22	7787	19	87
THEM4	missense;synonymous	0.5	0.6852521	0.00391997	0.0096716	58789	167	58622	20	87
THEM4	pLoF;missense;synonymous;other	0.01	0.8243436	0.00226977	0.010226	7893	22	7871	20	112
THEM4	pLoF;missense;synonymous;other	0.5	0.7284758	0.00333644	0.00961085	58873	167	58706	21	112
THEM4	Cauchy		0.55923							
S100A10	missense	0.01	0.9636792	-0.000793088	0.0174163	2270	6	2264	5	37
S100A10	missense	0.5	0.9636792	-0.000793088	0.0174163	2270	6	2264	5	37
S100A10	synonymous	0.01	0.7482617	-0.00821364	0.0255931	749	2	747	5	19
S100A10	synonymous	0.5	0.7482617	-0.00821364	0.0255931	749	2	747	5	19
S100A10	pLoF;missense	0.01	0.9636792	-0.000793088	0.0174163	2270	6	2264	5	37
S100A10	pLoF;missense	0.5	0.9636792	-0.000793088	0.0174163	2270	6	2264	5	37
S100A10	missense;synonymous	0.01	0.829807	-0.00309815	0.0144134	3015	8	3007	10	56
S100A10	missense;synonymous	0.5	0.829807	-0.00309815	0.0144134	3015	8	3007	10	56
S100A10	pLoF;missense;synonymous;other	0.01	0.8270413	-0.00314725	0.014404	3019	8	3011	10	57
S100A10	pLoF;missense;synonymous;other	0.5	0.8270413	-0.00314725	0.014404	3019	8	3011	10	57
S100A10	Cauchy		0.928186							
