Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.8991935	0.000886183	0.00699543	9232	40	9192	44	181
HRNR	pLoF	0.5	0.8991935	0.000886183	0.00699543	9232	40	9192	44	181
HRNR	missense	0.01	0.5808014	-0.0132078	0.0239179	345	2	343	7	49
HRNR	missense	0.5	0.5808014	-0.0132078	0.0239179	345	2	343	7	49
HRNR	synonymous	0.01	0.4078516	0.00387039	0.00467619	13418	83	13335	143	525
HRNR	synonymous	0.5	0.6801064	-0.00130427	0.00316327	1468960	8315	1460640	160	525
HRNR	pLoF;missense	0.01	0.9731741	-0.00022577	0.00671383	9577	42	9535	51	230
HRNR	pLoF;missense	0.5	0.9731741	-0.00022577	0.00671383	9577	42	9535	51	230
HRNR	missense;synonymous	0.01	0.4810185	0.00323988	0.00459776	13761	85	13676	150	574
HRNR	missense;synonymous	0.5	0.6284909	-0.00151941	0.00314023	1469300	8317	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.4860031	0.00268827	0.00385869	23066	126	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.74512	-0.000916643	0.00281974	1507330	8445	1498890	214	759
HRNR	Cauchy		0.885562							
FLG	pLoF	0.01	0.4418078	0.00406033	0.00527903	11182	68	11114	89	527
FLG	pLoF	0.5	0.3698378	0.00339395	0.00378461	23603	183	23420	91	527
FLG	missense	0.01	0.5199561	0.0230195	0.0357772	208	2	206	4	32
FLG	missense	0.5	0.5631452	-0.00524583	0.00907307	11957	34	11923	6	32
FLG	synonymous	0.01	0.2988711	0.0017615	0.00169562	98748	498	98250	352	1180
FLG	synonymous	0.5	0.8655508	0.000232759	0.00137473	1461120	8207	1452910	372	1180
FLG	pLoF;missense	0.01	0.3982013	0.00441738	0.00522868	11390	70	11320	93	559
FLG	pLoF;missense	0.5	0.5465903	0.00212395	0.00352302	35560	217	35343	97	559
FLG	missense;synonymous	0.01	0.2887098	0.00179735	0.00169409	98954	500	98454	356	1212
FLG	missense;synonymous	0.5	0.9415534	9.76458e-05	0.00133182	1473070	8241	1464830	378	1212
FLG	pLoF;missense;synonymous;other	0.01	0.2397514	0.001886	0.00160428	110175	567	109608	447	1747
FLG	pLoF;missense;synonymous;other	0.5	0.7475534	0.000409751	0.00127305	1496710	8423	1488290	471	1747
FLG	Cauchy		0.636264							
FLG2	pLoF	0.01	0.8981203	-0.00153108	0.0119581	1675	11	1664	25	222
FLG2	pLoF	0.5	0.4354719	0.00543769	0.00697263	118698	763	117935	27	222
FLG2	missense	0.01	0.6494324	-0.00780777	0.0171769	1647	5	1642	7	69
FLG2	missense	0.5	0.6494324	-0.00780777	0.0171769	1647	5	1642	7	69
FLG2	synonymous	0.01	0.7468265	-0.00110955	0.00343699	32100	132	31968	104	541
FLG2	synonymous	0.5	0.8481269	0.000638634	0.00333475	266999	1555	265444	108	541
FLG2	pLoF;missense	0.01	0.7130387	-0.00362544	0.00985769	3322	16	3306	32	291
FLG2	pLoF;missense	0.5	0.5813949	0.00356604	0.00646785	120345	768	119577	34	291
FLG2	missense;synonymous	0.01	0.6831408	-0.00138406	0.0033908	33747	137	33610	111	610
FLG2	missense;synonymous	0.5	0.9185197	0.000337838	0.00330247	268646	1560	267086	115	610
FLG2	pLoF;missense;synonymous;other	0.01	0.6789247	-0.00134553	0.00325062	35413	148	35265	136	834
FLG2	pLoF;missense;synonymous;other	0.5	0.6615496	0.00130755	0.00298681	387335	2323	385012	142	834
FLG2	Cauchy		0.768099							
RPTN	pLoF	0.01	0.9169837	0.00163299	0.0156666	1431	7	1424	21	100
RPTN	pLoF	0.5	0.9223083	0.00152803	0.0156679	123862	807	123055	22	100
RPTN	missense	0.01	0.1637283	0.0189687	0.0136207	1160	14	1146	5	40
RPTN	missense	0.5	0.1637283	0.0189687	0.0136207	1160	14	1146	5	40
RPTN	synonymous	0.01	0.9804451	-0.000350321	0.0142924	1988	8	1980	24	154
RPTN	synonymous	0.5	0.7553277	-0.00234034	0.00751017	7321	42	7279	25	154
RPTN	pLoF;missense	0.01	0.2608136	0.0115763	0.0102949	2591	21	2570	26	140
RPTN	pLoF;missense	0.5	0.2626336	0.0115336	0.0102961	125022	821	124201	27	140
RPTN	missense;synonymous	0.01	0.3054848	0.0101598	0.00991448	3142	22	3120	29	194
RPTN	missense;synonymous	0.5	0.6744433	0.00277523	0.00660678	8475	56	8419	30	194
RPTN	pLoF;missense;synonymous;other	0.01	0.3653598	0.00759793	0.00839365	4579	29	4550	50	298
RPTN	pLoF;missense;synonymous;other	0.5	0.6799563	0.00251603	0.00609913	132343	863	131480	52	298
RPTN	Cauchy		0.826213							
CRNN	pLoF	0.01	0.1938939	-0.029878	0.0229982	307	0	307	6	51
CRNN	pLoF	0.5	0.1938939	-0.029878	0.0229982	307	0	307	6	51
CRNN	missense	0.01	0.5388038	0.0128986	0.0209862	957	5	952	11	72
CRNN	missense	0.5	0.5388038	0.0128986	0.0209862	957	5	952	11	72
CRNN	synonymous	0.01	0.7929816	0.0027212	0.0103688	3405	17	3388	26	128
CRNN	synonymous	0.5	0.5581296	0.00513635	0.00877076	25012	88	24924	27	128
CRNN	pLoF;missense	0.01	0.6744435	-0.00652607	0.0155361	1261	5	1256	17	123
CRNN	pLoF;missense	0.5	0.6744435	-0.00652607	0.0155361	1261	5	1256	17	123
CRNN	missense;synonymous	0.01	0.611756	0.00472783	0.00931466	4362	22	4340	37	200
CRNN	missense;synonymous	0.5	0.4353491	0.00634192	0.00812992	25969	93	25876	38	200
CRNN	pLoF;missense;synonymous;other	0.01	0.7844001	-0.00230654	0.00843066	4839	22	4817	45	252
CRNN	pLoF;missense;synonymous;other	0.5	0.9460016	0.000509263	0.00751917	26446	93	26353	46	252
CRNN	Cauchy		0.674737							
POMC	pLoF	0.01	0.1619338	-0.0173093	0.0123762	1691	4	1687	19	82
POMC	pLoF	0.5	0.08343032	-0.0202919	0.0117218	52600	264	52336	20	82
POMC	missense	0.01	0.9124852	-0.000873848	0.00795099	4522	29	4493	16	118
POMC	missense	0.5	0.9124852	-0.000873848	0.00795099	4522	29	4493	16	118
POMC	synonymous	0.01	0.8823786	-0.00105139	0.00710619	4990	41	4949	14	123
POMC	synonymous	0.5	0.7697696	0.00137152	0.00468614	22370	100	22270	16	123
POMC	pLoF;missense	0.01	0.3997028	-0.0056302	0.0066855	6212	33	6179	35	200
POMC	pLoF;missense	0.5	0.2887301	-0.00700641	0.00660414	57121	293	56828	36	200
POMC	missense;synonymous	0.01	0.865372	-0.000900019	0.0053086	9501	70	9431	30	241
POMC	missense;synonymous	0.5	0.835439	0.000840526	0.00404622	26881	129	26752	32	241
POMC	pLoF;missense;synonymous;other	0.01	0.4811797	-0.00344181	0.00488612	11194	74	11120	49	325
POMC	pLoF;missense;synonymous;other	0.5	0.7130675	-0.00141508	0.00384806	79483	393	79090	52	325
POMC	Cauchy		0.702933							
DNMT3A	pLoF	0.01	0.7390993	0.0033861	0.010167	929	19	910	6	400
DNMT3A	pLoF	0.5	0.7390993	0.0033861	0.010167	929	19	910	6	400
DNMT3A	missense	0.01	0.9976928	1.88784e-05	0.00652865	3466	42	3424	42	529
DNMT3A	missense	0.5	0.9976928	1.88784e-05	0.00652865	3466	42	3424	42	529
DNMT3A	synonymous	0.01	0.329751	0.00659443	0.00676618	8464	46	8418	46	216
DNMT3A	synonymous	0.5	0.3817629	0.00507953	0.00580748	156302	1046	155256	49	216
DNMT3A	pLoF;missense	0.01	0.842562	0.00112122	0.00564514	4382	61	4321	48	929
DNMT3A	pLoF;missense	0.5	0.842562	0.00112122	0.00564514	4382	61	4321	48	929
DNMT3A	missense;synonymous	0.01	0.5032768	0.00317054	0.0047368	11928	88	11840	88	745
DNMT3A	missense;synonymous	0.5	0.5171483	0.00283742	0.00438044	159766	1088	158678	91	745
DNMT3A	pLoF;missense;synonymous;other	0.01	0.5174074	0.00272963	0.00421664	14093	113	13980	102	1282
DNMT3A	pLoF;missense;synonymous;other	0.5	0.5258872	0.0025132	0.00396218	161931	1113	160818	105	1282
DNMT3A	Cauchy		0.986401							
DTNB	pLoF	0.01	0.8673622	-0.0402512	0.241011	14	0	14	0	13
DTNB	pLoF	0.5	0.8673622	-0.0402512	0.241011	14	0	14	0	13
DTNB	missense	0.01	0.234607	0.0841376	0.0707887	68	1	67	0	58
DTNB	missense	0.5	0.234607	0.0841376	0.0707887	68	1	67	0	58
DTNB	synonymous	0.01	0.5877346	-0.0416233	0.0767784	33	0	33	0	26
DTNB	synonymous	0.5	0.5877346	-0.0416233	0.0767784	33	0	33	0	26
DTNB	pLoF;missense	0.01	0.2740676	0.0743562	0.0679832	82	1	81	0	71
DTNB	pLoF;missense	0.5	0.2740676	0.0743562	0.0679832	82	1	81	0	71
DTNB	missense;synonymous	0.01	0.5770409	0.0298018	0.0534358	95	1	94	0	84
DTNB	missense;synonymous	0.5	0.5770409	0.0298018	0.0534358	95	1	94	0	84
DTNB	pLoF;missense;synonymous;other	0.01	0.6904201	0.0197258	0.0495269	124	1	123	0	112
DTNB	pLoF;missense;synonymous;other	0.5	0.6904201	0.0197258	0.0495269	124	1	123	0	112
DTNB	Cauchy		0.578461							
KCNK12	pLoF	0.01	0.4602763	-0.0430678	0.0583264	67	0	67	2	13
KCNK12	pLoF	0.5	0.4602763	-0.0430678	0.0583264	67	0	67	2	13
KCNK12	missense	0.01	0.2482762	-0.0183268	0.0158736	624	4	620	9	141
KCNK12	missense	0.5	0.2482762	-0.0183268	0.0158736	624	4	620	9	141
KCNK12	synonymous	0.01	0.1150482	0.0115519	0.00733033	8942	47	8895	21	213
KCNK12	synonymous	0.5	0.6019809	0.00269045	0.00515853	262534	1699	260835	23	213
KCNK12	pLoF;missense	0.01	0.1909184	-0.0200647	0.0153416	691	4	687	11	154
KCNK12	pLoF;missense	0.5	0.1909184	-0.0200647	0.0153416	691	4	687	11	154
KCNK12	missense;synonymous	0.01	0.3415803	0.00634408	0.00667062	9563	51	9512	30	354
KCNK12	missense;synonymous	0.5	0.8879223	0.000692216	0.00491165	263155	1703	261452	32	354
KCNK12	pLoF;missense;synonymous;other	0.01	0.4270635	0.00524315	0.00660158	9723	51	9672	34	394
KCNK12	pLoF;missense;synonymous;other	0.5	0.9749575	0.000153258	0.00488218	263315	1703	261612	36	394
KCNK12	Cauchy		0.670435							
MSH6	pLoF	0.01	0.2738312	0.0208602	0.0190629	1027	7	1020	8	111
MSH6	pLoF	0.5	0.2738312	0.0208602	0.0190629	1027	7	1020	8	111
MSH6	missense	0.01	0.1653533	0.00865786	0.00624084	6422	55	6367	74	679
MSH6	missense	0.5	0.1653533	0.00865786	0.00624084	6422	55	6367	74	679
MSH6	synonymous	0.01	0.8370086	-0.00129329	0.00628662	7789	39	7750	65	508
MSH6	synonymous	0.5	0.5927022	0.00218816	0.0040906	325019	2590	322429	73	508
MSH6	pLoF;missense	0.01	0.1019514	0.00975238	0.00596306	7446	62	7384	82	790
MSH6	pLoF;missense	0.5	0.1019514	0.00975238	0.00596306	7446	62	7384	82	790
MSH6	missense;synonymous	0.01	0.4000355	0.0037788	0.00449025	14190	94	14096	139	1187
MSH6	missense;synonymous	0.5	0.2239533	0.00421433	0.0034655	331420	2645	328775	147	1187
MSH6	pLoF;missense;synonymous;other	0.01	0.3025391	0.00438469	0.00425284	15973	107	15866	154	1333
MSH6	pLoF;missense;synonymous;other	0.5	0.1728479	0.00457743	0.00335808	333203	2658	330545	162	1333
MSH6	Cauchy		0.236745							
FBXO11	pLoF	0.01	0.3542304	0.00521933	0.0056339	8892	74	8818	33	98
FBXO11	pLoF	0.5	0.3542304	0.00521933	0.0056339	8892	74	8818	33	98
FBXO11	missense	0.01	0.1968129	0.0201398	0.015604	894	10	884	15	291
FBXO11	missense	0.5	0.1968129	0.0201398	0.015604	894	10	884	15	291
FBXO11	synonymous	0.01	0.9084787	0.000871465	0.00758075	3888	31	3857	34	206
FBXO11	synonymous	0.5	0.9877493	0.00010112	0.00658568	9735	48	9687	35	206
FBXO11	pLoF;missense	0.01	0.1886114	0.00698918	0.00531619	9784	84	9700	48	389
FBXO11	pLoF;missense	0.5	0.1886114	0.00698918	0.00531619	9784	84	9700	48	389
FBXO11	missense;synonymous	0.01	0.5129462	0.004436	0.00678021	4775	41	4734	49	497
FBXO11	missense;synonymous	0.5	0.613301	0.0030527	0.00604057	10622	58	10564	50	497
FBXO11	pLoF;missense;synonymous;other	0.01	0.390885	0.00352428	0.00410749	15497	127	15370	96	651
FBXO11	pLoF;missense;synonymous;other	0.5	0.4422963	0.00301095	0.00391887	21344	144	21200	97	651
FBXO11	Cauchy		0.843783							
FAP	pLoF	0.01	0.1242741	0.0555057	0.0361111	182	3	179	2	79
FAP	pLoF	0.5	0.1242741	0.0555057	0.0361111	182	3	179	2	79
FAP	missense	0.01	0.5311722	0.00503863	0.00804614	5844	31	5813	32	340
FAP	missense	0.5	0.5311722	0.00503863	0.00804614	5844	31	5813	32	340
FAP	synonymous	0.01	0.8138602	0.00130407	0.00553864	11791	67	11724	33	160
FAP	synonymous	0.5	0.5802719	0.00296374	0.00535951	40668	158	40510	34	160
FAP	pLoF;missense	0.01	0.3486665	0.00737931	0.00787396	6023	34	5989	34	419
FAP	pLoF;missense	0.5	0.3486665	0.00737931	0.00787396	6023	34	5989	34	419
FAP	missense;synonymous	0.01	0.5930931	0.00236062	0.00441766	17632	98	17534	65	500
FAP	missense;synonymous	0.5	0.4314142	0.00340813	0.00433178	46509	189	46320	66	500
FAP	pLoF;missense;synonymous;other	0.01	0.4130206	0.00333063	0.00406874	19303	109	19194	76	622
FAP	pLoF;missense;synonymous;other	0.5	0.2945199	0.00419633	0.00400315	48180	200	47980	77	622
FAP	Cauchy		0.377149							
IFIH1	pLoF	0.01	0.1341508	-0.00781437	0.00521677	9900	69	9831	21	115
IFIH1	pLoF	0.5	0.1341508	-0.00781437	0.00521677	9900	69	9831	21	115
IFIH1	missense	0.01	0.5478594	-0.00381198	0.00634303	7134	39	7095	66	388
IFIH1	missense	0.5	0.8307344	0.00103408	0.00483759	12917	101	12816	67	388
IFIH1	synonymous	0.01	0.1905762	-0.00971807	0.00742474	8665	27	8638	39	235
IFIH1	synonymous	0.5	0.04967366	-0.0136873	0.00697347	114174	297	113877	41	235
IFIH1	pLoF;missense	0.01	0.1249701	-0.00619277	0.00403637	17027	108	16919	87	503
IFIH1	pLoF;missense	0.5	0.3890665	-0.00307605	0.00357136	22810	170	22640	88	503
IFIH1	missense;synonymous	0.01	0.2018592	-0.00605627	0.00474528	15793	66	15727	105	623
IFIH1	missense;synonymous	0.5	0.3546082	-0.00364328	0.00393576	127085	398	126687	108	623
IFIH1	pLoF;missense;synonymous;other	0.01	0.04841204	-0.00678191	0.00343608	27414	140	27274	133	769
IFIH1	pLoF;missense;synonymous;other	0.5	0.09311592	-0.00521525	0.00310582	138706	472	138234	136	769
IFIH1	Cauchy		0.142922							
GCA	pLoF	0.01	0.3372661	0.0157051	0.0163666	804	9	795	4	27
GCA	pLoF	0.5	0.3372661	0.0157051	0.0163666	804	9	795	4	27
GCA	missense	0.01	0.4589707	-0.00771527	0.0104184	2824	14	2810	9	84
GCA	missense	0.5	0.4589707	-0.00771527	0.0104184	2824	14	2810	9	84
GCA	synonymous	0.01	0.792407	0.00577036	0.021925	1026	4	1022	10	54
GCA	synonymous	0.5	0.792407	0.00577036	0.021925	1026	4	1022	10	54
GCA	pLoF;missense	0.01	0.7663695	-0.00262239	0.00882583	3622	22	3600	13	111
GCA	pLoF;missense	0.5	0.7663695	-0.00262239	0.00882583	3622	22	3600	13	111
GCA	missense;synonymous	0.01	0.5825008	-0.0051872	0.00943582	3848	18	3830	19	138
GCA	missense;synonymous	0.5	0.5825008	-0.0051872	0.00943582	3848	18	3830	19	138
GCA	pLoF;missense;synonymous;other	0.01	0.9730736	-0.000275513	0.00816245	4677	27	4650	23	177
GCA	pLoF;missense;synonymous;other	0.5	0.9730736	-0.000275513	0.00816245	4677	27	4650	23	177
GCA	Cauchy		0.869333							
EFR3B	pLoF	0.01	0.1493819	0.0674257	0.0467676	102	2	100	1	42
EFR3B	pLoF	0.5	0.1493819	0.0674257	0.0467676	102	2	100	1	42
EFR3B	missense	0.01	0.53315	-0.00581946	0.00933796	2656	17	2639	23	335
EFR3B	missense	0.5	0.53315	-0.00581946	0.00933796	2656	17	2639	23	335
EFR3B	synonymous	0.01	0.344695	-0.00615239	0.00651095	8651	40	8611	43	215
EFR3B	synonymous	0.5	0.345242	-0.00614575	0.00651131	318147	2566	315581	45	215
EFR3B	pLoF;missense	0.01	0.7374483	-0.00307904	0.00918473	2756	19	2737	24	377
EFR3B	pLoF;missense	0.5	0.7374483	-0.00307904	0.00918473	2756	19	2737	24	377
EFR3B	missense;synonymous	0.01	0.2627212	-0.00603181	0.00538563	11304	57	11247	66	550
EFR3B	missense;synonymous	0.5	0.2631079	-0.00602705	0.00538574	320800	2583	318217	68	550
EFR3B	pLoF;missense;synonymous;other	0.01	0.3570086	-0.00456781	0.00495919	12782	69	12713	79	632
EFR3B	pLoF;missense;synonymous;other	0.5	0.3574427	-0.00456381	0.00495932	322278	2595	319683	81	632
EFR3B	Cauchy		0.35771							
MSH2	pLoF	0.01	2.043868e-05	0.0721094	0.0169269	301	9	292	4	41
MSH2	pLoF	0.5	2.043868e-05	0.0721094	0.0169269	301	9	292	4	41
MSH2	missense	0.01	0.1190062	0.013279	0.00851784	4894	32	4862	58	558
MSH2	missense	0.5	0.3716267	-0.00451607	0.00505476	19021	92	18929	60	558
MSH2	synonymous	0.01	0.9286638	-0.000451477	0.00504296	12894	78	12816	40	248
MSH2	synonymous	0.5	0.7812066	-0.00131152	0.00472201	20294	98	20196	41	248
MSH2	pLoF;missense	0.01	0.003474327	0.0199488	0.00682636	5195	41	5154	62	599
MSH2	pLoF;missense	0.5	0.9912324	-5.49516e-05	0.00500069	19322	101	19221	64	599
MSH2	missense;synonymous	0.01	0.4862607	0.00303118	0.00435347	17782	110	17672	98	806
MSH2	missense;synonymous	0.5	0.3971045	-0.00297658	0.00351508	39309	190	39119	101	806
MSH2	pLoF;missense;synonymous;other	0.01	0.4071323	0.00333636	0.0040248	21285	126	21159	113	877
MSH2	pLoF;missense;synonymous;other	0.5	0.7279679	-0.00103521	0.00297621	268014	1590	266424	120	877
MSH2	Cauchy		0.000122426							
GCG	pLoF	0.01	0.6554061	-0.0432089	0.0968235	31	0	31	1	9
GCG	pLoF	0.5	0.6554061	-0.0432089	0.0968235	31	0	31	1	9
GCG	missense	0.01	0.5726531	-0.0114114	0.0202277	626	3	623	7	78
GCG	missense	0.5	0.5726531	-0.0114114	0.0202277	626	3	623	7	78
GCG	synonymous	0.01	0.3650419	-0.0238665	0.0263485	400	1	399	7	45
GCG	synonymous	0.5	0.4439763	0.0139189	0.0181829	36837	137	36700	8	45
GCG	pLoF;missense	0.01	0.5201649	-0.0127417	0.0198132	657	3	654	8	87
GCG	pLoF;missense	0.5	0.5201649	-0.0127417	0.0198132	657	3	654	8	87
GCG	missense;synonymous	0.01	0.3180736	-0.0160665	0.0160918	1025	4	1021	14	123
GCG	missense;synonymous	0.5	0.8450365	0.00264711	0.0135433	37462	140	37322	15	123
GCG	pLoF;missense;synonymous;other	0.01	0.283832	-0.0169715	0.0158353	1072	4	1068	15	138
GCG	pLoF;missense;synonymous;other	0.5	0.9062759	0.00157592	0.013385	37509	140	37369	16	138
GCG	Cauchy		0.620223							
ASXL2	pLoF	0.01	0.6953617	-0.0415582	0.106127	15	0	15	0	13
ASXL2	pLoF	0.5	0.6953617	-0.0415582	0.106127	15	0	15	0	13
ASXL2	missense	0.01	0.6313544	0.0246754	0.0514263	85	1	84	0	77
ASXL2	missense	0.5	0.6313544	0.0246754	0.0514263	85	1	84	0	77
ASXL2	synonymous	0.01	0.37763	0.054739	0.0620432	71	1	70	0	81
ASXL2	synonymous	0.5	0.37763	0.054739	0.0620432	71	1	70	0	81
ASXL2	pLoF;missense	0.01	0.7683784	0.0138693	0.0470948	98	1	97	0	90
ASXL2	pLoF;missense	0.5	0.7683784	0.0138693	0.0470948	98	1	97	0	90
ASXL2	missense;synonymous	0.01	0.9835847	-0.000831322	0.0404045	153	1	152	0	158
ASXL2	missense;synonymous	0.5	0.9835847	-0.000831322	0.0404045	153	1	152	0	158
ASXL2	pLoF;missense;synonymous;other	0.01	0.8860805	-0.00545175	0.0380534	178	1	177	0	183
ASXL2	pLoF;missense;synonymous;other	0.5	0.8860805	-0.00545175	0.0380534	178	1	177	0	183
ASXL2	Cauchy		0.921733							
FOXN2	pLoF	0.01	0.7179473	-0.0404871	0.112089	41	0	41	0	18
FOXN2	pLoF	0.5	0.7179473	-0.0404871	0.112089	41	0	41	0	18
FOXN2	missense	0.01	0.9811445	-0.000483464	0.0204563	709	4	705	13	173
FOXN2	missense	0.5	0.9811445	-0.000483464	0.0204563	709	4	705	13	173
FOXN2	synonymous	0.01	0.4032161	-0.00583152	0.00697641	6092	41	6051	18	112
FOXN2	synonymous	0.5	0.2820896	-0.00584815	0.00543692	173412	1404	172008	21	112
FOXN2	pLoF;missense	0.01	0.9318285	-0.00172464	0.0201608	750	4	746	13	191
FOXN2	pLoF;missense	0.5	0.9318285	-0.00172464	0.0201608	750	4	746	13	191
FOXN2	missense;synonymous	0.01	0.429041	-0.00523364	0.00661787	6797	45	6752	31	285
FOXN2	missense;synonymous	0.5	0.2985683	-0.00547066	0.00526274	174117	1408	172709	34	285
FOXN2	pLoF;missense;synonymous;other	0.01	0.2374163	-0.00729958	0.00617839	8745	48	8697	33	313
FOXN2	pLoF;missense;synonymous;other	0.5	0.1858193	-0.00650126	0.00491385	176065	1411	174654	36	313
FOXN2	Cauchy		0.906931							
KCNH7	pLoF	0.01	0.5380326	-0.0128306	0.020836	1268	3	1265	1	40
KCNH7	pLoF	0.5	0.5380326	-0.0128306	0.020836	1268	3	1265	1	40
KCNH7	missense	0.01	0.3855584	0.0045275	0.00521781	9383	83	9300	35	416
KCNH7	missense	0.5	0.3855584	0.0045275	0.00521781	9383	83	9300	35	416
KCNH7	synonymous	0.01	0.09704247	0.00722877	0.00435635	18070	139	17931	52	320
KCNH7	synonymous	0.5	0.1797018	0.0051399	0.00383096	55012	347	54665	54	320
KCNH7	pLoF;missense	0.01	0.4873997	0.00351769	0.00506543	10651	86	10565	36	456
KCNH7	pLoF;missense	0.5	0.4873997	0.00351769	0.00506543	10651	86	10565	36	456
KCNH7	missense;synonymous	0.01	0.06616203	0.00623234	0.00339207	27451	222	27229	87	736
KCNH7	missense;synonymous	0.5	0.1286945	0.00451731	0.00297334	64393	430	63963	89	736
KCNH7	pLoF;missense;synonymous;other	0.01	0.08303319	0.00557203	0.0032146	30755	233	30522	95	798
KCNH7	pLoF;missense;synonymous;other	0.5	0.1206834	0.00426756	0.00274987	85604	484	85120	98	798
KCNH7	Cauchy		0.181739							
EPM2AIP1	Cauchy		0.5							
MLH1	pLoF	0.01	0.2092678	0.0917572	0.0730795	54	1	53	1	27
MLH1	pLoF	0.5	0.2092678	0.0917572	0.0730795	54	1	53	1	27
MLH1	missense	0.01	0.4864197	0.00298032	0.00428197	10927	79	10848	47	345
MLH1	missense	0.5	0.1595405	0.00572834	0.00407242	19922	117	19805	48	345
MLH1	synonymous	0.01	0.3492625	0.0083375	0.00890739	6487	30	6457	26	168
MLH1	synonymous	0.5	0.534148	0.00363277	0.0058434	11600	77	11523	27	168
MLH1	pLoF;missense	0.01	0.4441889	0.00327176	0.00427603	10980	80	10900	48	372
MLH1	pLoF;missense	0.5	0.1411358	0.00598556	0.00406745	19975	118	19857	49	372
MLH1	missense;synonymous	0.01	0.3068316	0.00396674	0.00388176	17405	109	17296	73	513
MLH1	missense;synonymous	0.5	0.1300551	0.00512237	0.0033836	31513	194	31319	75	513
MLH1	pLoF;missense;synonymous;other	0.01	0.2978493	0.00401294	0.00385468	17703	111	17592	79	574
