Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.3692559	-0.0276906	0.0308403	184	0	184	3	34
ATAD3A	pLoF	0.5	0.3692559	-0.0276906	0.0308403	184	0	184	3	34
ATAD3A	missense	0.01	0.3122729	0.00557791	0.00552014	9819	64	9755	59	227
ATAD3A	missense	0.5	0.722675	0.00152146	0.00428718	33791	168	33623	61	227
ATAD3A	synonymous	0.01	0.5053688	0.00233442	0.00350478	23111	124	22987	64	141
ATAD3A	synonymous	0.5	0.4228907	0.00265932	0.00331828	114369	550	113819	66	141
ATAD3A	pLoF;missense	0.01	0.4015079	0.00455395	0.00542828	10000	64	9936	62	261
ATAD3A	pLoF;missense	0.5	0.8180197	0.000975429	0.00423929	33972	168	33804	64	261
ATAD3A	missense;synonymous	0.01	0.2728078	0.00322488	0.00294075	32927	188	32739	123	368
ATAD3A	missense;synonymous	0.5	0.4064893	0.002126	0.00256118	148157	718	147439	127	368
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3335185	0.00282518	0.00292144	33228	188	33040	129	419
ATAD3A	pLoF;missense;synonymous;other	0.5	0.4721457	0.00183174	0.00254765	148458	718	147740	133	419
ATAD3A	Cauchy		0.459705							
FLG	pLoF	0.01	0.08476257	-0.00954669	0.0055385	10342	44	10298	98	334
FLG	pLoF	0.5	0.1812619	-0.00523389	0.00391501	39014	213	38801	100	334
FLG	missense	0.01	0.5408951	-0.0112401	0.0183824	1800	4	1796	8	27
FLG	missense	0.5	0.5408951	-0.0112401	0.0183824	1800	4	1796	8	27
FLG	synonymous	0.01	0.03933881	-0.00405933	0.00196995	77175	309	76866	400	1134
FLG	synonymous	0.5	0.01394345	-0.00325366	0.00132332	1610210	8263	1601950	421	1134
FLG	pLoF;missense	0.01	0.06668568	-0.0097466	0.00531501	12142	48	12094	106	361
FLG	pLoF;missense	0.5	0.1501844	-0.00551696	0.0038342	40814	217	40597	108	361
FLG	missense;synonymous	0.01	0.0369775	-0.0040274	0.00193067	78973	313	78660	408	1161
FLG	missense;synonymous	0.5	0.01314423	-0.00324985	0.00131051	1612010	8267	1603740	429	1161
FLG	pLoF;missense;synonymous;other	0.01	0.0106181	-0.00469678	0.00183825	89348	357	88991	507	1498
FLG	pLoF;missense;synonymous;other	0.5	0.005087597	-0.00383083	0.00136745	1651050	8480	1642570	530	1498
FLG	Cauchy		0.0227252							
FLG2	pLoF	0.01	0.1016552	-0.0201882	0.0123334	1795	5	1790	26	114
FLG2	pLoF	0.5	0.08671873	-0.0208224	0.0121558	101751	545	101206	27	114
FLG2	missense	0.01	0.171677	-0.0407084	0.029783	447	0	447	9	50
FLG2	missense	0.5	0.171677	-0.0407084	0.029783	447	0	447	9	50
FLG2	synonymous	0.01	0.2851586	-0.00184458	0.00172584	41898	183	41715	145	449
FLG2	synonymous	0.5	0.1798186	-0.00164351	0.0012253	420613	2219	418394	153	449
FLG2	pLoF;missense	0.01	0.04039923	-0.0232316	0.0113345	2239	5	2234	35	164
FLG2	pLoF;missense	0.5	0.03438026	-0.0237082	0.0112064	102195	545	101650	36	164
FLG2	missense;synonymous	0.01	0.251963	-0.00197434	0.00172342	42342	183	42159	154	499
FLG2	missense;synonymous	0.5	0.1627467	-0.00170906	0.00122435	421057	2219	418838	162	499
FLG2	pLoF;missense;synonymous;other	0.01	0.1781735	-0.00226538	0.00168255	44146	188	43958	180	618
FLG2	pLoF;missense;synonymous;other	0.5	0.1233452	-0.00184945	0.00120025	522817	2764	520053	189	618
FLG2	Cauchy		0.101893							
PIP5K1A	pLoF	0.01	0.4492203	-0.0404943	0.0535132	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.4492203	-0.0404943	0.0535132	82	0	82	1	26
PIP5K1A	missense	0.01	0.2423422	-0.0197699	0.0169096	1310	3	1307	16	162
PIP5K1A	missense	0.5	0.2423422	-0.0197699	0.0169096	1310	3	1307	16	162
PIP5K1A	synonymous	0.01	0.6956125	-0.00288429	0.007372	5909	31	5878	22	120
PIP5K1A	synonymous	0.5	0.7456202	-0.00171889	0.00529834	211339	1216	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.1792501	-0.0216909	0.0161502	1392	3	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.1792501	-0.0216909	0.0161502	1392	3	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.4260576	-0.00520805	0.00654314	7214	34	7180	38	282
PIP5K1A	missense;synonymous	0.5	0.5191868	-0.00320101	0.00496589	212644	1219	211425	40	282
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.4365451	-0.00503325	0.00646913	7370	35	7335	40	324
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.5263331	-0.00312601	0.00493362	212800	1220	211580	42	324
PIP5K1A	Cauchy		0.392711							
TUFT1	pLoF	0.01	0.1242555	0.0734478	0.0477817	128	2	126	2	23
TUFT1	pLoF	0.5	0.1242555	0.0734478	0.0477817	128	2	126	2	23
TUFT1	missense	0.01	0.3271928	-0.0109562	0.0111823	2985	10	2975	16	98
TUFT1	missense	0.5	0.3271928	-0.0109562	0.0111823	2985	10	2975	16	98
TUFT1	synonymous	0.01	0.1259517	-0.0402755	0.0263193	615	0	615	12	59
TUFT1	synonymous	0.5	0.1259517	-0.0402755	0.0263193	615	0	615	12	59
TUFT1	pLoF;missense	0.01	0.544994	-0.00659172	0.0108904	3113	12	3101	18	121
TUFT1	pLoF;missense	0.5	0.544994	-0.00659172	0.0108904	3113	12	3101	18	121
TUFT1	missense;synonymous	0.01	0.1401147	-0.0149986	0.010166	3596	10	3586	28	157
TUFT1	missense;synonymous	0.5	0.1401147	-0.0149986	0.010166	3596	10	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.2412648	-0.0115787	0.0098809	3765	12	3753	31	189
TUFT1	pLoF;missense;synonymous;other	0.5	0.2412648	-0.0115787	0.0098809	3765	12	3753	31	189
TUFT1	Cauchy		0.196275							
RIIAD1	pLoF	0.01	0.8228238	-0.0405501	0.181096	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8228238	-0.0405501	0.181096	6	0	6	0	4
RIIAD1	missense	0.01	0.9029565	-0.00279121	0.0228924	852	3	849	4	20
RIIAD1	missense	0.5	0.9029565	-0.00279121	0.0228924	852	3	849	4	20
RIIAD1	synonymous	0.01	0.4408604	0.0193845	0.0251505	970	4	966	4	15
RIIAD1	synonymous	0.5	0.4408604	0.0193845	0.0251505	970	4	966	4	15
RIIAD1	pLoF;missense	0.01	0.8815618	-0.00338395	0.0227126	858	3	855	4	24
RIIAD1	pLoF;missense	0.5	0.8815618	-0.00338395	0.0227126	858	3	855	4	24
RIIAD1	missense;synonymous	0.01	0.6631873	0.00748873	0.017195	1822	7	1815	8	35
RIIAD1	missense;synonymous	0.5	0.6631873	0.00748873	0.017195	1822	7	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.6803566	0.00705208	0.0171177	1829	7	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.6803566	0.00705208	0.0171177	1829	7	1822	8	40
RIIAD1	Cauchy		0.80182							
THEM4	pLoF	0.01	0.5626706	-0.0404136	0.0698135	61	0	61	1	19
THEM4	pLoF	0.5	0.5626706	-0.0404136	0.0698135	61	0	61	1	19
THEM4	missense	0.01	0.3100997	-0.00766715	0.00755375	6988	36	6952	6	44
THEM4	missense	0.5	0.3100997	-0.00766715	0.00755375	6988	36	6952	6	44
THEM4	synonymous	0.01	0.5137229	-0.0125692	0.0192469	838	3	835	13	43
THEM4	synonymous	0.5	0.5731142	-0.00738114	0.0130994	51968	298	51670	14	43
THEM4	pLoF;missense	0.01	0.2840031	-0.00804793	0.00751181	7049	36	7013	7	63
THEM4	pLoF;missense	0.5	0.2840031	-0.00804793	0.00751181	7049	36	7013	7	63
THEM4	missense;synonymous	0.01	0.2365399	-0.00832925	0.00703674	7826	39	7787	19	87
THEM4	missense;synonymous	0.5	0.2405604	-0.00776827	0.00661926	58956	334	58622	20	87
THEM4	pLoF;missense;synonymous;other	0.01	0.210155	-0.00876204	0.00699208	7910	39	7871	20	112
THEM4	pLoF;missense;synonymous;other	0.5	0.2151863	-0.00815786	0.00658194	59040	334	58706	21	112
THEM4	Cauchy		0.332323							
S100A10	missense	0.01	0.2451529	0.0136079	0.0117087	2282	18	2264	5	37
S100A10	missense	0.5	0.2451529	0.0136079	0.0117087	2282	18	2264	5	37
S100A10	synonymous	0.01	0.9341186	0.00239927	0.0290244	749	2	747	5	19
S100A10	synonymous	0.5	0.9341186	0.00239927	0.0290244	749	2	747	5	19
S100A10	pLoF;missense	0.01	0.2451529	0.0136079	0.0117087	2282	18	2264	5	37
S100A10	pLoF;missense	0.5	0.2451529	0.0136079	0.0117087	2282	18	2264	5	37
S100A10	missense;synonymous	0.01	0.2651628	0.0121107	0.0108687	3027	20	3007	10	56
S100A10	missense;synonymous	0.5	0.2651628	0.0121107	0.0108687	3027	20	3007	10	56
S100A10	pLoF;missense;synonymous;other	0.01	0.268233	0.0120233	0.0108598	3031	20	3011	10	57
S100A10	pLoF;missense;synonymous;other	0.5	0.268233	0.0120233	0.0108598	3031	20	3011	10	57
S100A10	Cauchy		0.556688							
S100A11	pLoF	0.01	0.657769	-0.0405245	0.0914784	64	0	64	1	6
S100A11	pLoF	0.5	0.657769	-0.0405245	0.0914784	64	0	64	1	6
S100A11	missense	0.01	0.469916	-0.010607	0.0146786	1553	6	1547	8	31
S100A11	missense	0.5	0.469916	-0.010607	0.0146786	1553	6	1547	8	31
S100A11	synonymous	0.01	0.8471409	-0.00706165	0.036633	207	1	206	4	20
S100A11	synonymous	0.5	0.8471409	-0.00706165	0.036633	207	1	206	4	20
S100A11	pLoF;missense	0.01	0.4332015	-0.0113621	0.0144976	1617	6	1611	9	37
S100A11	pLoF;missense	0.5	0.4332015	-0.0113621	0.0144976	1617	6	1611	9	37
S100A11	missense;synonymous	0.01	0.4578916	-0.0101184	0.0136307	1760	7	1753	12	51
S100A11	missense;synonymous	0.5	0.4578916	-0.0101184	0.0136307	1760	7	1753	12	51
S100A11	pLoF;missense;synonymous;other	0.01	0.4240205	-0.0107817	0.0134861	1824	7	1817	13	57
S100A11	pLoF;missense;synonymous;other	0.5	0.4240205	-0.0107817	0.0134861	1824	7	1817	13	57
S100A11	Cauchy		0.591617							
HRNR	pLoF	0.01	0.3381244	0.00760454	0.00793895	4904	33	4871	48	119
HRNR	pLoF	0.5	0.3381244	0.00760454	0.00793895	4904	33	4871	48	119
HRNR	missense	0.01	0.5367627	0.0127678	0.0206693	674	5	669	13	43
HRNR	missense	0.5	0.5367627	0.0127678	0.0206693	674	5	669	13	43
HRNR	synonymous	0.01	0.1025786	-0.00437026	0.00267707	44599	181	44418	209	491
HRNR	synonymous	0.5	0.111662	-0.00257451	0.00161841	1064790	5520	1059270	224	491
HRNR	pLoF;missense	0.01	0.2636755	0.00829777	0.00742366	5578	38	5540	61	162
HRNR	pLoF;missense	0.5	0.2636755	0.00829777	0.00742366	5578	38	5540	61	162
HRNR	missense;synonymous	0.01	0.123189	-0.00409558	0.00265684	45272	186	45086	222	534
HRNR	missense;synonymous	0.5	0.1236946	-0.00248592	0.00161481	1065460	5525	1059940	237	534
HRNR	pLoF;missense;synonymous;other	0.01	0.2989279	-0.00251388	0.00242013	55618	240	55378	272	655
HRNR	pLoF;missense;synonymous;other	0.5	0.2100791	-0.00195791	0.00156214	1075810	5579	1070230	287	655
HRNR	Cauchy		0.211084							
CRNN	pLoF	0.01	0.93063	-0.00202604	0.0232738	398	2	396	6	29
CRNN	pLoF	0.5	0.93063	-0.00202604	0.0232738	398	2	396	6	29
CRNN	missense	0.01	0.3179522	-0.0250136	0.0250468	513	1	512	9	57
CRNN	missense	0.5	0.3179522	-0.0250136	0.0250468	513	1	512	9	57
CRNN	synonymous	0.01	0.8131692	0.00179727	0.00760461	7588	33	7555	21	104
CRNN	synonymous	0.5	0.8131692	0.00179727	0.00760461	7588	33	7555	21	104
CRNN	pLoF;missense	0.01	0.4702337	-0.0123989	0.0171706	901	3	898	15	86
CRNN	pLoF;missense	0.5	0.4702337	-0.0123989	0.0171706	901	3	898	15	86
CRNN	missense;synonymous	0.01	0.9481077	-0.000474127	0.00728492	8101	34	8067	30	161
CRNN	missense;synonymous	0.5	0.9481077	-0.000474127	0.00728492	8101	34	8067	30	161
CRNN	pLoF;missense;synonymous;other	0.01	0.9360047	-0.000559155	0.00696398	8490	36	8454	36	191
CRNN	pLoF;missense;synonymous;other	0.5	0.9360047	-0.000559155	0.00696398	8490	36	8454	36	191
CRNN	Cauchy		0.887528							
FHAD1	pLoF	0.01	0.6797046	0.00380123	0.00920692	3697	23	3674	14	95
FHAD1	pLoF	0.5	0.6797046	0.00380123	0.00920692	3697	23	3674	14	95
FHAD1	missense	0.01	0.2448827	0.0101607	0.0087376	4006	26	3980	54	255
FHAD1	missense	0.5	0.2446429	0.0101659	0.00873768	193255	1144	192111	55	255
FHAD1	synonymous	0.01	0.3485039	-0.00486024	0.00518428	14842	69	14773	59	276
FHAD1	synonymous	0.5	0.2068478	-0.00352156	0.00278984	829346	4798	824548	67	276
FHAD1	pLoF;missense	0.01	0.2575667	0.0071917	0.00635219	7701	49	7652	68	350
FHAD1	pLoF;missense	0.5	0.2573826	0.00719458	0.00635227	196950	1167	195783	69	350
FHAD1	missense;synonymous	0.01	0.8348936	-0.000928701	0.00445571	18843	95	18748	113	531
FHAD1	missense;synonymous	0.5	0.3971083	-0.00225256	0.0026601	1022600	5942	1016650	122	531
FHAD1	pLoF;missense;synonymous;other	0.01	0.9607638	0.000194725	0.00395821	23281	121	23160	136	649
FHAD1	pLoF;missense;synonymous;other	0.5	0.5094763	-0.00167927	0.00254568	1027030	5968	1021070	145	649
FHAD1	Cauchy		0.625175							
LCE3A	pLoF	0.01	0.0002092538	0.171222	0.0461818	7	2	5	0	3
LCE3A	pLoF	0.5	0.0002092538	0.171222	0.0461818	7	2	5	0	3
LCE3A	synonymous	0.01	0.5871041	0.0148454	0.0273378	420	3	417	5	17
LCE3A	synonymous	0.5	0.5871041	0.0148454	0.0273378	420	3	417	5	17
LCE3A	pLoF;missense	0.01	0.0002685607	0.165183	0.0453315	9	2	7	0	4
LCE3A	pLoF;missense	0.5	0.0002685607	0.165183	0.0453315	9	2	7	0	4
LCE3A	missense;synonymous	0.01	0.5897078	0.0147262	0.0273083	422	3	419	5	18
LCE3A	missense;synonymous	0.5	0.5897078	0.0147262	0.0273083	422	3	419	5	18
LCE3A	pLoF;missense;synonymous;other	0.01	0.06462278	0.0499082	0.0270087	429	5	424	5	21
LCE3A	pLoF;missense;synonymous;other	0.5	0.06462278	0.0499082	0.0270087	429	5	424	5	21
LCE3A	Cauchy		0.000587136							
KPRP	pLoF	0.01	0.7228739	-0.00476078	0.013425	1713	9	1704	3	43
KPRP	pLoF	0.5	0.7228739	-0.00476078	0.013425	1713	9	1704	3	43
KPRP	missense	0.01	0.2777202	-0.0136813	0.0126042	2290	7	2283	23	98
KPRP	missense	0.5	0.2777202	-0.0136813	0.0126042	2290	7	2283	23	98
KPRP	synonymous	0.01	0.8759274	-0.00194484	0.0124562	3314	11	3303	26	121
KPRP	synonymous	0.5	0.8759253	-0.00194487	0.0124562	315812	1748	314064	27	121
KPRP	pLoF;missense	0.01	0.3004008	-0.00953901	0.00921132	4003	16	3987	26	141
KPRP	pLoF;missense	0.5	0.3004008	-0.00953901	0.00921132	4003	16	3987	26	141
KPRP	missense;synonymous	0.01	0.3756501	-0.00798709	0.00901539	5604	18	5586	49	219
KPRP	missense;synonymous	0.5	0.3756491	-0.00798711	0.00901539	318102	1755	316347	50	219
KPRP	pLoF;missense;synonymous;other	0.01	0.3551023	-0.0068523	0.00741	7709	28	7681	53	262
KPRP	pLoF;missense;synonymous;other	0.5	0.3551015	-0.00685232	0.00741	320207	1765	318442	54	262
KPRP	Cauchy		0.54279							
LCE1F	pLoF	0.01	0.685047	-0.0136084	0.0335524	486	1	485	5	11
LCE1F	pLoF	0.5	0.8338484	0.00473533	0.0225741	67818	409	67409	6	11
LCE1F	missense	0.01	0.703195	-0.0127309	0.0334136	352	1	351	6	28
LCE1F	missense	0.5	0.6405378	-0.0155605	0.0333239	135213	778	134435	7	28
LCE1F	synonymous	0.01	0.6814302	-0.0135043	0.0328962	277	1	276	4	32
LCE1F	synonymous	0.5	0.6814302	-0.0135043	0.0328962	277	1	276	4	32
LCE1F	pLoF;missense	0.01	0.5838293	-0.0127668	0.0233055	838	2	836	11	39
LCE1F	pLoF;missense	0.5	0.9296745	-0.00164527	0.0186424	203031	1187	201844	13	39
LCE1F	missense;synonymous	0.01	0.5762145	-0.0130602	0.0233667	629	2	627	10	60
LCE1F	missense;synonymous	0.5	0.5360558	-0.0144332	0.0233249	135490	779	134711	11	60
LCE1F	pLoF;missense;synonymous;other	0.01	0.4924537	-0.013022	0.0189712	1117	3	1114	15	72
LCE1F	pLoF;missense;synonymous;other	0.5	0.7778019	-0.00457351	0.0162075	203310	1188	202122	17	72
LCE1F	Cauchy		0.738178							
IVL	pLoF	0.01	0.6986119	0.00864984	0.0223398	814	4	810	9	43
IVL	pLoF	0.5	0.6986119	0.00864984	0.0223398	814	4	810	9	43
IVL	missense	0.01	0.08631463	0.14958	0.0872103	33	1	32	1	5
IVL	missense	0.5	0.08631463	0.14958	0.0872103	33	1	32	1	5
IVL	synonymous	0.01	0.525112	-0.00528134	0.00831073	4061	15	4046	33	118
IVL	synonymous	0.5	0.5533014	-0.00442312	0.00746115	138931	697	138234	35	118
IVL	pLoF;missense	0.01	0.4240993	0.0173036	0.0216476	847	5	842	10	48
IVL	pLoF;missense	0.5	0.4240993	0.0173036	0.0216476	847	5	842	10	48
IVL	missense;synonymous	0.01	0.6369374	-0.00390551	0.00827464	4094	16	4078	34	123
IVL	missense;synonymous	0.5	0.6556133	-0.00331336	0.00742943	138964	698	138266	36	123
IVL	pLoF;missense;synonymous;other	0.01	0.7569264	-0.00241224	0.00779351	4908	20	4888	43	166
IVL	pLoF;missense;synonymous;other	0.5	0.7618443	-0.00215076	0.00709681	139778	702	139076	45	166
IVL	Cauchy		0.425036							
S100A8	pLoF	0.01	0.8454142	-0.0402358	0.206366	9	0	9	0	8
S100A8	pLoF	0.5	0.8454142	-0.0402358	0.206366	9	0	9	0	8
S100A8	missense	0.01	0.801031	-0.0403438	0.160086	14	0	14	0	8
S100A8	missense	0.5	0.801031	-0.0403438	0.160086	14	0	14	0	8
S100A8	synonymous	0.01	0.8904104	-0.00325003	0.0235877	1116	3	1113	6	14
S100A8	synonymous	0.5	0.8904104	-0.00325003	0.0235877	1116	3	1113	6	14
S100A8	pLoF;missense	0.01	0.7500026	-0.0403212	0.126543	23	0	23	0	16
S100A8	pLoF;missense	0.5	0.7500026	-0.0403212	0.126543	23	0	23	0	16
S100A8	missense;synonymous	0.01	0.8626761	-0.00403662	0.0233373	1130	3	1127	6	22
S100A8	missense;synonymous	0.5	0.8626761	-0.00403662	0.0233373	1130	3	1127	6	22
S100A8	pLoF;missense;synonymous;other	0.01	0.8464005	-0.00449237	0.0231909	1139	3	1136	6	30
S100A8	pLoF;missense;synonymous;other	0.5	0.8464005	-0.00449237	0.0231909	1139	3	1136	6	30
S100A8	Cauchy		0.842866							
SNX27	pLoF	0.01	0.05439392	-0.0224501	0.0116704	2393	7	2386	2	16
SNX27	pLoF	0.5	0.05439392	-0.0224501	0.0116704	2393	7	2386	2	16
SNX27	missense	0.01	0.1911957	0.0106151	0.00812142	4558	34	4524	22	193
SNX27	missense	0.5	0.1911957	0.0106151	0.00812142	4558	34	4524	22	193
SNX27	synonymous	0.01	0.1391756	0.0239237	0.016177	1382	10	1372	21	124
SNX27	synonymous	0.5	0.1391756	0.0239237	0.016177	1382	10	1372	21	124
SNX27	pLoF;missense	0.01	0.9798422	-0.000168754	0.0066789	6951	41	6910	24	209
SNX27	pLoF;missense	0.5	0.9798422	-0.000168754	0.0066789	6951	41	6910	24	209
SNX27	missense;synonymous	0.01	0.06795877	0.0132164	0.00724076	5938	44	5894	43	317
SNX27	missense;synonymous	0.5	0.06795877	0.0132164	0.00724076	5938	44	5894	43	317
SNX27	pLoF;missense;synonymous;other	0.01	0.737844	0.00199293	0.00595421	8887	53	8834	49	346
SNX27	pLoF;missense;synonymous;other	0.5	0.737844	0.00199293	0.00595421	8887	53	8834	49	346
SNX27	Cauchy		0.634145							
MRPL9	pLoF	0.01	0.7227306	0.0114395	0.0322409	262	2	260	6	24
MRPL9	pLoF	0.5	0.7227306	0.0114395	0.0322409	262	2	260	6	24
MRPL9	missense	0.01	0.2089789	-0.00948945	0.00755302	5511	25	5486	17	83
MRPL9	missense	0.5	0.1379266	-0.011049	0.00744766	485000	2685	482315	20	83
MRPL9	synonymous	0.01	0.5723866	0.0131117	0.0232255	540	4	536	9	51
MRPL9	synonymous	0.5	0.8567867	0.00192194	0.0106499	9823	29	9794	10	51
MRPL9	pLoF;missense	0.01	0.2518702	-0.00843246	0.00735933	5773	27	5746	23	107
MRPL9	pLoF;missense	0.5	0.1708369	-0.00994728	0.00726333	485262	2687	482575	26	107
MRPL9	missense;synonymous	0.01	0.3065731	-0.00735515	0.00719373	6051	29	6022	26	134
MRPL9	missense;synonymous	0.5	0.2630707	-0.0068689	0.00613754	494823	2714	492109	30	134
MRPL9	pLoF;missense;synonymous;other	0.01	0.2909613	-0.00692645	0.00655904	7221	35	7186	35	167
MRPL9	pLoF;missense;synonymous;other	0.5	0.2749583	-0.0059231	0.0054255	495993	2720	493273	39	167
MRPL9	Cauchy		0.365744							
TCHHL1	pLoF	0.01	0.4073161	0.0181833	0.021944	1253	5	1248	5	49
TCHHL1	pLoF	0.5	0.4073161	0.0181833	0.021944	1253	5	1248	5	49
TCHHL1	missense	0.01	0.523996	0.0069137	0.0108502	2775	19	2756	6	22
TCHHL1	missense	0.5	0.523996	0.0069137	0.0108502	2775	19	2756	6	22
TCHHL1	synonymous	0.01	0.8660963	0.00116153	0.00688848	7667	45	7622	29	150
TCHHL1	synonymous	0.5	0.2503907	-0.0059997	0.00521985	16201	82	16119	30	150
TCHHL1	pLoF;missense	0.01	0.3480271	0.00913191	0.00973112	4028	24	4004	11	71
TCHHL1	pLoF;missense	0.5	0.3480271	0.00913191	0.00973112	4028	24	4004	11	71
TCHHL1	missense;synonymous	0.01	0.6279417	0.00282206	0.00582317	10442	64	10378	35	172
TCHHL1	missense;synonymous	0.5	0.4465183	-0.00358913	0.00471489	18976	101	18875	36	172
TCHHL1	pLoF;missense;synonymous;other	0.01	0.4982654	0.00381334	0.00563085	11696	69	11627	40	222
TCHHL1	pLoF;missense;synonymous;other	0.5	0.5660151	-0.00264773	0.00461334	20230	106	20124	41	222
TCHHL1	Cauchy		0.505705							
CRCT1	pLoF	0.01	0.02853055	0.0776073	0.0354385	618	4	614	4	12
CRCT1	pLoF	0.5	0.02853055	0.0776073	0.0354385	618	4	614	4	12
CRCT1	missense	0.01	0.2051224	-0.0183402	0.0144743	3469	7	3462	3	25
CRCT1	missense	0.5	0.8519369	-0.00135458	0.00725739	15475	70	15405	4	25
CRCT1	synonymous	0.01	0.6553505	0.0223866	0.0501556	141	1	140	3	36
CRCT1	synonymous	0.5	0.6556932	0.0223628	0.0501558	489589	2772	486817	5	36
CRCT1	pLoF;missense	0.01	0.7495878	-0.00432655	0.0135551	4087	11	4076	7	37
CRCT1	pLoF;missense	0.5	0.7845054	0.00195362	0.00714428	16093	74	16019	8	37
CRCT1	missense;synonymous	0.01	0.2742896	-0.0152048	0.0139081	3610	8	3602	6	61
CRCT1	missense;synonymous	0.5	0.9039581	-0.000867097	0.00718611	505064	2842	502222	9	61
CRCT1	pLoF;missense;synonymous;other	0.01	0.8485404	-0.0024999	0.0130898	4228	12	4216	10	73
CRCT1	pLoF;missense;synonymous;other	0.5	0.7382391	0.00236495	0.00707673	505682	2846	502836	13	73
CRCT1	Cauchy		0.236508							
LCE3E	pLoF	0.01	0.906887	-0.00445626	0.0380988	208	1	207	2	7
LCE3E	pLoF	0.5	0.906887	-0.00445626	0.0380988	208	1	207	2	7
LCE3E	missense	0.01	0.5352098	-0.0404721	0.0652699	68	0	68	1	9
LCE3E	missense	0.5	0.5352098	-0.0404721	0.0652699	68	0	68	1	9
LCE3E	synonymous	0.01	0.176743	-0.0293692	0.0217413	638	1	637	4	18
LCE3E	synonymous	0.5	0.176743	-0.0293692	0.0217413	638	1	637	4	18
LCE3E	pLoF;missense	0.01	0.6791482	-0.0136123	0.0329096	276	1	275	3	16
LCE3E	pLoF;missense	0.5	0.6791482	-0.0136123	0.0329096	276	1	275	3	16
LCE3E	missense;synonymous	0.01	0.1394692	-0.0304894	0.0206321	706	1	705	5	27
LCE3E	missense;synonymous	0.5	0.1394692	-0.0304894	0.0206321	706	1	705	5	27
LCE3E	pLoF;missense;synonymous;other	0.01	0.1750818	-0.0246202	0.0181557	914	2	912	7	34
LCE3E	pLoF;missense;synonymous;other	0.5	0.1750818	-0.0246202	0.0181557	914	2	912	7	34
LCE3E	Cauchy		0.431332							
LCE2D	pLoF	0.01	0.1165966	0.129354	0.0824317	42	1	41	1	6
LCE2D	pLoF	0.5	0.1165966	0.129354	0.0824317	42	1	41	1	6
LCE2D	missense	0.01	0.2031395	-0.0418616	0.032893	553	0	553	2	2
LCE2D	missense	0.5	0.2031395	-0.0418616	0.032893	553	0	553	2	2
LCE2D	synonymous	0.01	0.08689134	0.0203138	0.0118654	4688	23	4665	6	27
LCE2D	synonymous	0.5	0.08689134	0.0203138	0.0118654	4688	23	4665	6	27
LCE2D	pLoF;missense	0.01	0.5481311	-0.0183487	0.0305525	595	1	594	3	8
LCE2D	pLoF;missense	0.5	0.5481311	-0.0183487	0.0305525	595	1	594	3	8
LCE2D	missense;synonymous	0.01	0.2676237	0.0116374	0.0104978	5241	23	5218	8	29
LCE2D	missense;synonymous	0.5	0.2676237	0.0116374	0.0104978	5241	23	5218	8	29
LCE2D	pLoF;missense;synonymous;other	0.01	0.1944963	0.0135128	0.0104154	5283	24	5259	9	35
LCE2D	pLoF;missense;synonymous;other	0.5	0.1944963	0.0135128	0.0104154	5283	24	5259	9	35
LCE2D	Cauchy		0.176371							
LCE1E	pLoF	0.01	0.7007106	-0.040335	0.10494	47	0	47	1	12
LCE1E	pLoF	0.5	0.7007106	-0.040335	0.10494	47	0	47	1	12
LCE1E	missense	0.01	0.3220966	0.0260989	0.0263583	683	4	679	3	19
LCE1E	missense	0.5	0.3220966	0.0260989	0.0263583	683	4	679	3	19
LCE1E	synonymous	0.01	0.3061167	0.0152011	0.0148535	2054	10	2044	10	27
