Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.5554117	-0.0294406	0.0499273	92	0	92	3	24
ATAD3A	pLoF	0.5	0.5554117	-0.0294406	0.0499273	92	0	92	3	24
ATAD3A	missense	0.01	0.7772737	-0.00244749	0.00865225	4620	22	4598	36	188
ATAD3A	missense	0.5	0.3888087	-0.00592542	0.00687579	15612	57	15555	38	188
ATAD3A	synonymous	0.01	0.1730662	0.00798104	0.005858	10546	55	10491	43	117
ATAD3A	synonymous	0.5	0.1823318	0.00751249	0.0056332	52253	213	52040	45	117
ATAD3A	pLoF;missense	0.01	0.7076801	-0.00319516	0.00852102	4710	22	4688	39	212
ATAD3A	pLoF;missense	0.5	0.3526662	-0.00632167	0.00680166	15702	57	15645	41	212
ATAD3A	missense;synonymous	0.01	0.3297414	0.0047095	0.00483207	15154	77	15077	79	305
ATAD3A	missense;synonymous	0.5	0.6285453	0.00206698	0.00427261	67853	270	67583	83	305
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3737858	0.00426805	0.00479877	15295	77	15218	83	343
ATAD3A	pLoF;missense;synonymous;other	0.5	0.6807209	0.00174794	0.00424795	67994	270	67724	87	343
ATAD3A	Cauchy		0.454932							
FLG	pLoF	0.01	0.1310377	0.0130849	0.00866535	4811	30	4781	53	294
FLG	pLoF	0.5	0.246608	0.0070912	0.00612035	18109	101	18008	55	294
FLG	missense	0.01	0.7802174	0.0131564	0.0471494	744	1	743	7	16
FLG	missense	0.5	0.7802174	0.0131564	0.0471494	744	1	743	7	16
FLG	synonymous	0.01	0.8721154	0.000569913	0.00354044	34506	120	34386	271	871
FLG	synonymous	0.5	0.6678746	0.000949552	0.00221306	741690	3563	738127	292	871
FLG	pLoF;missense	0.01	0.1238183	0.0131348	0.00853497	5555	31	5524	60	310
FLG	pLoF;missense	0.5	0.2354746	0.00720464	0.00607282	18853	102	18751	62	310
FLG	missense;synonymous	0.01	0.8544262	0.00064554	0.00351843	35248	121	35127	278	887
FLG	missense;synonymous	0.5	0.6579486	0.000977393	0.00220756	742432	3564	738868	299	887
FLG	pLoF;missense;synonymous;other	0.01	0.4747163	0.00235059	0.00328833	40055	151	39904	332	1182
FLG	pLoF;missense;synonymous;other	0.5	0.4245736	0.00167424	0.0020967	760537	3665	756872	355	1182
FLG	Cauchy		0.520183							
FLG2	pLoF	0.01	0.6704167	0.00837826	0.0196869	850	5	845	12	85
FLG2	pLoF	0.5	0.5939389	0.0103342	0.0193838	46837	238	46599	13	85
FLG2	missense	0.01	0.4104097	-0.0405828	0.0493004	199	0	199	3	39
FLG2	missense	0.5	0.4104097	-0.0405828	0.0493004	199	0	199	3	39
FLG2	synonymous	0.01	0.9383827	-0.000213059	0.00275615	19182	74	19108	103	342
FLG2	synonymous	0.5	0.7054366	-0.000734294	0.00194262	193607	938	192669	111	342
