Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.8372841	0.000590274	0.00287422	5994	263	5731	30	152
HRNR	pLoF	0.5	0.8372841	0.000590274	0.00287422	5994	263	5731	30	152
HRNR	missense	0.01	0.5171888	0.00700234	0.0108113	220	18	202	6	35
HRNR	missense	0.5	0.5171888	0.00700234	0.0108113	220	18	202	6	35
HRNR	synonymous	0.01	0.7054896	0.000656601	0.00173741	11801	639	11162	115	454
HRNR	synonymous	0.5	0.9354683	9.84899e-05	0.00121642	948794	53464	895330	131	454
HRNR	pLoF;missense	0.01	0.7134667	0.00102143	0.00278164	6214	281	5933	36	187
HRNR	pLoF;missense	0.5	0.7134667	0.00102143	0.00278164	6214	281	5933	36	187
HRNR	missense;synonymous	0.01	0.6316714	0.000823532	0.00171793	12020	657	11363	121	489
HRNR	missense;synonymous	0.5	0.8768802	0.000187391	0.00120955	949013	53482	895531	137	489
HRNR	pLoF;missense;synonymous;other	0.01	0.5851373	0.000809382	0.00148267	18053	923	17130	153	644
HRNR	pLoF;missense;synonymous;other	0.5	0.875837	0.000170287	0.00108985	973048	54486	918562	170	644
HRNR	Cauchy		0.799653							
FLG	pLoF	0.01	0.1718309	0.00293296	0.00214657	7080	435	6645	60	452
FLG	pLoF	0.5	0.03011261	0.00351392	0.00162036	15290	1069	14221	62	452
FLG	missense	0.01	0.5147291	-0.00983238	0.0150921	128	6	122	3	23
FLG	missense	0.5	0.155932	0.00443173	0.00312339	7419	360	7059	5	23
FLG	synonymous	0.01	0.09423263	0.00106689	0.000637525	65502	3568	61934	279	1058
FLG	synonymous	0.5	0.2897099	0.000577273	0.000545236	942315	52939	889376	298	1058
FLG	pLoF;missense	0.01	0.2068784	0.00268488	0.00212715	7208	441	6767	63	475
FLG	pLoF;missense	0.5	0.009081096	0.00370457	0.00141993	22709	1429	21280	67	475
