Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ZNG1A	pLoF	0.01	4.407626E-01	0.00397826	0.0051605	927	79	848	10	47
ZNG1A	pLoF	0.500000	4.407626E-01	0.00397826	0.0051605	927	79	848	10	47
ZNG1A	missense	0.01	9.073286E-01	0.000231398	0.00198781	8368	533	7835	35	151
ZNG1A	missense	0.500000	9.073286E-01	0.000231398	0.00198781	8368	533	7835	35	151
ZNG1A	synonymous	0.01	2.820039E-01	0.00777248	0.00722465	530	42	488	13	76
ZNG1A	synonymous	0.5	5.031943E-01	0.00210199	0.00313977	28224	2131	26093	14	76
ZNG1A	pLoF;missense	0.01	6.934283E-01	0.000731864	0.00185655	9294	612	8682	45	198
ZNG1A	pLoF;missense	0.500000	6.934283E-01	0.000731864	0.00185655	9294	612	8682	45	198
ZNG1A	missense;synonymous	0.01	6.955469E-01	0.000750277	0.00191721	8898	575	8323	48	227
ZNG1A	missense;synonymous	0.5	6.721655E-01	0.000667133	0.00157648	36592	2664	33928	49	227
ZNG1A	pLoF;missense;synonymous;other	0.01	6.622461E-01	0.000770564	0.00176405	10105	664	9441	62	299
ZNG1A	pLoF;missense;synonymous;other	0.5	6.424604E-01	0.000691178	0.00148877	163015	12915	150100	64	299
ZNG1A	Cauchy	NA	0.708654	NA	NA	NA	NA	NA	NA	NA
WASHC1	pLoF	0.01	6.171174E-01	-0.0100147	0.0200319	61	3	58	2	11
WASHC1	pLoF	0.500000	6.171174E-01	-0.0100147	0.0200319	61	3	58	2	11
WASHC1	missense	0.01	2.489799E-01	0.00346493	0.00300558	2441	264	2177	10	44
WASHC1	missense	0.500000	2.489799E-01	0.00346493	0.00300558	2441	264	2177	10	44
WASHC1	synonymous	0.01	3.510292E-01	0.00195542	0.00209676	6542	518	6024	16	33
WASHC1	synonymous	0.500000	3.510292E-01	0.00195542	0.00209676	6542	518	6024	16	33
WASHC1	pLoF;missense	0.01	2.864997E-01	0.00316774	0.00297209	2502	267	2235	12	55
WASHC1	pLoF;missense	0.500000	2.864997E-01	0.00316774	0.00297209	2502	267	2235	12	55
WASHC1	missense;synonymous	0.01	1.534160E-01	0.00246195	0.00172457	8983	782	8201	26	77
WASHC1	missense;synonymous	0.500000	1.534160E-01	0.00246195	0.00172457	8983	782	8201	26	77
WASHC1	pLoF;missense;synonymous;other	0.01	1.796264E-01	0.00228711	0.00170437	9177	795	8382	30	91
WASHC1	pLoF;missense;synonymous;other	0.500000	1.796264E-01	0.00228711	0.00170437	9177	795	8382	30	91
WASHC1	Cauchy	NA	0.266407	NA	NA	NA	NA	NA	NA	NA
DOCK8	pLoF	0.01	2.411853E-01	0.0075011	0.00640009	592	53	539	6	98
DOCK8	pLoF	0.500000	2.411853E-01	0.0075011	0.00640009	592	53	539	6	98
DOCK8	missense	0.01	1.348020E-01	0.00182099	0.0012177	17652	1440	16212	175	1096
DOCK8	missense	0.5	4.473334E-01	0.000742575	0.000977242	581339	48321	533018	181	1096
DOCK8	synonymous	0.01	1.208988E-01	-0.00138355	0.000892032	44691	2868	41823	137	688
DOCK8	synonymous	0.5	4.354987E-01	-0.000597329	0.000765986	1.05652e+06	85004	971512	148	688
DOCK8	pLoF;missense	0.01	9.255634E-02	0.00201256	0.00119648	18241	1493	16748	181	1194
DOCK8	pLoF;missense	0.5	3.560770E-01	0.000891507	0.00096602	581928	48374	533554	187	1194
DOCK8	missense;synonymous	0.01	6.990644E-01	-0.000273995	0.00070876	62301	4306	57995	312	1784
DOCK8	missense;synonymous	0.5	8.722524E-01	-9.39312e-05	0.000584156	1.63781e+06	133323	1.50449e+06	329	1784
DOCK8	pLoF;missense;synonymous;other	0.01	7.755061E-01	-0.00019898	0.000697734	63726	4415	59311	331	1973
DOCK8	pLoF;missense;synonymous;other	0.5	9.361565E-01	-4.63093e-05	0.000578133	1.63924e+06	133432	1.50581e+06	348	1973
DOCK8	Cauchy	NA	0.450915	NA	NA	NA	NA	NA	NA	NA
KANK1	pLoF	0.01	7.945925E-01	0.00124033	0.00476405	1286	84	1202	16	128
KANK1	pLoF	0.500000	7.945925E-01	0.00124033	0.00476405	1286	84	1202	16	128
KANK1	missense	0.01	9.697481E-01	-4.60304e-05	0.00121375	20200	1472	18728	129	747
KANK1	missense	0.5	9.246229E-01	-0.000107026	0.00113121	94524	5669	88855	131	747
KANK1	synonymous	0.01	1.790915E-01	0.00134555	0.00100148	25326	1811	23515	106	472
KANK1	synonymous	0.5	6.252350E-01	0.000432398	0.000885255	578783	43158	535625	113	472
KANK1	pLoF;missense	0.01	9.949233E-01	7.51128e-06	0.00118051	21477	1555	19922	145	875
KANK1	pLoF;missense	0.5	9.585841E-01	-5.7375e-05	0.00110484	95801	5752	90049	147	875
KANK1	missense;synonymous	0.01	3.133672E-01	0.000791209	0.000784789	45479	3278	42201	235	1219
KANK1	missense;synonymous	0.5	7.493812E-01	0.000230651	0.000722014	673260	48822	624438	244	1219
KANK1	pLoF;missense;synonymous;other	0.01	2.512450E-01	0.000884022	0.000770503	47415	3420	43995	262	1398
KANK1	pLoF;missense;synonymous;other	0.5	6.456633E-01	0.000326826	0.000710808	675196	48964	626232	271	1398
