Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.5933587	-0.0054814	0.0102653	9208	16	9192	44	181
HRNR	pLoF	0.5	0.5933587	-0.0054814	0.0102653	9208	16	9192	44	181
HRNR	missense	0.01	0.3077643	-0.0401099	0.0393263	343	0	343	7	49
HRNR	missense	0.5	0.3077643	-0.0401099	0.0393263	343	0	343	7	49
HRNR	synonymous	0.01	0.1447738	-0.0105566	0.00723929	13357	22	13335	143	525
HRNR	synonymous	0.5	0.09315262	-0.00801854	0.00477579	1463880	3234	1460640	160	525
HRNR	pLoF;missense	0.01	0.4386267	-0.00769786	0.00993895	9551	16	9535	51	230
HRNR	pLoF;missense	0.5	0.4386267	-0.00769786	0.00993895	9551	16	9535	51	230
HRNR	missense;synonymous	0.01	0.1061723	-0.0115236	0.00713253	13698	22	13676	150	574
HRNR	missense;synonymous	0.5	0.07390836	-0.00848014	0.00474498	1464220	3234	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.09491965	-0.00980853	0.00587337	22978	38	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.05576726	-0.00808401	0.00422616	1502180	3292	1498890	214	759
HRNR	Cauchy		0.155676							
FLG	pLoF	0.01	0.5770547	-0.00459489	0.00823912	11136	22	11114	89	525
FLG	pLoF	0.5	0.8948374	-0.000809865	0.00612672	23482	62	23420	91	525
FLG	missense	0.01	0.4753782	-0.0395879	0.0554642	206	0	206	4	31
FLG	missense	0.5	0.5165377	-0.00834105	0.0128583	11939	16	11923	6	31
FLG	synonymous	0.01	0.6965937	-0.000978094	0.00250843	98439	189	98250	350	1177
FLG	synonymous	0.5	0.8928944	-0.000283234	0.0021036	1456100	3190	1452910	370	1177
FLG	pLoF;missense	0.01	0.5112467	-0.00535763	0.00815596	11342	22	11320	93	556
FLG	pLoF;missense	0.5	0.6877341	-0.00224344	0.00558164	35421	78	35343	97	556
FLG	missense;synonymous	0.01	0.6757396	-0.00104833	0.00250626	98643	189	98454	354	1208
FLG	missense;synonymous	0.5	0.8189601	-0.000463453	0.00202485	1468040	3206	1464830	376	1208
FLG	pLoF;missense;synonymous;other	0.01	0.5310651	-0.00149866	0.00239258	109818	210	109608	445	1740
FLG	pLoF;missense;synonymous;other	0.5	0.7526149	-0.000613895	0.00194768	1491560	3267	1488290	469	1740
FLG	Cauchy		0.73188							
FLG2	pLoF	0.01	0.7306639	0.00666067	0.0193488	1669	5	1664	25	223
FLG2	pLoF	0.5	0.6555755	-0.00493161	0.0110567	118218	283	117935	27	223
FLG2	missense	0.01	0.8820469	0.00376181	0.0253534	1645	3	1642	7	69
