Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.3379429	-0.00475238	0.0049595	9266	74	9192	44	183
HRNR	pLoF	0.5	0.3379429	-0.00475238	0.0049595	9266	74	9192	44	183
HRNR	missense	0.01	0.5077085	-0.0128537	0.0194044	346	3	343	7	49
HRNR	missense	0.5	0.5077085	-0.0128537	0.0194044	346	3	343	7	49
HRNR	synonymous	0.01	0.8922058	0.000451313	0.00333039	13481	146	13335	143	528
HRNR	synonymous	0.5	0.7890209	-0.000566106	0.00211564	1476580	15938	1460640	160	528
HRNR	pLoF;missense	0.01	0.2751229	-0.0052463	0.00480721	9612	77	9535	51	232
HRNR	pLoF;missense	0.5	0.2751229	-0.0052463	0.00480721	9612	77	9535	51	232
HRNR	missense;synonymous	0.01	0.9812663	7.71811e-05	0.00328691	13825	149	13676	150	577
HRNR	missense;synonymous	0.5	0.7362524	-0.00070894	0.0021048	1476920	15941	1460980	167	577
HRNR	pLoF;missense;synonymous;other	0.01	0.6201594	-0.00136146	0.00274696	23164	224	22940	196	764
HRNR	pLoF;missense;synonymous;other	0.5	0.5063596	-0.00125891	0.00189448	1515170	16279	1498890	214	764
HRNR	Cauchy		0.825495							
FLG	pLoF	0.01	0.7843859	-0.00102714	0.00375405	11235	121	11114	89	526
FLG	pLoF	0.5	0.5446522	-0.00173275	0.00286031	23698	278	23420	91	526
FLG	missense	0.01	0.8685109	-0.00443627	0.0267971	208	2	206	4	31
FLG	missense	0.5	0.6713278	0.0022107	0.00520991	12044	121	11923	6	31
FLG	synonymous	0.01	0.8986094	-0.000138833	0.00108959	99275	1022	98253	355	1176
FLG	synonymous	0.5	0.6436146	0.000437188	0.000944963	1468910	16001	1452910	375	1176
FLG	pLoF;missense	0.01	0.7735955	-0.00107021	0.00372022	11443	123	11320	93	557
FLG	pLoF;missense	0.5	0.7439392	-0.000829577	0.00253972	35742	399	35343	97	557
FLG	missense;synonymous	0.01	0.8968099	-0.000141214	0.00108884	99481	1024	98457	359	1207
FLG	missense;synonymous	0.5	0.6037311	0.000468488	0.000902601	1480950	16122	1464830	381	1207
FLG	pLoF;missense;synonymous;other	0.01	0.8786359	-0.000159767	0.00104629	110758	1147	109611	450	1740
FLG	pLoF;missense;synonymous;other	0.5	0.7204775	0.000312808	0.000874204	1504690	16402	1488290	474	1740
FLG	Cauchy		0.800225							
FLG2	pLoF	0.01	0.9771081	-0.000263817	0.00919393	1683	19	1664	26	222
FLG2	pLoF	0.5	0.6474559	-0.00247718	0.00541697	119239	1304	117935	28	222
FLG2	missense	0.01	0.9168258	0.00109453	0.0104807	1659	17	1642	7	69
FLG2	missense	0.5	0.9168258	0.00109453	0.0104807	1659	17	1642	7	69
FLG2	synonymous	0.01	0.3250808	-0.00215568	0.00219057	32277	309	31968	105	542
FLG2	synonymous	0.5	0.484642	-0.00148511	0.00212505	268330	2886	265444	109	542
FLG2	pLoF;missense	0.01	0.963159	0.000320763	0.00694446	3342	36	3306	33	291
FLG2	pLoF;missense	0.5	0.7188312	-0.00173637	0.00482296	120898	1321	119577	35	291
FLG2	missense;synonymous	0.01	0.3419835	-0.0020536	0.00216111	33936	326	33610	112	611
FLG2	missense;synonymous	0.5	0.5010992	-0.00141731	0.00210671	269989	2903	267086	116	611
FLG2	pLoF;missense;synonymous;other	0.01	0.3579693	-0.00192836	0.00209777	35610	345	35265	138	835
FLG2	pLoF;missense;synonymous;other	0.5	0.4328446	-0.00154129	0.00196509	389219	4207	385012	144	835
FLG2	Cauchy		0.876612							
RPTN	pLoF	0.01	0.2528383	0.0119509	0.0104513	1443	19	1424	21	101
RPTN	pLoF	0.5	0.2538146	0.0119276	0.0104524	124426	1371	123055	22	101
RPTN	missense	0.01	0.1449392	-0.016162	0.0110877	1155	9	1146	5	40
RPTN	missense	0.5	0.1449392	-0.016162	0.0110877	1155	9	1146	5	40
RPTN	synonymous	0.01	0.2020822	0.0121156	0.00949769	2004	24	1980	24	153
RPTN	synonymous	0.5	0.1156269	0.0085304	0.00542165	7375	96	7279	25	153
RPTN	pLoF;missense	0.01	0.8664276	-0.00128053	0.00761322	2598	28	2570	26	141
RPTN	pLoF;missense	0.5	0.8649963	-0.00129454	0.00761415	125581	1380	124201	27	141
RPTN	missense;synonymous	0.01	0.9667621	0.000301827	0.00724334	3153	33	3120	29	193
RPTN	missense;synonymous	0.5	0.4294849	0.00386156	0.0048876	8524	105	8419	30	193
RPTN	pLoF;missense;synonymous;other	0.01	0.5071699	0.00395571	0.00596412	4602	52	4550	50	298
RPTN	pLoF;missense;synonymous;other	0.5	0.2366497	0.00524773	0.00443444	132956	1476	131480	52	298
RPTN	Cauchy		0.569848							
CRNN	pLoF	0.01	0.7166894	-0.00650847	0.0179353	310	3	307	6	51
CRNN	pLoF	0.5	0.7166894	-0.00650847	0.0179353	310	3	307	6	51
CRNN	missense	0.01	0.1582366	-0.019056	0.013505	957	5	952	11	72
CRNN	missense	0.5	0.1582366	-0.019056	0.013505	957	5	952	11	72
CRNN	synonymous	0.01	0.663476	-0.00305258	0.0070155	3420	32	3388	26	128
CRNN	synonymous	0.5	0.9894586	-7.41451e-05	0.00561194	25172	248	24924	27	128
CRNN	pLoF;missense	0.01	0.1784417	-0.0145374	0.0108039	1264	8	1256	17	123
CRNN	pLoF;missense	0.5	0.1784417	-0.0145374	0.0108039	1264	8	1256	17	123
CRNN	missense;synonymous	0.01	0.3005919	-0.00646143	0.00624194	4377	37	4340	37	200
CRNN	missense;synonymous	0.5	0.5798482	-0.00288663	0.00521423	26129	253	25876	38	200
CRNN	pLoF;missense;synonymous;other	0.01	0.1710104	-0.00791868	0.00578443	4857	40	4817	45	252
CRNN	pLoF;missense;synonymous;other	0.5	0.3821395	-0.00431541	0.00493776	26609	256	26353	46	252
CRNN	Cauchy		0.846716							
POMC	pLoF	0.01	0.4706155	0.00635909	0.00881398	1708	21	1687	19	83
POMC	pLoF	0.5	0.6356872	0.00397235	0.00838513	52902	566	52336	20	83
POMC	missense	0.01	0.4480253	-0.0044528	0.0058689	4541	48	4493	16	120
POMC	missense	0.5	0.4480253	-0.0044528	0.0058689	4541	48	4493	16	120
POMC	synonymous	0.01	0.9657199	-0.000245662	0.00571613	5012	63	4949	14	124
POMC	synonymous	0.5	0.1077564	-0.00527514	0.00327983	22440	170	22270	16	124
POMC	pLoF;missense	0.01	0.8219143	-0.00109533	0.00486634	6248	69	6179	35	203
POMC	pLoF;missense	0.5	0.7302092	-0.00166061	0.0048155	57442	614	56828	36	203
POMC	missense;synonymous	0.01	0.5822955	-0.00226071	0.00411012	9542	111	9431	30	244
POMC	missense;synonymous	0.5	0.07646978	-0.00508911	0.00287269	26970	218	26752	32	244
POMC	pLoF;missense;synonymous;other	0.01	0.8467127	-0.00071996	0.00372429	11252	132	11120	49	329
POMC	pLoF;missense;synonymous;other	0.5	0.126042	-0.00417868	0.00273134	79874	784	79090	52	329
POMC	Cauchy		0.617094							
DNMT3A	pLoF	0.01	0.1565376	0.0126006	0.00889363	939	29	910	7	401
DNMT3A	pLoF	0.5	0.1565376	0.0126006	0.00889363	939	29	910	7	401
DNMT3A	missense	0.01	0.1077506	0.00878761	0.00546362	3495	71	3424	43	533
DNMT3A	missense	0.5	0.1077506	0.00878761	0.00546362	3495	71	3424	43	533
DNMT3A	synonymous	0.01	0.01968914	-0.0108286	0.00464305	8483	65	8418	46	218
DNMT3A	synonymous	0.5	0.4205701	-0.00310394	0.00385375	157090	1834	155256	49	218
DNMT3A	pLoF;missense	0.01	0.03301485	0.0101603	0.00476586	4421	100	4321	50	934
DNMT3A	pLoF;missense	0.5	0.03301485	0.0101603	0.00476586	4421	100	4321	50	934
DNMT3A	missense;synonymous	0.01	0.4483962	-0.00269826	0.00355927	11976	136	11840	89	751
DNMT3A	missense;synonymous	0.5	0.7977403	0.000813203	0.00317319	160583	1905	158678	92	751
DNMT3A	pLoF;missense;synonymous;other	0.01	0.4821211	-0.00222015	0.00315858	14152	172	13980	104	1291
DNMT3A	pLoF;missense;synonymous;other	0.5	0.8373859	0.000591474	0.00288189	162759	1941	160818	107	1291
DNMT3A	Cauchy		0.0883684							
DTNB	pLoF	0.01	0.7564246	-0.0405846	0.130842	14	0	14	0	13
DTNB	pLoF	0.5	0.7564246	-0.0405846	0.130842	14	0	14	0	13
DTNB	missense	0.01	0.7109863	0.018014	0.0486166	68	1	67	0	58
DTNB	missense	0.5	0.7109863	0.018014	0.0486166	68	1	67	0	58
