Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.4150469	0.00612549	0.00751553	9231	39	9192	44	181
HRNR	pLoF	0.5	0.4150469	0.00612549	0.00751553	9231	39	9192	44	181
HRNR	missense	0.01	0.3723315	0.0267642	0.0300009	346	3	343	7	49
HRNR	missense	0.5	0.3723315	0.0267642	0.0300009	346	3	343	7	49
HRNR	synonymous	0.01	0.3521308	-0.00469489	0.00504575	13389	54	13335	143	525
HRNR	synonymous	0.5	0.4938973	0.0020756	0.00303395	1467970	7327	1460640	160	525
HRNR	pLoF;missense	0.01	0.3139846	0.00734366	0.00729336	9577	42	9535	51	230
HRNR	pLoF;missense	0.5	0.3139846	0.00734366	0.00729336	9577	42	9535	51	230
HRNR	missense;synonymous	0.01	0.439656	-0.00384981	0.0049818	13733	57	13676	150	574
HRNR	missense;synonymous	0.5	0.4416339	0.00232375	0.00302006	1468310	7330	1460980	167	574
HRNR	pLoF;missense;synonymous;other	0.01	0.8234761	-0.00092856	0.00416252	23036	96	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.3350079	0.00263045	0.00272847	1506400	7512	1498890	214	759
HRNR	Cauchy		0.432808							
FLG	pLoF	0.01	0.2232257	-0.00683433	0.00561113	11161	47	11114	89	525
FLG	pLoF	0.5	0.3953397	-0.00373876	0.00439868	23531	111	23420	91	525
FLG	missense	0.01	0.8734408	0.00688686	0.0432349	207	1	206	4	31
FLG	missense	0.5	0.4583923	0.00512971	0.00691805	11995	72	11923	6	31
FLG	synonymous	0.01	0.667	-0.000647773	0.00150551	98759	509	98250	351	1180
FLG	synonymous	0.5	0.7481435	0.000431406	0.00134358	1460330	7419	1452910	371	1180
FLG	pLoF;missense	0.01	0.2362358	-0.00659496	0.00556796	11368	48	11320	93	556
FLG	pLoF;missense	0.5	0.7472762	-0.00121596	0.00377353	35526	183	35343	97	556
FLG	missense;synonymous	0.01	0.6732027	-0.000634627	0.00150472	98964	510	98454	355	1211
FLG	missense;synonymous	0.5	0.6573168	0.000565536	0.00127482	1472320	7491	1464830	377	1211
FLG	pLoF;missense;synonymous;other	0.01	0.4693987	-0.00105481	0.00145801	110165	557	109608	446	1743
FLG	pLoF;missense;synonymous;other	0.5	0.8460542	0.000241774	0.00124526	1495890	7602	1488290	470	1743
FLG	Cauchy		0.628715							
FLG2	pLoF	0.01	0.1813845	0.0179003	0.0133934	1677	13	1664	25	223
FLG2	pLoF	0.5	0.5438683	-0.00491482	0.00809725	118496	561	117935	27	223
FLG2	missense	0.01	0.4983979	0.00960009	0.0141801	1653	11	1642	7	69
FLG2	missense	0.5	0.4983979	0.00960009	0.0141801	1653	11	1642	7	69
FLG2	synonymous	0.01	0.7633527	-0.000902453	0.00299737	32136	168	31968	105	541
FLG2	synonymous	0.5	0.4816048	-0.00204469	0.00290553	266742	1298	265444	109	541
