Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
TPTE	pLoF	0.01	7.131927E-01	-0.000846657	0.00230338	7106	361	6745	30	126
TPTE	pLoF	0.500000	7.131927E-01	-0.000846657	0.00230338	7106	361	6745	30	126
TPTE	missense	0.01	8.566156E-01	0.000354256	0.00196064	9957	517	9440	50	197
TPTE	missense	0.500000	8.566156E-01	0.000354256	0.00196064	9957	517	9440	50	197
TPTE	synonymous	0.01	6.850718E-01	-0.000891016	0.00219705	8264	388	7876	60	177
TPTE	synonymous	0.500000	6.850718E-01	-0.000891016	0.00219705	8264	388	7876	60	177
TPTE	pLoF;missense	0.01	9.280003E-01	-0.000135524	0.00149981	17062	878	16184	80	323
TPTE	pLoF;missense	0.500000	9.280003E-01	-0.000135524	0.00149981	17062	878	16184	80	323
TPTE	missense;synonymous	0.01	9.128882E-01	-0.000161245	0.00147396	18217	905	17312	110	374
TPTE	missense;synonymous	0.500000	9.128882E-01	-0.000161245	0.00147396	18217	905	17312	110	374
TPTE	pLoF;missense;synonymous;other	0.01	7.845277E-01	-0.000313476	0.00114648	28676	1453	27223	156	545
TPTE	pLoF;missense;synonymous;other	0.500000	7.845277E-01	-0.000313476	0.00114648	28676	1453	27223	156	545
TPTE	Cauchy	NA	0.85921	NA	NA	NA	NA	NA	NA	NA
POTED	Cauchy	NA	0.5	NA	NA	NA	NA	NA	NA	NA
LIPI	pLoF	0.01	3.360740E-01	-0.00536585	0.00557809	1329	54	1275	3	60
LIPI	pLoF	0.500000	3.360740E-01	-0.00536585	0.00557809	1329	54	1275	3	60
LIPI	missense	0.01	5.865444E-01	0.00114135	0.00209865	9879	542	9337	22	129
LIPI	missense	0.5	8.044793E-01	-0.000469471	0.00189644	230227	12335	217892	24	129
LIPI	synonymous	0.01	6.818794E-01	0.00214891	0.00524253	1357	69	1288	14	92
LIPI	synonymous	0.5	6.219668E-01	0.00257641	0.0052253	91246	5483	85763	15	92
LIPI	pLoF;missense	0.01	8.624037E-01	0.000341165	0.00196846	11208	596	10612	25	189
LIPI	pLoF;missense	0.5	5.870514E-01	-0.000977919	0.00180058	231556	12389	219167	27	189
LIPI	missense;synonymous	0.01	5.061687E-01	0.00130079	0.00195662	11236	611	10625	36	221
LIPI	missense;synonymous	0.5	9.519547E-01	-0.000107637	0.00178644	321473	17818	303655	39	221
LIPI	pLoF;missense;synonymous;other	0.01	7.548700E-01	0.000571491	0.00183039	12707	672	12035	42	296
LIPI	pLoF;missense;synonymous;other	0.5	7.315970E-01	-0.000579767	0.00169027	322944	17879	305065	45	296
LIPI	Cauchy	NA	0.757442	NA	NA	NA	NA	NA	NA	NA
RBM11	pLoF	0.01	3.726772E-02	-0.0197336	0.00947449	355	11	344	3	32
RBM11	pLoF	0.500000	3.726772E-02	-0.0197336	0.00947449	355	11	344	3	32
RBM11	missense	0.01	4.412057E-01	-0.00338512	0.00439535	2190	94	2096	13	68
RBM11	missense	0.500000	4.412057E-01	-0.00338512	0.00439535	2190	94	2096	13	68
RBM11	synonymous	0.01	9.677044E-01	0.000117327	0.00289786	5188	264	4924	13	61
RBM11	synonymous	0.500000	9.677044E-01	0.000117327	0.00289786	5188	264	4924	13	61
RBM11	pLoF;missense	0.01	1.170236E-01	-0.00626295	0.00399578	2544	105	2439	16	100
RBM11	pLoF;missense	0.500000	1.170236E-01	-0.00626295	0.00399578	2544	105	2439	16	100
RBM11	missense;synonymous	0.01	6.938019E-01	-0.000955468	0.00242689	7378	358	7020	26	129
RBM11	missense;synonymous	0.500000	6.938019E-01	-0.000955468	0.00242689	7378	358	7020	26	129
RBM11	pLoF;missense;synonymous;other	0.01	9.962982E-01	1.00735e-05	0.00217122	9206	452	8754	31	168
RBM11	pLoF;missense;synonymous;other	0.500000	9.962982E-01	1.00735e-05	0.00217122	9206	452	8754	31	168
RBM11	Cauchy	NA	0.977626	NA	NA	NA	NA	NA	NA	NA
HSPA13	pLoF	0.01	2.257696E-01	-0.0431719	0.0356401	32	0	32	0	21
HSPA13	pLoF	0.500000	2.257696E-01	-0.0431719	0.0356401	32	0	32	0	21
HSPA13	missense	0.01	1.598481E-01	0.00582327	0.00414296	1726	120	1606	16	147
HSPA13	missense	0.500000	1.598481E-01	0.00582327	0.00414296	1726	120	1606	16	147
HSPA13	synonymous	0.01	8.904513E-01	-0.000575866	0.00418103	2177	99	2078	20	113
HSPA13	synonymous	0.5	5.214184E-01	0.00173422	0.00270481	7718	356	7362	21	113
HSPA13	pLoF;missense	0.01	2.079539E-01	0.00518472	0.00411743	1758	120	1638	16	168
HSPA13	pLoF;missense	0.500000	2.079539E-01	0.00518472	0.00411743	1758	120	1638	16	168
HSPA13	missense;synonymous	0.01	3.644198E-01	0.00268095	0.00295592	3903	219	3684	36	260
HSPA13	missense;synonymous	0.5	1.897985E-01	0.00298044	0.00227311	9444	476	8968	37	260
HSPA13	pLoF;missense;synonymous;other	0.01	4.656272E-01	0.00212116	0.00290724	4095	224	3871	38	294
HSPA13	pLoF;missense;synonymous;other	0.5	2.406806E-01	0.00264248	0.0022522	9636	481	9155	39	294
HSPA13	Cauchy	NA	0.29818	NA	NA	NA	NA	NA	NA	NA
SAMSN1	pLoF	0.01	9.928728E-01	0.000189737	0.0212407	60	4	56	1	27
SAMSN1	pLoF	0.500000	9.928728E-01	0.000189737	0.0212407	60	4	56	1	27
SAMSN1	missense	0.01	6.984716E-01	0.00210539	0.00543489	1253	63	1190	19	154
SAMSN1	missense	0.5	1.049124E-02	0.00624151	0.00243885	9781	662	9119	20	154
SAMSN1	synonymous	0.01	7.330967E-01	0.002226	0.00652768	821	42	779	14	95
SAMSN1	synonymous	0.5	7.407793E-01	0.0021596	0.00652798	134935	7403	127532	15	95
SAMSN1	pLoF;missense	0.01	7.012048E-01	0.0020239	0.00527477	1312	67	1245	20	181
SAMSN1	pLoF;missense	0.5	1.085385E-02	0.00617523	0.00242416	9840	666	9174	21	181
SAMSN1	missense;synonymous	0.01	6.021794E-01	0.00218379	0.00418937	2074	105	1969	33	249
SAMSN1	missense;synonymous	0.5	1.172055E-02	0.00577007	0.0022893	144716	8065	136651	35	249
SAMSN1	pLoF;missense;synonymous;other	0.01	7.286641E-01	0.0014117	0.00406943	2183	110	2073	36	288
SAMSN1	pLoF;missense;synonymous;other	0.5	1.596825E-02	0.00546799	0.00226921	144825	8070	136755	38	288
SAMSN1	Cauchy	NA	0.238504	NA	NA	NA	NA	NA	NA	NA
NRIP1	pLoF	0.01	1.355735E-02	-0.0319892	0.0129575	189	3	186	2	57
NRIP1	pLoF	0.500000	1.355735E-02	-0.0319892	0.0129575	189	3	186	2	57
NRIP1	missense	0.01	2.142902E-01	-0.00343889	0.00276916	4620	220	4400	51	400
NRIP1	missense	0.5	8.029961E-01	0.000406381	0.00162897	59132	3511	55621	54	400
NRIP1	synonymous	0.01	3.078092E-01	-0.00266436	0.00261256	4558	215	4343	44	310
NRIP1	synonymous	0.5	6.770523E-01	0.000523993	0.00125812	282226	16194	266032	48	310
NRIP1	pLoF;missense	0.01	8.797381E-02	-0.0046278	0.00271237	4806	223	4583	53	457
NRIP1	pLoF;missense	0.5	9.646164E-01	-7.17363e-05	0.00161709	59318	3514	55804	56	457
NRIP1	missense;synonymous	0.01	1.053681E-01	-0.0031059	0.00191797	9164	434	8730	95	710
NRIP1	missense;synonymous	0.5	6.844711E-01	0.000344975	0.000848919	341344	19704	321640	102	710
NRIP1	pLoF;missense;synonymous;other	0.01	4.581571E-02	-0.00378324	0.00189438	9423	439	8984	99	782
NRIP1	pLoF;missense;synonymous;other	0.5	8.200753E-01	0.000192468	0.000846207	341603	19709	321894	106	782
NRIP1	Cauchy	NA	0.0764607	NA	NA	NA	NA	NA	NA	NA
