Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
TIMM22	pLoF	0.01	7.050374E-01	0.00772761	0.0204148	80	5	75	2	10
TIMM22	pLoF	0.500000	7.050374E-01	0.00772761	0.0204148	80	5	75	2	10
TIMM22	missense	0.01	8.276886E-01	0.000510789	0.00234665	6889	431	6458	16	77
TIMM22	missense	0.500000	8.276886E-01	0.000510789	0.00234665	6889	431	6458	16	77
TIMM22	synonymous	0.01	2.929755E-01	0.00255448	0.00242909	6550	410	6140	7	49
TIMM22	synonymous	0.5	8.418285E-01	0.000357914	0.00179356	30286	1856	28430	8	49
TIMM22	pLoF;missense	0.01	7.953313E-01	0.000604808	0.00233162	6969	436	6533	18	87
TIMM22	pLoF;missense	0.500000	7.953313E-01	0.000604808	0.00233162	6969	436	6533	18	87
TIMM22	missense;synonymous	0.01	3.712213E-01	0.00151723	0.00169677	13438	841	12597	23	126
TIMM22	missense;synonymous	0.5	7.674449E-01	0.000425894	0.0014402	37174	2287	34887	24	126
TIMM22	pLoF;missense;synonymous;other	0.01	3.486614E-01	0.0015841	0.00169027	13529	847	12682	25	144
TIMM22	pLoF;missense;synonymous;other	0.5	7.380747E-01	0.000480358	0.00143646	37265	2293	34972	26	144
TIMM22	Cauchy	NA	0.716098	NA	NA	NA	NA	NA	NA	NA
GAS7	pLoF	0.01	8.160787E-01	0.00518142	0.0222769	56	4	52	0	24
GAS7	pLoF	0.500000	8.160787E-01	0.00518142	0.0222769	56	4	52	0	24
GAS7	missense	0.01	3.089767E-01	-0.00395117	0.0038837	2028	107	1921	23	169
GAS7	missense	0.500000	3.089767E-01	-0.00395117	0.0038837	2028	107	1921	23	169
GAS7	synonymous	0.01	4.273906E-01	-0.0013838	0.00174356	13032	705	12327	35	87
GAS7	synonymous	0.5	4.340517E-01	-0.00136403	0.00174366	166646	10104	156542	36	87
GAS7	pLoF;missense	0.01	3.352682E-01	-0.00368924	0.00382877	2084	111	1973	23	193
