Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.4747815	-0.0276186	0.0386425	183	0	183	3	34
ATAD3A	pLoF	0.5	0.4747815	-0.0276186	0.0386425	183	0	183	3	34
ATAD3A	missense	0.01	0.5491819	0.00414885	0.00692645	9794	39	9755	59	227
ATAD3A	missense	0.5	0.5552289	0.00300189	0.00508844	33749	126	33623	61	227
ATAD3A	synonymous	0.01	0.1063178	0.00599367	0.00371133	23098	111	22987	63	142
ATAD3A	synonymous	0.5	0.02001929	0.0079992	0.00343906	114305	486	113819	65	142
ATAD3A	pLoF;missense	0.01	0.6412184	0.00317355	0.00681025	9974	39	9935	62	261
ATAD3A	pLoF;missense	0.5	0.6219701	0.0024836	0.00503711	33929	126	33803	64	261
ATAD3A	missense;synonymous	0.01	0.08957907	0.00552181	0.00325267	32889	150	32739	122	369
ATAD3A	missense;synonymous	0.5	0.02726588	0.00613972	0.00278106	148051	612	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.1098107	0.00517325	0.00323521	33189	150	33039	128	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.0337324	0.00587821	0.00276849	148351	612	147739	132	420
ATAD3A	Cauchy		0.0829541							
FLG	pLoF	0.01	0.0556906	-0.0130701	0.00683063	10323	25	10298	98	334
FLG	pLoF	0.5	0.4504909	-0.00370835	0.00491435	38939	138	38801	100	334
FLG	missense	0.01	0.1035134	0.0222923	0.0136926	1811	15	1796	8	28
FLG	missense	0.5	0.1035134	0.0222923	0.0136926	1811	15	1796	8	28
FLG	synonymous	0.01	0.9312819	0.000167976	0.00194795	77198	332	76866	402	1133
FLG	synonymous	0.5	0.569879	-0.000830675	0.00146186	1607350	5404	1601950	423	1133
FLG	pLoF;missense	0.01	0.3197248	-0.00612237	0.00615299	12134	40	12094	106	362
FLG	pLoF;missense	0.5	0.8703847	-0.000757755	0.00464396	40750	153	40597	108	362
FLG	missense;synonymous	0.01	0.7629321	0.000564176	0.00187041	79007	347	78660	410	1161
FLG	missense;synonymous	0.5	0.6984413	-0.000552432	0.00142591	1609160	5419	1603740	431	1161
FLG	pLoF;missense;synonymous;other	0.01	0.8357279	-0.000377097	0.00181855	89363	372	88991	509	1498
FLG	pLoF;missense;synonymous;other	0.5	0.5610901	-0.000803535	0.00138249	1648130	5557	1642570	532	1498
FLG	Cauchy		0.459911							
FLG2	pLoF	0.01	0.5585091	-0.00909013	0.0155372	1795	5	1790	26	112
FLG2	pLoF	0.5	0.4590892	-0.0113388	0.0153156	101546	340	101206	27	112
FLG2	missense	0.01	0.5006657	-0.0197103	0.029268	448	1	447	9	50
FLG2	missense	0.5	0.5006657	-0.0197103	0.029268	448	1	447	9	50
FLG2	synonymous	0.01	0.3123178	0.00208665	0.00206523	41906	191	41715	145	448
FLG2	synonymous	0.5	0.7415602	0.000497885	0.00150971	419858	1464	418394	153	448
FLG2	pLoF;missense	0.01	0.4060039	-0.0114246	0.013749	2240	6	2234	35	162
FLG2	pLoF;missense	0.5	0.3333834	-0.0131566	0.013601	101991	341	101650	36	162
FLG2	missense;synonymous	0.01	0.3355474	0.00198681	0.00206314	42351	192	42159	154	498
FLG2	missense;synonymous	0.5	0.7674623	0.000446151	0.00150882	420303	1465	418838	162	498
FLG2	pLoF;missense;synonymous;other	0.01	0.3876623	0.00174317	0.00201788	44155	197	43958	180	615
FLG2	pLoF;missense;synonymous;other	0.5	0.8282459	0.000320985	0.00147952	521858	1805	520053	189	615
FLG2	Cauchy		0.534571							
PIP5K1A	pLoF	0.01	0.2794755	0.0728404	0.0673513	83	1	82	1	26
PIP5K1A	pLoF	0.5	0.2794755	0.0728404	0.0673513	83	1	82	1	26
PIP5K1A	missense	0.01	0.6742127	-0.00701513	0.0166879	1312	5	1307	17	162
PIP5K1A	missense	0.5	0.6742127	-0.00701513	0.0166879	1312	5	1307	17	162
PIP5K1A	synonymous	0.01	0.4208874	-0.00714227	0.00887368	5897	19	5878	22	121
PIP5K1A	synonymous	0.5	0.5629975	-0.00379204	0.00655614	210866	743	210123	24	121
PIP5K1A	pLoF;missense	0.01	0.8782555	-0.00248416	0.0162171	1395	6	1389	18	188
PIP5K1A	pLoF;missense	0.5	0.8782555	-0.00248416	0.0162171	1395	6	1389	18	188
PIP5K1A	missense;synonymous	0.01	0.4074902	-0.00592728	0.0071558	7204	24	7180	39	283
PIP5K1A	missense;synonymous	0.5	0.513598	-0.00376729	0.00576704	212173	748	211425	41	283
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.451186	-0.00534606	0.00709554	7360	25	7335	41	325
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.5519821	-0.00341148	0.00573558	212329	749	211580	43	325
PIP5K1A	Cauchy		0.607898							
TUFT1	pLoF	0.01	0.3595193	0.0573569	0.0625975	127	1	126	2	23
TUFT1	pLoF	0.5	0.3595193	0.0573569	0.0625975	127	1	126	2	23
TUFT1	missense	0.01	0.8378071	0.00234004	0.0114316	2989	14	2975	16	98
TUFT1	missense	0.5	0.8378071	0.00234004	0.0114316	2989	14	2975	16	98
TUFT1	synonymous	0.01	0.07405241	0.0475813	0.026637	620	5	615	12	59
TUFT1	synonymous	0.5	0.07405241	0.0475813	0.026637	620	5	615	12	59
TUFT1	pLoF;missense	0.01	0.7142474	0.00411828	0.0112473	3116	15	3101	18	121
TUFT1	pLoF;missense	0.5	0.7142474	0.00411828	0.0112473	3116	15	3101	18	121
TUFT1	missense;synonymous	0.01	0.3782627	0.00912532	0.0103567	3605	19	3586	28	157
TUFT1	missense;synonymous	0.5	0.3782627	0.00912532	0.0103567	3605	19	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.3273711	0.00996508	0.0101744	3773	20	3753	31	189
TUFT1	pLoF;missense;synonymous;other	0.5	0.3273711	0.00996508	0.0101744	3773	20	3753	31	189
TUFT1	Cauchy		0.347743							
RIIAD1	pLoF	0.01	0.8644685	-0.0403465	0.236375	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8644685	-0.0403465	0.236375	6	0	6	0	4
RIIAD1	missense	0.01	0.524129	-0.0127431	0.0200051	852	3	849	4	20
