Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.1443	-0.0181361	0.0124223	96	4	92	3	25
ATAD3A	pLoF	0.5	0.1443	-0.0181361	0.0124223	96	4	92	3	25
ATAD3A	missense	0.01	0.9683493	8.35451e-05	0.00210554	5052	454	4598	36	191
ATAD3A	missense	0.5	0.5829752	0.000876401	0.00159623	16998	1443	15555	38	191
ATAD3A	synonymous	0.01	0.4447646	0.000942425	0.00123326	11563	1072	10491	45	120
ATAD3A	synonymous	0.5	0.3276192	0.00112189	0.00114605	57037	4997	52040	47	120
ATAD3A	pLoF;missense	0.01	0.8220425	-0.000466893	0.00207583	5145	457	4688	39	216
ATAD3A	pLoF;missense	0.5	0.7317027	0.000542307	0.00158171	17091	1446	15645	41	216
ATAD3A	missense;synonymous	0.01	0.4675073	0.000770284	0.00106021	16603	1526	15077	81	311
ATAD3A	missense;synonymous	0.5	0.2577822	0.00102867	0.000909003	74023	6440	67583	85	311
ATAD3A	pLoF;missense;synonymous;other	0.01	0.5452473	0.000638114	0.00105491	16752	1534	15218	85	350
ATAD3A	pLoF;missense;synonymous;other	0.5	0.3049148	0.000928965	0.000905468	74172	6448	67724	89	350
ATAD3A	Cauchy		0.653534							
FLG	pLoF	0.01	0.3321768	0.00203888	0.0021025	5265	484	4781	55	299
FLG	pLoF	0.5	0.3339926	0.00144726	0.00149803	19847	1839	18008	57	299
FLG	missense	0.01	0.192056	0.00674198	0.00516816	840	97	743	7	17
FLG	missense	0.5	0.192056	0.00674198	0.00516816	840	97	743	7	17
FLG	synonymous	0.01	0.4983539	0.000449576	0.00066399	37983	3593	34390	288	884
FLG	synonymous	0.5	0.5943388	0.000251995	0.000473178	809113	70982	738131	309	884
FLG	pLoF;missense	0.01	0.1629944	0.00273146	0.00195794	6105	581	5524	62	316
FLG	pLoF;missense	0.5	0.1958783	0.00186659	0.00144318	20687	1936	18751	64	316
FLG	missense;synonymous	0.01	0.4211791	0.000516449	0.000642048	38820	3689	35131	295	901
FLG	missense;synonymous	0.5	0.5279485	0.000293196	0.00046455	809950	71078	738872	316	901
FLG	pLoF;missense;synonymous;other	0.01	0.2899761	0.000656375	0.00062029	44082	4172	39910	351	1201
FLG	pLoF;missense;synonymous;other	0.5	0.3708994	0.000401249	0.000448428	829794	72916	756878	374	1201
FLG	Cauchy		0.306981							
FLG2	pLoF	0.01	0.05866504	-0.00897023	0.00474441	910	65	845	14	86
FLG2	pLoF	0.5	0.05679689	-0.00889768	0.00467102	51081	4482	46599	15	86
FLG2	missense	0.01	0.2276858	-0.0123361	0.010226	213	14	199	4	39
FLG2	missense	0.5	0.2276858	-0.0123361	0.010226	213	14	199	4	39
FLG2	synonymous	0.01	0.105758	0.00101989	0.000630514	21152	2044	19108	106	351
FLG2	synonymous	0.5	0.2233231	0.000558218	0.000458405	211487	18818	192669	114	351
FLG2	pLoF;missense	0.01	0.02640204	-0.00958616	0.00431761	1122	79	1043	18	125
FLG2	pLoF;missense	0.5	0.02564465	-0.00951247	0.00426272	51293	4496	46797	19	125
FLG2	missense;synonymous	0.01	0.1215571	0.000975474	0.000630041	21362	2058	19304	110	390
FLG2	missense;synonymous	0.5	0.2430182	0.00053484	0.000458117	211697	18832	192865	118	390
FLG2	pLoF;missense;synonymous;other	0.01	0.2032021	0.000783481	0.000615711	22280	2124	20156	124	481
FLG2	pLoF;missense;synonymous;other	0.5	0.3347363	0.000433107	0.000448993	262786	23315	239471	133	481
FLG2	Cauchy		0.0793103							
PIP5K1A	pLoF	0.01	0.4376771	-0.01582	0.0203834	49	3	46	1	22
PIP5K1A	pLoF	0.5	0.4376771	-0.01582	0.0203834	49	3	46	1	22
PIP5K1A	missense	0.01	0.3529288	-0.00531127	0.00571766	641	55	586	9	124
PIP5K1A	missense	0.5	0.3529288	-0.00531127	0.00571766	641	55	586	9	124
PIP5K1A	synonymous	0.01	0.7585094	-0.000855472	0.00278258	2962	268	2694	15	81
PIP5K1A	synonymous	0.5	0.5352977	-0.00125418	0.00202307	107313	9678	97635	17	81
PIP5K1A	pLoF;missense	0.01	0.2694655	-0.0060907	0.00551547	690	58	632	10	146
PIP5K1A	pLoF;missense	0.5	0.2694655	-0.0060907	0.00551547	690	58	632	10	146
PIP5K1A	missense;synonymous	0.01	0.5351256	-0.00146175	0.00235689	3601	323	3278	24	205
PIP5K1A	missense;synonymous	0.5	0.3978637	-0.00155693	0.00184156	107952	9733	98219	26	205
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.4207509	-0.00187942	0.00233433	3684	327	3357	26	236
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.3221073	-0.00181264	0.0018307	108035	9737	98298	28	236
PIP5K1A	Cauchy		0.41961							
TUFT1	pLoF	0.01	0.5714561	0.0101504	0.0179365	73	7	66	2	13
TUFT1	pLoF	0.5	0.5714561	0.0101504	0.0179365	73	7	66	2	13
TUFT1	missense	0.01	0.3127657	0.00385837	0.00382231	1457	152	1305	8	68
TUFT1	missense	0.5	0.3127657	0.00385837	0.00382231	1457	152	1305	8	68
TUFT1	synonymous	0.01	0.04023916	-0.0195453	0.00952829	307	12	295	5	42
TUFT1	synonymous	0.5	0.04023916	-0.0195453	0.00952829	307	12	295	5	42
TUFT1	pLoF;missense	0.01	0.2687	0.00413539	0.00373884	1530	159	1371	10	81
TUFT1	pLoF;missense	0.5	0.2687	0.00413539	0.00373884	1530	159	1371	10	81
TUFT1	missense;synonymous	0.01	0.8659447	0.00059815	0.0035433	1755	163	1592	13	110
TUFT1	missense;synonymous	0.5	0.8659447	0.00059815	0.0035433	1755	163	1592	13	110
TUFT1	pLoF;missense;synonymous;other	0.01	0.7652145	0.00103297	0.00345892	1851	172	1679	15	130
