Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.7818384	-0.00232698	0.00840295	9219	27	9192	44	181
HRNR	pLoF	0.5	0.7818384	-0.00232698	0.00840295	9219	27	9192	44	181
HRNR	missense	0.01	0.237433	-0.0400671	0.0339142	343	0	343	7	49
HRNR	missense	0.5	0.237433	-0.0400671	0.0339142	343	0	343	7	49
HRNR	synonymous	0.01	0.2523585	-0.00668569	0.00584087	13373	38	13335	144	523
HRNR	synonymous	0.5	0.5912096	-0.00202166	0.00376414	1466230	5588	1460640	161	523
HRNR	pLoF;missense	0.01	0.5815824	-0.00449858	0.00816329	9562	27	9535	51	230
HRNR	pLoF;missense	0.5	0.5815824	-0.00449858	0.00816329	9562	27	9535	51	230
HRNR	missense;synonymous	0.01	0.1857025	-0.0076299	0.00576538	13714	38	13676	151	572
HRNR	missense;synonymous	0.5	0.5093059	-0.0024708	0.00374409	1466570	5588	1460980	168	572
HRNR	pLoF;missense;synonymous;other	0.01	0.2027263	-0.00607155	0.0047664	23005	65	22940	197	757
HRNR	pLoF;missense;synonymous;other	0.5	0.4102946	-0.00275673	0.00334809	1504580	5688	1498890	215	757
HRNR	Cauchy		0.421721							
FLG	pLoF	0.01	0.03062329	0.0143356	0.00663093	11166	52	11114	89	526
FLG	pLoF	0.5	0.3454567	0.00476143	0.00504689	23517	97	23420	91	526
FLG	missense	0.01	0.3908299	-0.0396416	0.0461963	206	0	206	4	31
FLG	missense	0.5	0.1726829	0.0131247	0.00962482	11964	41	11923	6	31
FLG	synonymous	0.01	0.07404766	0.00346518	0.00193984	98613	363	98250	351	1178
FLG	synonymous	0.5	0.06732228	0.00304873	0.00166641	1458420	5509	1452910	371	1178
FLG	pLoF;missense	0.01	0.04321884	0.0132805	0.00656934	11372	52	11320	93	557
FLG	pLoF;missense	0.5	0.1369426	0.00672483	0.00452158	35481	138	35343	97	557
FLG	missense;synonymous	0.01	0.07991269	0.00339458	0.00193844	98817	363	98454	355	1209
FLG	missense;synonymous	0.5	0.04753778	0.00316461	0.00159709	1470380	5550	1464830	377	1209
FLG	pLoF;missense;synonymous;other	0.01	0.02373104	0.00421141	0.00186225	110023	415	109608	446	1742
FLG	pLoF;missense;synonymous;other	0.5	0.02885659	0.00337703	0.00154524	1493940	5647	1488290	470	1742
FLG	Cauchy		0.0570653							
FLG2	pLoF	0.01	0.2984675	0.0165251	0.0158937	1673	9	1664	25	222
FLG2	pLoF	0.5	0.7976809	-0.00234781	0.00915863	118379	444	117935	27	222
FLG2	missense	0.01	0.1906105	-0.0251954	0.0192511	1644	2	1642	7	69
FLG2	missense	0.5	0.1906105	-0.0251954	0.0192511	1644	2	1642	7	69
FLG2	synonymous	0.01	0.1279258	0.00608489	0.00399708	32082	114	31968	104	541
FLG2	synonymous	0.5	0.4014779	0.00324409	0.00386668	266413	969	265444	108	541
