Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.7362081	-0.00127936	0.00379769	3605	147	3458	21	138
HRNR	pLoF	0.5	0.7362081	-0.00127936	0.00379769	3605	147	3458	21	138
HRNR	missense	0.01	0.6913165	0.0051848	0.0130577	154	13	141	3	34
HRNR	missense	0.5	0.6913165	0.0051848	0.0130577	154	13	141	3	34
HRNR	synonymous	0.01	0.7213165	-0.000875968	0.00245575	5480	313	5167	79	395
HRNR	synonymous	0.5	0.7610773	-0.000476622	0.00156749	599868	34564	565304	96	395
HRNR	pLoF;missense	0.01	0.8280933	-0.000792175	0.0036481	3759	160	3599	24	172
HRNR	pLoF;missense	0.5	0.8280933	-0.000792175	0.0036481	3759	160	3599	24	172
HRNR	missense;synonymous	0.01	0.7441972	-0.000790481	0.00242256	5631	325	5306	82	429
HRNR	missense;synonymous	0.5	0.7748896	-0.000445892	0.00155914	600019	34576	565443	99	429
HRNR	pLoF;missense;synonymous;other	0.01	0.6282218	-0.00100002	0.00206518	9272	474	8798	104	571
HRNR	pLoF;missense;synonymous;other	0.5	0.5099473	-0.000933246	0.00141633	615512	35199	580313	122	571
HRNR	Cauchy		0.736733							
FLG	pLoF	0.01	0.7406749	-0.000918054	0.00277392	4708	271	4437	42	358
FLG	pLoF	0.5	0.5793953	0.00113564	0.0020489	9883	716	9167	44	358
FLG	missense	0.01	0.1931629	0.0265107	0.0203728	91	7	84	2	26
FLG	missense	0.5	0.5921528	0.0020668	0.003858	5114	250	4864	4	26
FLG	synonymous	0.01	0.5673253	0.000463474	0.000810277	41543	2282	39261	217	865
FLG	synonymous	0.5	0.9566118	-3.78643e-05	0.00069596	597955	34475	563480	237	865
FLG	pLoF;missense	0.01	0.8773038	-0.000425275	0.00275458	4799	278	4521	44	384
FLG	pLoF;missense	0.5	0.453521	0.00137446	0.00183369	14997	966	14031	48	384
FLG	missense;synonymous	0.01	0.5318978	0.000506329	0.000809981	41633	2289	39344	219	891
