Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,NF1,pLoF,1.16554437189801,0.659016606005627,0.0769587242575301,249549,2937,246612,2,75,3.20766857263665,0.881522774778778,11.6720043613881
colorectal,NF1,missense,0.147965869218185,0.833586049357931,0.859111570897603,249549,2937,246612,1,108,1.15947332195665,0.226313795850503,5.94032891047111
colorectal,BRCA1,missense,1.28906105008822,0.38100665062972,0.000716194959764421,249549,2937,246612,7,184,3.62937715201694,1.71996120782986,7.65853232713465
colorectal,BRCA1,pLoF,0.490752638321362,0.644916768924527,0.446683947236196,249549,2937,246612,2,176,1.63354522613566,0.461505641060926,5.78209618347506
colorectal,HOXB13,missense,0.186470085233838,0.371171325440429,0.615398284152809,249549,2937,246612,7,487,1.20498857459509,0.582158608767285,2.49416128704047
colorectal,PPM1D,pLoF,0.308866732131347,0.551680404000133,0.575571297579536,249549,2937,246612,3,93,1.36188086344913,0.461899940350311,4.0154139981536
colorectal,TP53,missense,0.924500611938058,0.380527004667704,0.0151185410047461,249549,2937,246612,7,162,2.52060918386519,1.19563973788118,5.31386709264502
colorectal,SRSF2,missense,0.449334254899321,0.560344942916878,0.422617366907362,249549,2937,246612,3,58,1.56726843681018,0.522609027344271,4.70012997192891
NHL,NF1,missense,0.319571760413033,0.831484517125323,0.700727354953594,249125,2513,246612,1,108,1.37653814996807,0.269790931730095,7.02342834937531
NHL,BRCA1,missense,0.288107197624959,0.642628316562286,0.653917697639075,249125,2513,246612,2,184,1.33390028740225,0.378544683737949,4.700343323177
NHL,HOXB13,missense,0.761876981986743,0.301942752653549,0.0116275779903365,249125,2513,246612,11,487,2.1422934954423,1.18539975227668,3.87162340113532
NHL,PPM1D,pLoF,0.492255079403174,0.552915663614277,0.373310390012844,249125,2513,246612,3,93,1.63600137624078,0.55352978965386,4.83533235805689
NHL,TP53,pLoF,3.57367450178752,0.895331577905237,6.5669522043332e-05,249125,2513,246612,2,4,35.6473390024716,6.16480715106168,206.12693095165
NHL,TP53,missense,1.47274824491364,0.312226579676421,2.39440102519108e-06,249125,2513,246612,11,162,4.36120434403451,2.36504108463508,8.04218728122444
