Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.2114244	0.0105199	0.00841822	9227	35	9192	44	181
HRNR	pLoF	0.5	0.2114244	0.0105199	0.00841822	9227	35	9192	44	181
HRNR	missense	0.01	0.3056336	0.0318678	0.0311079	346	3	343	7	50
HRNR	missense	0.5	0.3056336	0.0318678	0.0311079	346	3	343	7	50
HRNR	synonymous	0.01	0.1189316	-0.00899017	0.00576561	13372	37	13335	143	526
HRNR	synonymous	0.5	0.8751954	0.000595399	0.00379083	1465850	5207	1460640	160	526
HRNR	pLoF;missense	0.01	0.1420976	0.0119275	0.00812484	9573	38	9535	51	231
HRNR	pLoF;missense	0.5	0.1420976	0.0119275	0.00812484	9573	38	9535	51	231
HRNR	missense;synonymous	0.01	0.1357443	-0.00847146	0.00567858	13715	39	13676	150	576
HRNR	missense;synonymous	0.5	0.8530804	0.000697558	0.00376673	1466190	5209	1460980	167	576
HRNR	pLoF;missense;synonymous;other	0.01	0.5687182	-0.00269313	0.00472529	23014	74	22940	196	761
HRNR	pLoF;missense;synonymous;other	0.5	0.5635091	0.00194995	0.00337573	1504200	5312	1498890	214	761
HRNR	Cauchy		0.312206							
FLG	pLoF	0.01	0.2297084	-0.00780986	0.0065022	11146	32	11114	89	524
FLG	pLoF	0.5	0.4757449	-0.00341288	0.00478555	23517	97	23420	91	524
FLG	missense	0.01	0.384711	-0.0398035	0.0457907	206	0	206	4	31
FLG	missense	0.5	0.6019607	-0.00523853	0.0100435	11951	28	11923	6	31
FLG	synonymous	0.01	0.8250008	0.000443	0.00200346	98572	322	98250	352	1175
FLG	synonymous	0.5	0.5257346	0.00106255	0.00167455	1458040	5127	1452910	372	1175
FLG	pLoF;missense	0.01	0.1901394	-0.00844229	0.00644368	11352	32	11320	93	555
FLG	pLoF;missense	0.5	0.3816514	-0.00381589	0.00436173	35468	125	35343	97	555
FLG	missense;synonymous	0.01	0.8520245	0.000373426	0.0020019	98776	322	98454	356	1206
FLG	missense;synonymous	0.5	0.5965816	0.000852168	0.00160992	1469980	5155	1464830	378	1206
FLG	pLoF;missense;synonymous;other	0.01	0.8560615	-0.00034612	0.00190815	109962	354	109608	447	1737
FLG	pLoF;missense;synonymous;other	0.5	0.7850785	0.000421959	0.0015473	1493540	5252	1488290	471	1737
FLG	Cauchy		0.607341							
FLG2	pLoF	0.01	0.3184273	-0.0154842	0.01552	1668	4	1664	25	222
FLG2	pLoF	0.5	0.1969075	-0.0117122	0.00907629	118346	411	117935	27	222
FLG2	missense	0.01	0.2217299	-0.0240744	0.0197018	1644	2	1642	7	69
FLG2	missense	0.5	0.2217299	-0.0240744	0.0197018	1644	2	1642	7	69
FLG2	synonymous	0.01	0.3977985	0.00341655	0.00404058	32073	105	31968	104	542
FLG2	synonymous	0.5	0.5178317	0.00253451	0.00391919	266356	912	265444	108	542
FLG2	pLoF;missense	0.01	0.1231776	-0.0188791	0.0122466	3312	6	3306	32	291
FLG2	pLoF;missense	0.5	0.09219522	-0.013916	0.00826402	119990	413	119577	34	291
FLG2	missense;synonymous	0.01	0.5579958	0.00233359	0.00398345	33717	107	33610	111	611
FLG2	missense;synonymous	0.5	0.6898536	0.00154902	0.00388173	268000	914	267086	115	611
FLG2	pLoF;missense;synonymous;other	0.01	0.7494103	0.00122845	0.0038459	35376	111	35265	136	835
FLG2	pLoF;missense;synonymous;other	0.5	0.8889062	-0.000499099	0.00357294	386337	1325	385012	142	835
FLG2	Cauchy		0.354206							
RPTN	pLoF	0.01	0.2235081	-0.0226173	0.0185806	1425	2	1423	21	100
RPTN	pLoF	0.5	0.2217339	-0.022706	0.018582	123525	471	123054	22	100
RPTN	missense	0.01	0.8145219	-0.00418051	0.01782	1151	5	1146	5	40
RPTN	missense	0.5	0.8145219	-0.00418051	0.01782	1151	5	1146	5	40
RPTN	synonymous	0.01	0.05821803	-0.0329782	0.0174115	1981	1	1980	24	153
RPTN	synonymous	0.5	0.03431355	-0.0198221	0.00936611	7296	17	7279	25	153
RPTN	pLoF;missense	0.01	0.3123724	-0.0130043	0.0128723	2576	7	2569	26	140
RPTN	pLoF;missense	0.5	0.3108002	-0.0130481	0.0128737	124676	476	124200	27	140
RPTN	missense;synonymous	0.01	0.1317171	-0.0188537	0.0125077	3126	6	3120	29	193
RPTN	missense;synonymous	0.5	0.04900513	-0.0164149	0.00833858	8441	22	8419	30	193
RPTN	pLoF;missense;synonymous;other	0.01	0.05295373	-0.0201182	0.0103954	4557	8	4549	50	297
RPTN	pLoF;missense;synonymous;other	0.5	0.02112764	-0.0175516	0.00761228	131972	493	131479	52	297
RPTN	Cauchy		0.0828556							
CRNN	pLoF	0.01	0.7974448	-0.00762462	0.0297076	308	1	307	6	51
CRNN	pLoF	0.5	0.7974448	-0.00762462	0.0297076	308	1	307	6	51
CRNN	missense	0.01	0.5377046	-0.0142843	0.0231779	954	2	952	11	72
CRNN	missense	0.5	0.5377046	-0.0142843	0.0231779	954	2	952	11	72
CRNN	synonymous	0.01	0.07323531	0.0221362	0.0123572	3405	17	3388	26	129
CRNN	synonymous	0.5	0.5909678	0.00548279	0.0102018	24985	61	24924	27	129
CRNN	pLoF;missense	0.01	0.5181116	-0.0118321	0.0183086	1259	3	1256	17	123
CRNN	pLoF;missense	0.5	0.5181116	-0.0118321	0.0183086	1259	3	1256	17	123
CRNN	missense;synonymous	0.01	0.1989351	0.0140471	0.0109351	4359	19	4340	37	201
CRNN	missense;synonymous	0.5	0.8129724	0.00222221	0.00939255	25939	63	25876	38	201
CRNN	pLoF;missense;synonymous;other	0.01	0.05772915	0.0190706	0.0100491	4841	24	4817	45	253
