Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.5973221	-0.0086662	0.0164053	187	3	184	3	34
ATAD3A	pLoF	0.5	0.5973221	-0.0086662	0.0164053	187	3	184	3	34
ATAD3A	missense	0.01	0.3035368	-0.00297835	0.00289476	9950	195	9755	59	228
ATAD3A	missense	0.5	0.7487814	0.000742571	0.00231875	34226	603	33623	61	228
ATAD3A	synonymous	0.01	0.1743086	0.00266651	0.00196285	23419	432	22987	64	142
ATAD3A	synonymous	0.5	0.07917418	0.00333036	0.0018971	115792	1973	113819	66	142
ATAD3A	pLoF;missense	0.01	0.2718238	-0.00312927	0.00284771	10134	198	9936	62	262
ATAD3A	pLoF;missense	0.5	0.8051126	0.000565469	0.0022918	34410	606	33804	64	262
ATAD3A	missense;synonymous	0.01	0.5831195	0.000886236	0.00161476	33366	627	32739	123	370
ATAD3A	missense;synonymous	0.5	0.1237746	0.0022208	0.0014429	150015	2576	147439	127	370
ATAD3A	pLoF;missense;synonymous;other	0.01	0.542008	0.00097764	0.00160327	33675	635	33040	129	422
ATAD3A	pLoF;missense;synonymous;other	0.5	0.1123379	0.00227707	0.00143413	150324	2584	147740	133	422
ATAD3A	Cauchy		0.297451							
FLG	pLoF	0.01	0.623441	0.00142446	0.00290126	10516	218	10298	99	335
FLG	pLoF	0.5	0.01980272	0.00474423	0.00203609	39742	941	38801	101	335
FLG	missense	0.01	0.1134559	0.0246909	0.015599	1807	11	1796	8	28
FLG	missense	0.5	0.1134559	0.0246909	0.015599	1807	11	1796	8	28
FLG	synonymous	0.01	0.8455121	-0.000228492	0.00117267	77944	1076	76868	403	1135
FLG	synonymous	0.5	0.5980383	-0.000385236	0.000730688	1632920	30976	1601950	424	1135
FLG	pLoF;missense	0.01	0.4405305	0.00220145	0.00285422	12323	229	12094	107	363
FLG	pLoF;missense	0.5	0.0118916	0.00508145	0.00202018	41549	952	40597	109	363
FLG	missense;synonymous	0.01	0.9387394	-8.96437e-05	0.00116641	79749	1087	78662	411	1163
FLG	missense;synonymous	0.5	0.6505711	-0.000330257	0.000729094	1634730	30987	1603740	432	1163
FLG	pLoF;missense;synonymous;other	0.01	0.9270271	9.95978e-05	0.00108748	90298	1305	88993	511	1501
FLG	pLoF;missense;synonymous;other	0.5	0.7270327	0.000241753	0.000692553	1674500	31928	1642580	534	1501
FLG	Cauchy		0.10527							
FLG2	pLoF	0.01	0.745677	-0.00211326	0.00651549	1826	36	1790	26	114
FLG2	pLoF	0.5	0.6622443	-0.00280428	0.0064198	103235	2029	101206	27	114
FLG2	missense	0.01	0.245992	0.0203751	0.0175626	455	8	447	10	49
FLG2	missense	0.5	0.245992	0.0203751	0.0175626	455	8	447	10	49
FLG2	synonymous	0.01	0.8524774	0.000173531	0.000933172	42410	695	41715	145	450
FLG2	synonymous	0.5	0.6906405	0.000259676	0.000652475	426667	8273	418394	153	450
FLG2	pLoF;missense	0.01	0.91468	0.000655498	0.00611829	2278	44	2234	36	163
FLG2	pLoF;missense	0.5	0.996384	-2.73669e-05	0.0060386	103687	2037	101650	37	163
FLG2	missense;synonymous	0.01	0.8040659	0.000231141	0.000931689	42862	703	42159	155	499
FLG2	missense;synonymous	0.5	0.65897	0.00028772	0.000651931	427119	8281	418838	163	499
FLG2	pLoF;missense;synonymous;other	0.01	0.8476111	0.000174833	0.000909794	44697	739	43958	181	618
FLG2	pLoF;missense;synonymous;other	0.5	0.699504	0.000246813	0.00063943	530363	10310	520053	190	618
FLG2	Cauchy		0.961388							
PIP5K1A	pLoF	0.01	0.4696991	0.0208109	0.0287854	85	3	82	1	27
PIP5K1A	pLoF	0.5	0.4696991	0.0208109	0.0287854	85	3	82	1	27
PIP5K1A	missense	0.01	0.1772727	-0.0136105	0.0100879	1318	11	1307	16	162
PIP5K1A	missense	0.5	0.1772727	-0.0136105	0.0100879	1318	11	1307	16	162
PIP5K1A	synonymous	0.01	0.9025128	-0.000477956	0.00390207	5998	120	5878	22	121
PIP5K1A	synonymous	0.5	0.8273426	-0.000606099	0.00277885	214619	4496	210123	24	121
PIP5K1A	pLoF;missense	0.01	0.2994844	-0.00989678	0.0095387	1403	14	1389	17	189
PIP5K1A	pLoF;missense	0.5	0.2994844	-0.00989678	0.0095387	1403	14	1389	17	189
PIP5K1A	missense;synonymous	0.01	0.5625744	-0.00209445	0.00361721	7311	131	7180	38	283
PIP5K1A	missense;synonymous	0.5	0.5800062	-0.00147811	0.00267108	215932	4507	211425	40	283
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.6663638	-0.00154019	0.00357233	7471	136	7335	40	326
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.6562025	-0.00118106	0.00265311	216092	4512	211580	42	326
PIP5K1A	Cauchy		0.540285							
TUFT1	pLoF	0.01	0.138452	0.0371177	0.0250528	131	5	126	2	24
TUFT1	pLoF	0.5	0.138452	0.0371177	0.0250528	131	5	126	2	24
TUFT1	missense	0.01	0.2942187	-0.00679556	0.00647868	3009	34	2975	16	98
TUFT1	missense	0.5	0.2942187	-0.00679556	0.00647868	3009	34	2975	16	98
TUFT1	synonymous	0.01	0.9874453	-0.000259485	0.0164903	621	6	615	12	59
