Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
RGS22	pLoF	0.01	4.817123E-01	-0.00130328	0.00185243	3399	623	2776	15	117
RGS22	pLoF	0.500000	4.817123E-01	-0.00130328	0.00185243	3399	623	2776	15	117
RGS22	missense	0.01	6.408556E-01	0.000571432	0.00122493	9081	1490	7591	52	294
RGS22	missense	0.500000	6.408556E-01	0.000571432	0.00122493	9081	1490	7591	52	294
RGS22	synonymous	0.01	4.947049E-01	0.00141016	0.00206513	4141	518	3623	31	206
RGS22	synonymous	0.5	6.118256E-04	-0.00326658	0.000953378	52285	9109	43176	33	206
RGS22	pLoF;missense	0.01	9.979622E-01	2.60962e-06	0.00102179	12480	2113	10367	67	411
RGS22	pLoF;missense	0.500000	9.979622E-01	2.60962e-06	0.00102179	12480	2113	10367	67	411
RGS22	missense;synonymous	0.01	4.514710E-01	0.000800162	0.00106268	13221	2008	11213	83	500
RGS22	missense;synonymous	0.5	1.371423E-02	-0.00186582	0.000757028	61365	10599	50766	85	500
RGS22	pLoF;missense;synonymous;other	0.01	7.539959E-01	0.000286088	0.000912925	16933	2684	14249	101	644
RGS22	pLoF;missense;synonymous;other	0.5	1.159142E-02	-0.00175983	0.000697145	65077	11275	53802	103	644
RGS22	Cauchy	NA	0.0148625	NA	NA	NA	NA	NA	NA	NA
FBXO43	pLoF	0.01	9.744702E-01	-0.00028869	0.0090209	148	25	123	5	25
FBXO43	pLoF	0.500000	9.744702E-01	-0.00028869	0.0090209	148	25	123	5	25
FBXO43	missense	0.01	2.672691E-01	0.00226045	0.00203759	6279	651	5628	23	114
FBXO43	missense	0.500000	2.672691E-01	0.00226045	0.00203759	6279	651	5628	23	114
FBXO43	synonymous	0.01	2.327288E-01	-0.00355453	0.0029786	1801	216	1585	22	130
FBXO43	synonymous	0.5	2.327170E-01	-0.00355462	0.0029786	356216	66426	289790	23	130
FBXO43	pLoF;missense	0.01	2.815839E-01	0.0021425	0.00198975	6427	676	5751	28	139
FBXO43	pLoF;missense	0.500000	2.815839E-01	0.0021425	0.00198975	6427	676	5751	28	139
FBXO43	missense;synonymous	0.01	8.103090E-01	0.000400307	0.00166775	8080	867	7213	45	244
FBXO43	missense;synonymous	0.5	8.103220E-01	0.000400279	0.00166776	362495	67077	295418	46	244
FBXO43	pLoF;missense;synonymous;other	0.01	7.876829E-01	0.000441454	0.00163914	8247	896	7351	50	273
FBXO43	pLoF;missense;synonymous;other	0.5	7.876956E-01	0.000441428	0.00163914	362662	67106	295556	51	273
FBXO43	Cauchy	NA	0.856098	NA	NA	NA	NA	NA	NA	NA
POLR2K	pLoF	0.01	2.504505E-01	0.014956	0.0130136	62	16	46	2	3
POLR2K	pLoF	0.500000	2.504505E-01	0.014956	0.0130136	62	16	46	2	3
POLR2K	missense	0.01	9.333069E-03	0.0207517	0.00798262	136	38	98	3	18
POLR2K	missense	0.500000	9.333069E-03	0.0207517	0.00798262	136	38	98	3	18
POLR2K	synonymous	0.01	8.773538E-01	0.00117055	0.00758496	178	38	140	2	9
POLR2K	synonymous	0.500000	8.773538E-01	0.00117055	0.00758496	178	38	140	2	9
POLR2K	pLoF;missense	0.01	5.244484E-03	0.0185672	0.00665105	198	54	144	5	21
POLR2K	pLoF;missense	0.500000	5.244484E-03	0.0185672	0.00665105	198	54	144	5	21
POLR2K	missense;synonymous	0.01	6.828122E-02	0.0105694	0.00579732	313	76	237	5	27
POLR2K	missense;synonymous	0.500000	6.828122E-02	0.0105694	0.00579732	313	76	237	5	27
POLR2K	pLoF;missense;synonymous;other	0.01	3.916660E-02	0.0108776	0.00527416	379	92	287	7	32
POLR2K	pLoF;missense;synonymous;other	0.500000	3.916660E-02	0.0108776	0.00527416	379	92	287	7	32
POLR2K	Cauchy	NA	0.0179997	NA	NA	NA	NA	NA	NA	NA
SPAG1	pLoF	0.01	4.834955E-01	0.00375033	0.00535233	425	78	347	9	73
SPAG1	pLoF	0.5	7.087177E-01	0.00198935	0.00532511	156231	29014	127217	10	73
SPAG1	missense	0.01	5.197082E-01	0.00132096	0.00205184	3205	515	2690	32	191
SPAG1	missense	0.500000	5.197082E-01	0.00132096	0.00205184	3205	515	2690	32	191
SPAG1	synonymous	0.01	9.941954E-01	9.84733e-06	0.00135358	9055	1302	7753	42	140
SPAG1	synonymous	0.5	9.926103E-01	1.25367e-05	0.0013536	571494	110288	461206	44	140
SPAG1	pLoF;missense	0.01	3.882048E-01	0.00165597	0.00191912	3626	593	3033	41	264
SPAG1	pLoF;missense	0.5	4.563641E-01	0.00142672	0.00191546	159432	29529	129903	42	264
SPAG1	missense;synonymous	0.01	7.165999E-01	0.000411442	0.00113343	12259	1817	10442	74	331
SPAG1	missense;synonymous	0.5	7.153551E-01	0.000413335	0.00113344	574698	110803	463895	76	331
SPAG1	pLoF;missense;synonymous;other	0.01	4.475256E-01	0.000828071	0.00109022	13235	1966	11269	87	418
SPAG1	pLoF;missense;synonymous;other	0.5	4.872321E-01	0.000757189	0.00108992	731480	139888	591592	90	418
SPAG1	Cauchy	NA	0.961849	NA	NA	NA	NA	NA	NA	NA
RNF19A	pLoF	0.01	3.401251E-01	-0.00627883	0.00658215	274	42	232	3	40
RNF19A	pLoF	0.500000	3.401251E-01	-0.00627883	0.00658215	274	42	232	3	40
RNF19A	missense	0.01	2.130147E-01	0.00215841	0.00173322	3988	745	3243	52	283
RNF19A	missense	0.500000	2.130147E-01	0.00215841	0.00173322	3988	745	3243	52	283
RNF19A	synonymous	0.01	1.072059E-01	-0.00450766	0.00279826	1737	240	1497	27	152
RNF19A	synonymous	0.500000	1.072059E-01	-0.00450766	0.00279826	1737	240	1497	27	152
RNF19A	pLoF;missense	0.01	3.258649E-01	0.00164894	0.00167835	4258	787	3471	55	323
RNF19A	pLoF;missense	0.500000	3.258649E-01	0.00164894	0.00167835	4258	787	3471	55	323
RNF19A	missense;synonymous	0.01	9.433246E-01	0.000105221	0.00148006	5713	979	4734	79	435
RNF19A	missense;synonymous	0.500000	9.433246E-01	0.000105221	0.00148006	5713	979	4734	79	435
RNF19A	pLoF;missense;synonymous;other	0.01	9.120218E-01	-0.000158843	0.00143764	6016	1028	4988	84	479
RNF19A	pLoF;missense;synonymous;other	0.500000	9.120218E-01	-0.000158843	0.00143764	6016	1028	4988	84	479
RNF19A	Cauchy	NA	0.679849	NA	NA	NA	NA	NA	NA	NA
ANKRD46	pLoF	0.01	6.587621E-01	-0.0106401	0.0240932	16	3	13	0	9
ANKRD46	pLoF	0.500000	6.587621E-01	-0.0106401	0.0240932	16	3	13	0	9
ANKRD46	missense	0.01	4.853044E-01	0.00287241	0.00411641	751	129	622	12	62
ANKRD46	missense	0.500000	4.853044E-01	0.00287241	0.00411641	751	129	622	12	62
ANKRD46	synonymous	0.01	9.640100E-01	-0.000285139	0.00631928	346	50	296	7	38
ANKRD46	synonymous	0.5	6.461865E-01	-0.00102494	0.00223265	51242	9784	41458	8	38
ANKRD46	pLoF;missense	0.01	5.390663E-01	0.002493	0.00405877	767	132	635	12	71
ANKRD46	pLoF;missense	0.500000	5.390663E-01	0.002493	0.00405877	767	132	635	12	71
ANKRD46	missense;synonymous	0.01	5.755551E-01	0.00193457	0.00345527	1097	179	918	19	100
ANKRD46	missense;synonymous	0.5	9.432632E-01	-0.000139014	0.0019533	51993	9913	42080	20	100
