Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
SLC35A3	pLoF	0.01	3.551858E-01	-0.0146084	0.0158001	48	6	42	0	14
SLC35A3	pLoF	0.500000	3.551858E-01	-0.0146084	0.0158001	48	6	42	0	14
SLC35A3	missense	0.01	4.592857E-01	-0.00297288	0.00401728	695	124	571	5	97
SLC35A3	missense	0.500000	4.592857E-01	-0.00297288	0.00401728	695	124	571	5	97
SLC35A3	synonymous	0.01	2.938287E-01	0.00280612	0.00267311	1590	315	1275	17	68
SLC35A3	synonymous	0.5	3.801907E-01	0.00232346	0.00264768	123645	22739	100906	18	68
SLC35A3	pLoF;missense	0.01	3.446948E-01	-0.00368294	0.00389758	743	130	613	5	111
SLC35A3	pLoF;missense	0.500000	3.446948E-01	-0.00368294	0.00389758	743	130	613	5	111
SLC35A3	missense;synonymous	0.01	6.427468E-01	0.00103464	0.00223049	2285	439	1846	22	165
SLC35A3	missense;synonymous	0.5	7.450753E-01	0.000720663	0.00221647	124340	22863	101477	23	165
SLC35A3	pLoF;missense;synonymous;other	0.01	7.460324E-01	0.000713385	0.00220265	2348	448	1900	22	184
SLC35A3	pLoF;missense;synonymous;other	0.5	8.510612E-01	0.000411063	0.00218924	124403	22872	101531	23	184
SLC35A3	Cauchy	NA	0.525309	NA	NA	NA	NA	NA	NA	NA
MFSD14A	pLoF	0.01	8.230058E-01	0.00305025	0.0136366	60	12	48	1	31
MFSD14A	pLoF	0.500000	8.230058E-01	0.00305025	0.0136366	60	12	48	1	31
MFSD14A	missense	0.01	6.302368E-01	0.0014295	0.00296951	1251	247	1004	14	151
MFSD14A	missense	0.500000	6.302368E-01	0.0014295	0.00296951	1251	247	1004	14	151
MFSD14A	synonymous	0.01	4.226490E-02	-0.00610542	0.00300626	1286	205	1081	22	89
MFSD14A	synonymous	0.5	3.880085E-01	-0.00129954	0.00150543	37210	7011	30199	23	89
MFSD14A	pLoF;missense	0.01	5.806239E-01	0.00160585	0.00290666	1309	259	1050	15	182
MFSD14A	pLoF;missense	0.500000	5.806239E-01	0.00160585	0.00290666	1309	259	1050	15	182
MFSD14A	missense;synonymous	0.01	2.792178E-01	-0.00229285	0.00211893	2537	452	2085	36	240
MFSD14A	missense;synonymous	0.5	5.819288E-01	-0.000741465	0.00134672	38461	7258	31203	37	240
MFSD14A	pLoF;missense;synonymous;other	0.01	3.540450E-01	-0.00192793	0.00208026	2643	473	2170	37	289
MFSD14A	pLoF;missense;synonymous;other	0.5	6.459698E-01	-0.00061404	0.0013367	38567	7279	31288	38	289
MFSD14A	Cauchy	NA	0.401923	NA	NA	NA	NA	NA	NA	NA
RBP7	pLoF	0.01	4.750308E-01	-0.00917187	0.0128401	76	10	66	2	11
RBP7	pLoF	0.500000	4.750308E-01	-0.00917187	0.0128401	76	10	66	2	11
RBP7	missense	0.01	9.658040E-01	-9.54341e-05	0.00222605	2415	463	1952	6	38
RBP7	missense	0.500000	9.658040E-01	-9.54341e-05	0.00222605	2415	463	1952	6	38
RBP7	synonymous	0.01	6.437895E-01	0.00200974	0.00434626	591	116	475	9	22
RBP7	synonymous	0.500000	6.437895E-01	0.00200974	0.00434626	591	116	475	9	22
RBP7	pLoF;missense	0.01	8.695779E-01	-0.000360164	0.00219352	2491	473	2018	8	49
RBP7	pLoF;missense	0.500000	8.695779E-01	-0.000360164	0.00219352	2491	473	2018	8	49
RBP7	missense;synonymous	0.01	8.624604E-01	0.000343274	0.00198146	3006	579	2427	15	60
RBP7	missense;synonymous	0.500000	8.624604E-01	0.000343274	0.00198146	3006	579	2427	15	60
RBP7	pLoF;missense;synonymous;other	0.01	9.596500E-01	9.89835e-05	0.00195648	3087	590	2497	17	73
RBP7	pLoF;missense;synonymous;other	0.500000	9.596500E-01	9.89835e-05	0.00195648	3087	590	2497	17	73
RBP7	Cauchy	NA	0.915236	NA	NA	NA	NA	NA	NA	NA
SASS6	pLoF	0.01	8.935990E-01	-0.000641402	0.00479547	477	90	387	4	46
SASS6	pLoF	0.500000	8.935990E-01	-0.000641402	0.00479547	477	90	387	4	46
SASS6	missense	0.01	5.573328E-01	0.00184616	0.0031461	1309	215	1094	28	153
SASS6	missense	0.500000	5.573328E-01	0.00184616	0.0031461	1309	215	1094	28	153
SASS6	synonymous	0.01	6.597424E-01	-0.000488866	0.00111038	13501	2319	11182	18	123
SASS6	synonymous	0.500000	6.597424E-01	-0.000488866	0.00111038	13501	2319	11182	18	123
SASS6	pLoF;missense	0.01	6.742103E-01	0.00110832	0.00263649	1786	305	1481	32	199
SASS6	pLoF;missense	0.500000	6.742103E-01	0.00110832	0.00263649	1786	305	1481	32	199
SASS6	missense;synonymous	0.01	8.310337E-01	-0.000224398	0.00105165	14800	2532	12268	46	276
SASS6	missense;synonymous	0.500000	8.310337E-01	-0.000224398	0.00105165	14800	2532	12268	46	276
SASS6	pLoF;missense;synonymous;other	0.01	8.950542E-01	-0.000134518	0.00101976	15498	2662	12836	53	344
SASS6	pLoF;missense;synonymous;other	0.500000	8.950542E-01	-0.000134518	0.00101976	15498	2662	12836	53	344
SASS6	Cauchy	NA	0.810279	NA	NA	NA	NA	NA	NA	NA
TRMT13	pLoF	0.01	1.623579E-01	0.00707773	0.0050657	436	93	343	5	27
TRMT13	pLoF	0.500000	1.623579E-01	0.00707773	0.0050657	436	93	343	5	27
TRMT13	missense	0.01	5.014829E-01	0.00229424	0.00341325	951	189	762	17	127
TRMT13	missense	0.5	8.704846E-01	0.000529153	0.00324548	248602	45217	203385	19	127
TRMT13	synonymous	0.01	9.644608E-01	-0.000109182	0.00245042	1958	365	1593	14	95
TRMT13	synonymous	0.5	9.166198E-01	0.000139312	0.00133068	37826	7124	30702	15	95
TRMT13	pLoF;missense	0.01	1.748290E-01	0.00384793	0.00283593	1385	282	1103	22	154
TRMT13	pLoF;missense	0.5	3.631503E-01	0.00249267	0.00274107	249036	45310	203726	24	154
TRMT13	missense;synonymous	0.01	7.699393E-01	0.000583847	0.00199637	2906	552	2354	31	222
TRMT13	missense;synonymous	0.5	9.094284E-01	0.00013388	0.00117687	286425	52339	234086	34	222
TRMT13	pLoF;missense;synonymous;other	0.01	3.573788E-01	0.00169589	0.00184262	3407	660	2747	38	260
TRMT13	pLoF;missense;synonymous;other	0.5	6.068667E-01	0.000588806	0.00114431	286926	52447	234479	41	260
TRMT13	Cauchy	NA	0.77135	NA	NA	NA	NA	NA	NA	NA
LRRC39	pLoF	0.01	3.567405E-01	0.00250126	0.00271406	2971	328	2643	9	25
LRRC39	pLoF	0.500000	3.567405E-01	0.00250126	0.00271406	2971	328	2643	9	25
LRRC39	missense	0.01	6.849239E-02	0.00458084	0.00251452	1982	358	1624	20	91
LRRC39	missense	0.500000	6.849239E-02	0.00458084	0.00251452	1982	358	1624	20	91
LRRC39	synonymous	0.01	3.537778E-01	0.00389254	0.00419778	901	122	779	12	47
LRRC39	synonymous	0.5	9.228871E-01	0.0001333	0.0013771	9797	1847	7950	13	47
LRRC39	pLoF;missense	0.01	7.198349E-02	0.00304494	0.00169236	4953	686	4267	29	116
LRRC39	pLoF;missense	0.500000	7.198349E-02	0.00304494	0.00169236	4953	686	4267	29	116
LRRC39	missense;synonymous	0.01	4.013835E-02	0.00444281	0.00216477	2881	480	2401	32	138
LRRC39	missense;synonymous	0.5	3.342107E-01	0.0011697	0.00121129	11777	2205	9572	33	138
LRRC39	pLoF;missense;synonymous;other	0.01	3.920494E-02	0.00326053	0.00158122	5861	810	5051	41	169
LRRC39	pLoF;missense;synonymous;other	0.5	2.152651E-01	0.00133104	0.0010741	14757	2535	12222	42	169
LRRC39	Cauchy	NA	0.110882	NA	NA	NA	NA	NA	NA	NA
DBT	pLoF	0.01	4.908855E-01	0.00387633	0.00562683	343	72	271	2	47
DBT	pLoF	0.500000	4.908855E-01	0.00387633	0.00562683	343	72	271	2	47
DBT	missense	0.01	1.334977E-01	-0.0026577	0.00177127	3931	710	3221	28	138
DBT	missense	0.500000	1.334977E-01	-0.0026577	0.00177127	3931	710	3221	28	138
DBT	synonymous	0.01	6.191326E-01	-0.000889023	0.00178849	3783	711	3072	14	81
DBT	synonymous	0.500000	6.191326E-01	-0.000889023	0.00178849	3783	711	3072	14	81
DBT	pLoF;missense	0.01	2.234509E-01	-0.00205863	0.001691	4273	782	3491	30	185
DBT	pLoF;missense	0.500000	2.234509E-01	-0.00205863	0.001691	4273	782	3491	30	185
DBT	missense;synonymous	0.01	1.587118E-01	-0.00176421	0.00125173	7714	1421	6293	42	219
DBT	missense;synonymous	0.500000	1.587118E-01	-0.00176421	0.00125173	7714	1421	6293	42	219
DBT	pLoF;missense;synonymous;other	0.01	2.027880E-01	-0.0015568	0.00122232	8067	1493	6574	44	277
DBT	pLoF;missense;synonymous;other	0.500000	2.027880E-01	-0.0015568	0.00122232	8067	1493	6574	44	277
DBT	Cauchy	NA	0.243527	NA	NA	NA	NA	NA	NA	NA
RTCA	pLoF	0.01	1.607140E-01	0.0159145	0.0113458	92	21	71	2	23
RTCA	pLoF	0.500000	1.607140E-01	0.0159145	0.0113458	92	21	71	2	23
RTCA	missense	0.01	5.320888E-01	0.000884668	0.00141588	6730	1286	5444	26	135
RTCA	missense	0.500000	5.320888E-01	0.000884668	0.00141588	6730	1286	5444	26	135
RTCA	synonymous	0.01	7.590316E-01	0.0011384	0.00371112	899	155	744	11	67
RTCA	synonymous	0.5	6.939444E-01	-0.000384287	0.000976567	21896	4187	17709	13	67
RTCA	pLoF;missense	0.01	4.279034E-01	0.00111441	0.00140569	6822	1307	5515	28	158
RTCA	pLoF;missense	0.500000	4.279034E-01	0.00111441	0.00140569	6822	1307	5515	28	158
RTCA	missense;synonymous	0.01	4.811236E-01	0.000933663	0.00132529	7628	1441	6187	37	202
RTCA	missense;synonymous	0.5	9.703056E-01	3.01431e-05	0.000809755	28625	5473	23152	39	202
RTCA	pLoF;missense;synonymous;other	0.01	4.340057E-01	0.0010267	0.00131232	7776	1469	6307	39	246
RTCA	pLoF;missense;synonymous;other	0.5	9.289452E-01	7.19257e-05	0.000806595	28773	5501	23272	41	246
RTCA	Cauchy	NA	0.759053	NA	NA	NA	NA	NA	NA	NA
UBE4B	pLoF	0.01	6.652107E-01	0.00145563	0.00336383	1020	201	819	1	13
UBE4B	pLoF	0.500000	6.652107E-01	0.00145563	0.00336383	1020	201	819	1	13
UBE4B	missense	0.01	9.206412E-01	0.000118837	0.00119283	10717	2009	8708	47	401
UBE4B	missense	0.5	4.585123E-01	0.000678922	0.000915854	26699	4896	21803	48	401
UBE4B	synonymous	0.01	1.832134E-01	0.00193783	0.001456	6211	1032	5179	68	258
UBE4B	synonymous	0.5	6.668054E-01	-0.000346074	0.000803819	155175	27256	127919	71	258
UBE4B	pLoF;missense	0.01	7.930075E-01	0.000295606	0.00112652	11733	2210	9523	48	414
UBE4B	pLoF;missense	0.5	3.958106E-01	0.000751981	0.000885593	27715	5097	22618	49	414
UBE4B	missense;synonymous	0.01	3.515235E-01	0.000862029	0.000925283	16925	3041	13884	115	659
UBE4B	missense;synonymous	0.5	8.634471E-01	0.000104506	0.000607639	181871	32152	149719	119	659
UBE4B	pLoF;missense;synonymous;other	0.01	6.338672E-01	0.000410059	0.000860942	19004	3429	15575	120	697
UBE4B	pLoF;missense;synonymous;other	0.5	9.211171E-01	-5.74793e-05	0.000580443	183950	32540	151410	124	697
UBE4B	Cauchy	NA	0.736647	NA	NA	NA	NA	NA	NA	NA
CDC14A	pLoF	0.01	2.553826E-01	0.00872707	0.00767301	178	42	136	4	34
CDC14A	pLoF	0.500000	2.553826E-01	0.00872707	0.00767301	178	42	136	4	34
CDC14A	missense	0.01	5.322155E-01	0.000808922	0.00129505	7577	1436	6141	35	186
CDC14A	missense	0.500000	5.322155E-01	0.000808922	0.00129505	7577	1436	6141	35	186
CDC14A	synonymous	0.01	3.037708E-01	-0.000957293	0.000930874	16258	2209	14049	32	109
CDC14A	synonymous	0.5	1.848211E-01	-0.00121073	0.00091303	113611	20357	93254	33	109
CDC14A	pLoF;missense	0.01	4.197245E-01	0.00103114	0.0012779	7753	1478	6275	39	220
CDC14A	pLoF;missense	0.500000	4.197245E-01	0.00103114	0.0012779	7753	1478	6275	39	220
CDC14A	missense;synonymous	0.01	6.392421E-01	-0.000354476	0.000756201	23835	3645	20190	67	295
CDC14A	missense;synonymous	0.5	4.697148E-01	-0.000540199	0.000747222	121188	21793	99395	68	295
CDC14A	pLoF;missense;synonymous;other	0.01	6.783892E-01	-0.00030968	0.000746825	24379	3746	20633	73	366
CDC14A	pLoF;missense;synonymous;other	0.5	5.050677E-01	-0.000492075	0.000738256	121732	21894	99838	74	366
CDC14A	Cauchy	NA	0.410574	NA	NA	NA	NA	NA	NA	NA
GPR88	pLoF	0.01	4.808168E-02	0.0201547	0.0101964	107	28	79	3	17
GPR88	pLoF	0.500000	4.808168E-02	0.0201547	0.0101964	107	28	79	3	17
GPR88	missense	0.01	3.719209E-01	0.00392606	0.00439708	577	116	461	13	153
GPR88	missense	0.500000	3.719209E-01	0.00392606	0.00439708	577	116	461	13	153
GPR88	synonymous	0.01	9.424394E-01	0.000110294	0.00152753	5636	1075	4561	28	139
GPR88	synonymous	0.500000	9.424394E-01	0.000110294	0.00152753	5636	1075	4561	28	139
GPR88	pLoF;missense	0.01	1.099198E-01	0.00644151	0.00402959	684	144	540	16	170
GPR88	pLoF;missense	0.500000	1.099198E-01	0.00644151	0.00402959	684	144	540	16	170
GPR88	missense;synonymous	0.01	7.105014E-01	0.000536633	0.00144574	6211	1191	5020	41	292
GPR88	missense;synonymous	0.500000	7.105014E-01	0.000536633	0.00144574	6211	1191	5020	41	292
GPR88	pLoF;missense;synonymous;other	0.01	5.193139E-01	0.000922483	0.00143153	6318	1219	5099	44	309
GPR88	pLoF;missense;synonymous;other	0.500000	5.193139E-01	0.000922483	0.00143153	6318	1219	5099	44	309
GPR88	Cauchy	NA	0.333233	NA	NA	NA	NA	NA	NA	NA
VCAM1	pLoF	0.01	9.494813E-01	-0.000558962	0.00882225	134	27	107	1	24
VCAM1	pLoF	0.500000	9.494813E-01	-0.000558962	0.00882225	134	27	107	1	24
VCAM1	missense	0.01	3.758582E-01	-0.00249689	0.00281958	1468	254	1214	21	128
VCAM1	missense	0.500000	3.758582E-01	-0.00249689	0.00281958	1468	254	1214	21	128
VCAM1	synonymous	0.01	8.472623E-01	-0.000306533	0.00159145	4638	867	3771	33	138
