Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.01062767	-0.0204666	0.00801132	191	8	183	3	36
ATAD3A	pLoF	0.5	0.01062767	-0.0204666	0.00801132	191	8	183	3	36
ATAD3A	missense	0.01	0.01923224	-0.00318932	0.00136238	10766	1010	9756	63	227
ATAD3A	missense	0.5	0.001906881	-0.00345587	0.00111323	36485	2861	33624	65	227
ATAD3A	synonymous	0.01	0.1967461	0.00118475	0.000917785	25132	2145	22987	66	140
ATAD3A	synonymous	0.5	0.1661729	0.00122478	0.000884569	123559	9740	113819	68	140
ATAD3A	pLoF;missense	0.01	0.005778767	-0.00380746	0.00137948	10953	1017	9936	66	263
ATAD3A	pLoF;missense	0.5	0.0006028091	-0.00379039	0.00110496	36672	2868	33804	68	263
ATAD3A	missense;synonymous	0.01	0.819434	-0.000172771	0.000756859	35895	3155	32740	129	367
ATAD3A	missense;synonymous	0.5	0.3894527	-0.000580353	0.00067435	160041	12601	147440	133	367
ATAD3A	pLoF;missense;synonymous;other	0.01	0.6312563	-0.00036086	0.000751854	36212	3172	33040	136	419
ATAD3A	pLoF;missense;synonymous;other	0.5	0.2794404	-0.000725253	0.000670551	160358	12618	147740	140	419
ATAD3A	Cauchy		0.00460849							
FLG	pLoF	0.01	0.0003893676	0.00460421	0.00129799	11519	1221	10298	105	346
FLG	pLoF	0.5	9.293851e-20	0.00829233	0.000911555	44001	5200	38801	107	346
FLG	missense	0.01	0.2684597	-0.00799525	0.00722495	1826	30	1796	9	27
FLG	missense	0.5	0.2684597	-0.00799525	0.00722495	1826	30	1796	9	27
FLG	synonymous	0.01	0.7715923	-0.000159699	0.000550132	82472	5605	76867	408	1154
FLG	synonymous	0.5	0.7941381	-8.92582e-05	0.000342063	1762960	161016	1601950	429	1154
FLG	pLoF;missense	0.01	0.00100543	0.00421442	0.00128137	13345	1251	12094	114	373
FLG	pLoF;missense	0.5	6.235937e-19	0.00804051	0.000904674	45827	5230	40597	116	373
FLG	missense;synonymous	0.01	0.7140848	-0.000200332	0.000546793	84296	5635	78661	417	1181
FLG	missense;synonymous	0.5	0.7574181	-0.000105392	0.000341216	1764790	161046	1603740	438	1181
FLG	pLoF;missense;synonymous;other	0.01	0.3330173	0.000493009	0.000509278	95852	6860	88992	523	1530
FLG	pLoF;missense;synonymous;other	0.5	0.004866352	0.000897163	0.000318623	1808820	166250	1642580	546	1530
FLG	Cauchy		9.70606e-19							
FLG2	pLoF	0.01	0.4108257	-0.0025144	0.00305724	1975	185	1790	27	117
FLG2	pLoF	0.5	0.3249148	-0.00296415	0.0030111	111767	10561	101206	28	117
FLG2	missense	0.01	0.06937617	-0.0155062	0.00853884	464	17	447	10	49
FLG2	missense	0.5	0.06937617	-0.0155062	0.00853884	464	17	447	10	49
FLG2	synonymous	0.01	0.3574111	-0.000406253	0.000441431	45155	3440	41715	150	458
FLG2	synonymous	0.5	0.177397	-0.000415137	0.000307779	461061	42667	418394	158	458
FLG2	pLoF;missense	0.01	0.1702296	-0.00395333	0.00288256	2436	202	2234	37	166
FLG2	pLoF;missense	0.5	0.1290861	-0.00431608	0.0028438	112228	10578	101650	38	166
FLG2	missense;synonymous	0.01	0.3127733	-0.000444922	0.00044077	45616	3457	42159	160	507
FLG2	missense;synonymous	0.5	0.1582905	-0.000433874	0.000307528	461522	42684	418838	168	507
FLG2	pLoF;missense;synonymous;other	0.01	0.2722939	-0.000472147	0.000430087	47601	3643	43958	187	629
FLG2	pLoF;missense;synonymous;other	0.5	0.13897	-0.000446075	0.000301476	573299	53246	520053	196	629
FLG2	Cauchy		0.161695							
PIP5K1A	pLoF	0.01	0.8975177	-0.00173941	0.0135049	92	10	82	1	27
PIP5K1A	pLoF	0.5	0.8975177	-0.00173941	0.0135049	92	10	82	1	27
PIP5K1A	missense	0.01	0.06615301	-0.00877064	0.00477344	1375	68	1307	17	165
PIP5K1A	missense	0.5	0.06615301	-0.00877064	0.00477344	1375	68	1307	17	165
PIP5K1A	synonymous	0.01	0.5180182	-0.00117876	0.00182357	6501	623	5878	22	122
PIP5K1A	synonymous	0.5	0.9764034	-3.84228e-05	0.00129902	233012	22889	210123	24	122
PIP5K1A	pLoF;missense	0.01	0.07526035	-0.00802102	0.00450904	1467	78	1389	18	192
PIP5K1A	pLoF;missense	0.5	0.07526035	-0.00802102	0.00450904	1467	78	1389	18	192
PIP5K1A	missense;synonymous	0.01	0.2231478	-0.00206201	0.00169267	7871	691	7180	39	287
PIP5K1A	missense;synonymous	0.5	0.6278456	-0.000605667	0.00124941	234382	22957	211425	41	287
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.219198	-0.00205454	0.00167217	8043	708	7335	41	331
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.6168613	-0.000620996	0.00124124	234554	22974	211580	43	331
PIP5K1A	Cauchy		0.503762							
TUFT1	pLoF	0.01	0.363921	0.0105637	0.011635	143	17	126	2	24
TUFT1	pLoF	0.5	0.363921	0.0105637	0.011635	143	17	126	2	24
TUFT1	missense	0.01	0.9279029	-0.000273475	0.00302236	3187	212	2975	16	103
TUFT1	missense	0.5	0.9279029	-0.000273475	0.00302236	3187	212	2975	16	103
TUFT1	synonymous	0.01	0.6298459	-0.0037649	0.00781191	643	28	615	12	62
TUFT1	synonymous	0.5	0.6298459	-0.0037649	0.00781191	643	28	615	12	62
TUFT1	pLoF;missense	0.01	0.8879255	0.000412343	0.00292588	3330	229	3101	18	127
TUFT1	pLoF;missense	0.5	0.8879255	0.000412343	0.00292588	3330	229	3101	18	127
TUFT1	missense;synonymous	0.01	0.7678993	-0.000824573	0.00279399	3825	239	3586	28	165
TUFT1	missense;synonymous	0.5	0.7678993	-0.000824573	0.00279399	3825	239	3586	28	165
TUFT1	pLoF;missense;synonymous;other	0.01	0.8326237	-0.000569929	0.00269677	4011	258	3753	31	198
TUFT1	pLoF;missense;synonymous;other	0.5	0.8326237	-0.000569929	0.00269677	4011	258	3753	31	198
TUFT1	Cauchy		0.82628							
RIIAD1	pLoF	0.01	0.9742485	-0.00142114	0.044025	7	1	6	0	4
RIIAD1	pLoF	0.5	0.9742485	-0.00142114	0.044025	7	1	6	0	4
RIIAD1	missense	0.01	0.08361115	-0.0128663	0.00743669	874	25	849	4	20
RIIAD1	missense	0.5	0.08361115	-0.0128663	0.00743669	874	25	849	4	20
RIIAD1	synonymous	0.01	0.4232167	0.00888569	0.0110953	984	18	966	4	15
RIIAD1	synonymous	0.5	0.4232167	0.00888569	0.0110953	984	18	966	4	15
RIIAD1	pLoF;missense	0.01	0.08700212	-0.0125506	0.00733341	881	26	855	4	24
RIIAD1	pLoF;missense	0.5	0.08700212	-0.0125506	0.00733341	881	26	855	4	24
RIIAD1	missense;synonymous	0.01	0.3203375	-0.00615411	0.00619273	1858	43	1815	8	35
RIIAD1	missense;synonymous	0.5	0.3203375	-0.00615411	0.00619273	1858	43	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.3227817	-0.00606398	0.00613293	1866	44	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.3227817	-0.00606398	0.00613293	1866	44	1822	8	40
RIIAD1	Cauchy		0.669911							
THEM4	pLoF	0.01	0.1048347	-0.0298973	0.018434	63	2	61	1	20
THEM4	pLoF	0.5	0.1048347	-0.0298973	0.018434	63	2	61	1	20
THEM4	missense	0.01	0.3585616	-0.00168366	0.00183383	7764	812	6952	6	45
THEM4	missense	0.5	0.3585616	-0.00168366	0.00183383	7764	812	6952	6	45
THEM4	synonymous	0.01	0.1494134	0.00686847	0.00476445	930	95	835	13	47
THEM4	synonymous	0.5	0.3896178	-0.00277154	0.00322156	57272	5602	51670	14	47
THEM4	pLoF;missense	0.01	0.2828875	-0.00196004	0.00182523	7827	814	7013	7	65
THEM4	pLoF;missense	0.5	0.2828875	-0.00196004	0.00182523	7827	814	7013	7	65
THEM4	missense;synonymous	0.01	0.7345865	-0.000580883	0.00171336	8694	907	7787	19	92
THEM4	missense;synonymous	0.5	0.2158502	-0.00199577	0.00161256	65036	6414	58622	20	92
THEM4	pLoF;missense;synonymous;other	0.01	0.5838769	-0.000933656	0.00170459	8780	909	7871	20	118
THEM4	pLoF;missense;synonymous;other	0.5	0.1526791	-0.00229561	0.00160518	65122	6416	58706	21	118
THEM4	Cauchy		0.240391							
S100A10	missense	0.01	0.1769048	-0.00387934	0.00287285	2508	244	2264	5	38
S100A10	missense	0.5	0.1769048	-0.00387934	0.00287285	2508	244	2264	5	38
S100A10	synonymous	0.01	0.3826065	-0.0112119	0.0128414	755	8	747	5	19
S100A10	synonymous	0.5	0.3826065	-0.0112119	0.0128414	755	8	747	5	19
S100A10	pLoF;missense	0.01	0.1769048	-0.00387934	0.00287285	2508	244	2264	5	38
S100A10	pLoF;missense	0.5	0.1769048	-0.00387934	0.00287285	2508	244	2264	5	38
S100A10	missense;synonymous	0.01	0.1351733	-0.00419201	0.00280588	3259	252	3007	10	57
S100A10	missense;synonymous	0.5	0.1351733	-0.00419201	0.00280588	3259	252	3007	10	57
S100A10	pLoF;missense;synonymous;other	0.01	0.1432063	-0.00410277	0.00280252	3264	253	3011	10	58
S100A10	pLoF;missense;synonymous;other	0.5	0.1432063	-0.00410277	0.00280252	3264	253	3011	10	58
S100A10	Cauchy		0.179812							
S100A11	pLoF	0.01	0.5152985	0.0190798	0.029326	67	3	64	2	5
S100A11	pLoF	0.5	0.5152985	0.0190798	0.029326	67	3	64	2	5
S100A11	missense	0.01	0.3815	-0.00333466	0.00381045	1676	129	1547	8	31
S100A11	missense	0.5	0.3815	-0.00333466	0.00381045	1676	129	1547	8	31
S100A11	synonymous	0.01	0.6841174	0.00375011	0.0092174	230	24	206	4	23
S100A11	synonymous	0.5	0.6841174	0.00375011	0.0092174	230	24	206	4	23
