Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.1165026	0.0413556	0.0263474	188	4	184	3	34
ATAD3A	pLoF	0.5	0.1165026	0.0413556	0.0263474	188	4	184	3	34
ATAD3A	missense	0.01	0.3133362	0.00477137	0.00473234	9841	86	9755	60	230
ATAD3A	missense	0.5	0.5254193	0.00230227	0.00362554	33867	244	33623	62	230
ATAD3A	synonymous	0.01	0.3577309	-0.00272993	0.00296829	23132	145	22987	63	143
ATAD3A	synonymous	0.5	0.4863102	-0.0019446	0.0027932	114606	787	113819	65	143
ATAD3A	pLoF;missense	0.01	0.2477094	0.00537954	0.00465386	10025	89	9936	63	264
ATAD3A	pLoF;missense	0.5	0.4503572	0.00270696	0.00358623	34051	247	33804	65	264
ATAD3A	missense;synonymous	0.01	0.8078541	-0.000607359	0.00249741	32970	231	32739	123	373
ATAD3A	missense;synonymous	0.5	0.8725504	-0.000344569	0.00214792	148470	1031	147439	127	373
ATAD3A	pLoF;missense;synonymous;other	0.01	0.8388287	-0.000504648	0.00248116	33274	234	33040	129	424
ATAD3A	pLoF;missense;synonymous;other	0.5	0.8991892	-0.000270729	0.00213701	148774	1034	147740	133	424
ATAD3A	Cauchy		0.530958							
FLG	pLoF	0.01	0.9092999	0.000534165	0.00468888	10379	81	10298	99	335
FLG	pLoF	0.5	0.3029116	0.00343967	0.00333881	39134	333	38801	101	335
FLG	missense	0.01	0.7486152	-0.00488989	0.0152587	1803	7	1796	8	27
FLG	missense	0.5	0.7486152	-0.00488989	0.0152587	1803	7	1796	8	27
FLG	synonymous	0.01	0.9504876	0.000100812	0.00162353	77368	502	76866	400	1138
FLG	synonymous	0.5	0.739995	-0.000368172	0.00110942	1613850	11903	1601950	421	1138
FLG	pLoF;missense	0.01	0.9897679	5.76344e-05	0.00449412	12182	88	12094	107	362
FLG	pLoF;missense	0.5	0.3482585	0.00306427	0.00326691	40937	340	40597	109	362
FLG	missense;synonymous	0.01	0.9795318	4.08122e-05	0.00159076	79169	509	78660	408	1165
FLG	missense;synonymous	0.5	0.7242717	-0.000387354	0.00109808	1615650	11910	1603740	429	1165
FLG	pLoF;missense;synonymous;other	0.01	0.9387935	0.000116365	0.00151544	89582	591	88991	508	1503
FLG	pLoF;missense;synonymous;other	0.5	0.9979459	-2.70901e-06	0.00105226	1654820	12244	1642570	531	1503
FLG	Cauchy		0.98258							
FLG2	pLoF	0.01	0.2121751	0.0131436	0.010535	1809	19	1790	27	111
FLG2	pLoF	0.5	0.2539865	0.0118448	0.0103836	101982	776	101206	28	111
FLG2	missense	0.01	0.1232587	0.0389722	0.0252863	452	5	447	9	50
FLG2	missense	0.5	0.1232587	0.0389722	0.0252863	452	5	447	9	50
FLG2	synonymous	0.01	0.3054613	-0.00150956	0.00147304	41975	260	41715	145	449
FLG2	synonymous	0.5	0.2333974	-0.00124483	0.00104462	421486	3092	418394	153	449
FLG2	pLoF;missense	0.01	0.07968229	0.0170708	0.00974064	2258	24	2234	36	161
FLG2	pLoF;missense	0.5	0.09919098	0.0158649	0.00962218	102431	781	101650	37	161
FLG2	missense;synonymous	0.01	0.3517604	-0.00136975	0.00147099	42424	265	42159	154	499
FLG2	missense;synonymous	0.5	0.2604329	-0.00117473	0.00104386	421935	3097	418838	162	499
FLG2	pLoF;missense;synonymous;other	0.01	0.4593308	-0.00106223	0.00143555	44242	284	43958	181	615
FLG2	pLoF;missense;synonymous;other	0.5	0.3214555	-0.0010144	0.00102312	523926	3873	520053	190	615
FLG2	Cauchy		0.185768							
PIP5K1A	pLoF	0.01	0.3834242	-0.0405939	0.0465738	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.3834242	-0.0405939	0.0465738	82	0	82	1	26
PIP5K1A	missense	0.01	0.25595	-0.0161717	0.0142354	1312	5	1307	16	162
PIP5K1A	missense	0.5	0.25595	-0.0161717	0.0142354	1312	5	1307	16	162
PIP5K1A	synonymous	0.01	0.3830627	0.00549005	0.006294	5930	52	5878	22	120
PIP5K1A	synonymous	0.5	0.9575566	-0.000240117	0.00451178	211776	1653	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.1796396	-0.018297	0.0136355	1394	5	1389	17	188
PIP5K1A	pLoF;missense	0.5	0.1796396	-0.018297	0.0136355	1394	5	1389	17	188
PIP5K1A	missense;synonymous	0.01	0.7360736	0.00187279	0.0055563	7237	57	7180	38	282
PIP5K1A	missense;synonymous	0.5	0.7051552	-0.00159567	0.00421721	213083	1658	211425	40	282
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.6652751	0.00237782	0.00549605	7394	59	7335	40	324
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.7639183	-0.0012587	0.00419093	213240	1660	211580	42	324
PIP5K1A	Cauchy		0.615314							
TUFT1	pLoF	0.01	0.008001791	0.0628127	0.0236851	130	4	126	2	23
TUFT1	pLoF	0.5	0.008001791	0.0628127	0.0236851	130	4	126	2	23
TUFT1	missense	0.01	0.1158056	0.014865	0.00945236	3001	26	2975	16	98
TUFT1	missense	0.5	0.1158056	0.014865	0.00945236	3001	26	2975	16	98
TUFT1	synonymous	0.01	0.1818758	-0.0288921	0.021642	616	1	615	12	59
TUFT1	synonymous	0.5	0.1818758	-0.0288921	0.021642	616	1	615	12	59
TUFT1	pLoF;missense	0.01	0.025437	0.0205399	0.00919135	3131	30	3101	18	121
TUFT1	pLoF;missense	0.5	0.025437	0.0205399	0.00919135	3131	30	3101	18	121
TUFT1	missense;synonymous	0.01	0.3663079	0.00773718	0.00856441	3613	27	3586	28	157
TUFT1	missense;synonymous	0.5	0.3663079	0.00773718	0.00856441	3613	27	3586	28	157
TUFT1	pLoF;missense;synonymous;other	0.01	0.1478789	0.0120571	0.00833213	3784	31	3753	31	189
TUFT1	pLoF;missense;synonymous;other	0.5	0.1478789	0.0120571	0.00833213	3784	31	3753	31	189
TUFT1	Cauchy		0.0323237							
RIIAD1	pLoF	0.01	0.8073131	-0.0405359	0.166203	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8073131	-0.0405359	0.166203	6	0	6	0	4
RIIAD1	missense	0.01	0.4863465	-0.0135705	0.0194942	852	3	849	4	20
RIIAD1	missense	0.5	0.4863465	-0.0135705	0.0194942	852	3	849	4	20
RIIAD1	synonymous	0.01	0.9467304	0.00140421	0.0210169	970	4	966	4	15
RIIAD1	synonymous	0.5	0.9467304	0.00140421	0.0210169	970	4	966	4	15
RIIAD1	pLoF;missense	0.01	0.4716699	-0.0139363	0.0193622	858	3	855	4	24
RIIAD1	pLoF;missense	0.5	0.4716699	-0.0139363	0.0193622	858	3	855	4	24
RIIAD1	missense;synonymous	0.01	0.6367534	-0.00685834	0.0145229	1822	7	1815	8	35
RIIAD1	missense;synonymous	0.5	0.6367534	-0.00685834	0.0145229	1822	7	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.6224289	-0.00712372	0.014467	1829	7	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.6224289	-0.00712372	0.014467	1829	7	1822	8	40
RIIAD1	Cauchy		0.796976							
THEM4	pLoF	0.01	0.4448974	0.0446213	0.0584088	62	1	61	1	19
THEM4	pLoF	0.5	0.4448974	0.0446213	0.0584088	62	1	61	1	19
THEM4	missense	0.01	0.9968865	-2.52265e-05	0.00646468	7010	58	6952	6	44
THEM4	missense	0.5	0.9968865	-2.52265e-05	0.00646468	7010	58	6952	6	44
THEM4	synonymous	0.01	0.9669093	-0.000676497	0.0163071	841	6	835	13	43
THEM4	synonymous	0.5	0.515623	-0.00725191	0.0111549	52067	397	51670	14	43
THEM4	pLoF;missense	0.01	0.9362551	0.000514028	0.00642715	7072	59	7013	7	63
THEM4	pLoF;missense	0.5	0.9362551	0.000514028	0.00642715	7072	59	7013	7	63
