Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.5239895	-0.0278789	0.0437517	184	0	184	3	34
ATAD3A	pLoF	0.5	0.5239895	-0.0278789	0.0437517	184	0	184	3	34
ATAD3A	missense	0.01	0.937412	0.000607653	0.00773853	9784	29	9755	59	227
ATAD3A	missense	0.5	0.913125	0.000634352	0.00581453	33716	93	33623	61	227
ATAD3A	synonymous	0.01	0.06597277	0.00826118	0.00449317	23071	84	22987	63	143
ATAD3A	synonymous	0.5	0.05672437	0.00797428	0.00418503	114167	348	113819	65	143
ATAD3A	pLoF;missense	0.01	0.9751084	-0.000237499	0.00761167	9965	29	9936	62	261
ATAD3A	pLoF;missense	0.5	0.9792626	0.000149593	0.00575502	33897	93	33804	64	261
ATAD3A	missense;synonymous	0.01	0.1064293	0.00623354	0.00386108	32852	113	32739	122	370
ATAD3A	missense;synonymous	0.5	0.1180377	0.00516695	0.00330565	147880	441	147439	126	370
ATAD3A	pLoF;missense;synonymous;other	0.01	0.1059179	0.00620649	0.00383871	33154	114	33040	128	421
ATAD3A	pLoF;missense;synonymous;other	0.5	0.1172816	0.00515499	0.00329122	148182	442	147740	132	421
ATAD3A	Cauchy		0.791203							
FLG	pLoF	0.01	0.9693626	-0.00029593	0.00770497	10327	29	10298	99	334
FLG	pLoF	0.5	0.6680989	0.00236742	0.00552158	38919	118	38801	101	334
FLG	missense	0.01	0.4090299	0.0156641	0.0189729	1803	7	1796	8	27
FLG	missense	0.5	0.4090299	0.0156641	0.0189729	1803	7	1796	8	27
FLG	synonymous	0.01	0.8933098	-0.000326151	0.00243183	77081	214	76867	401	1132
FLG	synonymous	0.5	0.2428916	-0.00204039	0.00174723	1606170	4227	1601950	422	1132
FLG	pLoF;missense	0.01	0.7811707	0.00199299	0.00717435	12130	36	12094	107	361
FLG	pLoF;missense	0.5	0.5187567	0.00343092	0.00531708	40722	125	40597	109	361
FLG	missense;synonymous	0.01	0.9795363	-6.03835e-05	0.00235411	78882	221	78661	409	1159
FLG	missense;synonymous	0.5	0.2842517	-0.00183725	0.00171574	1607980	4234	1603740	430	1159
FLG	pLoF;missense;synonymous;other	0.01	0.97394	-7.41448e-05	0.0022697	89242	250	88992	509	1496
FLG	pLoF;missense;synonymous;other	0.5	0.367411	-0.00149072	0.00165391	1646930	4352	1642580	532	1496
FLG	Cauchy		0.907069							
FLG2	pLoF	0.01	0.08228199	-0.0305486	0.0175809	1791	1	1790	26	112
FLG2	pLoF	0.5	0.0841435	-0.0299336	0.0173314	101485	279	101206	27	112
FLG2	missense	0.01	0.8677287	-0.00620568	0.0372615	448	1	447	9	50
FLG2	missense	0.5	0.8677287	-0.00620568	0.0372615	448	1	447	9	50
FLG2	synonymous	0.01	0.442032	-0.00181623	0.00236253	41819	104	41715	145	448
FLG2	synonymous	0.5	0.5830204	-0.000936608	0.00170609	419559	1165	418394	153	448
FLG2	pLoF;missense	0.01	0.1006763	-0.0261496	0.0159295	2236	2	2234	35	162
FLG2	pLoF;missense	0.5	0.1018958	-0.0257587	0.0157475	101930	280	101650	36	162
FLG2	missense;synonymous	0.01	0.4368183	-0.00183515	0.00236009	42264	105	42159	154	498
FLG2	missense;synonymous	0.5	0.5785042	-0.00094726	0.00170502	420004	1166	418838	162	498
FLG2	pLoF;missense;synonymous;other	0.01	0.3243509	-0.00226797	0.0023012	44064	106	43958	180	615
FLG2	pLoF;missense;synonymous;other	0.5	0.4775112	-0.00118584	0.00166946	521498	1445	520053	189	615
FLG2	Cauchy		0.28573							
PIP5K1A	pLoF	0.01	0.5942553	-0.0403267	0.0757054	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.5942553	-0.0403267	0.0757054	82	0	82	1	26
PIP5K1A	missense	0.01	0.1104611	0.0330701	0.020719	1314	7	1307	16	163
PIP5K1A	missense	0.5	0.1104611	0.0330701	0.020719	1314	7	1307	16	163
PIP5K1A	synonymous	0.01	0.7138851	0.0037107	0.0101207	5897	19	5878	22	120
PIP5K1A	synonymous	0.5	0.5417054	0.00449456	0.00736528	210748	625	210123	24	120
PIP5K1A	pLoF;missense	0.01	0.161211	0.0280357	0.0200111	1396	7	1389	17	189
PIP5K1A	pLoF;missense	0.5	0.161211	0.0280357	0.0200111	1396	7	1389	17	189
PIP5K1A	missense;synonymous	0.01	0.3317469	0.0082758	0.00852647	7206	26	7180	38	283
PIP5K1A	missense;synonymous	0.5	0.2837186	0.00716185	0.00668081	212057	632	211425	40	283
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.3865346	0.00731487	0.00844753	7361	26	7335	40	325
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.3218571	0.00658066	0.00664278	212212	632	211580	42	325
PIP5K1A	Cauchy		0.279034							
TUFT1	pLoF	0.01	0.5632767	-0.0403084	0.0697399	126	0	126	2	23
TUFT1	pLoF	0.5	0.5632767	-0.0403084	0.0697399	126	0	126	2	23
TUFT1	missense	0.01	0.8199812	-0.00320172	0.0140692	2983	8	2975	16	98
TUFT1	missense	0.5	0.8199812	-0.00320172	0.0140692	2983	8	2975	16	98
TUFT1	synonymous	0.01	0.7056609	-0.0125757	0.0332964	616	1	615	12	60
TUFT1	synonymous	0.5	0.7056609	-0.0125757	0.0332964	616	1	615	12	60
TUFT1	pLoF;missense	0.01	0.7361226	-0.00464835	0.0137936	3109	8	3101	18	121
TUFT1	pLoF;missense	0.5	0.7361226	-0.00464835	0.0137936	3109	8	3101	18	121
TUFT1	missense;synonymous	0.01	0.7256072	-0.00448808	0.0127875	3595	9	3586	28	158
TUFT1	missense;synonymous	0.5	0.7256072	-0.00448808	0.0127875	3595	9	3586	28	158
TUFT1	pLoF;missense;synonymous;other	0.01	0.6324134	-0.00598843	0.0125194	3762	9	3753	31	190
TUFT1	pLoF;missense;synonymous;other	0.5	0.6324134	-0.00598843	0.0125194	3762	9	3753	31	190
TUFT1	Cauchy		0.713042							
RIIAD1	pLoF	0.01	0.8739908	-0.0403388	0.254357	6	0	6	0	4
RIIAD1	pLoF	0.5	0.8739908	-0.0403388	0.254357	6	0	6	0	4
RIIAD1	missense	0.01	0.3727593	-0.0238353	0.0267417	850	1	849	4	21
RIIAD1	missense	0.5	0.3727593	-0.0238353	0.0267417	850	1	849	4	21
RIIAD1	synonymous	0.01	0.00846857	0.0455691	0.0173083	973	7	966	4	15
RIIAD1	synonymous	0.5	0.00846857	0.0455691	0.0173083	973	7	966	4	15
RIIAD1	pLoF;missense	0.01	0.3664454	-0.0240202	0.026596	856	1	855	4	25
RIIAD1	pLoF;missense	0.5	0.3664454	-0.0240202	0.026596	856	1	855	4	25
RIIAD1	missense;synonymous	0.01	0.1543011	0.0272577	0.0191349	1823	8	1815	8	36
RIIAD1	missense;synonymous	0.5	0.1543011	0.0272577	0.0191349	1823	8	1815	8	36
RIIAD1	pLoF;missense;synonymous;other	0.01	0.1591518	0.0268634	0.0190801	1830	8	1822	8	41
RIIAD1	pLoF;missense;synonymous;other	0.5	0.1591518	0.0268634	0.0190801	1830	8	1822	8	41
RIIAD1	Cauchy		0.0476473							
THEM4	pLoF	0.01	0.654181	-0.0404309	0.0902553	61	0	61	1	19
THEM4	pLoF	0.5	0.654181	-0.0404309	0.0902553	61	0	61	1	19
THEM4	missense	0.01	0.5857521	-0.00586509	0.0107616	6970	18	6952	6	44
THEM4	missense	0.5	0.5857521	-0.00586509	0.0107616	6970	18	6952	6	44
THEM4	synonymous	0.01	0.8496636	-0.0050497	0.0266408	837	2	835	13	43
THEM4	synonymous	0.5	0.3701116	-0.0165076	0.0184182	51806	136	51670	14	43
THEM4	pLoF;missense	0.01	0.5524385	-0.00635036	0.0106889	7031	18	7013	7	63
THEM4	pLoF;missense	0.5	0.5524385	-0.00635036	0.0106889	7031	18	7013	7	63
THEM4	missense;synonymous	0.01	0.5644956	-0.00575282	0.00998447	7807	20	7787	19	87
THEM4	missense;synonymous	0.5	0.3508998	-0.0087674	0.00939856	58776	154	58622	20	87
THEM4	pLoF;missense;synonymous;other	0.01	0.5232353	-0.00632384	0.00990629	7891	20	7871	20	112
THEM4	pLoF;missense;synonymous;other	0.5	0.3225491	-0.00923302	0.00933351	58860	154	58706	21	112
THEM4	Cauchy		0.568206							
S100A10	missense	0.01	0.160679	-0.0237001	0.016895	2267	3	2264	5	37
S100A10	missense	0.5	0.160679	-0.0237001	0.016895	2267	3	2264	5	37
S100A10	synonymous	0.01	0.5649311	-0.0170125	0.0295596	748	1	747	5	19
S100A10	synonymous	0.5	0.5649311	-0.0170125	0.0295596	748	1	747	5	19
S100A10	pLoF;missense	0.01	0.160679	-0.0237001	0.016895	2267	3	2264	5	37
S100A10	pLoF;missense	0.5	0.160679	-0.0237001	0.016895	2267	3	2264	5	37
S100A10	missense;synonymous	0.01	0.1328713	-0.0220657	0.0146823	3011	4	3007	10	56
S100A10	missense;synonymous	0.5	0.1328713	-0.0220657	0.0146823	3011	4	3007	10	56
S100A10	pLoF;missense;synonymous;other	0.01	0.1319512	-0.0220991	0.0146696	3015	4	3011	10	57
S100A10	pLoF;missense;synonymous;other	0.5	0.1319512	-0.0220991	0.0146696	3015	4	3011	10	57
S100A10	Cauchy		0.178883							
S100A11	pLoF	0.01	0.7305848	-0.0404364	0.117429	64	0	64	1	6
S100A11	pLoF	0.5	0.7305848	-0.0404364	0.117429	64	0	64	1	6
S100A11	missense	0.01	0.9316208	-0.00173632	0.0202354	1551	4	1547	8	31
S100A11	missense	0.5	0.9316208	-0.00173632	0.0202354	1551	4	1547	8	31
S100A11	synonymous	0.01	0.4468539	-0.0403575	0.0530551	206	0	206	4	20
S100A11	synonymous	0.5	0.4468539	-0.0403575	0.0530551	206	0	206	4	20
S100A11	pLoF;missense	0.01	0.8863224	-0.00285188	0.0199489	1615	4	1611	9	37
S100A11	pLoF;missense	0.5	0.8863224	-0.00285188	0.0199489	1615	4	1611	9	37
S100A11	missense;synonymous	0.01	0.7254771	-0.00664353	0.0189194	1757	4	1753	12	51
S100A11	missense;synonymous	0.5	0.7254771	-0.00664353	0.0189194	1757	4	1753	12	51
S100A11	pLoF;missense;synonymous;other	0.01	0.6881299	-0.0075004	0.0186859	1821	4	1817	13	57
S100A11	pLoF;missense;synonymous;other	0.5	0.6881299	-0.0075004	0.0186859	1821	4	1817	13	57
S100A11	Cauchy		0.820802							
HRNR	pLoF	0.01	0.2405434	0.0131784	0.0112287	4889	18	4871	47	120
HRNR	pLoF	0.5	0.2405434	0.0131784	0.0112287	4889	18	4871	47	120
HRNR	missense	0.01	0.02653669	0.0648022	0.029213	674	5	669	13	43
HRNR	missense	0.5	0.02653669	0.0648022	0.029213	674	5	669	13	43
HRNR	synonymous	0.01	0.2391604	0.00393528	0.00334323	44558	140	44418	208	492
HRNR	synonymous	0.5	0.6377949	0.00101166	0.00214888	1062130	2859	1059270	223	492
HRNR	pLoF;missense	0.01	0.05777586	0.019905	0.0104907	5563	23	5540	60	163
HRNR	pLoF;missense	0.5	0.05777586	0.019905	0.0104907	5563	23	5540	60	163
HRNR	missense;synonymous	0.01	0.1562891	0.00471114	0.00332318	45231	145	45086	221	535
HRNR	missense;synonymous	0.5	0.5289174	0.00135037	0.0021446	1062800	2864	1059940	236	535
HRNR	pLoF;missense;synonymous;other	0.01	0.1648777	0.00423264	0.00304758	55552	174	55378	270	657
HRNR	pLoF;missense;synonymous;other	0.5	0.5037722	0.00138502	0.00207163	1073120	2893	1070230	285	657
HRNR	Cauchy		0.0904547							
CRNN	pLoF	0.01	0.9874197	0.000545793	0.0346145	397	1	396	6	29
CRNN	pLoF	0.5	0.9874197	0.000545793	0.0346145	397	1	396	6	29
CRNN	missense	0.01	0.6948349	0.0128347	0.0327165	514	2	512	9	57
CRNN	missense	0.5	0.6948349	0.0128347	0.0327165	514	2	512	9	57
CRNN	synonymous	0.01	0.5847193	0.00527042	0.00964387	7579	24	7555	21	104
CRNN	synonymous	0.5	0.5847193	0.00527042	0.00964387	7579	24	7555	21	104
CRNN	pLoF;missense	0.01	0.7528291	0.00752823	0.0239059	901	3	898	15	86
CRNN	pLoF;missense	0.5	0.7528291	0.00752823	0.0239059	901	3	898	15	86
CRNN	missense;synonymous	0.01	0.5231899	0.00591755	0.00926882	8093	26	8067	30	161
CRNN	missense;synonymous	0.5	0.5231899	0.00591755	0.00926882	8093	26	8067	30	161
CRNN	pLoF;missense;synonymous;other	0.01	0.529906	0.00563048	0.00896359	8481	27	8454	36	191
CRNN	pLoF;missense;synonymous;other	0.5	0.529906	0.00563048	0.00896359	8481	27	8454	36	191
CRNN	Cauchy		0.931499							
FHAD1	pLoF	0.01	0.7844596	0.00361802	0.013228	3685	11	3674	14	95
FHAD1	pLoF	0.5	0.7844596	0.00361802	0.013228	3685	11	3674	14	95
FHAD1	missense	0.01	0.7893646	-0.00318176	0.0119107	3990	10	3980	54	256
FHAD1	missense	0.5	0.7889958	-0.00318749	0.0119107	192660	549	192111	55	256
FHAD1	synonymous	0.01	0.2138392	-0.00865208	0.00696021	14808	35	14773	59	277
FHAD1	synonymous	0.5	0.8720168	0.000626374	0.00388817	826958	2410	824548	67	277
FHAD1	pLoF;missense	0.01	0.9861234	-0.000154289	0.00887095	7673	21	7652	68	351
FHAD1	pLoF;missense	0.5	0.9858396	-0.000157447	0.00887106	196343	560	195783	69	351
FHAD1	missense;synonymous	0.01	0.2295394	-0.00717775	0.00597376	18793	45	18748	113	533
FHAD1	missense;synonymous	0.5	0.9445111	0.000256952	0.00369177	1019610	2959	1016650	122	533
FHAD1	pLoF;missense;synonymous;other	0.01	0.396325	-0.00449935	0.00530457	23219	59	23160	136	651
FHAD1	pLoF;missense;synonymous;other	0.5	0.8324403	0.000744935	0.00352094	1024040	2973	1021070	145	651
FHAD1	Cauchy		0.934464							
LCE3A	pLoF	0.01	0.9229199	-0.0401154	0.414602	5	0	5	0	3
LCE3A	pLoF	0.5	0.9229199	-0.0401154	0.414602	5	0	5	0	3
LCE3A	synonymous	0.01	0.06951426	0.069752	0.0384295	420	3	417	5	17
LCE3A	synonymous	0.5	0.06951426	0.069752	0.0384295	420	3	417	5	17
LCE3A	pLoF;missense	0.01	0.9171292	-0.0401081	0.385467	7	0	7	0	4
LCE3A	pLoF;missense	0.5	0.9171292	-0.0401081	0.385467	7	0	7	0	4
LCE3A	missense;synonymous	0.01	0.06991346	0.0696064	0.0384041	422	3	419	5	18
LCE3A	missense;synonymous	0.5	0.06991346	0.0696064	0.0384041	422	3	419	5	18
LCE3A	pLoF;missense;synonymous;other	0.01	0.07250143	0.0686817	0.0382424	427	3	424	5	21
LCE3A	pLoF;missense;synonymous;other	0.5	0.07250143	0.0686817	0.0382424	427	3	424	5	21
LCE3A	Cauchy		0.234932							
KPRP	pLoF	0.01	0.156559	-0.026424	0.0186512	1706	2	1704	3	43
KPRP	pLoF	0.5	0.156559	-0.026424	0.0186512	1706	2	1704	3	43
KPRP	missense	0.01	0.1944401	0.0206	0.015876	2293	10	2283	23	98
KPRP	missense	0.5	0.1944401	0.0206	0.015876	2293	10	2283	23	98
KPRP	synonymous	0.01	0.9297099	-0.00124697	0.0141364	3312	9	3303	26	122
KPRP	synonymous	0.5	0.9297101	-0.00124696	0.0141364	314973	909	314064	27	122
KPRP	pLoF;missense	0.01	0.9431904	0.000863618	0.0121192	3999	12	3987	26	141
KPRP	pLoF;missense	0.5	0.9431904	0.000863618	0.0121192	3999	12	3987	26	141
KPRP	missense;synonymous	0.01	0.4120935	0.00889408	0.0108436	5605	19	5586	49	220
KPRP	missense;synonymous	0.5	0.4120933	0.00889408	0.0108436	317266	919	316347	50	220
KPRP	pLoF;missense;synonymous;other	0.01	0.9726829	-0.000314983	0.00919831	7703	22	7681	53	263
KPRP	pLoF;missense;synonymous;other	0.5	0.9726831	-0.000314981	0.00919831	319364	922	318442	54	263
KPRP	Cauchy		0.897816							
LCE1F	pLoF	0.01	0.8018528	-0.00906052	0.0361049	486	1	485	5	11
LCE1F	pLoF	0.5	0.7225785	-0.00986194	0.0277789	67601	192	67409	6	11
LCE1F	missense	0.01	0.9236857	0.00405432	0.0423242	352	1	351	6	28
LCE1F	missense	0.5	0.9051583	0.00503257	0.0422381	134832	397	134435	7	28
LCE1F	synonymous	0.01	0.375113	-0.0404078	0.0455588	276	0	276	4	32
LCE1F	synonymous	0.5	0.375113	-0.0404078	0.0455588	276	0	276	4	32
LCE1F	pLoF;missense	0.01	0.8991281	-0.00341227	0.0269185	838	2	836	11	39
LCE1F	pLoF;missense	0.5	0.8183945	-0.00528215	0.0230048	202433	589	201844	13	39
LCE1F	missense;synonymous	0.01	0.5968167	-0.0162027	0.0306299	628	1	627	10	60
LCE1F	missense;synonymous	0.5	0.6092431	-0.0156336	0.030585	135108	397	134711	11	60
LCE1F	pLoF;missense;synonymous;other	0.01	0.5759979	-0.0128763	0.0230247	1116	2	1114	15	72
LCE1F	pLoF;missense;synonymous;other	0.5	0.5455477	-0.0123595	0.0204477	202711	589	202122	17	72
LCE1F	Cauchy		0.779077							
IVL	pLoF	0.01	0.7142861	0.00952062	0.0260051	813	3	810	9	43
IVL	pLoF	0.5	0.7142861	0.00952062	0.0260051	813	3	810	9	43
IVL	missense	0.01	0.7479088	-0.0402802	0.125328	32	0	32	1	5
IVL	missense	0.5	0.7479088	-0.0402802	0.125328	32	0	32	1	5
IVL	synonymous	0.01	0.9602952	0.000525081	0.0105474	4058	12	4046	33	118
IVL	synonymous	0.5	0.7602943	0.00295367	0.00968116	138636	402	138234	35	118
IVL	pLoF;missense	0.01	0.7691736	0.00747455	0.0254708	845	3	842	10	48
IVL	pLoF;missense	0.5	0.7691736	0.00747455	0.0254708	845	3	842	10	48
IVL	missense;synonymous	0.01	0.9817327	0.000240695	0.0105122	4090	12	4078	34	123
IVL	missense;synonymous	0.5	0.7798379	0.00269696	0.00964817	138668	402	138266	36	123
IVL	pLoF;missense;synonymous;other	0.01	0.8720361	0.00158235	0.00982384	4903	15	4888	43	166
IVL	pLoF;missense;synonymous;other	0.5	0.6921131	0.00363061	0.00916845	139481	405	139076	45	166
IVL	Cauchy		0.898952							
S100A8	pLoF	0.01	0.00485312	0.172055	0.0610855	10	1	9	0	8
S100A8	pLoF	0.5	0.00485312	0.172055	0.0610855	10	1	9	0	8
S100A8	missense	0.01	0.8629447	-0.0401933	0.232833	14	0	14	0	8
S100A8	missense	0.5	0.8629447	-0.0401933	0.232833	14	0	14	0	8
S100A8	synonymous	0.01	0.5283971	-0.0153963	0.024421	1115	2	1113	6	14
S100A8	synonymous	0.5	0.5283971	-0.0153963	0.024421	1115	2	1113	6	14
S100A8	pLoF;missense	0.01	0.01374052	0.735247	0.298399	24	1	23	0	16
S100A8	pLoF;missense	0.5	0.01374052	0.735247	0.298399	24	1	23	0	16
S100A8	missense;synonymous	0.01	0.5189298	-0.0156661	0.0242886	1129	2	1127	6	22
S100A8	missense;synonymous	0.5	0.5189298	-0.0156661	0.0242886	1129	2	1127	6	22
S100A8	pLoF;missense;synonymous;other	0.01	0.9583857	-0.00126229	0.0241913	1139	3	1136	6	30
S100A8	pLoF;missense;synonymous;other	0.5	0.9583857	-0.00126229	0.0241913	1139	3	1136	6	30
S100A8	Cauchy		0.0241891							
SNX27	pLoF	0.01	0.981637	0.000383716	0.0166712	2393	7	2386	2	16
SNX27	pLoF	0.5	0.981637	0.000383716	0.0166712	2393	7	2386	2	16
SNX27	missense	0.01	0.4309958	0.00915843	0.0116299	4540	16	4524	22	193
SNX27	missense	0.5	0.4309958	0.00915843	0.0116299	4540	16	4524	22	193
SNX27	synonymous	0.01	0.01384151	0.0503114	0.0204406	1381	9	1372	21	124
SNX27	synonymous	0.5	0.01384151	0.0503114	0.0204406	1381	9	1372	21	124
SNX27	pLoF;missense	0.01	0.5089557	0.00631012	0.00955407	6933	23	6910	24	209
SNX27	pLoF;missense	0.5	0.5089557	0.00631012	0.00955407	6933	23	6910	24	209
SNX27	missense;synonymous	0.01	0.05533592	0.0192696	0.010056	5919	25	5894	43	317
SNX27	missense;synonymous	0.5	0.05533592	0.0192696	0.010056	5919	25	5894	43	317
SNX27	pLoF;missense;synonymous;other	0.01	0.1434115	0.0121879	0.00832957	8867	33	8834	49	346
SNX27	pLoF;missense;synonymous;other	0.5	0.1434115	0.0121879	0.00832957	8867	33	8834	49	346
SNX27	Cauchy		0.132075							
MRPL9	pLoF	0.01	0.3687602	-0.0402204	0.0447491	260	0	260	6	24
MRPL9	pLoF	0.5	0.3687602	-0.0402204	0.0447491	260	0	260	6	24
MRPL9	missense	0.01	0.750746	0.00344316	0.0108393	5503	17	5486	17	83
MRPL9	missense	0.5	0.8919282	-0.00145139	0.0106826	483659	1344	482315	20	83
MRPL9	synonymous	0.01	0.7104813	0.0120671	0.0325074	538	2	536	9	51
MRPL9	synonymous	0.5	0.9434049	-0.000906902	0.0127749	9815	21	9794	10	51
MRPL9	pLoF;missense	0.01	0.9221562	0.00102997	0.0105402	5763	17	5746	23	107
MRPL9	pLoF;missense	0.5	0.73342	-0.00354146	0.0103983	483919	1344	482575	26	107
MRPL9	missense;synonymous	0.01	0.6740126	0.00433242	0.0102994	6041	19	6022	26	134
MRPL9	missense;synonymous	0.5	0.8809662	-0.00123485	0.00824641	493474	1365	492109	30	134
MRPL9	pLoF;missense;synonymous;other	0.01	0.8767704	-0.00145378	0.00937534	7206	20	7186	35	167
MRPL9	pLoF;missense;synonymous;other	0.5	0.5771596	-0.00411501	0.00738068	494639	1366	493273	39	167
MRPL9	Cauchy		0.828464							
TCHHL1	pLoF	0.01	0.9674995	0.000992706	0.0243641	1251	3	1248	5	48
TCHHL1	pLoF	0.5	0.9674995	0.000992706	0.0243641	1251	3	1248	5	48
TCHHL1	missense	0.01	0.1417348	-0.0227248	0.0154658	2760	4	2756	6	22
