Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,PPM1D,missense,8800,0,0,0,0,1,9.6318308253591e-05,8.66778580293503e-05,0.266503344656752,-0.000719213940969097,0.0011796661723061,0.542092321545954
colorectal,PPM1D,pLoF,8800,0,0,0,0,1,4.39621747963712e-05,3.54260414432191e-05,0.214654927153163,-0.00024074562147384,0.000482140464236306,0.617561714168836
colorectal,TP53,missense,8800,0,0,0,0,1,3.16717570642058e-05,6.85653603038673e-05,0.644149634289583,-0.000371651948318756,0.000933159147922915,0.690438740516898
colorectal,TP53,pLoF,8800,0,0,0,0,0,0,0,,0,0,
colorectal,SRSF2,missense,8800,0,0,0,0,1,0.000125200470360536,9.19104955421142e-05,0.173169675281986,0.00186389748220809,0.00125088119314403,0.13624232524149
colorectal,SRSF2,pLoF,8800,0,0,0,0,1,-1.96467728074239e-05,1.77148670690523e-05,0.267436508250645,-0.00036368993535672,0.000241095360491998,0.131465080955508
NHL,PPM1D,missense,2555,0,0,0,0,1,5.81912574038789e-05,0.00014981962119214,0.697745941010708,0.00101000138750712,0.00213940444899321,0.636899596784613
NHL,PPM1D,pLoF,2555,0,0,0,0,1,9.46282221359725e-06,0.000113178743005908,0.933373442218667,-0.00419557327257095,0.00161617753663765,0.00948609849323547
NHL,TP53,missense,2555,0,0,0,0,1,9.07334790473895e-06,0.00020371751891874,0.964478354210635,-0.0069381137682333,0.00290905932643939,0.0171516035568336
NHL,TP53,pLoF,2555,0,0,0,0,0,0,0,,0,0,
NHL,SRSF2,missense,2555,0,0,0,0,1,0.000195318894199631,0.000126604852794434,0.123016852367812,0.0013944668216203,0.00180790061526836,0.440589699351124
NHL,SRSF2,pLoF,2555,0,0,0,0,0,0,0,,0,0,
leukemias,PPM1D,missense,1864,0,0,0,0,1,3.79989582780006e-05,0.000157723492531531,0.80964260561081,0.000970428238537201,0.00224216018533621,0.665203320025574
leukemias,PPM1D,pLoF,1864,0,0,0,0,0,0,0,,0,0,
leukemias,TP53,missense,1864,0,0,0,0,1,0.00025325356481507,0.000294138609666365,0.389348542043772,-0.00484928246622222,0.0041814055026218,0.246309363614441
leukemias,TP53,pLoF,1864,0,0,0,0,1,-5.54345743515831e-05,7.89085169567626e-05,0.482444665811734,0.000853593105239224,0.00112174497384409,0.446782662535112
leukemias,SRSF2,missense,1864,0,0,0,0,1,0.00152575969701549,0.00053807239229083,0.00462337051478018,0.0159124507975916,0.00764911095651728,0.0376344882189987
leukemias,SRSF2,pLoF,1864,0,0,0,0,1,0.000444615397001642,0.000192632895324762,0.0211029247412256,0.00481806504903012,0.00273842406955878,0.07866882314298
oral,PPM1D,missense,1110,0,0,0,0,1,-0.00030119408027794,0.000221876774406653,0.174904271419048,-0.00287636794398995,0.0031531906841714,0.361857477959083
oral,PPM1D,pLoF,1110,0,0,0,0,1,4.95042504210327e-05,0.000128304838878073,0.699694433150916,0.00167550663048547,0.00182339780162372,0.358351954830611
oral,TP53,missense,1110,0,0,0,0,0,0,0,,0,0,
oral,TP53,pLoF,1110,0,0,0,0,0,0,0,,0,0,
oral,SRSF2,missense,1110,0,0,0,0,1,-4.17728858956576e-05,0.000128307323116642,0.744812001587109,0.00155528805111647,0.00182343310625591,0.393874341541645
oral,SRSF2,pLoF,1110,0,0,0,0,0,0,0,,0,0,
neck,PPM1D,missense,653,0,0,0,0,1,0.000173802262049647,0.000413069945367702,0.674071271083094,-0.00960117505120828,0.00535143054355307,0.0732566558089041
neck,PPM1D,pLoF,653,0,0,0,0,0,0,0,,0,0,
neck,TP53,missense,653,0,0,0,0,1,-2.13422838504747e-06,0.000239365445627024,0.992888737712805,0.00285346123771088,0.00310104274388539,0.357829544529544
neck,TP53,pLoF,653,0,0,0,0,0,0,0,,0,0,
neck,SRSF2,missense,653,0,0,0,0,1,0.000192746180338706,0.000338391823304859,0.569149431441753,-0.000110693199140379,0.00438395569377542,0.979863611014547
neck,SRSF2,pLoF,653,0,0,0,0,0,0,0,,0,0,
anus,PPM1D,missense,343,0,0,0,0,1,-0.000566902068014566,0.000403722366309144,0.161175693338277,0.00404177983993363,0.00597513602470459,0.499225596313369
anus,PPM1D,pLoF,343,0,0,0,0,0,0,0,,0,0,
anus,TP53,missense,343,0,0,0,0,0,0,0,,0,0,
anus,TP53,pLoF,343,0,0,0,0,0,0,0,,0,0,
anus,SRSF2,missense,343,0,0,0,0,1,-6.21430011156229e-05,0.000569782549684202,0.913215737401904,-0.014687615010422,0.00843284524954742,0.0824626625085263
anus,SRSF2,pLoF,343,0,0,0,0,0,0,0,,0,0,
bladder,PPM1D,missense,3285,0,0,0,0,1,-0.00031691777115897,0.000244310608227452,0.194656303865912,-0.0039053839060366,0.00293356433578881,0.183190662275512
bladder,PPM1D,pLoF,3285,0,0,0,0,0,0,0,,0,0,
bladder,TP53,missense,3285,0,0,0,0,1,0.000134554190342995,0.000151017638910523,0.373003454154743,-0.00398110161796369,0.0018133472091007,0.0282015604735916
bladder,TP53,pLoF,3285,0,0,0,0,1,-3.51542882067421e-05,7.56056444703236e-05,0.641984433674488,-0.00177296740893301,0.000907836232784378,0.0509092683066835
bladder,SRSF2,missense,3285,0,0,0,0,1,-0.000180455521192902,0.000160218602834768,0.260117448510629,0.00262153673672099,0.00192382796070979,0.173080997471479
bladder,SRSF2,pLoF,3285,0,0,0,0,0,0,0,,0,0,
brain,PPM1D,missense,948,0,0,0,0,1,0.000101920747490399,0.000312170163281978,0.744125194134151,0.000604446616215161,0.00566126677406415,0.914995067227492
brain,PPM1D,pLoF,948,0,0,0,0,0,0,0,,0,0,
brain,TP53,missense,948,0,0,0,0,1,-0.000286740821630372,0.000278975314462904,0.304290070131909,-0.00587880524339084,0.00505927171882323,0.245534349443313
brain,TP53,pLoF,948,0,0,0,0,0,0,0,,0,0,
brain,SRSF2,missense,948,0,0,0,0,1,6.93676109812206e-05,0.000241954801253961,0.774407510545117,0.00394154647383981,0.0043878974939929,0.369266810998186
brain,SRSF2,pLoF,948,0,0,0,0,0,0,0,,0,0,
breast,PPM1D,missense,19950,0,0,0,0,1,-6.29817777715937e-05,6.03126523648439e-05,0.2963801659509,-0.00152857992998666,0.000886860475837494,0.0847981790150736
breast,PPM1D,pLoF,19950,0,0,0,0,1,1.10237545892322e-05,1.39544568528613e-05,0.429548305186106,5.34188236854902e-05,0.000205191709522562,0.794607162085093
breast,TP53,missense,19950,0,0,0,0,1,4.07051783146696e-05,4.00513661693991e-05,0.309487288185231,0.000388105584167217,0.000588930717953958,0.509903112880607
